Date/Time,Year,Month,Day,Data Quality,Max Temp (ﾰC),Max Temp Flag,Min Temp (ﾰC),Min Temp Flag,Mean Temp (ﾰC),Mean Temp Flag,Heat Deg Days (ﾰC),Heat Deg Days Flag,Cool Deg Days (ﾰC),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
1970-01-01,1970,1,1,,-12.8,,-16.7,,-14.8,,32.8,,0,,0,,0,,0,,,,,,,
1970-01-02,1970,1,2,,-10,,-15,,-12.5,,30.5,,0,,0,,0,,0,,,,,,,
1970-01-03,1970,1,3,,-11.1,,-21.1,,-16.1,,34.1,,0,,0,,0,,0,,,,,,,
1970-01-04,1970,1,4,,-14.4,,-26.1,,-20.3,,38.3,,0,,0,,0,,0,,,,,,,
1970-01-05,1970,1,5,,-8.3,,-23.3,,-15.8,,33.8,,0,,0,,2.5,,2.5,,,,,,,
1970-01-06,1970,1,6,,-8.9,,-12.2,,-10.6,,28.6,,0,,0,,0,,0,,,,,,,
1970-01-07,1970,1,7,,-11.1,,-20.6,,-15.9,,33.9,,0,,0,,0,,0,,,,,,,
1970-01-08,1970,1,8,,-8.9,,-21.1,,-15,,33,,0,,0,,0,T,0,T,,,,,,
1970-01-09,1970,1,9,,-11.1,,-13.9,,-12.5,,30.5,,0,,0,,3.8,,3.8,,,,,,,
1970-01-10,1970,1,10,,-10.6,,-13.3,,-12,,30,,0,,0,,1.8,,1.8,,,,,,,
1970-01-11,1970,1,11,,-12.2,,-15,,-13.6,,31.6,,0,,0,,0,,0,,,,,,,
1970-01-12,1970,1,12,,-13.9,,-22.8,,-18.4,,36.4,,0,,0,,0.8,,0.8,,,,,,,
1970-01-13,1970,1,13,,-12.2,,-16.7,,-14.5,,32.5,,0,,0,,0.5,,0.5,,,,,,,
1970-01-14,1970,1,14,,-16.1,,-18.3,,-17.2,,35.2,,0,,0,,0,,0,,,,,,,
1970-01-15,1970,1,15,,-17.8,,-23.3,,-20.6,,38.6,,0,,0,,0,,0,,,,,,,
1970-01-16,1970,1,16,,-6.7,,-20.6,,-13.7,,31.7,,0,,0,,3.6,,3.6,,,,,,,
1970-01-17,1970,1,17,,-3.9,,-13.9,,-8.9,,26.9,,0,,0,,0,,0,,,,,,,
1970-01-18,1970,1,18,,-11.7,,-16.7,,-14.2,,32.2,,0,,0,,0,,0,,,,,,,
1970-01-19,1970,1,19,,-16.1,,-26.7,,-21.4,,39.4,,0,,0,,0,,0,,,,,,,
1970-01-20,1970,1,20,,-18.9,,-26.7,,-22.8,,40.8,,0,,0,,0,,0,,,,,,,
1970-01-21,1970,1,21,,-17.2,,-22.8,,-20,,38,,0,,0,,0.3,,0.3,,,,,,,
1970-01-22,1970,1,22,,-15,,-23.3,,-19.2,,37.2,,0,,0,,2.5,,2.5,,,,,,,
1970-01-23,1970,1,23,,-9.4,,-22.8,,-16.1,,34.1,,0,,0,,2,,2,,,,,,,
1970-01-24,1970,1,24,,-11.7,,-25,,-18.4,,36.4,,0,,0,,0,T,0,T,,,,,,
1970-01-25,1970,1,25,,-7.2,,-18.3,,-12.8,,30.8,,0,,0,,2.5,,2.5,,,,,,,
1970-01-26,1970,1,26,,-3.9,,-12.8,,-8.4,,26.4,,0,,0,,0,,0,,,,,,,
1970-01-27,1970,1,27,,-9.4,,-13.3,,-11.4,,29.4,,0,,0,,0,T,0,T,,,,,,
1970-01-28,1970,1,28,,5,,-13.3,,-4.2,,22.2,,0,,13.7,,0,,13.7,,,,,,,
1970-01-29,1970,1,29,,5.6,,-5,,0.3,,17.7,,0,,0,,0,T,0,T,,,,,,
1970-01-30,1970,1,30,,-10.6,,-13.3,,-12,,30,,0,,0,,0,,0,,,,,,,
1970-01-31,1970,1,31,,1.7,,-14.4,,-6.4,,24.4,,0,,0,,0,T,0,T,,,,,,
1970-02-01,1970,2,1,,3.9,,-6.1,,-1.1,,19.1,,0,,0,,0,,0,,,,,,,
1970-02-02,1970,2,2,,5.6,,0,,2.8,,15.2,,0,,8.1,,0,,8.1,,,,,,,
1970-02-03,1970,2,3,,-2.2,,-11.1,,-6.7,,24.7,,0,,0,,15,,15,,,,,,,
1970-02-04,1970,2,4,,-15.6,,-23.9,,-19.8,,37.8,,0,,0,,0,,0,,,,,,,
1970-02-05,1970,2,5,,-3.9,,-23.3,,-13.6,,31.6,,0,,0,,0,,0,,,,,,,
1970-02-06,1970,2,6,,0,,-7.2,,-3.6,,21.6,,0,,0,,0.3,,0.3,,,,,,,
1970-02-07,1970,2,7,,1.7,,-11.7,,-5,,23,,0,,0,,0,,0,,,,,,,
1970-02-08,1970,2,8,,2.2,,-9.4,,-3.6,,21.6,,0,,0,,0,,0,,,,,,,
1970-02-09,1970,2,9,,2.2,,-10,,-3.9,,21.9,,0,,0,,0,,0,,,,,,,
1970-02-10,1970,2,10,,3.3,,-3.9,,-0.3,,18.3,,0,,2.8,,0,,2.8,,,,,,,
1970-02-11,1970,2,11,,3.9,,0.6,,2.3,,15.7,,0,,0.8,,13.7,,14.5,,,,,,,
1970-02-12,1970,2,12,,-12.2,,-13.9,,-13.1,,31.1,,0,,0,,1.5,,1.5,,,,,,,
1970-02-13,1970,2,13,,-17.8,,-20,,-18.9,,36.9,,0,,0,,0,,0,,,,,,,
1970-02-14,1970,2,14,,-12.2,,-21.1,,-16.7,,34.7,,0,,0,,0,,0,,,,,,,
1970-02-15,1970,2,15,,-8.3,,-20,,-14.2,,32.2,,0,,0,,11.4,,11.4,,,,,,,
1970-02-16,1970,2,16,,-7.2,,-12.2,,-9.7,,27.7,,0,,0,,0,,0,,,,,,,
1970-02-17,1970,2,17,,-1.1,,-13.9,,-7.5,,25.5,,0,,0,,0,,0,,,,,,,
1970-02-18,1970,2,18,,2.8,,-12.2,,-4.7,,22.7,,0,,0,,0.5,,0.5,,,,,,,
1970-02-19,1970,2,19,,-7.2,,-10,,-8.6,,26.6,,0,,0,,0,,0,,,,,,,
1970-02-20,1970,2,20,,-7.2,,-15,,-11.1,,29.1,,0,,0,,0,,0,,,,,,,
1970-02-21,1970,2,21,,-4.4,,-10.6,,-7.5,,25.5,,0,,0,,0.8,,0.8,,,,,,,
1970-02-22,1970,2,22,,2.8,,-9.4,,-3.3,,21.3,,0,,0,,0.5,,0.5,,,,,,,
1970-02-23,1970,2,23,,-11.1,,-15.6,,-13.4,,31.4,,0,,0,,2,,2,,,,,,,
1970-02-24,1970,2,24,,-12.8,,-16.1,,-14.5,,32.5,,0,,0,,5.6,,5.6,,,,,,,
1970-02-25,1970,2,25,,-8.9,,-15,,-12,,30,,0,,0,,0,T,0,T,,,,,,
1970-02-26,1970,2,26,,-14.4,,-21.7,,-18.1,,36.1,,0,,0,,0,,0,,,,,,,
1970-02-27,1970,2,27,,-3.9,,-21.1,,-12.5,,30.5,,0,,0,,5.1,,5.1,,,,,,,
1970-02-28,1970,2,28,,-3.9,,-8.3,,-6.1,,24.1,,0,,0,,0.5,,0.5,,,,,,,
1970-03-01,1970,3,1,,-1.1,,-7.2,,-4.2,,22.2,,0,,,,,,0.3,,,,,,,
1970-03-02,1970,3,2,,-1.7,,-7.8,,-4.8,,22.8,,0,,,,,,0,,,,,,,
1970-03-03,1970,3,3,,-1.1,,-11.1,,-6.1,,24.1,,0,,,,,,0,,,,,,,
1970-03-04,1970,3,4,,0,,-12.8,,-6.4,,24.4,,0,,,,,,7.1,,,,,,,
1970-03-05,1970,3,5,,1.7,,-6.7,,-2.5,,20.5,,0,,,,,,0,,,,,,,
1970-03-06,1970,3,6,,0,,-2.8,,-1.4,,19.4,,0,,,,,,0,,,,,,,
1970-03-07,1970,3,7,,1.7,,-5.6,,-2,,20,,0,,,,,,0.8,,,,,,,
1970-03-08,1970,3,8,,-6.7,,-10,,-8.4,,26.4,,0,,,,,,0,,,,,,,
1970-03-09,1970,3,9,,-5.6,,-13.3,,-9.5,,27.5,,0,,,,,,0.5,,,,,,,
1970-03-10,1970,3,10,,-3.9,,-10,,-7,,25,,0,,,,,,5.6,,,,,,,
1970-03-11,1970,3,11,,-2.2,,-6.7,,-4.5,,22.5,,0,,,,,,0.3,,,,,,,
