Date/Time,Year,Month,Day,Data Quality,Max Temp (ﾰC),Max Temp Flag,Min Temp (ﾰC),Min Temp Flag,Mean Temp (ﾰC),Mean Temp Flag,Heat Deg Days (ﾰC),Heat Deg Days Flag,Cool Deg Days (ﾰC),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
2015-01-01,2015,1,1,ﾆ,,,,,,,,,,,0,,0,,0,,0,,,,,
2015-01-02,2015,1,2,ﾆ,,,,,,,,,,,0,,0,,0,,0,,,,,
2015-01-03,2015,1,3,ﾆ,,,,,,,,,,,8,,5.4,,13.8,,0,,,,,
2015-01-04,2015,1,4,ﾆ,,,,,,,,,,,4.2,,1.5,,5.6,,0,,,,,
2015-01-05,2015,1,5,ﾆ,,,,,,,,,,,0,,0,,0,,2,,,,,
2015-01-06,2015,1,6,ﾆ,,,,,,,,,,,0,,0.6,,0.5,,2,,,,,
2015-01-07,2015,1,7,ﾆ,,,,,,,,,,,0,,0,,0,,1,,,,,
2015-01-08,2015,1,8,ﾆ,,,,,,,,,,,0,,2.4,,1.2,,1,,,,,
2015-01-09,2015,1,9,ﾆ,,,,,,,,,,,0,,1,,1.9,,3,,,,,
2015-01-10,2015,1,10,ﾆ,,,,,,,,,,,0,,0,,0,,3,,,,,
2015-01-11,2015,1,11,ﾆ,,,,,,,,,,,0,,2,,1.8,,2,,,,,
2015-01-12,2015,1,12,ﾆ,,,,,,,,,,,0,,0,T,0.6,,3,,,,,
2015-01-13,2015,1,13,ﾆ,,,,,,,,,,,0,,0,,0,,3,,,,,
2015-01-14,2015,1,14,ﾆ,,,,,,,,,,,0,,0,,0,,2,,,,,
2015-01-15,2015,1,15,ﾆ,,,,,,,,,,,0,,0,,0,,2,,,,,
2015-01-16,2015,1,16,ﾆ,,,,,,,,,,,0,,0,,0,,1,,,,,
2015-01-17,2015,1,17,ﾆ,,,,,,,,,,,0,T,0,,0,T,0,T,,,,
2015-01-18,2015,1,18,ﾆ,,,,,,,,,,,2.2,,0,,2.2,,0,,,,,
2015-01-19,2015,1,19,ﾆ,,,,,,,,,,,0,,0,,0,,0,,,,,
2015-01-20,2015,1,20,ﾆ,,,,,,,,,,,0,,0,,0,,0,,,,,
2015-01-21,2015,1,21,ﾆ,,,,,,,,,,,0,,0,,0,,0,,,,,
2015-01-22,2015,1,22,ﾆ,,,,,,,,,,,0,,0,,0,,0,,,,,
2015-01-23,2015,1,23,ﾆ,,,,,,,,,,,0,,0,T,0,T,0,,,,,
2015-01-24,2015,1,24,ﾆ,,,,,,,,,,,0,,0,T,0,T,0,T,,,,
2015-01-25,2015,1,25,ﾆ,,,,,,,,,,,0,,1,,0.6,,0,,,,,
2015-01-26,2015,1,26,ﾆ,,,,,,,,,,,0,,0,T,0,T,1,,,,,
2015-01-27,2015,1,27,ﾆ,,,,,,,,,,,0,,0,,0,,0,T,,,,
2015-01-28,2015,1,28,ﾆ,,,,,,,,,,,0,,0,,0,,0,,,,,
2015-01-29,2015,1,29,ﾆ,,,,,,,,,,,0,,7,,8.2,,0,,,,,
2015-01-30,2015,1,30,ﾆ,,,,,,,,,,,0,,0,T,0,T,7,,,,,
2015-01-31,2015,1,31,ﾆ,,,,,,,,,,,0,,0,T,0,T,7,,,,,
2015-02-01,2015,2,1,ﾆ,,,,,,,,,,,0,,16,,14,,7,,,,,
2015-02-02,2015,2,2,ﾆ,,,,,,,,,,,0,,2,,1.8,,21,,,,,
2015-02-03,2015,2,3,ﾆ,,,,,,,,,,,0,,1,,0.8,,20,,,,,
2015-02-04,2015,2,4,ﾆ,,,,,,,,,,,0,,0,,0,,19,,,,,
2015-02-05,2015,2,5,ﾆ,,,,,,,,,,,0,,0,,0,,19,,,,,
2015-02-06,2015,2,6,ﾆ,,,,,,,,,,,0,,2,,2.8,,18,,,,,
2015-02-07,2015,2,7,ﾆ,,,,,,,,,,,0,,5,,6.8,,19,,,,,
2015-02-08,2015,2,8,ﾆ,,,,,,,,,,,0,,0.5,,0.2,,23,,,,,
2015-02-09,2015,2,9,ﾆ,,,,,,,,,,,0,,0,,0,,22,,,,,
2015-02-10,2015,2,10,ﾆ,,,,,,,,,,,0,,0,,0,,21,,,,,
2015-02-11,2015,2,11,ﾆ,,,,,,,,,,,0,,2.5,,2.1,,19,,,,,
2015-02-12,2015,2,12,ﾆ,,,,,,,,,,,0,,0,,0,,20,,,,,
2015-02-13,2015,2,13,ﾆ,,,,,,,,,,,0,,0.5,,1.8,,18,,,,,
2015-02-14,2015,2,14,ﾆ,,,,,,,,,,,0,,0,,0,,17,,,,,
2015-02-15,2015,2,15,ﾆ,,,,,,,,,,,0,,0,,0,,17,,,,,
2015-02-16,2015,2,16,ﾆ,,,,,,,,,,,0,,0,,0,,17,,,,,
2015-02-17,2015,2,17,ﾆ,,,,,,,,,,,0,,0.8,,0.4,,17,,,,,
2015-02-18,2015,2,18,ﾆ,,,,,,,,,,,0,,1,,0.6,,18,,,,,
2015-02-19,2015,2,19,ﾆ,,,,,,,,,,,0,,0,,0,,18,,,,,
2015-02-20,2015,2,20,ﾆ,,,,,,,,,,,0,,8,,5.2,,18,,,,,
2015-02-21,2015,2,21,ﾆ,,,,,,,,,,,0,,3.6,,3.6,,26,,,,,
2015-02-22,2015,2,22,ﾆ,,,,,,,,,,,0,,0,T,0,T,27,,,,,
2015-02-23,2015,2,23,ﾆ,,,,,,,,,,,0,,0,,0,,27,,,,,
2015-02-24,2015,2,24,ﾆ,,,,,,,,,,,0,,1.8,,1.5,,27,,,,,
2015-02-25,2015,2,25,ﾆ,,,,,,,,,,,0,,0,,0,,28,,,,,
2015-02-26,2015,2,26,ﾆ,,,,,,,,,,,0,,0,,0,,28,,,,,
2015-02-27,2015,2,27,ﾆ,,,,,,,,,,,0,,0,,0,,26,,,,,
2015-02-28,2015,2,28,ﾆ,,,,,,,,,,,0,,0,T,0,T,24,,,,,
2015-03-01,2015,3,1,ﾆ,,,,,,,,,,,0,,0,,0,,23,,,,,
2015-03-02,2015,3,2,ﾆ,,,,,,,,,,,0,,0.5,,0.4,,22,,,,,
2015-03-03,2015,3,3,ﾆ,,,,,,,,,,,0.3,,5,,6.4,,22,,,,,
2015-03-04,2015,3,4,ﾆ,,,,,,,,,,,0,,0,T,0,T,25,,,,,
2015-03-05,2015,3,5,ﾆ,,,,,,,,,,,0,,0,,0,,25,,,,,
2015-03-06,2015,3,6,ﾆ,,,,,,,,,,,0,,0,,0,,24,,,,,
2015-03-07,2015,3,7,ﾆ,,,,,,,,,,,0,,0,T,0,T,23,,,,,
2015-03-08,2015,3,8,ﾆ,,,,,,,,,,,0,,0,,0,,23,,,,,
2015-03-09,2015,3,9,ﾆ,,,,,,,,,,,0,,0,,0,,21,,,,,
2015-03-10,2015,3,10,ﾆ,,,,,,,,,,,0,,0,,0,,19,,,,,
2015-03-11,2015,3,11,ﾆ,,,,,,,,,,,0,,0,,0,,16,,,,,
2015-03-12,2015,3,12,ﾆ,,,,,,,,,,,0,,0,,0,,13,,,,,
2015-03-13,2015,3,13,ﾆ,,,,,,,,,,,0.4,,0,,0.4,,10,,,,,
2015-03-14,2015,3,14,ﾆ,,,,,,,,,,,0,,0,,0,,7,,,,,
2015-03-15,2015,3,15,ﾆ,,,,,,,,,,,0,,0,,0,,4,,,,,
2015-03-16,2015,3,16,ﾆ,,,,,,,,,,,3.1,,0,,3.1,,3,,,,,
2015-03-17,2015,3,17,ﾆ,,,,,,,,,,,0,,0,,0,,0,T,,,,
2015-03-18,2015,3,18,ﾆ,,,,,,,,,,,0,,0,,0,,0,T,,,,
2015-03-19,2015,3,19,ﾆ,,,,,,,,,,,0,,0,,0,,0,,,,,
2015-03-20,2015,3,20,ﾆ,,,,,,,,,,,4.4,,0,,4.4,,0,,,,,
2015-03-21,2015,3,21,ﾆ,,,,,,,,,,,0.2,,0,,0.2,,0,,,,,
2015-03-22,2015,3,22,ﾆ,,,,,,,,,,,0,,0,,0,,0,,,,,
2015-03-23,2015,3,23,ﾆ,,,,,,,,,,,0.2,,0,,0.2,,0,,,,,
2015-03-24,2015,3,24,ﾆ,,,,,,,,,,,0,T,0,,0,T,0,,,,,
2015-03-25,2015,3,25,ﾆ,,,,,,,,,,,4.3,,0,,4.3,,0,,,,,
2015-03-26,2015,3,26,ﾆ,,,,,,,,,,,2.7,,0,T,3,,0,,,,,
2015-03-27,2015,3,27,ﾆ,,,,,,,,,,,0,,0,,0,,0,,,,,
2015-03-28,2015,3,28,ﾆ,,,,,,,,,,,0,,0,,0,,0,,,,,
2015-03-29,2015,3,29,ﾆ,,,,,,,,,,,0.7,,0,,0.7,,0,,,,,
2015-03-30,2015,3,30,ﾆ,,,,,,,,,,,0,,0,,0,,0,,,,,
2015-03-31,2015,3,31,ﾆ,,,,,,,,,,,0,,0,,0,,0,,,,,
2015-04-01,2015,4,1,ﾆ,,,,,,,,,,,0,,0,,0,,0,,,,,
2015-04-02,2015,4,2,ﾆ,,,,,,,,,,,5.2,,0,,5.2,,0,,,,,
2015-04-03,2015,4,3,ﾆ,,,,,,,,,,,1.4,,0,,1.4,,0,,,,,
2015-04-04,2015,4,4,ﾆ,,,,,,,,,,,0,,1,,0.8,,0,,,,,
2015-04-05,2015,4,5,ﾆ,,,,,,,,,,,0,,0,T,0,T,0,T,,,,
2015-04-06,2015,4,6,ﾆ,,,,,,,,,,,0,,0,,0,,0,,,,,
2015-04-07,2015,4,7,ﾆ,,,,,,,,,,,7.1,,0,,7.1,,0,,,,,
2015-04-08,2015,4,8,ﾆ,,,,,,,,,,,12.4,,0,,12.4,,0,,,,,
2015-04-09,2015,4,9,ﾆ,,,,,,,,,,,11.2,,0,,11.2,,0,,,,,
2015-04-10,2015,4,10,ﾆ,,,,,,,,,,,0,,0,,0,,0,,,,,
2015-04-11,2015,4,11,ﾆ,,,,,,,,,,,0,,0,,0,,0,,,,,
2015-04-12,2015,4,12,ﾆ,,,,,,,,,,,3.8,,0,,3.8,,0,,,,,
2015-04-13,2015,4,13,ﾆ,,,,,,,,,,,0.2,,0,,0.2,,0,,,,,
2015-04-14,2015,4,14,ﾆ,,,,,,,,,,,0,,0,,0,,0,,,,,
2015-04-15,2015,4,15,,,,,,,,,,,,,,,,,,,,,,,
2015-04-16,2015,4,16,,,,,,,,,,,,,,,,,,,,,,,
2015-04-17,2015,4,17,,,,,,,,,,,,,,,,,,,,,,,
2015-04-18,2015,4,18,,,,,,,,,,,,,,,,,,,,,,,
2015-04-19,2015,4,19,,,,,,,,,,,,,,,,,,,,,,,
2015-04-20,2015,4,20,,,,,,,,,,,,,,,,,,,,,,,
2015-04-21,2015,4,21,,,,,,,,,,,,,,,,,,,,,,,
2015-04-22,2015,4,22,,,,,,,,,,,,,,,,,,,,,,,
2015-04-23,2015,4,23,,,,,,,,,,,,,,,,,,,,,,,
2015-04-24,2015,4,24,,,,,,,,,,,,,,,,,,,,,,,
2015-04-25,2015,4,25,,,,,,,,,,,,,,,,,,,,,,,
2015-04-26,2015,4,26,,,,,,,,,,,,,,,,,,,,,,,
2015-04-27,2015,4,27,,,,,,,,,,,,,,,,,,,,,,,
2015-04-28,2015,4,28,,,,,,,,,,,,,,,,,,,,,,,
2015-04-29,2015,4,29,,,,,,,,,,,,,,,,,,,,,,,
2015-04-30,2015,4,30,,,,,,,,,,,,,,,,,,,,,,,
2015-05-01,2015,5,1,,,,,,,,,,,,,,,,,,,,,,,
2015-05-02,2015,5,2,,,,,,,,,,,,,,,,,,,,,,,
2015-05-03,2015,5,3,,,,,,,,,,,,,,,,,,,,,,,
2015-05-04,2015,5,4,,,,,,,,,,,,,,,,,,,,,,,
2015-05-05,2015,5,5,,,,,,,,,,,,,,,,,,,,,,,
2015-05-06,2015,5,6,,,,,,,,,,,,,,,,,,,,,,,
2015-05-07,2015,5,7,,,,,,,,,,,,,,,,,,,,,,,
2015-05-08,2015,5,8,,,,,,,,,,,,,,,,,,,,,,,
2015-05-09,2015,5,9,,,,,,,,,,,,,,,,,,,,,,,
2015-05-10,2015,5,10,,,,,,,,,,,,,,,,,,,,,,,
2015-05-11,2015,5,11,,,,,,,,,,,,,,,,,,,,,,,
2015-05-12,2015,5,12,,,,,,,,,,,,,,,,,,,,,,,
2015-05-13,2015,5,13,,,,,,,,,,,,,,,,,,,,,,,
2015-05-14,2015,5,14,,,,,,,,,,,,,,,,,,,,,,,
2015-05-15,2015,5,15,,,,,,,,,,,,,,,,,,,,,,,
2015-05-16,2015,5,16,,,,,,,,,,,,,,,,,,,,,,,
2015-05-17,2015,5,17,,,,,,,,,,,,,,,,,,,,,,,
2015-05-18,2015,5,18,,,,,,,,,,,,,,,,,,,,,,,
2015-05-19,2015,5,19,,,,,,,,,,,,,,,,,,,,,,,
2015-05-20,2015,5,20,,,,,,,,,,,,,,,,,,,,,,,
2015-05-21,2015,5,21,,,,,,,,,,,,,,,,,,,,,,,
2015-05-22,2015,5,22,,,,,,,,,,,,,,,,,,,,,,,
2015-05-23,2015,5,23,,,,,,,,,,,,,,,,,,,,,,,
2015-05-24,2015,5,24,,,,,,,,,,,,,,,,,,,,,,,
2015-05-25,2015,5,25,,,,,,,,,,,,,,,,,,,,,,,
2015-05-26,2015,5,26,,,,,,,,,,,,,,,,,,,,,,,
2015-05-27,2015,5,27,,,,,,,,,,,,,,,,,,,,,,,
2015-05-28,2015,5,28,,,,,,,,,,,,,,,,,,,,,,,
2015-05-29,2015,5,29,,,,,,,,,,,,,,,,,,,,,,,
2015-05-30,2015,5,30,,,,,,,,,,,,,,,,,,,,,,,
2015-05-31,2015,5,31,,,,,,,,,,,,,,,,,,,,,,,
2015-06-01,2015,6,1,,,,,,,,,,,,,,,,,,,,,,,
2015-06-02,2015,6,2,,,,,,,,,,,,,,,,,,,,,,,
2015-06-03,2015,6,3,,,,,,,,,,,,,,,,,,,,,,,
2015-06-04,2015,6,4,,,,,,,,,,,,,,,,,,,,,,,
2015-06-05,2015,6,5,,,,,,,,,,,,,,,,,,,,,,,
2015-06-06,2015,6,6,,,,,,,,,,,,,,,,,,,,,,,
2015-06-07,2015,6,7,,,,,,,,,,,,,,,,,,,,,,,
2015-06-08,2015,6,8,,,,,,,,,,,,,,,,,,,,,,,
2015-06-09,2015,6,9,,,,,,,,,,,,,,,,,,,,,,,
2015-06-10,2015,6,10,,,,,,,,,,,,,,,,,,,,,,,
2015-06-11,2015,6,11,,,,,,,,,,,,,,,,,,,,,,,
2015-06-12,2015,6,12,,,,,,,,,,,,,,,,,,,,,,,
2015-06-13,2015,6,13,,,,,,,,,,,,,,,,,,,,,,,
2015-06-14,2015,6,14,,,,,,,,,,,,,,,,,,,,,,,
2015-06-15,2015,6,15,,,,,,,,,,,,,,,,,,,,,,,
2015-06-16,2015,6,16,,,,,,,,,,,,,,,,,,,,,,,
2015-06-17,2015,6,17,,,,,,,,,,,,,,,,,,,,,,,
2015-06-18,2015,6,18,,,,,,,,,,,,,,,,,,,,,,,
2015-06-19,2015,6,19,,,,,,,,,,,,,,,,,,,,,,,
2015-06-20,2015,6,20,,,,,,,,,,,,,,,,,,,,,,,
2015-06-21,2015,6,21,,,,,,,,,,,,,,,,,,,,,,,
2015-06-22,2015,6,22,,,,,,,,,,,,,,,,,,,,,,,
2015-06-23,2015,6,23,,,,,,,,,,,,,,,,,,,,,,,
2015-06-24,2015,6,24,,,,,,,,,,,,,,,,,,,,,,,
2015-06-25,2015,6,25,,,,,,,,,,,,,,,,,,,,,,,
2015-06-26,2015,6,26,,,,,,,,,,,,,,,,,,,,,,,
2015-06-27,2015,6,27,,,,,,,,,,,,,,,,,,,,,,,
2015-06-28,2015,6,28,,,,,,,,,,,,,,,,,,,,,,,
2015-06-29,2015,6,29,,,,,,,,,,,,,,,,,,,,,,,
2015-06-30,2015,6,30,,,,,,,,,,,,,,,,,,,,,,,
2015-07-01,2015,7,1,,,,,,,,,,,,,,,,,,,,,,,
2015-07-02,2015,7,2,,,,,,,,,,,,,,,,,,,,,,,
2015-07-03,2015,7,3,,,,,,,,,,,,,,,,,,,,,,,
2015-07-04,2015,7,4,,,,,,,,,,,,,,,,,,,,,,,
2015-07-05,2015,7,5,,,,,,,,,,,,,,,,,,,,,,,
2015-07-06,2015,7,6,,,,,,,,,,,,,,,,,,,,,,,
2015-07-07,2015,7,7,,,,,,,,,,,,,,,,,,,,,,,
2015-07-08,2015,7,8,,,,,,,,,,,,,,,,,,,,,,,
2015-07-09,2015,7,9,,,,,,,,,,,,,,,,,,,,,,,
2015-07-10,2015,7,10,,,,,,,,,,,,,,,,,,,,,,,
2015-07-11,2015,7,11,,,,,,,,,,,,,,,,,,,,,,,
2015-07-12,2015,7,12,,,,,,,,,,,,,,,,,,,,,,,
2015-07-13,2015,7,13,,,,,,,,,,,,,,,,,,,,,,,
2015-07-14,2015,7,14,,,,,,,,,,,,,,,,,,,,,,,
2015-07-15,2015,7,15,,,,,,,,,,,,,,,,,,,,,,,
2015-07-16,2015,7,16,,,,,,,,,,,,,,,,,,,,,,,
2015-07-17,2015,7,17,,,,,,,,,,,,,,,,,,,,,,,
2015-07-18,2015,7,18,,,,,,,,,,,,,,,,,,,,,,,
2015-07-19,2015,7,19,,,,,,,,,,,,,,,,,,,,,,,
2015-07-20,2015,7,20,,,,,,,,,,,,,,,,,,,,,,,
2015-07-21,2015,7,21,,,,,,,,,,,,,,,,,,,,,,,
2015-07-22,2015,7,22,,,,,,,,,,,,,,,,,,,,,,,
2015-07-23,2015,7,23,,,,,,,,,,,,,,,,,,,,,,,
2015-07-24,2015,7,24,,,,,,,,,,,,,,,,,,,,,,,
2015-07-25,2015,7,25,,,,,,,,,,,,,,,,,,,,,,,
2015-07-26,2015,7,26,,,,,,,,,,,,,,,,,,,,,,,
2015-07-27,2015,7,27,,,,,,,,,,,,,,,,,,,,,,,
2015-07-28,2015,7,28,,,,,,,,,,,,,,,,,,,,,,,
2015-07-29,2015,7,29,,,,,,,,,,,,,,,,,,,,,,,
2015-07-30,2015,7,30,,,,,,,,,,,,,,,,,,,,,,,
2015-07-31,2015,7,31,,,,,,,,,,,,,,,,,,,,,,,
2015-08-01,2015,8,1,,,,,,,,,,,,,,,,,,,,,,,
2015-08-02,2015,8,2,,,,,,,,,,,,,,,,,,,,,,,
2015-08-03,2015,8,3,,,,,,,,,,,,,,,,,,,,,,,
2015-08-04,2015,8,4,,,,,,,,,,,,,,,,,,,,,,,
2015-08-05,2015,8,5,,,,,,,,,,,,,,,,,,,,,,,
2015-08-06,2015,8,6,,,,,,,,,,,,,,,,,,,,,,,
2015-08-07,2015,8,7,,,,,,,,,,,,,,,,,,,,,,,
2015-08-08,2015,8,8,,,,,,,,,,,,,,,,,,,,,,,
2015-08-09,2015,8,9,,,,,,,,,,,,,,,,,,,,,,,
2015-08-10,2015,8,10,,,,,,,,,,,,,,,,,,,,,,,
2015-08-11,2015,8,11,,,,,,,,,,,,,,,,,,,,,,,
2015-08-12,2015,8,12,,,,,,,,,,,,,,,,,,,,,,,
2015-08-13,2015,8,13,,,,,,,,,,,,,,,,,,,,,,,
2015-08-14,2015,8,14,,,,,,,,,,,,,,,,,,,,,,,
2015-08-15,2015,8,15,,,,,,,,,,,,,,,,,,,,,,,
2015-08-16,2015,8,16,,,,,,,,,,,,,,,,,,,,,,,
2015-08-17,2015,8,17,,,,,,,,,,,,,,,,,,,,,,,
2015-08-18,2015,8,18,,,,,,,,,,,,,,,,,,,,,,,
2015-08-19,2015,8,19,,,,,,,,,,,,,,,,,,,,,,,
2015-08-20,2015,8,20,,,,,,,,,,,,,,,,,,,,,,,
2015-08-21,2015,8,21,,,,,,,,,,,,,,,,,,,,,,,
2015-08-22,2015,8,22,,,,,,,,,,,,,,,,,,,,,,,
2015-08-23,2015,8,23,,,,,,,,,,,,,,,,,,,,,,,
2015-08-24,2015,8,24,,,,,,,,,,,,,,,,,,,,,,,
2015-08-25,2015,8,25,,,,,,,,,,,,,,,,,,,,,,,
