Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
2003-01-01,2003,01,01,,2.4,,-14.6,,-6.1,,24.1,,0.0,,0.0,,0.0,,0.0,,10,,22,E,50,E
2003-01-02,2003,01,02,,8.6,,-6.8,,0.9,,17.1,,0.0,,0.0,,0.0,,0.0,,5,,31,E,52,E
2003-01-03,2003,01,03,,5.8,,-6.7,,-0.5,,18.5,,0.0,,0.0,,0.0,T,0.0,T,6,,27,E,69,E
2003-01-04,2003,01,04,,6.7,,-5.4,,0.7,,17.3,,0.0,,0.0,,0.0,,0.0,,5,,28,E,52,E
2003-01-05,2003,01,05,,9.1,,-0.2,,4.5,,13.5,,0.0,,0.2,,0.0,,0.2,,3,,30,E,46,E
2003-01-06,2003,01,06,,16.3,,0.4,,8.4,,9.6,,0.0,,0.0,,0.0,,0.0,,0,T,25,E,56,E
2003-01-07,2003,01,07,,17.6,,1.4,,9.5,,8.5,,0.0,,0.0,,0.0,,0.0,,0,T,28,E,59,E
2003-01-08,2003,01,08,,10.4,,-5.1,,2.7,,15.3,,0.0,,0.0,,0.0,,0.0,,0,,33,E,44,E
2003-01-09,2003,01,09,,-4.1,,-13.2,,-8.7,,26.7,,0.0,,0.0,,0.0,,0.0,,0,,33,E,33,E
2003-01-10,2003,01,10,,-3.4,,-16.8,,-10.1,,28.1,,0.0,,0.0,,0.0,,0.0,,0,,,,<31,
2003-01-11,2003,01,11,,8.3,,-16.4,,-4.1,,22.1,,0.0,,0.0,,0.0,,0.0,,0,,28,E,48,E
2003-01-12,2003,01,12,,-13.6,,-17.4,,-15.5,,33.5,,0.0,,0.0,,0.0,T,0.0,T,0,,,,<31,
2003-01-13,2003,01,13,,-4.6,,-19.3,,-12.0,,30.0,,0.0,,0.0,,2.0,,1.0,,2,,,,<31,
2003-01-14,2003,01,14,,-12.1,,-16.8,,-14.5,,32.5,,0.0,,0.0,,1.0,,0.8,,2,,,,<31,
2003-01-15,2003,01,15,,2.2,,-16.4,,-7.1,,25.1,,0.0,,0.0,,0.4,,0.2,,3,,,,<31,
2003-01-16,2003,01,16,,4.5,,-15.3,,-5.4,,23.4,,0.0,,0.0,,0.0,,0.0,,2,,,,<31,
2003-01-17,2003,01,17,,3.0,,-11.6,,-4.3,,22.3,,0.0,,0.0,,0.0,,0.0,,1,,,,<31,
2003-01-18,2003,01,18,,6.2,,-3.6,,1.3,,16.7,,0.0,,0.0,T,0.0,,0.0,T,0,T,32,E,39,E
2003-01-19,2003,01,19,,8.7,,-8.2,,0.3,,17.7,,0.0,,0.0,T,0.0,T,0.0,T,0,T,27,E,37,E
2003-01-20,2003,01,20,,-8.1,,-16.7,,-12.4,,30.4,,0.0,,0.2,,2.0,,0.8,,0,T,,,<31,
2003-01-21,2003,01,21,,-16.7,,-24.3,,-20.5,,38.5,,0.0,,0.0,,3.8,,0.6,,2,,,,<31,
2003-01-22,2003,01,22,,-19.9,,-26.9,,-23.4,,41.4,,0.0,,0.0,,2.2,,1.2,,5,,,,<31,
2003-01-23,2003,01,23,,-17.5,,-23.2,,-20.4,,38.4,,0.0,,0.0,,1.0,,0.4,,3,,17,E,33,E
2003-01-24,2003,01,24,,-19.2,,-22.9,,-21.1,,39.1,,0.0,,0.0,,0.0,,0.0,,4,,,,<31,
2003-01-25,2003,01,25,,-20.3,,-23.3,,-21.8,,39.8,,0.0,,0.0,,0.0,T,0.0,T,3,,18,E,41,E
2003-01-26,2003,01,26,,11.9,,-20.5,,-4.3,,22.3,,0.0,,0.0,,0.0,,0.0,,3,,25,E,46,E
2003-01-27,2003,01,27,,7.9,,-9.0,,-0.6,,18.6,,0.0,,0.0,,0.0,,0.0,,0,T,26,E,48,E
2003-01-28,2003,01,28,,-8.9,,-15.3,,-12.1,,30.1,,0.0,,0.0,,3.4,,0.4,,0,T,,,<31,
2003-01-29,2003,01,29,,4.6,,-15.5,,-5.5,,23.5,,0.0,,0.0,,0.0,,0.0,,3,,,,<31,
