Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
1932-01-01,1932,01,01,,-2.8,,-8.9,,-5.9,,23.9,,0.0,,0.0,,0.0,T,0.0,T,,,,,,
1932-01-02,1932,01,02,,-0.6,,-5.0,,-2.8,,20.8,,0.0,,0.0,,20.1,,20.1,,,,,,,
1932-01-03,1932,01,03,,2.2,,-3.3,,-0.6,,18.6,,0.0,,0.0,,2.5,,2.5,,,,,,,
1932-01-04,1932,01,04,,-5.6,,-15.6,,-10.6,,28.6,,0.0,,0.0,,0.0,T,0.0,T,,,,,,
1932-01-05,1932,01,05,,-1.1,,-7.2,,-4.2,,22.2,,0.0,,0.0,,0.0,T,0.0,T,,,,,,
1932-01-06,1932,01,06,,6.1,,-2.8,,1.7,,16.3,,0.0,,9.7,,0.8,,10.4,,,,,,,
1932-01-07,1932,01,07,,3.9,,1.1,,2.5,,15.5,,0.0,,0.0,,0.0,,0.0,,,,,,,
1932-01-08,1932,01,08,,2.8,,0.0,,1.4,,16.6,,0.0,,0.0,,0.0,T,0.0,T,,,,,,
1932-01-09,1932,01,09,,3.3,,-2.8,,0.3,,17.7,,0.0,,0.0,,0.0,,0.0,,,,,,,
1932-01-10,1932,01,10,,-6.7,,-12.2,,-9.5,,27.5,,0.0,,0.0,,0.0,,0.0,,,,,,,
1932-01-11,1932,01,11,,-10.0,,-20.0,,-15.0,,33.0,,0.0,,0.0,,0.0,,0.0,,,,,,,
1932-01-12,1932,01,12,,6.1,,-15.0,,-4.5,,22.5,,0.0,,0.0,,0.0,,0.0,,,,,,,
1932-01-13,1932,01,13,,10.6,,3.9,,7.3,,10.7,,0.0,,16.8,,0.0,,16.8,,,,,,,
1932-01-14,1932,01,14,,12.2,,4.4,,8.3,,9.7,,0.0,,0.3,,0.0,,0.3,,,,,,,
1932-01-15,1932,01,15,,4.4,,0.6,,2.5,,15.5,,0.0,,10.4,,0.0,,10.4,,,,,,,
1932-01-16,1932,01,16,,-0.6,,-6.1,,-3.4,,21.4,,0.0,,0.0,,0.0,,0.0,,,,,,,
1932-01-17,1932,01,17,,2.2,,-8.3,,-3.1,,21.1,,0.0,,6.4,,1.3,,7.6,,,,,,,
1932-01-18,1932,01,18,,2.8,,-2.2,,0.3,,17.7,,0.0,,1.5,,0.8,,2.3,,,,,,,
1932-01-19,1932,01,19,,2.2,,-11.1,,-4.5,,22.5,,0.0,,0.0,,0.0,T,0.0,T,,,,,,
1932-01-20,1932,01,20,,3.9,,-5.0,,-0.6,,18.6,,0.0,,0.0,,1.8,,1.8,,,,,,,
1932-01-21,1932,01,21,,-5.6,,-13.9,,-9.8,,27.8,,0.0,,0.0,,0.8,,0.8,,,,,,,
1932-01-22,1932,01,22,,1.1,,-10.0,,-4.5,,22.5,,0.0,,0.0,,1.0,,1.0,,,,,,,
1932-01-23,1932,01,23,,-3.9,,-11.7,,-7.8,,25.8,,0.0,,0.0,,3.6,,3.6,,,,,,,
1932-01-24,1932,01,24,,1.7,,-6.7,,-2.5,,20.5,,0.0,,0.0,,1.8,,1.8,,,,,,,
1932-01-25,1932,01,25,,2.8,,-2.8,,0.0,,18.0,,0.0,,0.0,,0.5,,0.5,,,,,,,
1932-01-26,1932,01,26,,4.4,,-7.2,,-1.4,,19.4,,0.0,,0.0,,0.0,,0.0,,,,,,,
1932-01-27,1932,01,27,,2.8,,0.6,,1.7,,16.3,,0.0,,2.3,,15.5,,17.8,,,,,,,
1932-01-28,1932,01,28,,-4.4,,-9.4,,-6.9,,24.9,,0.0,,0.0,,0.0,,0.0,,,,,,,
1932-01-29,1932,01,29,,2.2,,-12.2,,-5.0,,23.0,,0.0,,0.3,,0.0,,0.3,,,,,,,
1932-01-30,1932,01,30,,4.4,,-3.3,,0.6,,17.4,,0.0,,5.3,,0.0,,5.3,,,,,,,
1932-01-31,1932,01,31,,-8.3,,-12.8,,-10.6,,28.6,,0.0,,0.0,,0.3,,0.3,,,,,,,
