Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
1933-01-01,1933,01,01,,-1.1,,-15.0,,-8.1,,26.1,,0.0,,0.0,,0.0,T,0.0,T,,,,,,
1933-01-02,1933,01,02,,3.3,,-2.2,,0.6,,17.4,,0.0,,0.0,,0.0,,0.0,,,,,,,
1933-01-03,1933,01,03,,5.6,,-1.1,,2.3,,15.7,,0.0,,0.0,,0.0,,0.0,,,,,,,
1933-01-04,1933,01,04,,7.8,,2.8,,5.3,,12.7,,0.0,,0.0,,0.0,,0.0,,,,,,,
1933-01-05,1933,01,05,,3.9,,-0.6,,1.7,,16.3,,0.0,,0.0,,0.0,,0.0,,,,,,,
1933-01-06,1933,01,06,,7.8,,-0.6,,3.6,,14.4,,0.0,,0.0,,0.0,,0.0,,,,,,,
1933-01-07,1933,01,07,,6.1,,-4.4,,0.9,,17.1,,0.0,,0.0,,0.0,T,0.0,T,,,,,,
1933-01-08,1933,01,08,,3.3,,-7.2,,-2.0,,20.0,,0.0,,0.0,,0.5,,0.5,,,,,,,
1933-01-09,1933,01,09,,2.8,,-1.1,,0.9,,17.1,,0.0,,1.3,,0.8,,2.0,,,,,,,
1933-01-10,1933,01,10,,7.8,,-2.2,,2.8,,15.2,,0.0,,0.0,,0.0,T,0.0,T,,,,,,
1933-01-11,1933,01,11,,9.4,,-1.7,,3.9,,14.1,,0.0,,0.5,,0.0,T,0.5,,,,,,,
1933-01-12,1933,01,12,,-3.3,,-7.8,,-5.6,,23.6,,0.0,,0.0,,0.0,T,0.0,T,,,,,,
