EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2004-1-1,3,1,0,-2,-4,-6,80,66,60,1030,1026,1022,14,14,14,29,19,47,0.00,5,,257<br />
2004-1-2,8,4,1,6,3,-2,100,96,70,1020,1014,1009,14,5,1,29,13,35,0.00,7,Rain,96<br />
2004-1-3,12,8,5,10,6,-1,100,94,57,1014,1007,1004,14,5,0,32,16,,0.00,6,Rain,182<br />
2004-1-4,6,2,-1,0,-4,-8,86,65,55,1021,1017,1014,14,13,2,45,23,50,0.00,4,Snow,7<br />
2004-1-5,-1,-3,-5,-3,-6,-9,93,83,64,1017,1013,1011,14,5,1,40,26,48,0.00,7,Snow,24<br />
2004-1-6,-3,-7,-11,-7,-12,-17,86,72,49,1022,1019,1016,14,12,2,60,39,74,0.00,4,Snow,261<br />
2004-1-7,-6,-9,-11,-10,-13,-15,86,73,54,1024,1021,1019,14,11,1,61,42,72,0.00,3,Snow,270<br />
2004-1-8,-3,-8,-13,-8,-12,-19,92,76,62,1029,1025,1023,14,12,5,34,11,40,0.00,5,Snow,4<br />
2004-1-9,-15,-18,-21,-19,-26,-29,78,56,39,1036,1034,1030,14,14,14,24,19,34,0.00,0,,16<br />
2004-1-10,-8,-14,-20,-12,-24,-28,73,51,37,1036,1033,1028,14,14,14,34,14,,0.00,1,,287<br />
2004-1-11,0,-4,-8,0,-4,-11,100,87,74,1027,1014,1009,14,6,1,55,37,63,0.00,7,Snow,231<br />
2004-1-12,0,-1,-1,0,-2,-5,100,89,69,1016,1012,1008,14,7,1,37,13,,0.00,7,Rain-Snow,295<br />
2004-1-13,1,-9,-19,0,-8,-30,93,77,39,1028,1015,1008,14,9,1,47,35,63,0.00,6,Snow,308<br />
2004-1-14,-10,-16,-21,-13,-18,-30,92,76,42,1028,1017,1011,14,3,0,39,19,52,0.00,8,Snow,65<br />
2004-1-15,-13,-17,-21,-15,-22,-30,92,73,42,1025,1018,1012,14,8,1,34,24,47,0.00,5,Snow,5<br />
2004-1-16,-9,-15,-21,-15,-19,-27,79,68,52,1026,1024,1023,14,14,10,39,19,53,0.00,2,Snow,290<br />
2004-1-17,-3,-9,-14,-4,-9,-17,93,86,73,1026,1015,1003,14,8,1,19,10,,0.00,6,Snow,233<br />
2004-1-18,-2,-6,-10,-3,-8,-14,93,77,59,1007,1002,1000,14,12,2,39,23,53,0.00,4,Snow,271<br />
2004-1-19,-8,-11,-13,-14,-15,-17,79,70,58,1016,1011,1007,14,14,14,29,18,45,0.00,6,,318<br />
2004-1-20,-10,-12,-13,-14,-16,-18,85,73,62,1025,1021,1016,14,14,8,32,18,40,0.00,5,Snow,316<br />
2004-1-21,-2,-8,-14,-3,-9,-17,93,82,46,1025,1013,1005,14,7,1,55,24,63,0.00,7,Snow,236<br />
2004-1-22,0,-6,-12,-2,-9,-17,93,77,53,1014,1004,999,14,7,0,61,40,84,0.00,5,Snow,271<br />
2004-1-23,-11,-13,-14,-14,-16,-20,92,73,48,1016,1013,1012,14,9,2,42,27,58,0.00,4,Snow,278<br />
2004-1-24,-12,-14,-17,-15,-21,-25,79,61,44,1026,1017,1011,14,14,3,29,14,39,0.00,1,Snow,330<br />
2004-1-25,-9,-14,-19,-11,-15,-23,93,76,56,1029,1026,1025,14,10,1,23,8,,0.00,4,Snow,50<br />
2004-1-26,-7,-10,-12,-8,-12,-17,100,87,62,1028,1023,1016,14,2,0,66,43,77,0.00,7,Snow,68<br />
2004-1-27,-1,-3,-6,-1,-5,-8,100,90,69,1017,1009,1002,14,4,0,69,43,76,0.00,7,Rain-Snow,81<br />
2004-1-28,-3,-4,-5,-5,-8,-11,93,79,63,1011,1006,1002,14,11,2,50,26,58,0.00,7,Snow,270<br />
2004-1-29,-5,-8,-11,-9,-13,-15,80,74,68,1013,1011,1008,14,12,2,50,42,63,0.00,3,Snow,262<br />
2004-1-30,-7,-9,-11,-10,-12,-14,86,79,73,1010,1005,1003,14,9,1,52,37,61,0.00,7,Snow,274<br />
2004-1-31,-5,-9,-12,-10,-13,-16,80,72,63,1025,1015,1007,14,14,14,27,14,37,0.00,7,Snow,304<br />
2004-2-1,-3,-7,-9,-10,-11,-12,86,72,59,1034,1032,1026,14,14,8,16,11,,0.00,2,,325<br />
2004-2-2,1,-4,-9,-1,-4,-12,93,86,74,1034,1029,1021,14,14,13,42,19,53,0.00,6,Snow,72<br />
2004-2-3,2,1,0,2,0,-3,100,93,75,1020,1013,1010,14,7,1,27,14,34,0.00,7,Rain-Snow,134<br />
2004-2-4,2,-2,-7,-1,-8,-11,81,67,59,1035,1025,1014,14,14,14,47,31,61,0.00,5,Snow,278<br />
2004-2-5,-1,-4,-8,-5,-8,-12,80,74,68,1039,1034,1026,14,14,14,42,18,52,0.00,2,Snow,70<br />
2004-2-6,2,0,-2,2,-1,-6,100,93,69,1027,1013,1005,14,5,0,48,32,60,0.00,8,Rain-Snow,104<br />
2004-2-7,1,-4,-10,-2,-9,-17,87,70,57,1023,1009,1004,14,14,10,35,23,48,0.00,6,Snow,311<br />
2004-2-8,-2,-7,-12,-7,-13,-18,74,60,47,1030,1027,1024,14,14,14,45,21,53,0.00,0,Snow,258<br />
2004-2-9,3,0,-2,-2,-4,-7,80,73,69,1026,1019,1015,14,14,14,55,39,58,0.00,4,Snow,232<br />
