Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
2000-01-01,2000,01,01,,7.6,,3.7,,5.7,,12.3,,0.0,,,,,,8.0,,,,,,,
2000-01-02,2000,01,02,,7.2,,2.6,,4.9,,13.1,,0.0,,,,,,0.6,,,,,,,
2000-01-03,2000,01,03,,5.7,,2.9,,4.3,,13.7,,0.0,,,,,,7.2,,,,,,,
2000-01-04,2000,01,04,,8.8,,5.6,,7.2,,10.8,,0.0,,,,,,3.8,,,,,,,
2000-01-05,2000,01,05,,7.3,,3.7,,5.5,,12.5,,0.0,,,,,,0.2,,,,,,,
2000-01-06,2000,01,06,,5.7,,3.8,,4.8,,13.2,,0.0,,,,,,3.2,,,,,,,
2000-01-07,2000,01,07,,7.5,,4.5,,6.0,,12.0,,0.0,,,,,,0.8,,,,,,,
2000-01-08,2000,01,08,,7.6,,2.9,,5.3,,12.7,,0.0,,,,,,6.8,,,,,,,
2000-01-09,2000,01,09,,6.5,,1.2,,3.9,,14.1,,0.0,,,,,,10.4,,,,,,,
2000-01-10,2000,01,10,,4.6,,1.2,,2.9,,15.1,,0.0,,,,,,1.2,,,,,,,
2000-01-11,2000,01,11,,5.6,,1.1,,3.4,,14.6,,0.0,,,,,,0.0,,,,,,,
2000-01-12,2000,01,12,,5.6,,0.4,,3.0,,15.0,,0.0,,,,,,2.6,,,,,,,
2000-01-13,2000,01,13,,5.3,,1.9,,3.6,,14.4,,0.0,,,,,,0.2,,,,,,,
2000-01-14,2000,01,14,,7.6,,3.0,,5.3,,12.7,,0.0,,,,,,1.4,,,,,,,
2000-01-15,2000,01,15,,7.5,,1.3,,4.4,,13.6,,0.0,,,,,,4.0,,,,,,,
2000-01-16,2000,01,16,,7.9,,2.4,,5.2,,12.8,,0.0,,,,,,5.0,,,,,,,
2000-01-17,2000,01,17,,8.9,,3.5,,6.2,,11.8,,0.0,,,,,,0.0,,,,,,,
2000-01-18,2000,01,18,,6.2,,1.1,,3.7,,14.3,,0.0,,,,,,0.0,,,,,,,
2000-01-19,2000,01,19,,5.3,,1.8,,3.6,,14.4,,0.0,,,,,,0.0,,,,,,,
2000-01-20,2000,01,20,,4.5,,0.3,,2.4,,15.6,,0.0,,,,,,4.0,,,,,,,
2000-01-21,2000,01,21,,6.5,,3.9,,5.2,,12.8,,0.0,,,,,,4.8,,,,,,,
2000-01-22,2000,01,22,,5.6,,4.7,,5.2,,12.8,,0.0,,,,,,0.2,,,,,,,
2000-01-23,2000,01,23,,7.8,,3.4,,5.6,,12.4,,0.0,,,,,,0.0,,,,,,,
2000-01-24,2000,01,24,,6.8,,2.0,,4.4,,13.6,,0.0,,,,,,0.0,,,,,,,
2000-01-25,2000,01,25,,6.1,,3.8,,5.0,,13.0,,0.0,,,,,,0.0,,,,,,,
2000-01-26,2000,01,26,,9.1,,3.5,,6.3,,11.7,,0.0,,,,,,0.0,,,,,,,
2000-01-27,2000,01,27,,8.8,,3.9,,6.4,,11.6,,0.0,,,,,,0.0,,,,,,,
2000-01-28,2000,01,28,,6.1,,2.2,,4.2,,13.8,,0.0,,,,,,0.0,,,,,,,
2000-01-29,2000,01,29,,8.3,,1.4,,4.9,,13.1,,0.0,,,,,,0.0,,,,,,,
2000-01-30,2000,01,30,,9.5,,2.9,,6.2,,11.8,,0.0,,,,,,0.0,,,,,,,
2000-01-31,2000,01,31,,9.5,,5.3,,7.4,,10.6,,0.0,,,,,,1.6,,,,,,,
2000-02-01,2000,02,01,,9.9,,6.2,,8.1,,9.9,,0.0,,,,,,16.8,,,,,,,
2000-02-02,2000,02,02,,8.3,,4.6,,6.5,,11.5,,0.0,,,,,,0.0,,,,,,,
2000-02-03,2000,02,03,,10.1,,4.7,,7.4,,10.6,,0.0,,,,,,0.0,,,,,,,
2000-02-04,2000,02,04,,10.6,,4.5,,7.6,,10.4,,0.0,,,,,,0.0,,,,,,,
2000-02-05,2000,02,05,,7.2,,3.2,,5.2,,12.8,,0.0,,,,,,0.0,,,,,,,
2000-02-06,2000,02,06,,9.0,,5.1,,7.1,,10.9,,0.0,,,,,,0.4,,,,,,,
2000-02-07,2000,02,07,,12.6,,7.2,,9.9,,8.1,,0.0,,,,,,0.8,,,,,,,
2000-02-08,2000,02,08,,10.3,,6.5,,8.4,,9.6,,0.0,,,,,,2.2,,,,,,,
2000-02-09,2000,02,09,,10.0,,4.8,,7.4,,10.6,,0.0,,,,,,0.0,,,,,,,
2000-02-10,2000,02,10,,8.6,,3.4,,6.0,,12.0,,0.0,,,,,,0.0,,,,,,,
2000-02-11,2000,02,11,,6.9,,2.2,,4.6,,13.4,,0.0,,,,,,0.0,,,,,,,
2000-02-12,2000,02,12,,8.6,,1.8,,5.2,,12.8,,0.0,,,,,,0.0,,,,,,,
2000-02-13,2000,02,13,,7.9,,2.9,,5.4,,12.6,,0.0,,,,,,0.0,,,,,,,
2000-02-14,2000,02,14,,6.5,,4.3,,5.4,,12.6,,0.0,,,,,,0.0,,,,,,,
2000-02-15,2000,02,15,,6.7,,4.8,,5.8,,12.2,,0.0,,,,,,1.4,,,,,,,
2000-02-16,2000,02,16,,7.9,,3.0,,5.5,,12.5,,0.0,,,,,,0.0,,,,,,,
2000-02-17,2000,02,17,,9.0,,1.6,,5.3,,12.7,,0.0,,,,,,0.0,,,,,,,
2000-02-18,2000,02,18,,8.7,,1.0,,4.9,,13.1,,0.0,,,,,,0.0,,,,,,,
2000-02-19,2000,02,19,,10.7,,1.5,,6.1,,11.9,,0.0,,,,,,0.0,,,,,,,
2000-02-20,2000,02,20,,11.3,,3.2,,7.3,,10.7,,0.0,,,,,,0.0,,,,,,,
2000-02-21,2000,02,21,,9.9,,6.3,,8.1,,9.9,,0.0,,,,,,1.0,,,,,,,
2000-02-22,2000,02,22,,13.9,,6.8,,10.4,,7.6,,0.0,,,,,,0.8,,,,,,,
2000-02-23,2000,02,23,,9.7,,3.7,,6.7,,11.3,,0.0,,,,,,0.2,,,,,,,
2000-02-24,2000,02,24,,7.9,,3.0,,5.5,,12.5,,0.0,,,,,,0.0,,,,,,,
