EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2003-1-1,0,-1,-3,-4,-6,-6,81,73,64,1019,1017,1014,16,16,16,29,18,39,0.00,5,,38<br />
2003-1-2,-2,-4,-7,-7,-8,-11,96,82,59,1021,1017,1014,16,9,1,24,16,,4.83,7,Fog-Snow,49<br />
2003-1-3,-2,-3,-5,-4,-6,-7,93,83,69,1016,1014,1013,16,15,10,16,13,,0.00,8,Snow,348<br />
2003-1-4,-2,-3,-3,-5,-7,-8,81,73,66,1019,1017,1016,16,16,16,13,10,,0.00,8,,308<br />
2003-1-5,0,-2,-3,-2,-3,-6,96,85,75,1017,1016,1014,16,13,4,10,6,,0.25,8,Snow,133<br />
2003-1-6,-1,-4,-8,-2,-6,-14,100,79,48,1027,1020,1016,16,11,3,29,8,40,1.02,6,Snow,333<br />
2003-1-7,2,-3,-9,-2,-6,-13,82,75,65,1025,1010,999,16,16,16,32,18,42,0.00,6,,255<br />
2003-1-8,8,4,2,1,-1,-3,82,73,47,1001,995,987,16,16,16,27,16,37,0.00,0,,269<br />
2003-1-9,8,3,-2,-1,-3,-8,76,62,47,1004,996,989,16,16,14,29,21,42,0.00,5,Snow,298<br />
2003-1-10,0,-4,-8,-5,-9,-14,100,70,51,1015,1007,1002,16,12,1,27,16,39,0.00,6,Fog-Snow,298<br />
2003-1-11,-6,-7,-8,-9,-11,-13,86,74,62,1024,1017,1014,16,14,3,27,19,37,0.00,6,Snow,277<br />
2003-1-12,-3,-6,-8,-8,-10,-12,81,70,58,1029,1025,1017,16,16,16,32,19,45,0.00,4,,261<br />
2003-1-13,-3,-5,-7,-9,-13,-17,74,54,42,1023,1019,1012,16,16,14,34,24,40,0.00,3,Snow,301<br />
2003-1-14,-4,-7,-8,-9,-14,-16,86,58,44,1023,1022,1020,16,15,2,27,13,35,0.00,7,Snow,300<br />
2003-1-15,-7,-8,-9,-13,-14,-16,74,63,50,1028,1024,1021,16,16,13,23,14,,0.00,6,Snow,296<br />
2003-1-16,-4,-7,-10,-10,-12,-14,88,69,59,1028,1021,1016,16,16,16,19,11,,0.00,3,,258<br />
2003-1-17,-6,-9,-12,-11,-17,-20,74,57,45,1024,1022,1016,16,16,16,23,14,34,0.00,1,,330<br />
2003-1-18,-7,-10,-12,-11,-15,-17,81,67,46,1021,1014,1010,16,15,4,37,21,47,0.00,3,Snow,241<br />
2003-1-19,-6,-9,-11,-8,-12,-18,93,74,44,1013,1009,1002,16,13,3,37,18,53,0.00,6,Snow,263<br />
2003-1-20,-6,-9,-11,-9,-15,-17,80,65,59,1018,1013,1004,16,15,6,24,18,34,0.00,1,Snow,310<br />
2003-1-21,-8,-9,-11,-17,-18,-20,62,50,38,1022,1021,1017,16,16,16,14,8,,0.00,2,,302<br />
2003-1-22,-9,-11,-13,-16,-18,-20,80,61,41,1026,1024,1022,16,16,10,21,13,27,0.00,4,Snow,324<br />
2003-1-23,-8,-12,-16,-12,-16,-22,76,65,52,1029,1024,1022,16,15,5,27,18,37,0.00,6,Snow,329<br />
2003-1-24,-6,-8,-10,-11,-14,-19,74,62,47,1032,1029,1027,16,16,14,24,16,,0.00,7,Snow,287<br />
2003-1-25,-3,-7,-9,-6,-12,-18,86,64,49,1027,1021,1016,16,14,6,29,21,32,0.00,8,Snow,244<br />
2003-1-26,-4,-9,-14,-5,-13,-21,93,72,47,1032,1022,1016,16,11,3,24,14,27,0.00,7,Snow,340<br />
2003-1-27,-9,-13,-17,-17,-20,-24,76,58,41,1035,1031,1024,16,15,8,23,11,,0.00,3,Snow,246<br />
2003-1-28,-2,-7,-11,-3,-8,-16,100,74,55,1024,1019,1017,16,10,3,19,11,,1.52,7,Snow,232<br />
2003-1-29,-2,-6,-11,-4,-11,-17,89,68,51,1030,1025,1018,16,16,13,21,11,,0.00,3,,7<br />
2003-1-30,-2,-7,-12,-8,-11,-16,100,78,58,1030,1027,1023,16,16,16,19,8,,0.00,2,,192<br />
2003-1-31,1,-3,-8,-1,-4,-11,93,87,78,1023,1018,1013,16,13,6,19,11,,0.00,6,Snow,174<br />
2003-2-1,2,1,0,1,0,-3,100,92,72,1014,1012,1011,16,8,1,13,3,,2.54,8,Rain-Snow,291<br />
2003-2-2,2,0,-1,-1,-2,-3,89,83,78,1016,1015,1013,16,16,14,19,8,,0.00,7,,104<br />
2003-2-3,9,4,-1,9,2,-3,100,95,82,1014,1000,988,16,8,1,32,18,42,6.35,7,Rain-Thunderstorm,140<br />
2003-2-4,9,1,-8,9,-4,-13,100,73,59,1015,998,986,16,13,3,42,31,60,0.00,8,Rain-Snow,281<br />
2003-2-5,-5,-7,-9,-12,-14,-16,65,58,48,1025,1022,1016,16,16,16,27,18,34,0.00,3,,288<br />
2003-2-6,-1,-4,-7,-4,-8,-13,85,72,59,1025,1022,1020,16,16,16,24,13,,0.00,8,,247<br />
2003-2-7,-4,-7,-9,-8,-12,-15,86,68,48,1021,1019,1016,16,15,2,24,13,35,0.00,5,Snow,316<br />
2003-2-8,-1,-7,-12,-6,-13,-18,81,61,46,1019,1015,1012,16,16,11,39,26,52,0.00,3,Snow,249<br />
2003-2-9,-3,-5,-7,-5,-13,-17,88,57,34,1020,1016,1012,16,14,5,29,19,42,0.00,3,Snow,268<br />
2003-2-10,-1,-7,-13,-4,-8,-21,93,79,46,1016,1007,1004,16,9,2,24,16,39,0.00,8,Snow,284<br />
2003-2-11,-3,-9,-15,-5,-12,-21,93,72,46,1017,1006,995,16,12,1,50,18,61,0.00,6,Snow,242<br />
2003-2-12,-6,-9,-12,-8,-16,-18,86,62,45,1019,1013,1000,16,14,3,42,29,64,0.00,5,Snow,301<br />
2003-2-13,-3,-8,-13,-13,-16,-17,70,62,44,1021,1019,1017,16,16,16,29,14,42,0.00,5,,298<br />
2003-2-14,-1,-3,-7,-8,-10,-13,66,61,46,1023,1021,1020,16,16,16,21,8,,0.00,1,,90<br />
2003-2-15,-7,-10,-13,-11,-16,-21,74,60,46,1036,1031,1023,16,16,16,29,21,37,0.00,0,,63<br />
2003-2-16,-8,-11,-14,-14,-17,-20,70,59,45,1036,1032,1027,16,16,16,27,23,39,0.00,3,,68<br />
2003-2-17,-3,-6,-9,-4,-7,-14,100,84,65,1026,1020,1016,16,7,2,26,18,,1.27,8,Snow,72<br />
2003-2-18,-1,-3,-6,-4,-6,-7,93,85,69,1020,1017,1015,16,12,3,32,10,40,0.76,8,Snow,264<br />
2003-2-19,4,1,-2,-2,-4,-8,93,71,48,1025,1020,1018,16,15,11,32,23,40,0.00,4,,261<br />
2003-2-20,7,2,-4,-2,-5,-8,81,65,47,1027,1024,1020,16,16,16,27,14,,0.00,0,,236<br />
2003-2-21,6,2,-2,-4,-4,-6,82,68,42,1020,1015,1010,16,15,11,14,10,,0.00,0,,211<br />
2003-2-22,2,-1,-5,-2,-4,-7,93,82,61,1010,999,993,16,7,1,42,19,53,3.56,8,Rain-Snow,23<br />
2003-2-23,-3,-6,-8,-6,-11,-13,93,71,47,1021,1006,994,16,12,2,35,24,48,1.52,5,Snow,339<br />
2003-2-24,-4,-7,-11,-8,-11,-16,93,75,57,1028,1021,1017,16,11,1,29,10,35,0.00,7,Snow,347<br />
2003-2-25,-8,-11,-14,-14,-17,-19,84,63,41,1035,1032,1029,16,16,16,14,10,,0.00,1,,272<br />
2003-2-26,-7,-10,-13,-13,-15,-19,88,67,40,1030,1026,1023,16,16,16,13,5,,0.00,2,,131<br />
2003-2-27,-2,-8,-13,-12,-14,-17,84,64,37,1023,1021,1019,16,16,11,14,6,,0.00,0,,65<br />
2003-2-28,-1,-6,-10,-7,-11,-16,84,67,49,1023,1021,1019,16,15,8,11,3,,0.00,1,,105<br />
2003-3-1,-1,-4,-8,-2,-6,-10,100,90,78,1022,1017,1010,11,5,0,11,5,,0.00,7,Fog,155<br />
2003-3-2,2,-6,-15,-1,-8,-23,92,72,40,1021,1010,1007,16,10,2,27,14,35,0.51,6,Snow,315<br />
2003-3-3,-9,-14,-19,-10,-21,-27,92,62,45,1026,1022,1015,16,15,5,19,13,,0.00,2,Snow,190<br />
2003-3-4,5,-2,-8,-1,-4,-11,93,77,62,1015,1011,1007,16,11,3,21,11,,0.51,6,Snow,228<br />
2003-3-5,-3,-6,-8,-5,-9,-17,93,79,44,1017,1008,1005,16,7,2,27,19,40,1.78,7,Snow,22<br />
2003-3-6,-3,-7,-10,-12,-13,-14,80,65,43,1023,1019,1015,16,13,2,23,14,,0.00,4,Snow,31<br />
2003-3-7,1,-4,-8,-3,-8,-13,81,73,64,1022,1019,1016,16,16,13,21,11,,0.00,3,,214<br />
2003-3-8,4,-2,-8,0,-3,-13,86,78,68,1020,1011,1002,16,12,4,32,13,47,10.41,8,Rain-Thunderstorm,228<br />
2003-3-9,-7,-10,-13,-11,-17,-22,77,56,43,1022,1019,1013,16,15,4,26,18,37,0.00,4,Snow,305<br />
2003-3-10,-4,-8,-12,-13,-16,-18,67,56,46,1026,1024,1020,16,16,16,24,16,32,0.00,3,,285<br />
2003-3-11,4,-2,-8,-4,-9,-14,74,60,51,1022,1016,1012,16,16,16,32,18,40,0.00,4,,246<br />
2003-3-12,4,0,-4,-2,-5,-7,84,69,57,1022,1016,1011,16,15,3,23,14,,0.00,5,Snow,71<br />
2003-3-13,-1,-4,-7,-6,-8,-14,93,80,41,1029,1023,1019,16,8,0,27,18,37,4.83,6,Fog-Snow,51<br />
2003-3-14,2,-3,-8,-2,-7,-10,85,72,52,1029,1026,1020,16,16,16,14,8,,0.00,1,,166<br />
2003-3-15,13,6,-2,0,-1,-3,93,67,40,1020,1018,1016,16,13,4,13,5,,0.00,0,,198<br />
2003-3-16,17,9,2,4,-1,-1,89,50,30,1015,1013,1009,16,7,0,19,6,,0.00,2,Fog,205<br />
2003-3-17,19,14,9,12,8,-1,97,73,26,1010,1009,1007,11,4,0,13,3,,0.00,2,Fog,124<br />
2003-3-18,11,8,3,9,4,-2,100,83,68,1017,1013,1010,16,7,1,27,14,37,0.00,5,Fog,45<br />
2003-3-19,9,5,1,4,-1,-6,96,69,54,1017,1015,1012,16,15,8,32,21,39,1.78,3,Rain,95<br />
2003-3-20,16,9,3,10,6,3,97,87,69,1012,1009,1003,16,12,5,23,10,,0.25,3,Thunderstorm,116<br />
2003-3-21,12,8,3,11,6,-1,100,88,70,1010,1004,1002,16,7,0,29,8,40,1.78,6,Fog-Rain,171<br />
2003-3-22,7,6,4,3,1,-1,82,73,67,1015,1011,1008,16,16,16,24,14,,0.76,8,Rain,268<br />
2003-3-23,9,4,0,3,1,-2,89,73,52,1017,1016,1015,16,16,14,16,8,,0.00,3,,203<br />
2003-3-24,18,10,2,9,5,0,92,67,46,1016,1013,1009,16,15,10,23,10,,0.00,1,,188<br />
2003-3-25,17,12,8,8,4,-4,97,59,29,1013,1011,1008,16,16,10,19,13,,3.30,5,Rain,295<br />
2003-3-26,11,7,2,4,1,-2,85,63,45,1016,1015,1014,16,16,16,19,11,,0.25,4,Rain,62<br />
2003-3-27,12,7,2,3,2,1,100,74,51,1019,1016,1013,16,15,6,26,10,,0.00,1,,115<br />
