MST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2002-1-1,-18,-22,-27,-20,-27,-31,85,73,70,1034,1028,1020,24,21,16,14,6,,0.00,1,,153<br />
2002-1-2,-11,-19,-28,-12,-22,-32,92,79,70,1020,1016,1011,24,17,10,19,3,,0.00,7,,214<br />
2002-1-3,4,-3,-11,-2,-7,-12,93,77,61,1013,1010,1008,24,24,24,16,10,,0.00,5,,233<br />
2002-1-4,2,-3,-8,-4,-8,-10,86,69,60,1022,1017,1013,24,24,24,19,11,,0.00,3,,275<br />
2002-1-5,-3,-7,-11,-6,-9,-13,93,83,69,1025,1022,1019,24,24,24,19,8,,0.00,2,,207<br />
2002-1-6,4,-2,-8,-2,-6,-11,80,74,61,1018,1009,1003,24,24,24,26,16,,0.00,5,Rain,188<br />
2002-1-7,6,2,-1,0,-2,-6,87,71,61,1003,998,994,24,24,24,23,13,,0.00,6,,193<br />
2002-1-8,4,1,-2,0,-2,-6,87,75,65,1010,1002,994,24,24,24,19,13,,0.00,3,,277<br />
2002-1-9,1,-4,-9,-2,-5,-11,93,80,69,1020,1017,1011,24,24,24,21,13,27,0.00,2,,257<br />
2002-1-10,1,-6,-11,-4,-8,-14,86,75,65,1021,1019,1017,24,24,24,19,8,,0.00,4,,228<br />
2002-1-11,2,-2,-5,-2,-4,-6,93,80,65,1031,1025,1016,24,24,24,27,16,35,0.00,6,,228<br />
2002-1-12,1,-2,-3,-2,-4,-6,93,81,65,1014,1003,997,24,24,24,21,14,,0.00,6,,188<br />
2002-1-13,3,-1,-8,-2,-7,-11,81,69,60,1026,1018,1008,24,24,24,47,34,60,0.00,4,,302<br />
2002-1-14,-6,-11,-16,-9,-12,-17,93,87,74,1028,1026,1024,24,24,24,14,6,,0.00,5,Snow,249<br />
2002-1-15,-5,-9,-13,-7,-10,-14,92,83,74,1024,1022,1022,24,22,11,14,10,,0.00,6,Snow,285<br />
2002-1-16,-5,-9,-13,-7,-9,-15,93,90,85,1028,1022,1019,24,19,2,19,6,,0.00,7,Snow,342<br />
2002-1-17,-7,-9,-11,-8,-11,-13,93,90,85,1028,1025,1022,24,18,3,14,6,,0.00,8,Snow,223<br />
2002-1-18,-3,-9,-15,-5,-10,-16,93,83,69,1021,1013,1006,24,23,13,19,11,,0.00,7,Snow,264<br />
2002-1-19,-1,-6,-9,-5,-7,-11,100,88,69,1007,1003,999,24,12,2,19,8,27,0.00,8,Snow,205<br />
2002-1-20,-3,-10,-17,-7,-13,-18,92,75,62,999,995,992,24,24,24,16,11,,0.00,6,,179<br />
2002-1-21,-15,-19,-23,-17,-21,-27,85,77,66,1011,1004,997,24,20,2,14,10,,0.00,7,Snow,24<br />
2002-1-22,-20,-21,-23,-24,-26,-28,71,67,59,1019,1016,1011,24,17,2,11,8,,0.00,7,Snow,67<br />
2002-1-23,-11,-18,-25,-14,-23,-28,85,72,65,1019,1014,1007,24,15,2,24,11,,0.00,7,Snow,167<br />
2002-1-24,-5,-10,-15,-9,-13,-18,86,80,73,1010,1003,996,24,20,1,50,14,60,0.00,6,Snow,193<br />
2002-1-25,-14,-20,-25,-17,-26,-30,85,69,60,1021,1015,1004,24,19,3,32,13,39,0.00,7,Snow,339<br />
2002-1-26,-25,-30,-35,-29,-34,-39,76,69,62,1024,1022,1020,24,24,19,14,5,,0.00,2,Snow,240<br />
2002-1-27,-22,-27,-33,-27,-33,-38,75,66,53,1027,1026,1024,24,24,24,11,6,,0.00,4,,221<br />
2002-1-28,-19,-27,-34,-26,-32,-39,75,64,54,1026,1022,1018,24,20,13,16,6,,0.00,1,,183<br />
2002-1-29,-14,-22,-30,-20,-26,-34,78,69,58,1022,1020,1017,24,24,24,10,5,,0.00,2,,216<br />
2002-1-30,-15,-23,-32,-19,-28,-37,78,70,63,1022,1021,1019,24,22,16,13,5,,0.00,3,Fog,161<br />
2002-1-31,-6,-11,-15,-11,-14,-18,85,80,63,1019,1018,1017,24,24,24,14,6,,0.00,6,Snow,167<br />
2002-2-1,-3,-10,-16,-9,-13,-19,86,77,59,1017,1017,1016,24,24,24,13,6,,0.00,4,,209<br />
2002-2-2,-3,-9,-14,-8,-12,-17,80,74,64,1023,1021,1017,24,24,24,19,10,,0.00,4,,223<br />
2002-2-3,1,-6,-12,-4,-10,-15,86,74,60,1020,1016,1014,24,24,24,24,16,,0.00,4,Rain,183<br />
2002-2-4,2,-3,-7,-5,-8,-11,80,69,56,1025,1021,1015,24,24,24,21,13,,0.00,4,,210<br />
2002-2-5,2,-3,-7,-3,-6,-10,80,73,60,1014,1007,1001,24,24,24,21,10,,0.00,6,,185<br />
2002-2-6,2,-4,-10,-6,-11,-15,74,63,48,1013,1008,1003,24,24,24,21,11,29,0.00,3,,210<br />
2002-2-7,-3,-11,-18,-9,-14,-21,85,75,63,1009,1008,1004,24,23,16,16,8,,0.00,4,,169<br />
2002-2-8,-5,-11,-18,-7,-12,-20,93,88,79,1032,1021,1009,24,18,6,16,10,,0.00,5,,299<br />
2002-2-9,-2,-10,-17,-7,-12,-18,92,79,59,1038,1034,1028,24,24,24,19,11,,0.00,4,,174<br />
2002-2-10,3,-2,-7,-1,-5,-10,81,73,56,1027,1014,1004,24,23,2,35,14,50,0.00,7,,171<br />
2002-2-11,0,-3,-6,-1,-8,-12,93,63,51,1027,1020,1007,24,19,1,50,31,80,0.00,6,Snow,298<br />
2002-2-12,4,-3,-10,-4,-9,-14,80,65,52,1027,1022,1015,24,24,24,24,14,,0.00,3,,254<br />
2002-2-13,1,-2,-5,0,-6,-10,100,75,64,1016,1010,1007,24,17,2,19,10,,0.00,6,Snow,305<br />
2002-2-14,3,-4,-11,-4,-9,-14,80,70,60,1019,1017,1015,24,24,24,26,11,,0.00,2,,235<br />
