AST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2001-1-1,2,-1,-3,-1,-3,-6,93,80,64,1015,1004,992,24,20,3,29,11,40,0.00,6,Snow,300<br />
2001-1-2,-4,-7,-10,-6,-9,-13,93,81,74,1018,1016,1015,24,24,19,19,8,27,0.00,4,Snow,277<br />
2001-1-3,-8,-11,-13,-13,-15,-16,79,70,53,1019,1017,1015,24,24,24,21,10,32,0.00,4,,291<br />
2001-1-4,-8,-12,-15,-9,-13,-16,93,85,79,1017,1011,1007,24,14,1,11,5,,0.00,8,Snow,100<br />
2001-1-5,-7,-12,-16,-11,-14,-18,93,81,63,1010,1009,1007,24,23,13,11,5,,0.00,3,Snow,299<br />
2001-1-6,-2,-8,-13,-4,-9,-15,93,84,63,1010,1006,999,24,11,1,26,10,35,0.00,8,Snow,61<br />
2001-1-7,-1,-3,-6,-5,-7,-9,86,78,69,1009,1002,998,24,16,4,27,23,37,0.00,6,Snow,326<br />
2001-1-8,-4,-10,-15,-9,-12,-16,93,80,68,1014,1012,1010,24,24,24,14,8,,0.00,2,,243<br />
2001-1-9,-4,-8,-11,-8,-12,-14,93,81,64,1009,1004,1000,24,16,8,11,2,,0.00,7,Snow,294<br />
2001-1-10,-7,-10,-15,-12,-15,-18,86,71,58,1011,1005,999,24,21,8,24,11,32,0.00,5,Snow,322<br />
2001-1-11,-8,-13,-18,-10,-16,-20,86,80,67,1011,1007,1002,24,18,2,26,8,48,0.00,5,Snow,260<br />
2001-1-12,-8,-12,-17,-15,-17,-21,73,67,58,1024,1016,1007,24,24,19,23,14,34,0.00,2,Snow,301<br />
2001-1-13,-7,-15,-23,-9,-19,-28,86,70,53,1028,1025,1021,24,24,19,14,8,,0.00,4,Snow,219<br />
2001-1-14,-1,-6,-11,-6,-9,-17,86,71,58,1027,1020,1018,24,23,19,23,13,35,0.00,5,,275<br />
2001-1-15,-10,-14,-19,-14,-18,-24,92,66,53,1030,1027,1020,24,23,5,13,6,,0.00,5,Snow,70<br />
