EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2002-1-1,-14,-16,-17,-18,-20,-22,78,72,66,995,986,978,24,16,3,37,23,,0.00,6,Snow,325<br />
2002-1-2,-17,-21,-24,-20,-23,-29,78,72,64,977,972,968,24,10,3,35,21,29,0.00,6,Snow,326<br />
2002-1-3,-7,-16,-24,-11,-19,-29,92,76,59,985,980,976,24,7,0,53,39,69,0.00,7,Snow,323<br />
2002-1-4,-15,-18,-21,-17,-22,-25,92,79,65,989,987,985,24,2,0,64,53,80,0.00,7,Snow,324<br />
2002-1-5,-16,-19,-23,-19,-22,-27,78,73,66,990,989,988,24,18,2,48,24,53,0.00,5,Snow,321<br />
2002-1-6,-23,-24,-27,-27,-29,-32,77,68,64,993,989,988,24,18,5,32,10,40,0.00,5,Snow,324<br />
2002-1-7,-27,-30,-34,-32,-37,-39,69,64,57,998,996,993,24,22,8,34,19,,0.00,2,Snow,321<br />
2002-1-8,-27,-29,-32,-31,-34,-36,70,67,58,996,993,992,24,9,2,10,2,,0.00,5,Snow,319<br />
2002-1-9,-29,-32,-35,-34,-37,-40,69,62,52,1001,996,992,32,19,4,37,23,,0.00,2,Snow,323<br />
2002-1-10,-30,-32,-34,-34,-36,-39,69,65,57,1005,1003,1001,24,24,24,23,14,29,0.00,1,,324<br />
2002-1-11,-31,-32,-34,-35,-37,-39,69,67,57,1004,1003,1002,24,24,24,14,2,,0.00,1,,345<br />
2002-1-12,-24,-27,-31,-28,-31,-35,77,70,63,1001,999,998,24,11,3,16,3,,0.00,7,Snow,332<br />
2002-1-13,-22,-23,-26,-26,-28,-30,77,70,64,1006,1002,999,24,15,3,21,8,,0.00,7,Snow,334<br />
2002-1-14,-24,-24,-26,-28,-29,-31,77,68,64,1010,1009,1007,24,13,3,40,18,,0.00,7,Snow,330<br />
2002-1-15,-24,-26,-28,-29,-31,-34,70,64,58,1010,1010,1009,24,11,3,35,31,39,0.00,6,Snow,324<br />
2002-1-16,-28,-31,-34,-32,-36,-39,76,65,57,1011,1011,1010,24,24,24,24,13,,0.00,2,,324<br />
2002-1-17,-30,-31,-33,-35,-37,-38,75,66,57,1010,1007,1005,32,23,10,6,2,,0.00,4,Snow,336<br />
2002-1-18,-29,-32,-35,-33,-36,-40,76,67,56,1009,1006,1004,32,24,10,6,2,,0.00,4,Snow,333<br />
2002-1-19,-32,-33,-35,-35,-37,-39,76,67,57,1012,1011,1009,24,24,24,6,2,,0.00,3,Fog,318<br />
2002-1-20,-26,-30,-35,-30,-35,-39,76,69,62,1011,1008,1007,24,13,5,16,2,,0.00,6,Snow,30<br />
2002-1-21,-26,-28,-31,-30,-33,-36,76,68,63,1009,1008,1007,32,17,5,27,6,,0.00,5,Snow,315<br />
2002-1-22,-27,-28,-29,-31,-33,-34,70,63,58,1007,1006,1005,24,20,8,34,24,29,0.00,5,Snow,312<br />
2002-1-23,-28,-32,-36,-32,-36,-39,75,66,57,1011,1010,1007,32,20,5,19,11,,0.00,2,Snow,330<br />
2002-1-24,-34,-37,-39,-38,-41,-43,75,65,56,1015,1013,1011,32,25,24,8,3,,0.00,0,,337<br />
2002-1-25,-36,-38,-40,-40,-42,-45,75,65,55,1015,1014,1012,32,19,1,32,8,,0.00,0,Fog,330<br />
2002-1-26,-34,-36,-37,-39,-41,-42,68,63,61,1012,1012,1011,24,13,3,45,34,50,0.00,2,Snow,328<br />
2002-1-27,-30,-32,-35,-35,-38,-40,68,62,57,1012,1012,1011,24,8,5,37,29,45,0.00,6,Snow,327<br />
2002-1-28,-30,-33,-37,-35,-38,-42,75,67,61,1010,1008,1006,24,16,5,8,3,,0.00,4,Snow,346<br />
2002-1-29,-34,-37,-40,-38,-41,-45,82,67,50,1012,1011,1009,24,17,1,29,3,,0.00,2,Fog-Snow,353<br />
2002-1-30,-23,-31,-39,-27,-35,-43,77,68,62,1009,1001,994,16,4,0,61,35,66,0.00,7,Snow,319<br />
2002-1-31,-20,-22,-24,-24,-26,-28,77,70,65,1009,1001,994,24,12,1,55,39,63,0.00,5,Snow,321<br />
2002-2-1,-15,-18,-21,-19,-22,-25,72,70,61,1012,1011,1009,24,22,10,50,26,60,0.00,7,Snow,325<br />
2002-2-2,-21,-24,-29,-25,-29,-33,71,66,59,1014,1010,1009,32,25,10,39,26,50,0.00,7,Snow,326<br />
2002-2-3,-24,-27,-30,-27,-31,-34,77,69,63,1017,1016,1014,32,24,10,29,16,,0.00,1,Fog-Snow,324<br />
2002-2-4,-27,-30,-33,-32,-34,-36,91,67,58,1015,1012,1008,32,25,24,23,5,,0.00,1,,131<br />
2002-2-5,-21,-26,-30,-25,-29,-35,76,66,55,1008,1005,1004,24,24,24,24,10,,0.00,0,,137<br />
2002-2-6,-19,-21,-24,-22,-24,-28,78,76,65,1004,1003,1001,24,16,3,13,3,,0.00,7,Snow,298<br />
2002-2-7,-20,-25,-30,-24,-30,-35,71,66,63,1013,1009,1003,24,11,3,42,26,48,0.00,6,Snow,326<br />
2002-2-8,-30,-32,-34,-34,-37,-39,69,64,57,1022,1019,1014,24,15,4,19,8,,0.00,2,Snow,307<br />
2002-2-9,-27,-30,-33,-31,-34,-38,76,68,62,1024,1022,1017,32,15,4,6,2,,0.00,7,Snow,338<br />
2002-2-10,-23,-24,-27,-28,-29,-31,77,69,59,1017,1012,1006,24,9,2,26,5,,0.00,8,Snow,5<br />
2002-2-11,-26,-28,-31,-30,-33,-36,70,66,63,1005,1002,996,13,3,0,58,42,64,0.00,8,Snow,325<br />
2002-2-12,-27,-31,-36,-31,-37,-41,70,66,62,998,994,992,6,1,0,76,53,89,0.00,6,Snow,326<br />
2002-2-13,-32,-33,-36,-36,-39,-41,69,64,62,1006,1003,999,24,23,6,32,18,27,0.00,0,Snow,325<br />
2002-2-14,-31,-33,-37,-36,-39,-42,83,67,56,1007,1004,1001,32,25,24,14,5,,0.00,1,Fog,322<br />
2002-2-15,-35,-37,-38,-39,-41,-43,68,64,61,1006,1003,1001,32,19,6,23,6,,0.00,2,Fog-Snow,301<br />
2002-2-16,-32,-33,-35,-37,-38,-40,69,66,62,1009,1006,1005,32,14,5,24,5,,0.00,7,Snow,243<br />
2002-2-17,-35,-38,-40,-40,-42,-45,68,63,55,1017,1014,1009,24,15,2,29,18,,0.00,1,Snow,321<br />
2002-2-18,-36,-38,-41,-40,-43,-45,75,67,55,1020,1018,1017,32,11,1,8,2,,0.00,1,Fog,270<br />
2002-2-19,-33,-37,-41,-38,-41,-45,75,64,55,1030,1025,1020,32,21,1,32,10,39,0.00,0,Fog,326<br />
2002-2-20,-32,-34,-37,-36,-39,-41,69,67,62,1036,1034,1030,24,24,24,21,8,,0.00,1,,325<br />
2002-2-21,-32,-34,-37,-36,-39,-41,75,67,62,1039,1037,1035,24,24,24,29,19,,0.00,1,,320<br />
2002-2-22,-30,-32,-35,-35,-37,-40,76,66,62,1041,1040,1038,24,24,24,26,16,,0.00,1,,322<br />
2002-2-23,-27,-30,-33,-31,-35,-37,70,67,63,1041,1039,1037,32,17,3,34,24,39,0.00,1,Snow,327<br />
2002-2-24,-22,-26,-31,-27,-31,-36,70,65,58,1037,1031,1026,24,16,3,35,23,39,0.00,5,Snow,324<br />
2002-2-25,-19,-21,-24,-25,-27,-29,77,68,59,1025,1019,1011,24,18,6,37,18,39,0.00,7,Snow,316<br />
2002-2-26,-22,-29,-37,-28,-37,-43,65,59,47,1018,1014,1011,24,24,16,32,18,,0.00,1,Snow,340<br />
2002-2-27,-26,-33,-38,-31,-38,-43,82,64,57,1019,1015,1006,32,22,11,16,3,,0.00,3,Snow,314<br />
2002-2-28,-15,-20,-26,-19,-27,-30,78,71,64,1004,993,987,32,7,1,55,23,63,0.00,4,Snow,321<br />
2002-3-1,-20,-23,-27,-24,-28,-34,77,67,53,1008,991,980,8,2,0,60,45,71,0.00,6,Snow,300<br />
2002-3-2,-27,-29,-33,-33,-36,-39,62,55,47,1020,1017,1009,24,14,6,35,18,,0.00,6,Snow,262<br />
2002-3-3,-31,-33,-36,-36,-38,-41,63,61,52,1019,1016,1013,32,22,10,11,5,,0.00,1,Snow,62<br />
2002-3-4,-26,-29,-33,-34,-36,-38,69,61,48,1013,1007,1002,32,20,8,16,5,,0.00,2,Snow,324<br />
2002-3-5,-29,-32,-35,-35,-37,-40,69,62,57,1011,1005,1001,32,17,6,39,18,,0.00,1,Snow,321<br />
2002-3-6,-29,-33,-37,-35,-38,-41,76,64,56,1015,1014,1012,32,23,16,11,3,,0.00,1,,322<br />
2002-3-7,-27,-30,-34,-33,-36,-39,69,61,53,1020,1016,1014,32,25,24,19,3,,0.00,2,,315<br />
2002-3-8,-29,-32,-35,-34,-37,-41,69,61,56,1032,1027,1020,32,25,24,23,16,,0.00,1,,324<br />
2002-3-9,-28,-32,-36,-34,-37,-41,76,63,51,1034,1033,1029,32,23,4,8,3,,0.00,2,,256<br />
2002-3-10,-22,-29,-35,-26,-34,-39,71,65,58,1028,1017,1002,32,17,2,29,5,,0.00,4,Snow,331<br />
2002-3-11,-17,-19,-22,-20,-23,-27,78,72,65,1001,985,975,3,1,0,55,34,69,0.00,4,Snow,39<br />
2002-3-12,-22,-23,-26,-25,-28,-31,77,69,64,998,987,976,24,6,0,64,45,71,0.00,6,Snow,324<br />
2002-3-13,-25,-28,-31,-32,-33,-36,63,57,49,1006,1003,998,32,25,13,23,11,,0.00,4,Snow,192<br />
2002-3-14,-26,-29,-33,-32,-34,-38,69,62,53,1012,1008,1006,24,24,24,10,3,,0.00,1,,317<br />
2002-3-15,-26,-29,-33,-31,-34,-39,76,63,57,1020,1016,1012,24,24,24,11,3,,0.00,0,,336<br />
