MST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2001-1-1,3,-1,-6,1,-3,-6,100,95,73,1029,1024,1020,,,,8,2,,0.00,,,214<br />
2001-1-2,4,-2,-8,-1,-3,-7,100,83,68,1029,1025,1023,,,,13,5,,4.57,,,210<br />
2001-1-3,7,2,-3,1,-3,-5,100,70,43,1026,1017,1012,,,,14,6,27,12.45,,,208<br />
2001-1-4,1,-2,-5,-2,-6,-9,94,69,45,1024,1019,1014,,,,13,5,,0.00,,,217<br />
2001-1-5,3,1,-1,3,0,-1,100,97,82,1013,1007,1001,,,,13,5,,6.10,,,191<br />
2001-1-6,2,-2,-8,-1,-6,-11,100,76,50,1029,1022,1013,,,,14,5,35,0.00,,,167<br />
2001-1-7,-4,-11,-17,-10,-13,-17,100,92,62,1029,1024,1017,,,,10,5,,15.49,,,228<br />
2001-1-8,3,-7,-17,-4,-9,-17,100,87,56,1015,1009,1005,,,,10,5,,9.91,,,222<br />
2001-1-9,4,-3,-11,-4,-7,-11,100,84,42,1011,1008,1005,,,,13,3,,6.86,,,225<br />
2001-1-10,4,-5,-14,-4,-9,-13,100,87,52,1016,1010,1005,,,,10,5,,0.00,,,229<br />
2001-1-11,-5,-11,-18,-9,-13,-18,100,93,64,1019,1017,1015,,,,6,3,,0.00,,,235<br />
2001-1-12,-3,-10,-18,-8,-11,-18,100,84,65,1022,1021,1019,,,,13,5,27,0.00,,,213<br />
2001-1-13,-7,-14,-22,-12,-18,-23,100,92,62,1025,1023,1021,,,,6,3,,6.60,,,228<br />
2001-1-14,-7,-12,-18,-9,-13,-18,100,93,78,1035,1028,1023,,,,3,2,,0.00,,,244<br />
2001-1-15,-7,-14,-22,-12,-16,-22,100,92,66,1039,1036,1033,,,,8,3,,5.84,,,231<br />
2001-1-16,-3,-9,-14,-6,-11,-14,100,79,57,1032,1029,1025,,,,10,5,,3.05,,,229<br />
2001-1-17,1,-3,-7,-6,-7,-8,91,82,61,1029,1027,1026,,,,10,5,,2.54,,,209<br />
2001-1-18,3,-2,-9,-6,-7,-10,98,82,53,1027,1025,1023,,,,10,3,,0.76,,,225<br />
2001-1-19,2,-3,-9,-4,-7,-9,94,82,59,1022,1020,1017,,,,8,3,,6.60,,,217<br />
2001-1-20,2,-4,-10,-6,-8,-10,100,75,45,1023,1021,1019,,,,11,5,,5.33,,,205<br />
2001-1-21,2,-1,-7,-1,-6,-8,87,73,61,1027,1021,1018,,,,13,6,,0.00,,,212<br />
2001-1-22,1,-7,-14,-8,-10,-14,100,85,52,1032,1030,1028,,,,10,3,,0.00,,,223<br />
2001-1-23,-2,-11,-21,-11,-16,-22,100,88,47,1032,1030,1026,,,,10,5,,3.81,,,224<br />
2001-1-24,-4,-12,-21,-8,-14,-21,100,86,63,1026,1022,1017,,,,8,5,,3.81,,,234<br />
2001-1-25,3,-6,-14,-7,-10,-14,100,87,47,1025,1021,1018,,,,6,2,,0.00,,,202<br />
2001-1-26,1,-8,-18,-8,-13,-18,100,88,52,1028,1026,1024,,,,10,5,,0.00,,,220<br />
2001-1-27,-1,-9,-17,-8,-12,-17,100,81,58,1028,1024,1016,,,,11,5,,8.89,,,207<br />
2001-1-28,3,-3,-9,-6,-8,-10,90,66,48,1016,1010,1004,,,,13,6,,14.99,,,181<br />
2001-1-29,4,-1,-5,-3,-7,-13,90,67,44,1014,1004,1000,,,,21,5,47,6.10,,,173<br />
2001-1-30,-1,-4,-9,-7,-11,-13,75,63,52,1023,1016,1012,,,,13,5,34,6.35,,,169<br />
2001-1-31,-2,-7,-13,-6,-10,-13,92,78,56,1028,1026,1024,,,,10,6,,1.78,,,221<br />
2001-2-1,4,-1,-6,-3,-5,-7,91,71,49,1024,1018,1014,,,,8,5,,6.10,,,225<br />
2001-2-2,6,2,-2,-3,-6,-9,80,61,35,1014,1009,1007,,,,13,6,,12.45,,,219<br />
2001-2-3,3,-1,-5,-2,-8,-12,98,67,34,1024,1019,1013,,,,11,3,,0.76,,,242<br />
2001-2-4,-2,-3,-5,-3,-7,-10,100,79,60,1023,1019,1015,,,,8,2,,0.76,,,204<br />
2001-2-5,-4,-10,-17,-6,-12,-17,97,75,48,1028,1023,1015,,,,21,10,35,0.51,,,26<br />
2001-2-6,-7,-16,-24,-16,-18,-24,100,83,47,1032,1029,1025,,,,3,0,,3.56,,,212<br />
2001-2-7,-7,-14,-23,-16,-19,-24,100,80,50,1029,1026,1023,,,,8,3,,2.79,,,200<br />
2001-2-8,-13,-21,-29,-17,-26,-33,91,71,51,1028,1025,1023,,,,11,3,,0.00,,,230<br />
2001-2-9,-5,-17,-28,-15,-23,-32,95,70,44,1026,1021,1015,,,,8,5,,5.08,,,203<br />
2001-2-10,-6,-13,-20,-10,-14,-20,100,84,69,1017,1015,1013,,,,16,5,,0.00,,,17<br />
2001-2-11,-6,-12,-19,-13,-15,-19,100,76,56,1022,1019,1016,,,,13,6,,5.08,,,66<br />
2001-2-12,-4,-11,-18,-12,-14,-19,100,78,54,1023,1020,1017,,,,11,3,,0.51,,,214<br />
2001-2-13,-4,-9,-14,-6,-10,-14,96,86,71,1024,1023,1020,,,,8,3,,0.00,,,167<br />
2001-2-14,-4,-9,-13,-7,-11,-17,91,81,69,1023,1015,1008,,,,29,10,61,0.76,,,49<br />
2001-2-15,-12,-16,-19,-17,-19,-23,100,73,41,1034,1029,1024,,,,13,3,,0.00,,,26<br />
2001-2-16,-9,-21,-33,-23,-28,-37,90,62,31,1041,1037,1034,,,,8,3,,3.05,,,182<br />
2001-2-17,-3,-17,-29,-14,-24,-33,98,66,29,1038,1032,1024,,,,10,6,,10.16,,,185<br />
2001-2-18,-4,-13,-21,-7,-14,-21,100,87,61,1024,1020,1017,,,,10,5,,2.54,,,172<br />
2001-2-19,1,-7,-16,-9,-12,-16,98,71,45,1026,1022,1020,,,,11,5,,1.52,,,15<br />
2001-2-20,3,-10,-23,-11,-17,-29,100,73,30,1027,1023,1019,,,,8,5,,0.76,,,182<br />
2001-2-21,3,-8,-20,-10,-14,-21,98,75,34,1025,1022,1020,,,,8,3,,2.79,,,191<br />
2001-2-22,4,-8,-20,-9,-14,-21,100,72,31,1022,1017,1011,,,,11,5,,6.86,,,186<br />
2001-2-23,-4,-9,-14,-9,-14,-18,84,73,62,1013,1011,1007,,,,26,11,53,5.08,,,349<br />
2001-2-24,-14,-17,-19,-19,-22,-25,80,64,44,1020,1016,1013,,,,21,14,37,0.00,,,8<br />
2001-2-25,-6,-17,-29,-15,-22,-32,85,67,38,1029,1024,1020,,,,11,5,,0.00,,,34<br />
2001-2-26,1,-7,-15,-11,-13,-16,95,70,38,1033,1030,1028,,,,14,3,,2.54,,,181<br />
2001-2-27,5,-6,-16,-7,-12,-17,96,67,37,1034,1028,1019,,,,13,6,,9.91,,,179<br />
2001-2-28,7,-2,-11,-3,-7,-12,96,67,31,1018,1009,1003,,,,16,6,34,0.51,,,163<br />
2001-3-1,4,-1,-7,-6,-8,-12,96,65,32,1011,1006,997,,,,10,5,,9.91,,,186<br />
2001-3-2,3,-1,-4,-6,-8,-12,82,59,32,1010,1003,996,,,,13,5,32,0.00,,,169<br />
2001-3-3,3,-3,-9,-9,-11,-13,86,60,32,1019,1015,1010,,,,10,5,,0.76,,,187<br />
2001-3-4,4,-7,-19,-13,-15,-19,100,64,23,1026,1022,1019,,,,10,5,,0.76,,,184<br />
2001-3-5,6,-2,-11,-4,-8,-14,94,70,41,1026,1021,1018,,,,11,3,,1.27,,,176<br />
2001-3-6,11,2,-7,-4,-7,-8,91,65,30,1030,1028,1026,,,,11,5,,4.57,,,184<br />
2001-3-7,14,2,-10,-4,-7,-9,100,66,19,1029,1024,1019,,,,13,5,,7.11,,,179<br />
2001-3-8,6,-1,-8,3,-3,-8,100,88,54,1021,1019,1016,,,,13,5,32,2.03,,,179<br />
2001-3-9,4,0,-4,0,-6,-9,100,68,36,1024,1022,1019,,,,13,8,32,5.59,,,16<br />
2001-3-10,3,0,-4,-4,-6,-8,81,66,43,1019,1012,1010,,,,13,6,27,11.68,,,180<br />
2001-3-11,6,2,-1,-1,-3,-5,76,67,58,1010,1009,1007,,,,14,6,,0.00,,,150<br />
2001-3-12,6,4,2,1,-5,-8,92,52,36,1012,1009,1007,,,,19,8,40,0.00,,,183<br />
2001-3-13,7,2,-2,3,-1,-5,100,87,44,1011,1004,1000,,,,16,3,29,1.78,,,58<br />
2001-3-14,4,-2,-8,-3,-6,-8,100,76,42,1023,1021,1013,,,,10,2,,0.00,,,152<br />
2001-3-15,5,-3,-11,-9,-11,-12,95,60,28,1022,1018,1013,,,,14,5,,5.08,,,165<br />
2001-3-16,4,0,-4,-6,-9,-12,74,53,35,1016,1013,1011,,,,10,5,,4.06,,,157<br />
2001-3-17,5,1,-3,-5,-7,-8,83,59,39,1014,1012,1011,,,,10,3,,0.00,,,166<br />
2001-3-18,7,1,-5,0,-3,-6,91,69,43,1016,1010,998,,,,23,5,35,4.57,,,174<br />
2001-3-19,4,1,-3,2,-7,-24,100,60,15,1014,1008,995,,,,14,8,,2.29,,,175<br />
2001-3-20,-1,-8,-14,-4,-10,-14,100,86,65,1023,1018,1015,,,,21,5,35,3.56,,,39<br />
2001-3-21,2,-6,-13,-6,-11,-16,99,80,33,1027,1023,1020,,,,16,6,40,0.00,,,16<br />
2001-3-22,-4,-10,-15,-12,-14,-18,89,72,54,1030,1027,1025,,,,23,11,35,0.51,,,17<br />
2001-3-23,-6,-11,-15,-14,-16,-18,86,69,53,1036,1033,1031,,,,23,13,40,2.79,,,10<br />
2001-3-24,1,-8,-17,-8,-12,-17,100,69,45,1034,1028,1021,,,,13,6,,8.13,,,5<br />
2001-3-25,6,-2,-11,-3,-8,-12,90,71,51,1021,1016,1011,,,,10,5,,6.10,,,8<br />
2001-3-26,7,1,-6,0,-5,-11,100,70,29,1020,1014,1011,,,,26,3,42,0.76,,,206<br />
2001-3-27,5,-1,-7,-6,-8,-9,93,63,34,1020,1014,1005,,,,19,6,32,0.00,,,173<br />
2001-3-28,6,2,-2,-4,-8,-12,71,51,28,1013,1007,1004,,,,14,6,47,0.00,,,191<br />
2001-3-29,4,1,-3,-4,-8,-12,79,57,31,1014,1011,1008,,,,13,3,,8.89,,,226<br />
2001-3-30,5,0,-6,-6,-9,-14,96,59,24,1023,1021,1015,,,,13,3,27,1.52,,,165<br />
2001-3-31,4,-1,-7,-1,-7,-12,85,66,45,1021,1010,1005,,,,10,3,,10.67,,,158<br />
2001-4-1,6,1,-5,-4,-8,-14,93,59,22,1009,1008,1006,,,,11,5,,1.02,,,196<br />
2001-4-2,2,-1,-3,-2,-4,-8,91,74,49,1020,1012,1008,,,,29,11,45,0.00,,,351<br />
2001-4-3,4,1,-4,-2,-6,-7,85,62,41,1025,1024,1020,,,,24,14,42,1.27,,,349<br />
2001-4-4,10,-1,-11,-6,-10,-13,99,56,22,1025,1018,1010,,,,11,3,27,5.33,,,195<br />
2001-4-5,8,3,-1,-2,-4,-6,81,60,39,1009,1005,1001,,,,14,5,,5.33,,,173<br />
2001-4-6,6,1,-3,1,-2,-4,95,81,52,1005,1002,1001,,,,19,5,35,0.00,,,3<br />
2001-4-7,7,2,-3,2,-1,-4,100,81,47,1009,1007,1005,,,,10,3,,2.54,,,109<br />
2001-4-8,5,2,-1,1,-2,-4,100,76,53,1016,1013,1009,,,,21,10,32,0.76,,,3<br />
2001-4-9,7,2,-3,-2,-4,-8,95,68,35,1015,1012,1009,,,,14,3,27,3.30,,,217<br />
2001-4-10,1,-2,-4,-4,-7,-11,94,71,41,1023,1016,1012,,,,23,6,42,0.00,,,359<br />
2001-4-11,6,1,-5,-1,-11,-21,83,57,13,1025,1022,1017,,,,14,6,,5.59,,,12<br />
2001-4-12,8,-2,-12,-11,-13,-16,92,50,17,1018,1013,1009,,,,10,5,,8.38,,,185<br />
2001-4-13,8,0,-8,-6,-8,-11,86,53,35,1016,1014,1011,,,,16,6,35,0.00,,,201<br />
2001-4-14,9,4,-1,1,-4,-7,90,58,37,1024,1020,1017,,,,11,3,,0.00,,,35<br />
2001-4-15,10,4,-1,2,-1,-3,100,79,42,1026,1025,1024,,,,19,5,34,1.78,,,4<br />
2001-4-16,14,3,-8,-3,-6,-8,100,59,22,1028,1023,1015,,,,14,5,,5.59,,,179<br />
2001-4-17,12,4,-3,3,-2,-7,100,74,35,1015,1012,1008,,,,19,5,58,1.27,,,182<br />
2001-4-18,9,3,-3,2,-3,-23,100,74,13,1015,1012,1008,,,,53,6,,0.76,,,180<br />
2001-4-19,9,3,-3,1,-3,-8,100,76,28,1017,1013,1010,,,,26,5,39,1.27,,,92<br />
2001-4-20,4,1,-2,-1,-6,-7,94,65,45,1021,1019,1017,,,,26,14,42,0.00,,,359<br />
2001-4-21,11,1,-9,-4,-7,-11,100,60,22,1021,1018,1014,,,,13,3,,5.84,,,205<br />
2001-4-22,10,1,-7,-1,-4,-7,100,67,36,1019,1017,1015,,,,11,3,,0.51,,,194<br />
2001-4-23,11,6,2,0,-2,-4,79,58,35,1019,1016,1015,,,,11,5,,0.00,,,161<br />
2001-4-24,13,9,4,1,-1,-2,67,51,40,1020,1017,1012,,,,14,8,35,0.76,,,174<br />
2001-4-25,14,10,6,7,4,1,97,70,46,1018,1016,1012,,,,13,8,,0.00,,,154<br />
2001-4-26,19,10,1,7,2,-2,100,67,23,1018,1014,1010,,,,19,5,27,0.76,,,168<br />
2001-4-27,18,11,4,8,1,-4,95,54,23,1010,1007,1003,,,,24,6,39,0.00,,,179<br />
2001-4-28,10,7,3,8,4,-1,100,87,55,1006,1002,1000,,,,21,5,52,6.10,,,156<br />
2001-4-29,8,3,-3,0,-3,-7,100,68,34,1006,1004,1001,,,,14,5,32,3.56,,,166<br />
2001-4-30,8,3,-2,2,-3,-8,100,69,32,1006,1003,999,,,,23,5,34,0.25,,,186<br />
2001-5-1,8,3,-2,1,-3,-7,100,70,34,1017,1011,1005,,,,16,8,29,0.76,,,207<br />
2001-5-2,10,5,0,-3,-6,-8,72,45,27,1027,1024,1019,,,,14,8,27,0.76,,,205<br />
2001-5-3,13,8,3,-1,-3,-5,62,46,30,1026,1021,1017,,,,21,6,35,10.92,,,162<br />
2001-5-4,13,9,5,5,1,-4,95,57,30,1017,1011,1003,,,,21,8,37,0.25,,,170<br />
2001-5-5,8,5,2,5,0,-5,100,72,38,1016,1007,1001,,,,19,6,40,1.27,,,188<br />
2001-5-6,11,6,1,-4,-6,-8,61,42,28,1024,1021,1017,,,,14,8,34,0.51,,,219<br />
2001-5-7,12,3,-5,-1,-4,-7,86,58,37,1025,1023,1019,,,,14,5,,4.57,,,187<br />
2001-5-8,12,7,3,1,-2,-6,71,52,31,1018,1016,1012,,,,21,8,48,4.32,,,184<br />
2001-5-9,11,2,-7,-4,-8,-11,93,49,23,1020,1017,1016,,,,14,5,27,5.59,,,199<br />
2001-5-10,11,4,-3,0,-3,-7,91,54,28,1021,1019,1017,,,,13,5,,4.32,,,198<br />
2001-5-11,11,4,-3,1,-1,-3,91,65,45,1022,1019,1017,,,,8,3,,5.59,,,191<br />
2001-5-12,22,9,-3,6,1,-3,100,59,22,1019,1011,1003,,,,14,8,34,0.00,,,183<br />
2001-5-13,16,10,4,9,0,-19,100,56,13,1008,1007,1006,,,,21,6,37,2.29,,,178<br />
2001-5-14,14,9,3,3,1,-1,93,59,38,1006,1003,1000,,,,13,5,,2.29,,,184<br />
2001-5-15,14,8,3,4,1,-2,90,64,35,1007,1005,1003,,,,16,6,35,0.25,,,171<br />
2001-5-16,14,6,-3,2,-1,-3,99,67,34,1013,1008,1006,,,,16,3,34,0.00,,,204<br />
2001-5-17,12,8,4,1,-2,-5,74,54,32,1013,1011,1009,,,,16,6,29,5.84,,,184<br />
2001-5-18,10,6,1,3,-3,-8,97,56,32,1018,1015,1009,,,,16,6,32,0.51,,,205<br />
2001-5-19,9,5,1,3,-2,-7,100,60,32,1019,1012,1007,,,,19,10,40,4.83,,,211<br />
2001-5-20,12,6,-1,-2,-5,-7,79,45,26,1025,1024,1019,,,,16,6,29,0.00,,,213<br />
2001-5-21,18,10,3,5,1,-6,77,55,41,1024,1022,1019,,,,19,6,34,2.54,,,170<br />
2001-5-22,24,14,4,6,2,-1,95,52,19,1021,1017,1013,,,,21,8,34,1.02,,,186<br />
2001-5-23,26,14,2,8,2,-1,93,49,18,1016,1015,1013,,,,16,5,29,1.78,,,188<br />
2001-5-24,22,14,7,9,3,-15,90,52,12,1020,1016,1012,,,,13,3,32,0.51,,,145<br />
2001-5-25,23,12,1,8,2,-2,100,53,20,1024,1020,1015,,,,13,5,,3.56,,,199<br />
2001-5-26,24,16,6,4,2,-3,79,46,16,1018,1013,1007,,,,13,5,,0.00,,,178<br />
2001-5-27,22,13,3,8,4,2,89,56,28,1008,1006,1003,,,,19,3,27,3.81,,,194<br />
2001-5-28,21,14,7,10,6,1,97,61,27,1003,1001,999,,,,24,8,45,0.76,,,160<br />
2001-5-29,8,6,3,5,1,-3,100,72,45,1019,1013,1002,,,,19,8,37,1.52,,,174<br />
2001-5-30,14,9,4,1,-1,-4,78,50,32,1022,1020,1019,,,,11,6,42,0.00,,,173<br />
2001-5-31,21,12,3,5,3,1,82,53,33,1023,1020,1014,,,,14,6,,3.56,,,172<br />
2001-6-1,25,16,6,10,4,-1,84,52,18,1014,1005,996,,,,19,5,42,0.00,,,178<br />
2001-6-2,14,10,6,10,3,-3,100,67,31,1008,1003,995,,,,11,8,27,5.33,,,162<br />
2001-6-3,17,10,3,3,1,-1,89,53,29,1014,1012,1008,,,,14,6,29,1.52,,,322<br />
2001-6-4,17,12,7,7,6,2,84,65,50,1015,1012,1008,,,,26,8,45,5.33,,,8<br />
2001-6-5,14,11,8,12,8,6,100,81,58,1012,1010,1008,,,,11,6,,2.79,,,7<br />
2001-6-6,16,11,7,10,8,4,100,82,53,1019,1016,1013,,,,14,3,,1.02,,,164<br />
2001-6-7,17,11,6,6,4,2,91,61,38,1021,1020,1019,,,,13,5,,0.00,,,172<br />
2001-6-8,20,10,-1,4,1,-1,100,54,24,1022,1017,1011,,,,13,6,,4.57,,,192<br />
2001-6-9,20,15,8,9,4,1,92,56,30,1011,1008,1004,,,,16,6,35,3.30,,,162<br />
2001-6-10,13,9,5,4,3,0,91,66,42,1012,1009,1007,,,,14,6,32,0.00,,,160<br />
2001-6-11,16,9,2,2,-1,-6,90,53,22,1012,1010,1007,,,,29,6,47,3.81,,,161<br />
2001-6-12,20,14,8,3,1,-2,70,45,24,1015,1013,1011,,,,23,14,39,1.02,,,355<br />
2001-6-13,20,12,3,7,2,-14,89,51,13,1018,1014,1010,,,,16,5,,0.76,,,315<br />
2001-6-14,16,11,6,10,6,3,100,77,45,1014,1011,1009,,,,13,3,35,8.89,,,160<br />
2001-6-15,14,10,6,9,7,6,100,89,57,1020,1017,1014,,,,8,2,,8.38,,,221<br />
2001-6-16,15,8,1,8,4,1,100,77,43,1022,1020,1017,,,,11,2,,2.03,,,214<br />
2001-6-17,12,8,4,9,6,4,100,90,66,1024,1022,1021,,,,19,5,39,8.64,,,50<br />
2001-6-18,19,11,2,7,2,-2,100,65,25,1026,1024,1021,,,,11,3,,0.25,,,121<br />
2001-6-19,23,12,1,4,1,-1,97,50,22,1026,1023,1021,,,,11,5,27,0.00,,,196<br />
2001-6-20,23,13,3,7,3,2,95,52,24,1025,1022,1020,,,,16,6,27,2.54,,,190<br />
2001-6-21,24,18,11,12,7,4,99,51,28,1020,1017,1012,,,,16,5,27,1.78,,,181<br />
2001-6-22,17,13,9,11,9,6,100,82,45,1015,1013,1012,,,,14,5,32,2.79,,,139<br />
2001-6-23,15,11,7,10,8,6,100,86,55,1014,1012,1010,,,,11,5,27,6.10,,,171<br />
2001-6-24,17,11,6,8,6,2,100,75,37,1012,1011,1009,,,,13,3,,4.32,,,157<br />
2001-6-25,13,10,6,9,7,4,100,82,56,1019,1014,1011,,,,10,3,,8.89,,,78<br />
2001-6-26,18,9,-1,7,4,0,100,73,35,1021,1017,1014,,,,13,5,,7.62,,,3<br />
2001-6-27,18,13,9,13,9,7,100,77,56,1015,1013,1011,,,,16,6,,0.51,,,15<br />
2001-6-28,21,14,8,11,7,4,100,62,33,1017,1015,1014,,,,14,5,,1.78,,,168<br />
2001-6-29,17,13,8,11,9,8,100,77,55,1022,1021,1018,,,,24,10,45,1.02,,,354<br />
2001-6-30,24,13,3,8,5,-1,100,61,20,1023,1019,1014,,,,10,3,,4.83,,,234<br />
2001-7-1,23,16,8,10,7,3,97,59,28,1018,1015,1013,,,,14,5,,0.76,,,189<br />
2001-7-2,24,14,4,7,4,-1,99,54,19,1022,1020,1018,,,,11,3,,3.81,,,199<br />
2001-7-3,28,16,4,7,5,3,100,52,20,1025,1021,1017,,,,13,3,,5.08,,,196<br />
2001-7-4,30,18,5,7,4,0,96,44,14,1017,1012,1006,,,,24,6,40,1.27,,,184<br />
2001-7-5,18,14,11,12,6,-1,88,58,27,1014,1009,1005,,,,26,6,45,0.51,,,187<br />
2001-7-6,20,12,3,6,3,1,87,51,30,1015,1012,1010,,,,11,5,29,6.60,,,211<br />
2001-7-7,19,16,12,12,8,6,97,58,48,1016,1013,1010,,,,13,5,,0.51,,,177<br />
2001-7-8,26,17,7,11,7,3,100,60,25,1019,1017,1016,,,,13,6,,0.00,,,209<br />
2001-7-9,30,17,4,7,6,3,99,50,20,1022,1017,1013,,,,13,5,,2.54,,,179<br />
2001-7-10,31,19,6,8,4,-2,97,46,13,1014,1010,1006,,,,21,5,37,0.25,,,185<br />
2001-7-11,25,18,11,12,8,1,99,54,26,1017,1012,1008,,,,13,5,,1.27,,,188<br />
2001-7-12,28,19,9,10,7,2,100,53,19,1021,1018,1014,,,,10,3,,3.30,,,121<br />
2001-7-13,24,18,12,13,9,7,100,64,36,1018,1017,1015,,,,16,3,27,2.29,,,163<br />
2001-7-14,19,14,9,13,4,-14,100,70,12,1016,1014,1011,,,,23,5,35,5.08,,,169<br />
2001-7-15,17,12,7,,,,,,,1011,1008,1006,,,,10,2,,4.06,,,153<br />
2001-7-16,18,14,10,13,11,10,100,84,59,1009,1007,1006,,,,21,5,32,10.92,,,138<br />
2001-7-17,15,12,8,11,9,8,100,91,67,1010,1008,1007,,,,8,3,,22.35,,,174<br />
2001-7-18,13,10,7,11,8,7,100,93,77,1012,1008,1006,,,,16,5,,20.83,,,152<br />
2001-7-19,18,13,9,11,9,8,100,81,51,1014,1013,1012,,,,10,5,,1.52,,,145<br />
2001-7-20,14,12,10,13,11,10,100,96,84,1015,1013,1012,,,,8,3,,7.37,,,168<br />
2001-7-21,18,14,10,14,12,10,100,91,62,1016,1014,1013,,,,13,2,,3.56,,,224<br />
