CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2002-1-1,-7,-10,-13,-12,-15,-18,79,67,57,1029,1025,1021,16,16,16,11,5,,0.00,5,,317<br />
2002-1-2,-3,-9,-14,-10,-12,-16,92,77,55,1031,1029,1026,16,16,16,13,3,,0.00,0,,301<br />
2002-1-3,-5,-10,-14,-11,-13,-17,85,74,59,1025,1023,1021,16,16,16,23,5,,0.00,0,,253<br />
2002-1-4,0,-4,-9,-6,-9,-12,86,72,60,1017,1013,1010,16,16,16,32,23,40,0.00,0,,223<br />
2002-1-5,2,-1,-3,-2,-3,-5,93,82,75,1012,1011,1010,11,9,6,14,10,,0.00,5,,235<br />
2002-1-6,1,-4,-9,-2,-7,-13,86,72,55,1020,1014,1010,16,16,11,26,14,37,0.00,5,,334<br />
2002-1-7,-4,-8,-11,-11,-12,-13,85,68,54,1021,1017,1011,16,16,16,26,13,34,0.00,3,Snow,249<br />
2002-1-8,3,-2,-7,-3,-7,-11,86,70,56,1010,1006,1001,16,16,16,27,18,32,0.00,0,,209<br />
2002-1-9,12,7,3,2,1,-1,87,70,47,1004,1000,998,16,16,16,27,19,37,0.00,0,,245<br />
2002-1-10,4,1,-1,0,-1,-3,93,82,75,1013,1011,1008,16,16,16,21,10,29,0.00,4,,270<br />
2002-1-11,7,2,-3,-2,-3,-4,93,73,53,1016,1014,1011,16,16,11,26,14,34,0.00,2,,250<br />
2002-1-12,2,0,-2,-1,-3,-7,93,76,52,1009,1006,1003,16,15,4,29,13,40,0.00,6,Snow,279<br />
2002-1-13,2,-2,-6,-2,-5,-8,93,80,56,1009,1006,1005,16,16,16,26,11,35,0.00,2,,169<br />
2002-1-14,2,0,-1,1,0,-2,100,93,87,1008,1003,1000,8,4,1,19,8,,1.27,8,Rain-Snow,62<br />
2002-1-15,-1,-2,-3,-3,-3,-4,93,88,80,1021,1016,1008,16,10,2,13,2,,0.76,8,Snow,288<br />
2002-1-16,-3,-4,-6,-5,-6,-7,93,87,80,1022,1018,1012,16,7,1,13,5,,0.00,8,Snow,270<br />
2002-1-17,-6,-10,-14,-9,-12,-17,93,83,73,1020,1018,1015,16,12,2,23,13,34,0.00,2,Snow,270<br />
2002-1-18,-12,-14,-17,-14,-18,-20,92,73,57,1024,1022,1019,16,16,11,14,10,,0.00,0,,270<br />
2002-1-19,-3,-11,-18,-6,-13,-21,92,80,68,1019,1013,1009,16,14,6,32,13,40,0.00,5,Snow,246<br />
2002-1-20,-1,-6,-9,-4,-7,-11,93,85,74,1013,1010,1006,16,8,5,24,14,,0.00,0,,193<br />
