EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2002-1-1,-8,-11,-13,-12,-14,-15,85,76,68,1019,1016,1012,32,25,24,34,19,45,0.00,4,,258<br />
2002-1-2,-2,-6,-10,-6,-10,-12,86,75,64,1020,1017,1015,24,23,16,39,31,50,0.00,4,Snow,257<br />
2002-1-3,-2,-3,-6,-4,-8,-15,93,72,50,1014,1012,1010,24,18,3,35,24,45,0.00,4,Snow,265<br />
2002-1-4,-2,-8,-14,-5,-12,-17,80,70,49,1016,1013,1009,24,23,16,23,13,,0.00,5,Snow,235<br />
2002-1-5,1,-1,-2,0,-3,-5,93,85,75,1014,1012,1010,24,13,5,21,14,,0.00,8,Snow,223<br />
2002-1-6,2,1,1,1,0,-2,100,93,81,1011,1009,1006,16,7,3,21,14,,0.00,8,Snow,221<br />
2002-1-7,1,-4,-11,0,-11,-15,93,65,50,1011,1008,1004,24,22,6,39,19,48,0.00,4,,27<br />
2002-1-8,0,-6,-12,-4,-9,-14,86,79,68,1011,1009,1005,24,23,16,40,14,53,0.00,6,Snow,231<br />
2002-1-9,1,0,-1,1,-3,-5,100,86,69,1005,1000,995,24,10,1,37,24,45,0.00,8,Snow,183<br />
2002-1-10,4,3,2,2,2,1,93,92,87,1006,1001,995,24,16,6,29,21,35,0.00,8,Rain,256<br />
2002-1-11,3,1,-1,2,0,-6,100,88,69,1006,1003,1000,24,14,4,27,14,39,0.00,7,Rain,247<br />
2002-1-12,0,-2,-5,-2,-6,-9,93,77,64,1010,1007,1001,24,23,19,21,13,,0.00,6,Snow,151<br />
2002-1-13,2,-2,-7,0,-3,-11,93,81,68,1006,997,992,24,14,1,45,19,61,0.00,7,Snow,235<br />
2002-1-14,-7,-10,-12,-11,-13,-15,79,69,58,1022,1017,1007,24,24,19,48,29,61,0.00,5,,287<br />
2002-1-15,-4,-7,-8,-6,-8,-12,93,86,68,1015,1010,1007,24,11,2,29,23,34,0.00,8,Snow,28<br />
2002-1-16,-4,-7,-10,-6,-10,-13,93,75,63,1021,1018,1010,32,25,16,37,23,47,0.00,6,Snow,268<br />
2002-1-17,-3,-7,-9,-4,-7,-10,100,89,74,1018,1010,1005,24,9,1,23,14,,0.00,7,Snow,80<br />
2002-1-18,-3,-7,-11,-4,-8,-11,100,86,74,1020,1013,1010,24,14,2,34,16,40,0.00,7,Snow,248<br />
2002-1-19,-5,-11,-16,-9,-12,-17,100,88,68,1022,1018,1012,24,20,13,14,6,,0.00,6,Snow,357<br />
2002-1-20,1,-7,-13,-3,-7,-14,93,82,65,1016,1013,1011,19,15,4,24,10,37,0.00,7,Snow,229<br />
2002-1-21,0,-1,-2,-1,-3,-4,100,87,75,1016,1008,1001,19,10,1,32,16,40,0.00,8,Snow,187<br />
2002-1-22,-1,-2,-3,-3,-4,-7,93,80,64,1023,1017,1006,24,21,16,34,21,27,0.00,7,,245<br />
2002-1-23,6,2,-2,3,-1,-6,100,80,57,1019,1011,1007,24,20,8,37,14,47,0.00,6,Rain,201<br />
2002-1-24,3,-2,-6,3,-3,-11,100,83,63,1009,1008,1005,24,14,1,34,14,34,0.00,7,Rain-Snow,27<br />
2002-1-25,-1,-6,-10,-2,-8,-13,93,81,63,1014,1011,1008,24,15,0,32,16,40,0.00,6,Snow,226<br />
2002-1-26,6,1,-3,0,-3,-8,100,73,60,1021,1013,1008,24,24,19,40,19,53,0.00,7,Snow,315<br />
2002-1-27,-2,-4,-6,-6,-8,-11,86,75,68,1021,1019,1016,24,23,16,24,18,,0.00,5,,34<br />
2002-1-28,3,-3,-8,-2,-6,-9,93,79,65,1016,1014,1012,24,15,6,19,8,,0.00,6,,11<br />
2002-1-29,1,-3,-7,-3,-7,-13,86,73,63,1021,1016,1012,24,22,6,26,21,32,0.00,8,Snow,42<br />
2002-1-30,-5,-8,-10,-10,-13,-16,86,70,49,1032,1024,1020,24,21,13,26,16,27,0.00,8,Snow,354<br />
2002-1-31,-10,-12,-14,-14,-18,-21,92,67,52,1037,1033,1025,24,14,1,42,23,50,0.00,8,Snow,48<br />
2002-2-1,4,-4,-12,3,-7,-14,100,89,70,1023,1007,993,19,7,0,69,37,90,0.00,8,Rain-Snow,347<br />
2002-2-2,-10,-12,-14,-15,-17,-19,73,66,57,1029,1024,1013,24,24,19,50,34,66,0.00,1,Snow,269<br />
2002-2-3,-5,-10,-15,-6,-12,-18,93,84,72,1027,1017,1008,24,11,1,19,10,,0.00,6,Snow,67<br />
2002-2-4,-6,-9,-12,-9,-11,-15,100,82,68,1020,1012,1007,24,18,3,32,11,35,0.00,7,Snow,4<br />
2002-2-5,-11,-15,-19,-13,-17,-21,100,81,72,1022,1019,1013,24,17,1,26,16,,0.00,5,Snow,259<br />
2002-2-6,-7,-11,-15,-10,-14,-18,92,76,67,1023,1020,1017,32,21,4,19,11,,0.00,7,Snow,277<br />
2002-2-7,2,-4,-10,-1,-8,-12,93,82,74,1017,1010,1004,24,14,1,35,14,,0.00,6,Snow,352<br />
2002-2-8,1,-6,-13,-2,-12,-16,81,69,63,1025,1015,1006,24,24,19,35,23,45,0.00,4,,278<br />
2002-2-9,-7,-12,-17,-14,-16,-20,100,65,38,1038,1035,1027,24,24,24,16,6,,0.00,1,,109<br />
2002-2-10,3,-6,-13,2,-8,-17,100,81,53,1033,1020,1007,24,15,2,42,18,52,0.00,8,Rain-Snow,41<br />
2002-2-11,-3,-10,-16,-5,-18,-24,93,62,51,1023,1018,1008,24,17,1,50,32,61,0.00,4,Snow,333<br />
2002-2-12,2,-7,-15,0,-9,-21,100,73,56,1020,1004,997,24,18,1,48,27,58,0.00,7,Rain-Snow,204<br />
2002-2-13,-2,-9,-16,-7,-20,-23,74,57,44,1026,1019,1002,24,23,3,45,32,60,0.00,2,Snow,273<br />
2002-2-14,3,-6,-15,-5,-11,-23,86,66,52,1026,1021,1016,24,19,4,40,18,52,0.00,7,Snow,202<br />
2002-2-15,6,2,-1,0,-6,-8,75,56,45,1016,1011,1007,24,24,24,37,26,50,0.00,7,,200<br />
2002-2-16,4,2,0,2,-1,-3,93,79,61,1007,1006,1006,24,18,10,29,21,47,0.00,6,Fog-Rain,241<br />
2002-2-17,1,-2,-6,-4,-9,-14,86,61,35,1022,1011,1006,24,17,2,40,27,50,0.00,6,Snow,28<br />
2002-2-18,-5,-8,-11,-11,-14,-17,79,62,46,1029,1027,1023,24,24,24,21,11,,0.00,1,,246<br />
2002-2-19,1,-4,-9,-4,-8,-12,86,73,55,1026,1024,1022,24,23,19,14,6,,0.00,4,,200<br />
2002-2-20,5,1,-2,2,-2,-4,93,81,65,1022,1014,1006,24,12,6,35,18,29,0.00,8,Rain,42<br />
2002-2-21,7,4,2,5,3,1,100,92,81,1008,1006,1004,24,11,1,24,14,32,0.00,8,Fog-Rain,263<br />
2002-2-22,3,-1,-4,1,-3,-8,100,85,74,1017,1010,1006,24,15,2,34,21,45,0.00,8,Rain-Snow,246<br />
2002-2-23,-3,-6,-8,-7,-9,-12,86,70,59,1024,1021,1017,24,23,16,27,14,,0.00,4,Snow,255<br />
2002-2-24,0,-4,-8,-5,-8,-12,86,74,63,1026,1024,1022,32,23,13,14,6,,0.00,6,,96<br />
2002-2-25,7,2,-3,0,-3,-6,87,76,53,1022,1015,1010,24,16,8,24,13,,0.00,7,Rain,36<br />
2002-2-26,11,6,1,3,1,-1,93,72,50,1010,1004,997,24,19,13,48,16,60,0.00,7,Rain,72<br />
2002-2-27,2,-1,-3,1,-4,-7,93,74,56,1002,1000,997,32,22,1,34,24,40,0.00,7,Rain-Snow,242<br />
2002-2-28,-2,-6,-10,-8,-12,-14,79,62,47,1018,1009,998,24,21,8,50,32,63,0.00,3,Snow,265<br />
2002-3-1,1,-1,-3,-1,-5,-8,93,78,60,1034,1024,1019,24,15,1,37,24,48,0.00,6,Snow,238<br />
2002-3-2,4,-3,-10,-1,-9,-14,86,69,60,1039,1031,1019,24,24,24,32,16,29,0.00,5,Rain,50<br />
2002-3-3,10,5,-2,9,2,-9,100,88,59,1016,1001,992,24,18,6,69,34,84,0.00,7,Rain,179<br />
2002-3-4,-3,-8,-13,-10,-16,-19,68,59,45,1017,1012,1004,24,24,19,42,32,61,0.00,2,,271<br />
2002-3-5,-4,-8,-11,-7,-13,-16,86,65,50,1023,1021,1018,24,23,16,39,19,45,0.00,5,Snow,247<br />
2002-3-6,0,-3,-6,-3,-7,-9,93,75,55,1023,1022,1019,24,20,4,26,16,39,0.00,7,Snow,237<br />
2002-3-7,0,-2,-4,-3,-9,-14,93,63,38,1032,1027,1022,24,21,3,21,11,,0.00,6,Snow,265<br />
2002-3-8,0,-2,-4,-5,-11,-14,80,55,40,1035,1030,1023,24,24,24,34,21,37,0.00,8,Rain-Snow,43<br />
2002-3-9,17,7,-2,9,3,-4,93,76,59,1026,1019,1000,24,19,8,42,18,53,0.00,7,Rain,78<br />
2002-3-10,15,4,-7,10,-8,-17,93,61,41,1015,1007,998,24,15,0,85,55,103,0.00,6,Rain-Snow,250<br />
2002-3-11,-1,-6,-9,-7,-13,-16,69,53,40,1025,1023,1016,24,24,24,45,32,55,0.00,2,,262<br />
2002-3-12,5,1,-3,0,-4,-8,100,72,53,1022,1019,1017,24,21,10,27,11,29,0.00,7,,215<br />
2002-3-13,7,2,-2,4,1,-3,100,82,66,1021,1013,1006,24,17,2,26,13,,0.00,6,Rain,121<br />
2002-3-14,5,2,0,3,-6,-12,93,57,39,1023,1016,1006,32,25,8,29,16,47,0.00,4,,288<br />
2002-3-15,0,-3,-6,-6,-9,-14,93,72,38,1024,1016,1009,24,20,5,48,31,63,0.00,8,Rain-Snow,40<br />
2002-3-16,0,-3,-6,-5,-7,-10,93,76,55,1031,1022,1012,24,20,11,23,11,,0.00,5,Snow,22<br />
2002-3-17,2,-3,-7,-6,-11,-12,86,53,38,1037,1035,1031,24,24,24,24,10,,0.00,4,,53<br />
2002-3-18,2,0,-2,0,-5,-12,100,75,41,1033,1027,1021,24,9,1,35,24,45,0.00,8,Snow,93<br />
2002-3-19,1,-1,-3,1,-3,-4,100,87,75,1032,1028,1021,24,21,3,21,13,,0.00,8,Snow,356<br />
2002-3-20,2,0,-2,1,-2,-5,100,91,80,1030,1019,1012,24,9,1,35,16,47,0.00,8,Snow,144<br />
2002-3-21,1,-6,-11,1,-4,-15,100,88,73,1015,1009,999,24,13,1,45,21,58,0.00,7,Snow,224<br />
2002-3-22,-8,-12,-15,-15,-17,-18,78,67,53,1013,1011,1009,24,24,24,39,26,53,0.00,1,Snow,274<br />
2002-3-23,0,-6,-12,-3,-8,-16,93,75,55,1011,1007,1004,24,18,1,39,24,53,0.00,7,Snow,244<br />
2002-3-24,-3,-7,-12,-5,-14,-17,93,62,40,1022,1018,1010,24,24,24,26,11,35,0.00,2,Snow,276<br />
2002-3-25,-5,-10,-15,-13,-17,-22,73,54,45,1034,1031,1023,24,24,24,24,8,,0.00,4,,289<br />
2002-3-26,0,-4,-9,0,-8,-15,100,77,54,1035,1028,1013,24,12,0,34,18,39,0.00,5,Snow,54<br />
2002-3-27,1,0,-1,0,-1,-2,100,89,81,1017,1013,1009,32,19,2,34,19,40,0.00,8,Rain-Snow,287<br />
2002-3-28,5,1,-3,-2,-3,-5,93,73,53,1017,1017,1016,24,22,13,29,13,32,0.00,3,,244<br />
2002-3-29,8,3,-2,-1,-4,-7,80,60,46,1018,1015,1007,32,25,24,16,8,,0.00,6,Rain,101<br />
2002-3-30,8,6,3,5,2,0,87,72,57,1015,1008,997,32,27,8,58,34,77,0.00,4,Rain,223<br />
2002-3-31,11,6,2,3,1,0,93,69,50,1019,1017,1013,24,24,24,26,13,27,0.00,3,,257<br />
2002-4-1,8,4,2,4,2,0,100,88,57,1013,1007,1003,24,12,3,40,18,50,0.00,8,Rain,11<br />
2002-4-2,6,3,0,1,-1,-3,100,76,53,1017,1015,1011,24,15,2,34,24,50,0.00,6,Rain-Snow,227<br />
2002-4-3,4,2,0,3,1,-5,100,88,69,1016,1009,1004,24,13,2,40,21,40,0.00,7,Rain-Snow,293<br />
2002-4-4,3,0,-3,-5,-6,-7,80,64,52,1025,1021,1017,24,24,24,42,21,52,0.00,4,Snow,271<br />
2002-4-5,4,-1,-5,-6,-8,-15,86,58,32,1025,1023,1021,24,24,24,24,11,29,0.00,3,,297<br />
2002-4-6,1,-3,-7,-10,-13,-14,63,47,32,1027,1024,1022,24,24,24,27,18,29,0.00,1,,334<br />
2002-4-7,4,-1,-6,0,-11,-15,93,51,34,1030,1027,1023,24,19,4,21,10,29,0.00,6,Snow,223<br />
2002-4-8,9,4,1,7,2,-3,93,79,62,1023,1022,1020,24,17,10,26,11,,0.00,8,Rain,153<br />
2002-4-9,16,11,6,12,8,4,100,92,77,1020,1013,1008,24,11,4,37,23,48,0.00,8,Rain,186<br />
2002-4-10,9,6,3,4,-1,-3,87,66,50,1035,1029,1020,32,25,24,34,23,40,0.00,4,,280<br />
2002-4-11,13,7,1,2,-2,-4,81,53,35,1038,1035,1029,32,26,16,23,10,32,0.00,5,,127<br />
2002-4-12,23,14,7,12,4,1,82,52,29,1029,1023,1018,24,24,24,29,19,39,0.00,5,Rain,175<br />
2002-4-13,14,12,9,13,10,6,100,85,67,1022,1020,1017,24,17,2,24,13,34,0.00,8,Rain,11<br />
2002-4-14,15,11,8,11,8,6,100,80,67,1021,1018,1013,24,22,13,21,11,,0.00,8,Rain,79<br />
2002-4-15,20,15,10,14,12,9,100,86,60,1014,1012,1010,24,14,4,23,13,32,0.00,7,Rain,187<br />
2002-4-16,28,21,14,18,16,13,100,78,51,1016,1014,1012,24,11,0,42,11,63,0.00,6,Fog,225<br />
2002-4-17,24,17,11,18,15,8,88,77,65,1015,1013,1012,24,14,4,35,18,61,0.00,5,Rain-Thunderstorm,13<br />
2002-4-18,25,17,8,15,11,7,100,76,44,1019,1016,1013,24,18,6,16,6,,0.00,6,,323<br />
2002-4-19,26,18,11,16,11,3,94,65,38,1013,1007,1003,24,22,13,48,21,66,0.00,5,Rain,288<br />
2002-4-20,11,7,3,2,-4,-8,70,50,32,1016,1014,1012,24,24,24,32,18,39,0.00,1,,310<br />
2002-4-21,5,2,-1,-7,-9,-11,60,44,33,1020,1018,1015,24,24,24,23,16,34,0.00,2,,313<br />
2002-4-22,3,1,0,-2,-7,-11,81,57,38,1019,1014,1011,32,21,6,27,18,32,0.00,6,Snow,37<br />
2002-4-23,11,4,-1,1,-3,-7,93,61,28,1020,1016,1014,24,22,10,21,13,29,0.00,5,,276<br />
2002-4-24,13,7,1,0,-4,-7,81,46,29,1025,1022,1020,24,24,24,13,8,,0.00,1,,237<br />
2002-4-25,13,9,5,7,1,-3,93,65,40,1020,1013,1009,24,19,5,42,21,63,0.00,6,Rain,176<br />
2002-4-26,7,3,0,2,-2,-5,87,65,46,1024,1017,1013,24,24,19,39,19,52,0.00,5,,269<br />
2002-4-27,11,4,-1,-2,-6,-8,69,48,28,1028,1026,1024,24,24,24,27,10,47,0.00,2,,299<br />
2002-4-28,7,3,0,1,-5,-13,100,63,28,1025,1016,1005,24,10,0,47,26,55,0.00,8,Snow,63<br />
2002-4-29,5,2,0,1,1,0,100,90,70,1009,1006,1002,24,15,1,45,31,58,0.00,8,Snow,22<br />
2002-4-30,11,6,2,5,1,0,93,74,50,1009,1006,1004,24,22,8,24,18,29,0.00,6,Rain,237<br />
2002-5-1,13,8,4,5,4,0,100,76,41,1012,1008,1004,24,20,13,34,16,45,0.00,5,Rain,256<br />
2002-5-2,8,6,4,5,4,2,100,89,71,1011,1003,995,24,13,2,34,13,53,0.00,7,Rain,98<br />
2002-5-3,14,8,2,6,1,-5,100,73,29,1016,1003,996,24,15,3,50,29,72,0.00,7,Rain-Snow,269<br />
2002-5-4,17,10,3,3,-1,-3,65,47,34,1023,1020,1016,24,24,24,35,21,52,0.00,0,,263<br />
2002-5-5,19,12,6,4,1,-3,62,44,30,1023,1021,1020,24,24,24,27,16,35,0.00,3,,226<br />
2002-5-6,22,14,7,12,7,2,88,58,38,1021,1017,1013,24,23,13,27,8,,0.00,6,Rain,188<br />
2002-5-7,20,14,8,14,11,3,94,83,66,1020,1011,1007,24,19,3,47,14,55,0.00,7,Rain,253<br />
2002-5-8,13,8,3,1,-2,-5,66,48,29,1028,1025,1021,24,24,24,26,13,,0.00,5,,130<br />
2002-5-9,15,12,10,10,3,-4,94,57,35,1023,1013,1005,24,21,8,52,27,63,0.00,8,Rain,134<br />
2002-5-10,16,12,8,14,4,-2,94,59,38,1019,1012,1006,24,23,13,63,34,93,0.00,4,Rain,245<br />
2002-5-11,14,9,4,-1,-2,-4,70,48,29,1029,1027,1020,24,24,24,40,27,53,0.00,2,,274<br />
2002-5-12,12,9,6,5,1,-5,87,56,33,1028,1024,1017,24,24,24,23,10,,0.00,7,,90<br />
2002-5-13,10,8,5,6,4,3,93,77,62,1017,1012,1004,24,19,6,42,24,52,0.00,8,Rain,82<br />
2002-5-14,5,4,3,4,3,2,100,93,87,1003,998,994,24,14,6,37,27,50,0.00,8,Rain,45<br />
2002-5-15,15,9,3,5,2,-1,100,68,42,1012,1007,1000,32,25,24,42,23,63,0.00,6,Rain,295<br />
2002-5-16,16,11,8,13,8,2,100,82,58,1012,1008,1003,24,19,10,32,18,45,0.00,7,Rain,226<br />
2002-5-17,15,10,5,13,3,-3,100,63,43,1015,1010,1003,32,25,16,32,21,40,0.00,5,Rain,295<br />
2002-5-18,8,7,5,0,-2,-3,65,58,46,1015,1012,1011,32,28,24,23,14,29,0.00,7,,326<br />
2002-5-19,9,7,4,0,-2,-4,75,58,43,1022,1017,1013,24,24,24,37,21,48,0.00,6,,278<br />
2002-5-20,13,8,4,5,2,-1,87,70,44,1022,1021,1019,24,24,24,26,14,39,0.00,6,Rain,268<br />
2002-5-21,14,9,5,5,2,-1,87,62,38,1022,1020,1019,24,24,19,27,14,37,0.00,5,Rain,281<br />
2002-5-22,18,12,6,5,3,2,81,57,37,1025,1022,1020,24,24,24,39,24,52,0.00,3,,233<br />
2002-5-23,23,17,10,6,3,0,66,44,23,1020,1015,1009,24,24,24,45,27,60,0.00,3,,232<br />
2002-5-24,19,14,7,13,7,-3,72,54,38,1019,1008,1005,24,21,16,34,23,47,0.00,6,Rain,255<br />
2002-5-25,16,8,1,1,-1,-3,81,51,34,1025,1021,1017,24,24,24,21,10,,0.00,2,,260<br />
2002-5-26,18,14,10,14,8,1,94,67,41,1020,1015,1011,32,24,19,40,23,53,0.00,6,Rain,206<br />
2002-5-27,23,16,9,13,9,6,87,65,46,1022,1021,1020,32,26,24,21,14,,0.00,5,,253<br />
2002-5-28,25,20,15,13,12,9,88,59,41,1023,1021,1020,32,24,19,14,6,,0.00,4,Rain,89<br />
2002-5-29,28,20,13,18,14,9,94,69,43,1020,1016,1013,24,20,10,45,11,64,0.00,4,Rain-Thunderstorm,171<br />
2002-5-30,23,20,18,20,19,18,100,94,78,1013,1010,1007,16,9,2,21,11,27,0.00,8,Rain-Thunderstorm,203<br />
2002-5-31,22,18,15,19,17,13,100,93,73,1006,999,992,24,14,0,45,19,71,0.00,7,Fog-Rain-Thunderstorm,214<br />
2002-6-1,24,18,13,13,11,8,94,67,36,998,996,993,24,24,24,53,23,77,0.00,5,Rain-Thunderstorm,250<br />
2002-6-2,16,13,11,12,5,0,94,59,39,1009,1002,996,24,24,19,35,14,50,0.00,5,Rain,304<br />
2002-6-3,17,11,5,3,2,0,70,53,34,1019,1016,1010,24,24,24,26,14,37,0.00,1,,286<br />
2002-6-4,21,13,7,11,6,2,81,56,38,1023,1019,1014,24,24,24,19,10,,0.00,4,,120<br />
2002-6-5,20,17,14,19,16,11,100,94,68,1013,1009,1007,24,8,2,27,18,39,0.00,8,Rain,213<br />
2002-6-6,19,14,11,11,10,8,94,72,56,1020,1016,1012,24,24,24,14,10,,0.00,7,,37<br />
2002-6-7,21,16,10,9,6,3,82,52,31,1024,1022,1020,32,25,24,16,8,,0.00,4,,64<br />
2002-6-8,19,14,11,16,11,6,94,72,48,1022,1020,1016,24,24,24,14,6,,0.00,6,Rain,181<br />
2002-6-9,24,20,16,15,13,8,88,66,46,1019,1016,1014,24,22,19,39,18,47,0.00,5,,287<br />
2002-6-10,20,16,11,12,8,7,82,61,43,1021,1019,1016,24,24,24,21,10,,0.00,5,,270<br />
2002-6-11,17,14,13,13,12,11,100,89,68,1016,1012,1009,24,13,3,26,13,32,0.00,8,Rain,58<br />
2002-6-12,18,14,12,13,12,12,100,89,68,1011,1009,1007,24,17,6,29,23,39,0.00,6,Rain,46<br />
2002-6-13,23,17,11,14,10,8,100,66,38,1013,1011,1010,24,15,1,19,8,27,0.00,3,Fog,239<br />
2002-6-14,23,17,12,12,9,6,88,58,33,1011,1010,1008,32,30,24,23,8,32,0.00,6,,58<br />
2002-6-15,19,14,11,14,11,8,94,84,49,1009,1008,1007,24,14,5,32,16,40,0.00,8,Rain,85<br />
2002-6-16,14,12,10,12,10,8,94,89,82,1007,1004,1003,32,20,3,27,18,37,0.00,8,Rain,69<br />
2002-6-17,18,14,12,14,12,10,100,83,63,1011,1007,1004,32,21,2,32,11,45,0.00,8,Rain,254<br />
2002-6-18,20,17,14,15,14,13,94,86,68,1024,1017,1011,32,26,13,21,13,,0.00,7,Rain,258<br />
2002-6-19,24,17,11,15,12,11,100,70,44,1029,1028,1024,32,19,0,13,5,,0.00,1,Fog,200<br />
2002-6-20,27,20,13,14,13,11,88,61,39,1031,1029,1027,32,28,24,21,6,,0.00,3,Fog,199<br />
2002-6-21,28,22,17,19,16,13,82,65,48,1027,1025,1023,24,18,11,27,14,35,0.00,4,Rain,224<br />
2002-6-22,25,22,19,18,13,9,83,59,39,1028,1025,1024,32,22,10,24,13,34,0.00,6,Rain,82<br />
2002-6-23,28,23,18,21,18,16,94,81,65,1023,1017,1010,21,10,0,80,18,119,0.00,6,Rain-Thunderstorm,220<br />
2002-6-24,25,19,13,19,10,8,94,58,34,1021,1019,1015,24,23,19,29,16,39,0.00,1,,285<br />
2002-6-25,22,18,14,16,14,12,88,75,57,1019,1017,1014,32,27,5,19,6,,0.00,7,Rain,181<br />
2002-6-26,26,21,17,21,18,15,94,80,69,1013,1010,1004,24,12,4,42,13,50,0.00,7,Rain,206<br />
2002-6-27,27,23,20,20,19,18,88,81,65,1003,1002,1001,32,17,2,47,19,72,0.00,7,Rain-Thunderstorm,243<br />
2002-6-28,27,22,18,18,14,11,94,63,39,1014,1008,1004,32,27,3,27,11,40,0.00,3,,297<br />
2002-6-29,27,20,14,14,11,9,88,54,32,1021,1019,1015,32,30,24,14,6,,0.00,3,,268<br />
2002-6-30,29,23,17,19,16,14,88,63,40,1022,1019,1016,32,28,19,24,10,34,0.00,4,,221<br />
2002-7-1,32,27,23,24,20,16,69,66,59,1016,1014,1012,21,15,6,32,19,40,0.00,4,,243<br />
