CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2002-1-1,-18,-20,-22,-22,-24,-27,78,70,65,1040,1037,1033,24,11,1,16,10,,0.00,5,Fog-Snow,204<br />
2002-1-2,-11,-17,-23,-13,-20,-27,92,77,65,1032,1020,1011,24,23,16,26,18,,0.00,4,,138<br />
2002-1-3,-6,-12,-18,-8,-14,-20,100,85,78,1013,1012,1010,24,23,19,16,10,,0.00,5,,285<br />
2002-1-4,0,-4,-9,-3,-8,-11,93,84,74,1017,1015,1013,24,23,16,26,14,,0.00,6,Snow,277<br />
2002-1-5,-2,-4,-7,-4,-6,-9,100,88,80,1027,1021,1016,24,19,1,35,23,35,0.00,7,Snow,305<br />
2002-1-6,1,-4,-10,-2,-7,-11,93,88,75,1028,1020,1010,24,14,1,27,14,29,0.00,6,Fog-Snow,190<br />
2002-1-7,7,0,-7,4,-2,-9,93,84,76,1011,1006,1002,24,24,24,24,13,35,0.00,3,,236<br />
2002-1-8,10,6,1,4,2,-1,93,79,66,1004,1000,998,24,24,24,35,21,47,0.00,3,,266<br />
2002-1-9,3,-1,-4,-2,-3,-5,93,83,70,1019,1011,1005,24,24,24,37,27,48,0.00,3,,292<br />
2002-1-10,4,-2,-8,-2,-6,-9,93,86,65,1020,1019,1017,24,24,24,24,14,,0.00,2,,258<br />
2002-1-11,3,-3,-9,-3,-6,-10,93,77,60,1027,1021,1016,24,24,24,47,21,58,0.00,3,,289<br />
2002-1-12,1,-6,-12,0,-7,-14,100,84,65,1026,1010,995,24,19,0,26,14,35,0.00,6,Fog-Rain,137<br />
2002-1-13,0,-2,-5,0,-3,-6,100,92,80,1013,1005,995,24,7,0,40,23,52,0.00,8,Fog-Snow,323<br />
2002-1-14,-4,-8,-11,-7,-11,-13,86,84,79,1026,1020,1013,24,13,2,48,32,61,0.00,7,Snow,329<br />
2002-1-15,-6,-8,-10,-9,-10,-12,93,86,80,1025,1021,1017,24,14,3,23,10,,0.00,8,Snow,240<br />
2002-1-16,-9,-12,-14,-11,-13,-15,93,88,85,1022,1020,1018,24,10,5,24,14,,0.00,8,Snow,308<br />
2002-1-17,-13,-20,-27,-15,-20,-30,92,79,70,1028,1026,1022,24,19,2,34,18,35,0.00,7,Snow,310<br />
2002-1-18,-7,-15,-23,-10,-16,-26,92,82,77,1025,1016,1006,24,19,4,35,14,47,0.00,7,Snow,220<br />
2002-1-19,-8,-10,-12,-10,-13,-15,93,83,73,1009,1006,1002,24,16,2,32,19,37,0.00,7,Snow,97<br />
2002-1-20,-3,-10,-17,-5,-11,-18,93,89,80,1004,1000,998,24,19,5,23,14,,0.00,6,Snow,169<br />
2002-1-21,-12,-17,-21,-13,-17,-23,92,89,84,1007,1002,998,24,11,1,14,8,,0.00,6,Snow,115<br />
2002-1-22,-16,-19,-24,-17,-23,-28,92,81,65,1020,1013,1006,24,7,1,23,13,,0.00,8,Fog-Snow,351<br />
2002-1-23,-22,-24,-28,-25,-29,-32,77,67,64,1023,1020,1014,24,22,5,19,13,,0.00,5,Snow,118<br />
2002-1-24,-11,-18,-24,-15,-21,-28,79,73,65,1013,1010,1002,24,24,16,24,10,29,0.00,5,,134<br />
2002-1-25,-9,-13,-18,-10,-17,-20,93,84,78,1014,1008,999,24,10,1,40,21,50,0.00,7,Snow,351<br />
2002-1-26,-18,-19,-21,-20,-23,-25,85,72,65,1019,1017,1014,16,10,1,23,14,,0.00,8,Snow,10<br />
2002-1-27,-20,-26,-32,-24,-28,-37,71,67,59,1029,1025,1020,24,18,2,24,14,,0.00,4,Snow,306<br />
2002-1-28,-25,-30,-36,-28,-35,-40,77,70,62,1031,1030,1027,24,21,6,21,8,,0.00,1,Fog,153<br />
2002-1-29,-17,-23,-30,-19,-29,-35,92,74,63,1026,1022,1020,24,21,1,21,11,,0.00,0,Fog,196<br />
2002-1-30,-22,-28,-34,-26,-33,-39,77,69,62,1028,1026,1024,24,16,1,19,8,,0.00,0,Fog,190<br />
2002-1-31,-20,-24,-28,-24,-29,-32,77,71,64,1027,1026,1024,24,24,13,16,11,,0.00,1,,129<br />
