CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2003-1-1,-8,-14,-20,-8,-16,-23,100,89,78,1022,1020,1016,24,18,1,26,11,27,0.00,4,Fog,201<br />
2003-1-2,-2,-8,-14,-2,-9,-14,100,93,86,1015,1011,1004,24,23,16,16,11,,0.00,5,Rain,178<br />
2003-1-3,-1,-7,-12,-1,-6,-12,100,98,92,1013,1008,1003,24,12,0,26,10,,0.00,5,Fog-Rain,189<br />
2003-1-4,-5,-9,-12,-5,-9,-12,100,99,86,1020,1018,1014,19,7,0,16,8,,0.00,2,Fog,201<br />
2003-1-5,-6,-9,-11,-6,-7,-11,100,100,100,1030,1025,1018,24,4,0,19,11,,0.00,7,Fog,129<br />
2003-1-6,1,-4,-9,0,-4,-10,100,97,87,1029,1023,1019,24,20,0,21,13,,0.00,5,Fog,219<br />
2003-1-7,1,-3,-7,-1,-4,-7,100,88,80,1019,1014,1008,24,24,24,23,18,,0.00,3,,223<br />
2003-1-8,4,0,-7,-2,-5,-8,93,70,56,1022,1013,1009,24,21,2,48,29,60,0.00,3,Snow,311<br />
2003-1-9,-8,-15,-22,-12,-17,-24,92,79,68,1034,1031,1024,24,22,5,42,29,52,0.00,4,Snow,319<br />
2003-1-10,-19,-24,-31,-21,-28,-34,85,70,59,1035,1034,1031,24,24,24,19,11,,0.00,2,,315<br />
2003-1-11,-16,-23,-30,-22,-28,-34,77,68,55,1035,1027,1019,24,24,24,21,10,,0.00,2,,147<br />
2003-1-12,-24,-27,-31,-28,-31,-35,77,71,64,1035,1032,1022,24,24,24,26,14,,0.00,3,,352<br />
2003-1-13,-18,-22,-28,-23,-27,-31,77,70,65,1039,1035,1032,24,24,24,16,10,,0.00,6,,343<br />
2003-1-14,-21,-26,-31,-26,-30,-35,77,70,60,1042,1040,1038,24,24,24,16,11,,0.00,3,,272<br />
2003-1-15,-16,-21,-26,-24,-27,-30,77,66,51,1039,1038,1037,24,23,16,13,5,,0.00,4,,341<br />
2003-1-16,-11,-18,-25,-11,-22,-29,100,77,66,1042,1038,1031,24,17,1,24,10,32,0.00,6,Fog,208<br />
2003-1-17,-5,-11,-17,-8,-13,-20,100,83,68,1032,1027,1022,24,23,10,53,23,66,0.00,5,Snow,320<br />
2003-1-18,-8,-14,-20,-11,-16,-23,93,83,73,1030,1022,1014,24,24,24,24,8,,0.00,8,,251<br />
2003-1-19,-8,-13,-21,-9,-17,-25,93,77,61,1024,1017,1010,24,24,10,24,14,27,0.00,8,Snow,360<br />
2003-1-20,-17,-19,-22,-24,-25,-27,71,64,55,1033,1030,1025,24,24,24,23,11,,0.00,8,,318<br />
2003-1-21,-19,-24,-30,-25,-29,-34,84,68,60,1041,1035,1032,24,18,3,24,16,,0.00,4,Snow,306<br />
2003-1-22,-26,-29,-33,-31,-34,-37,70,65,58,1049,1046,1042,24,24,24,16,8,,0.00,2,,7<br />
2003-1-23,-19,-23,-27,-24,-28,-32,71,67,58,1046,1034,1025,24,14,1,27,16,34,0.00,8,Snow,116<br />
2003-1-24,-20,-22,-25,-24,-27,-29,71,68,59,1033,1030,1026,24,17,2,21,14,,0.00,7,Snow,337<br />
2003-1-25,-26,-30,-34,-30,-34,-37,75,65,58,1044,1042,1036,24,24,24,19,11,,0.00,2,,301<br />
2003-1-26,-10,-21,-33,-12,-24,-37,92,74,60,1041,1020,1001,24,15,1,37,16,50,0.00,6,Rain-Snow,152<br />
2003-1-27,-8,-13,-18,-9,-13,-22,93,84,66,1022,1011,1003,24,19,2,26,14,34,0.00,7,Rain-Snow,343<br />
2003-1-28,-18,-22,-28,-23,-26,-31,77,69,60,1035,1032,1024,24,22,10,19,13,,0.00,5,Snow,22<br />
2003-1-29,-10,-19,-29,-13,-21,-33,85,77,62,1034,1021,1010,24,24,13,32,16,,0.00,3,,215<br />
2003-1-30,-6,-11,-15,-8,-13,-16,100,88,79,1016,1010,1006,24,19,5,13,6,,0.00,7,Snow,229<br />
2003-1-31,0,-3,-7,-1,-4,-8,100,95,93,1015,1009,1005,24,13,1,27,11,,0.00,8,Snow,124<br />
2003-2-1,-3,-7,-11,-3,-7,-12,100,96,92,1015,1009,1007,24,5,0,26,13,32,0.00,8,Fog-Snow,62<br />
2003-2-2,-8,-11,-14,-9,-12,-15,93,90,79,1023,1021,1016,24,21,6,19,13,,0.00,8,Snow,297<br />
2003-2-3,-8,-13,-19,-9,-14,-22,93,86,72,1028,1025,1022,24,21,13,19,10,,0.00,8,Snow,82<br />
2003-2-4,-9,-13,-17,-10,-14,-20,93,86,78,1027,1024,1020,24,19,1,16,8,,0.00,8,Snow,270<br />
