PST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2003-1-1,7,6,5,7,4,1,100,89,73,1020,1015,1010,16,12,5,16,13,,24.13,8,Rain,123<br />
2003-1-2,13,10,8,9,8,6,97,84,69,1012,1009,1006,16,14,5,39,18,58,19.81,8,Rain,180<br />
2003-1-3,13,10,8,6,4,2,80,67,49,1021,1018,1013,16,16,16,40,23,50,0.51,7,Rain,155<br />
2003-1-4,12,10,8,11,8,5,100,87,66,1028,1016,1008,16,15,5,29,21,37,14.48,7,Rain,185<br />
2003-1-5,11,8,5,6,4,1,93,81,63,1033,1031,1028,16,16,16,19,10,,0.00,4,,100<br />
2003-1-6,14,8,1,7,2,-2,100,81,40,1028,1024,1021,16,14,10,27,6,35,0.00,1,Fog,91<br />
2003-1-7,12,7,2,4,2,-1,100,74,50,1025,1023,1022,16,16,16,13,5,,0.00,0,Fog,309<br />
2003-1-8,10,7,3,6,3,2,100,88,66,1022,1020,1018,16,15,3,27,16,,0.00,1,Fog,19<br />
2003-1-9,13,8,4,3,-2,-8,93,56,30,1019,1017,1016,16,16,16,24,16,39,0.00,3,,63<br />
2003-1-10,11,7,3,-4,-7,-9,53,38,28,1016,1016,1015,16,16,16,21,13,,0.00,3,,114<br />
2003-1-11,9,6,3,6,1,-4,96,72,48,1016,1014,1012,16,16,11,26,11,,6.10,7,Rain,129<br />
2003-1-12,9,7,6,8,7,6,100,98,93,1020,1016,1013,16,9,0,16,8,,11.18,7,Fog-Rain,64<br />
2003-1-13,9,7,6,8,7,6,100,99,90,1024,1022,1021,16,6,0,19,3,,10.41,8,Fog-Rain,168<br />
2003-1-14,10,7,2,7,6,2,100,93,69,1030,1027,1024,16,16,11,19,10,,0.00,4,,190<br />
2003-1-15,6,3,1,4,2,1,100,97,85,1032,1030,1029,16,6,0,13,3,,0.00,7,Fog,58<br />
2003-1-16,8,6,3,4,3,2,100,89,66,1033,1032,1032,16,9,0,19,8,,0.00,7,Fog,6<br />
2003-1-17,10,7,3,3,2,1,93,78,59,1031,1029,1026,16,16,16,23,16,,0.00,4,,15<br />
2003-1-18,9,6,2,5,3,2,97,85,66,1026,1023,1022,16,16,14,19,13,,0.00,4,,93<br />
2003-1-19,8,7,5,6,3,1,97,86,73,1025,1023,1022,16,16,11,16,11,,0.00,7,,151<br />
2003-1-20,8,6,3,6,5,3,100,95,86,1022,1020,1017,16,9,1,14,5,,0.00,7,Fog,9<br />
2003-1-21,7,6,5,6,6,4,100,98,93,1018,1016,1015,16,5,2,19,6,,13.97,8,Rain,33<br />
2003-1-22,11,8,6,8,7,3,100,91,73,1016,1011,1009,16,12,3,34,14,50,20.57,8,Rain-Thunderstorm,141<br />
2003-1-23,12,10,8,8,7,4,96,84,66,1024,1020,1013,16,14,5,39,23,52,19.30,8,Rain,196<br />
2003-1-24,11,9,8,11,9,6,100,96,86,1021,1019,1018,16,14,6,23,10,,10.67,8,Rain,159<br />
2003-1-25,13,10,8,12,10,8,100,97,88,1022,1019,1014,16,12,2,16,10,,11.68,8,Rain,157<br />
2003-1-26,14,11,9,13,6,-12,100,75,17,1019,1014,1011,16,13,3,35,21,50,18.29,8,Rain,207<br />
2003-1-27,10,9,7,9,7,1,100,92,58,1022,1019,1017,16,15,8,23,11,,3.56,8,Rain,210<br />
2003-1-28,11,8,4,7,6,4,100,91,68,1025,1024,1021,16,16,10,11,6,,0.25,6,,206<br />
2003-1-29,9,7,5,9,7,3,100,96,74,1021,1017,1015,16,14,4,21,11,,10.41,8,Rain,173<br />
2003-1-30,12,11,9,12,10,9,100,99,89,1020,1016,1011,16,9,2,26,11,39,13.21,8,Rain,192<br />
2003-1-31,12,10,8,11,9,7,100,94,86,1014,1013,1012,16,14,3,32,23,40,2.79,8,Rain,201<br />
2003-2-1,9,7,6,7,6,5,100,91,76,1024,1019,1015,16,16,16,24,14,34,0.25,7,Rain,194<br />
2003-2-2,9,8,6,7,6,4,100,93,76,1028,1026,1023,16,16,13,16,6,,0.25,8,Rain,217<br />
2003-2-3,8,6,4,6,4,3,100,89,71,1030,1028,1027,16,14,4,16,8,,1.78,7,Rain,68<br />
2003-2-4,7,4,2,4,3,2,100,90,73,1032,1030,1029,16,15,11,13,6,,0.00,6,,12<br />
2003-2-5,7,4,1,3,2,0,100,92,71,1029,1028,1027,16,12,0,21,6,,0.00,3,Fog,31<br />
2003-2-6,8,3,-2,4,2,-2,100,97,77,1032,1031,1029,16,7,0,16,6,,0.00,4,Fog,18<br />
2003-2-7,6,2,-1,3,2,-1,100,96,81,1029,1026,1024,14,5,0,16,6,,0.00,4,Fog,16<br />
2003-2-8,4,2,1,2,2,1,100,97,86,1025,1024,1023,13,5,0,13,8,,0.00,8,Fog,50<br />
2003-2-9,4,2,0,3,2,0,100,98,86,1025,1024,1022,16,5,0,21,6,,0.25,8,Fog-Rain,106<br />
2003-2-10,6,3,1,4,2,1,100,95,76,1028,1026,1023,16,7,0,16,6,,0.00,6,Fog,30<br />
2003-2-11,10,4,-1,3,1,-1,100,88,57,1023,1018,1014,16,10,0,27,13,,0.00,1,Fog,10<br />
2003-2-12,11,4,-1,5,2,-1,100,91,61,1016,1013,1008,16,9,0,14,3,,0.00,2,Fog,342<br />
2003-2-13,9,6,3,5,4,2,97,86,74,1013,1008,1006,16,16,14,19,10,,0.00,7,,168<br />
2003-2-14,11,8,6,7,6,4,93,85,74,1017,1015,1011,16,16,14,16,10,,0.00,8,,171<br />
2003-2-15,11,7,4,8,6,3,100,88,73,1010,1007,1004,16,14,8,23,8,32,8.38,8,Rain,157<br />
2003-2-16,9,7,6,7,6,4,100,92,77,1014,1008,1004,16,15,6,26,13,35,18.03,8,Rain,203<br />
2003-2-17,9,7,4,6,4,3,100,88,71,1019,1017,1014,16,15,8,27,18,37,1.02,7,Rain,202<br />
2003-2-18,9,6,3,5,4,3,100,90,71,1023,1021,1018,16,11,1,16,5,,0.25,7,Fog-Rain,181<br />
2003-2-19,8,7,6,7,6,3,96,90,79,1019,1017,1016,16,16,10,26,13,37,1.27,8,Rain,190<br />
2003-2-20,10,8,6,9,6,4,100,89,80,1018,1015,1012,16,14,2,37,26,50,1.02,8,Rain,205<br />
2003-2-21,10,8,5,8,7,5,100,95,83,1019,1016,1013,16,11,1,29,21,40,9.65,8,Fog-Rain-Hail-Thunderstorm,212<br />
2003-2-22,9,7,4,5,4,2,96,84,61,1022,1020,1019,16,16,11,19,10,,0.25,7,Rain,207<br />
2003-2-23,8,4,2,3,-3,-14,100,67,30,1020,1020,1019,16,15,11,34,11,42,0.00,3,,80<br />
2003-2-24,8,3,-1,-6,-12,-17,66,35,25,1021,1020,1019,16,16,16,26,18,32,0.00,0,,41<br />
2003-2-25,9,3,-3,-4,-7,-13,81,50,26,1020,1016,1011,16,16,16,13,8,,0.00,4,,8<br />
2003-2-26,8,4,1,-1,-3,-8,78,56,41,1014,1011,1009,16,16,16,13,3,,0.00,6,,164<br />
2003-2-27,9,5,1,3,-1,-2,79,64,46,1019,1018,1015,16,16,16,14,6,,0.00,5,,104<br />
2003-2-28,7,6,4,6,4,-1,100,90,67,1019,1017,1015,16,16,10,19,11,,1.78,8,Rain,140<br />
2003-3-1,11,6,2,5,3,2,100,84,59,1023,1022,1019,16,15,5,14,8,,0.00,4,,35<br />
2003-3-2,6,4,3,6,4,2,100,96,89,1022,1017,1014,16,13,3,19,8,,5.84,8,Rain,137<br />
2003-3-3,8,6,4,4,3,2,97,84,68,1018,1016,1013,16,15,10,16,10,,0.00,6,,57<br />
2003-3-4,9,6,3,5,3,1,93,82,56,1013,1012,1010,16,16,16,19,10,,0.00,7,,189<br />
2003-3-5,8,7,4,6,4,2,93,83,68,1010,1006,1004,16,16,14,45,27,58,0.00,7,,223<br />
2003-3-6,8,6,4,3,2,1,89,82,71,1008,1007,1006,16,16,16,37,26,52,0.00,7,,220<br />
2003-3-7,7,4,2,3,2,-1,100,89,68,1014,1008,1006,16,14,4,24,14,34,8.13,8,Rain-Snow-Hail,214<br />
2003-3-8,6,4,3,5,3,0,100,92,76,1018,1016,1013,16,13,5,14,5,,3.30,8,Rain,79<br />
