PST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2003-1-1,8,7,6,6,6,4,93,86,81,1017,1013,1009,24,18,6,35,21,52,0.00,8,Rain,127<br />
2003-1-2,11,9,8,9,8,6,94,87,76,1008,1005,1001,32,18,5,32,19,48,0.00,7,Rain,145<br />
2003-1-3,11,9,7,7,5,3,87,74,66,1020,1015,1005,24,21,13,39,21,58,0.00,5,Rain,164<br />
2003-1-4,13,9,5,10,7,3,94,83,66,1025,1013,1007,32,24,8,26,11,37,0.00,6,Rain,236<br />
2003-1-5,10,7,3,6,5,3,100,88,76,1033,1031,1027,32,25,13,13,6,,0.00,5,,164<br />
2003-1-6,11,6,2,5,2,1,100,88,66,1030,1025,1021,32,26,24,11,6,,0.00,0,,270<br />
2003-1-7,11,6,1,5,2,0,93,87,62,1025,1023,1022,32,31,24,11,6,,0.00,1,,255<br />
2003-1-8,11,6,1,5,2,0,93,83,62,1024,1022,1020,32,29,24,14,10,,0.00,1,,274<br />
2003-1-9,10,6,1,3,-1,-3,87,73,40,1022,1020,1018,32,32,32,11,8,,0.00,2,,276<br />
2003-1-10,7,2,-2,-1,-2,-3,93,78,53,1019,1017,1017,32,32,32,13,10,,0.00,2,,289<br />
2003-1-11,5,2,0,5,1,-2,100,85,70,1017,1014,1012,32,21,6,11,8,,0.00,7,Rain,286<br />
2003-1-12,8,7,6,6,6,5,93,92,87,1021,1016,1012,24,10,5,14,5,,0.00,8,Rain,297<br />
2003-1-13,8,7,5,6,5,4,93,89,81,1023,1022,1020,24,20,5,14,6,,0.00,8,Rain,307<br />
2003-1-14,10,6,1,5,3,0,100,88,66,1030,1027,1023,32,22,0,14,8,,0.00,3,Fog-Rain,253<br />
2003-1-15,7,6,4,4,3,2,100,89,76,1033,1031,1030,32,21,2,13,8,,0.00,8,,283<br />
2003-1-16,9,6,2,4,3,1,93,85,66,1035,1033,1033,32,32,32,13,5,,0.00,7,,287<br />
2003-1-17,10,6,1,4,2,0,93,84,66,1033,1031,1028,32,32,32,10,6,,0.00,5,,290<br />
2003-1-18,11,6,0,6,2,-1,100,88,66,1027,1024,1021,32,5,0,11,5,,0.00,4,Fog,285<br />
2003-1-19,9,6,3,7,6,2,100,93,87,1024,1023,1022,19,7,0,16,5,,0.00,8,Fog-Rain,196<br />
2003-1-20,8,6,3,7,6,3,100,92,87,1023,1021,1019,24,11,1,10,5,,0.00,8,Fog-Rain,291<br />
2003-1-21,6,4,4,5,4,2,93,91,76,1019,1018,1017,24,14,3,19,8,29,0.00,8,Rain,309<br />
