PST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2001-1-1,-3,-6,-8,-8,-9,-12,86,75,68,1010,1008,1007,,,,29,19,,0.00,5,,179<br />
2001-1-2,-2,-4,-6,-5,-7,-9,86,80,74,1007,1003,995,10,3,1,32,18,,0.00,6,Snow,175<br />
2001-1-3,3,-2,-6,-1,-3,-8,93,80,60,996,988,983,24,7,2,34,16,48,0.00,7,Rain-Snow,172<br />
2001-1-4,1,-2,-6,-4,-7,-9,80,71,64,1004,1000,992,,,,29,21,40,0.00,6,Snow,165<br />
2001-1-5,-5,-7,-10,-8,-9,-13,86,81,74,1003,992,988,32,18,3,13,5,,0.00,7,Snow,207<br />
2001-1-6,1,-6,-11,-4,-7,-14,79,69,55,1007,1004,1001,,,,45,19,47,0.00,5,,166<br />
2001-1-7,3,1,0,-2,-4,-6,75,65,56,1000,990,983,,,,55,40,71,0.00,7,,170<br />
2001-1-8,2,-1,-4,-3,-6,-8,75,69,55,991,986,982,32,32,32,27,23,,0.00,5,Snow,171<br />
2001-1-9,-2,-6,-8,-7,-9,-13,80,70,63,995,991,988,32,21,6,34,23,,0.00,5,Snow,183<br />
2001-1-10,-9,-13,-18,-14,-18,-22,79,73,66,1015,1004,995,,,,10,5,,0.00,6,Snow,346<br />
2001-1-11,-11,-14,-18,-15,-19,-23,79,70,66,1023,1021,1016,,,,37,11,52,0.00,6,,178<br />
2001-1-12,-9,-13,-16,-14,-17,-20,72,66,58,1020,1012,1008,,,,48,37,66,0.00,7,,175<br />
2001-1-13,-4,-7,-9,-9,-11,-13,74,72,68,1017,1013,1009,,,,39,29,47,0.00,5,,181<br />
2001-1-14,0,-3,-6,-5,-8,-10,74,71,64,1022,1020,1017,,,,34,29,52,0.00,7,,172<br />
2001-1-15,3,1,0,-3,-4,-6,70,68,60,1017,1015,1012,,,,45,27,52,0.00,4,,155<br />
2001-1-16,4,-2,-8,-7,-9,-12,79,66,45,1020,1018,1013,,,,27,16,40,0.00,3,,171<br />
2001-1-17,0,-3,-7,-3,-7,-11,86,79,74,1019,1012,1009,32,16,6,40,27,52,0.00,6,Snow,177<br />
2001-1-18,2,0,-2,-4,-6,-6,75,69,60,1013,1008,1002,,,,34,27,45,0.00,5,,175<br />
2001-1-19,0,-2,-4,-6,-7,-8,74,70,64,1009,1006,1004,,,,37,26,,0.00,3,,175<br />
2001-1-20,-4,-8,-12,-9,-12,-15,79,75,68,1009,1007,1005,,,,29,14,27,0.00,4,,166<br />
2001-1-21,-5,-8,-11,-9,-12,-15,80,73,68,1012,1010,1006,,,,40,29,45,0.00,3,,173<br />
2001-1-22,-1,-4,-7,-5,-7,-10,86,76,64,1015,1012,1007,32,21,3,32,24,,0.00,6,Snow,168<br />
2001-1-23,-1,-3,-4,-4,-6,-6,93,80,74,1011,1010,1009,5,5,5,34,19,34,0.00,7,,181<br />
