EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2001-1-1,-4,-7,-8,-9,-11,-12,79,69,63,1030,1028,1025,24,24,19,21,14,,0.00,6,Snow,336<br />
2001-1-2,-4,-9,-13,-9,-12,-15,93,80,68,1035,1033,1031,24,24,16,24,14,,0.00,2,Snow,272<br />
2001-1-3,-5,-10,-15,-5,-11,-16,100,89,79,1030,1021,1016,24,10,3,39,24,47,0.00,6,Snow,233<br />
2001-1-4,-3,-4,-5,-5,-7,-9,100,79,69,1019,1016,1007,24,15,3,40,18,77,0.00,7,Snow,249<br />
2001-1-5,2,-1,-3,1,-2,-4,100,89,65,1006,999,995,24,10,1,37,27,52,0.00,8,Rain-Snow,265<br />
2001-1-6,1,-2,-4,-2,-5,-6,86,75,65,1009,1007,1005,24,23,16,26,18,40,0.00,6,,248<br />
2001-1-7,0,-1,-2,-1,-2,-5,93,88,80,1012,1008,1004,24,12,3,19,14,,0.00,8,Snow,248<br />
2001-1-8,0,-5,-10,-3,-9,-14,93,78,68,1020,1015,1012,24,20,5,21,13,,0.00,5,Snow,353<br />
2001-1-9,-4,-9,-13,-8,-12,-16,85,76,68,1023,1020,1018,24,24,24,27,19,37,0.00,2,,282<br />
2001-1-10,2,-3,-8,-5,-7,-10,86,74,60,1021,1019,1018,24,22,11,34,24,45,0.00,0,,243<br />
2001-1-11,2,-1,-4,-2,-5,-7,93,76,65,1021,1020,1018,24,17,10,27,18,37,0.00,5,,231<br />
2001-1-12,0,-2,-3,-2,-3,-4,93,90,80,1026,1023,1020,11,5,2,14,6,,0.00,8,,105<br />
2001-1-13,0,-1,-2,0,-1,-2,100,96,87,1027,1025,1024,8,3,0,19,10,,0.00,8,Fog,206<br />
2001-1-14,2,-1,-3,2,-1,-3,100,99,93,1024,1020,1016,3,1,0,21,10,,0.00,8,Fog-Rain,117<br />
2001-1-15,3,2,1,3,1,0,100,96,87,1015,1013,1011,16,6,0,27,16,39,0.00,8,Fog-Rain-Snow,224<br />
2001-1-16,2,1,1,0,-1,-2,93,87,75,1023,1019,1014,24,12,4,26,21,,0.00,8,Snow,261<br />
2001-1-17,1,-1,-3,-1,-2,-5,100,87,75,1025,1024,1023,24,13,4,21,13,,0.00,7,Snow,259<br />
2001-1-18,-1,-3,-5,-3,-4,-6,93,87,80,1022,1018,1014,24,11,4,26,16,29,0.00,6,Snow,235<br />
2001-1-19,-1,-4,-7,-3,-6,-12,93,79,68,1022,1017,1014,24,16,6,29,14,39,0.00,7,Snow,2<br />
2001-1-20,-6,-8,-10,-9,-11,-13,93,78,58,1024,1022,1021,24,22,16,21,14,,0.00,5,Snow,27<br />
2001-1-21,-4,-7,-10,-7,-10,-13,86,79,73,1029,1025,1022,24,20,6,27,16,,0.00,4,Snow,251<br />
2001-1-22,-1,-3,-5,-5,-6,-7,93,80,69,1032,1030,1026,24,16,11,19,11,,0.00,6,,219<br />
2001-1-23,2,-1,-4,-3,-4,-5,93,82,70,1025,1021,1018,10,8,8,24,18,,0.00,6,,229<br />
2001-1-24,0,-2,-4,-2,-4,-8,100,82,69,1022,1017,1016,24,6,0,29,13,37,0.00,7,Snow,284<br />
2001-1-25,-3,-6,-8,-8,-9,-12,80,72,64,1030,1027,1022,24,24,19,27,18,34,0.00,3,Snow,296<br />
2001-1-26,-1,-6,-9,-2,-7,-11,100,85,69,1027,1017,1007,24,13,1,27,16,,0.00,6,Snow,205<br />
2001-1-27,-1,-3,-7,-2,-6,-10,100,80,68,1024,1017,1007,24,17,5,34,21,40,0.00,6,Snow,283<br />
2001-1-28,-4,-7,-9,-7,-9,-12,86,80,73,1027,1026,1023,24,17,11,24,18,,0.00,6,,238<br />
2001-1-29,2,-4,-8,0,-3,-9,93,91,86,1026,1018,1007,16,8,3,21,8,,0.00,8,Rain-Snow,141<br />
2001-1-30,5,3,2,5,2,0,100,96,87,1006,998,995,16,5,0,24,11,27,0.00,8,Fog-Rain,199<br />
2001-1-31,4,2,1,1,-1,-4,93,81,56,1010,1004,996,24,18,6,34,21,37,0.00,8,Rain-Snow,253<br />
2001-2-1,2,0,-1,0,-2,-4,87,80,65,1020,1017,1011,24,18,6,27,19,27,0.00,7,Snow,245<br />
2001-2-2,0,-4,-9,-1,-10,-14,100,68,54,1025,1019,1014,24,20,4,39,24,50,0.00,6,Snow,279<br />
2001-2-3,-3,-7,-10,-8,-11,-13,86,75,68,1027,1025,1022,24,20,11,26,18,32,0.00,7,Snow,217<br />
2001-2-4,3,0,-3,0,-3,-8,93,82,69,1021,1017,1015,24,16,2,21,16,,0.00,8,Snow,201<br />
2001-2-5,3,1,0,1,-1,-4,93,87,75,1015,1014,1012,16,9,2,26,14,27,0.00,8,Snow,238<br />
2001-2-6,2,0,-2,0,-2,-6,100,87,69,1022,1015,1012,24,8,2,26,18,60,0.00,8,Snow,259<br />
2001-2-7,1,-1,-3,-4,-6,-7,80,71,60,1029,1027,1023,24,23,16,19,13,,0.00,6,,227<br />
2001-2-8,3,0,-1,3,-1,-3,100,87,80,1028,1022,1015,24,9,0,24,13,,0.00,8,Fog-Rain-Snow-Thunderstorm,92<br />
2001-2-9,11,8,2,10,7,-1,100,91,76,1015,1005,995,24,8,0,42,23,61,0.00,8,Fog-Rain-Snow,214<br />
2001-2-10,0,-3,-6,-3,-12,-14,80,58,46,1034,1025,1006,24,24,16,50,34,61,0.00,5,Snow,304<br />
2001-2-11,-5,-7,-9,-10,-13,-15,74,62,50,1040,1038,1034,24,24,24,21,13,,0.00,3,,54<br />
2001-2-12,2,-3,-7,-3,-7,-9,93,74,55,1035,1028,1024,24,23,19,21,14,,0.00,4,,163<br />
2001-2-13,3,0,-2,-1,-2,-4,93,80,70,1029,1027,1022,24,15,10,16,10,,0.00,6,,215<br />
2001-2-14,3,1,0,3,1,-2,100,95,81,1021,1014,1009,19,4,0,23,8,29,0.00,8,Fog-Rain-Snow,45<br />
2001-2-15,0,-2,-3,-2,-5,-7,93,79,69,1021,1019,1015,24,19,13,24,14,,0.00,7,Snow,56<br />
2001-2-16,2,-1,-4,-2,-4,-10,93,81,64,1020,1018,1016,24,14,8,29,11,39,0.00,8,Snow,318<br />
2001-2-17,-4,-7,-9,-11,-15,-18,63,53,43,1032,1028,1021,24,24,24,34,26,50,0.00,5,Snow,310<br />
2001-2-18,-2,-6,-10,-10,-13,-15,79,59,40,1032,1030,1026,24,24,24,34,19,47,0.00,2,Snow,258<br />
2001-2-19,6,1,-4,-1,-6,-10,69,59,45,1025,1018,1013,24,24,16,39,24,50,0.00,6,,230<br />
2001-2-20,6,2,-2,0,-3,-12,93,66,42,1022,1018,1016,24,19,8,37,16,50,0.00,5,,266<br />
2001-2-21,-3,-6,-8,-11,-17,-21,63,43,28,1033,1030,1022,24,24,24,32,21,47,0.00,2,Snow,319<br />
2001-2-22,-3,-7,-9,-5,-10,-14,86,74,59,1030,1022,1016,24,19,4,23,13,,0.00,7,Snow,156<br />
2001-2-23,1,-2,-4,-5,-8,-11,80,62,41,1033,1024,1016,24,17,1,34,23,40,0.00,5,Snow,296<br />
2001-2-24,1,-2,-5,0,-6,-10,93,80,68,1033,1026,1012,24,13,2,34,19,47,0.00,7,Rain-Snow,112<br />
2001-2-25,11,6,1,8,2,-5,93,77,61,1017,1006,1000,24,22,5,61,31,82,0.00,7,Rain-Snow,230<br />
2001-2-26,5,2,0,-2,-4,-6,81,65,56,1029,1025,1018,24,24,24,35,24,47,0.00,6,Snow,269<br />
2001-2-27,1,-1,-3,-3,-8,-13,75,57,41,1028,1026,1025,24,23,19,27,16,32,0.00,6,Snow,311<br />
2001-2-28,0,-4,-9,-11,-14,-16,63,49,34,1026,1023,1016,24,24,24,26,19,32,0.00,2,,298<br />
2001-3-1,2,-2,-6,-3,-9,-15,80,60,43,1016,1012,1007,24,24,19,26,16,,0.00,5,,256<br />
2001-3-2,7,3,-1,1,-2,-5,81,72,57,1007,1005,1002,24,19,16,32,18,40,0.00,7,,262<br />
2001-3-3,5,1,-2,-2,-3,-5,86,71,52,1013,1011,1007,24,16,8,19,11,,0.00,3,,98<br />
2001-3-4,4,1,-2,-2,-4,-5,86,75,61,1013,1011,1009,24,16,11,24,13,35,0.00,6,,56<br />
2001-3-5,-1,-3,-6,-4,-10,-16,86,64,43,1013,1011,1008,24,19,3,35,24,50,0.00,6,Snow,318<br />
2001-3-6,0,-2,-5,-6,-7,-9,86,71,60,1017,1014,1009,24,19,4,37,31,50,0.00,8,Snow,336<br />
2001-3-7,1,-1,-2,-4,-6,-7,86,72,60,1018,1017,1014,24,23,19,19,14,,0.00,6,Snow,284<br />
2001-3-8,2,0,-1,-2,-4,-6,93,74,56,1013,1011,1010,24,11,1,26,14,35,0.00,8,Snow,258<br />
2001-3-9,1,-1,-3,-4,-6,-8,86,70,55,1019,1015,1012,24,21,6,24,18,29,0.00,7,Snow,303<br />
2001-3-10,6,1,-4,-3,-6,-9,80,59,46,1020,1016,1010,24,24,16,26,14,35,0.00,4,,247<br />
2001-3-11,6,2,-3,1,-4,-7,93,65,42,1024,1016,1008,24,21,8,27,23,37,0.00,5,Rain-Snow,299<br />
2001-3-12,5,-1,-4,4,-3,-7,100,81,60,1023,1013,1001,24,17,2,32,19,40,0.00,6,Rain,117<br />
2001-3-13,7,4,2,7,2,-3,100,83,65,1002,998,993,24,12,0,42,21,55,0.00,8,Fog-Rain-Snow,250<br />
2001-3-14,10,6,1,1,-3,-5,76,58,40,1013,1009,1003,24,23,13,34,23,40,0.00,5,Snow,265<br />
2001-3-15,6,3,1,3,1,-3,93,81,70,1014,1012,1011,24,20,6,35,14,45,0.00,7,Rain,52<br />
2001-3-16,2,1,0,-1,-3,-5,93,80,65,1014,1012,1009,24,14,1,40,29,52,0.00,8,Snow,48<br />
2001-3-17,1,-1,-3,-2,-4,-7,93,79,69,1026,1020,1015,24,9,1,24,18,34,0.00,7,Snow,4<br />
2001-3-18,5,0,-5,-3,-6,-9,80,65,52,1032,1030,1027,24,24,24,14,10,,0.00,0,,248<br />
2001-3-19,8,2,-4,-2,-4,-7,93,62,37,1033,1031,1029,24,24,24,14,6,,0.00,3,,152<br />
2001-3-20,9,4,0,0,-3,-6,75,62,50,1029,1026,1023,24,23,16,19,14,,0.00,6,,96<br />
2001-3-21,10,5,0,1,-2,-3,93,70,40,1023,1020,1017,24,21,10,21,11,,0.00,4,,55<br />
2001-3-22,12,6,1,-1,-3,-4,75,56,33,1018,1017,1015,24,21,13,23,11,,0.00,1,,36<br />
2001-3-23,12,7,2,-1,-3,-6,75,50,30,1014,1013,1011,24,23,13,27,14,29,0.00,3,,291<br />
2001-3-24,5,1,-4,-1,-8,-13,75,53,41,1021,1015,1009,24,24,24,45,24,53,0.00,6,Snow,309<br />
2001-3-25,-2,-4,-7,-5,-11,-15,86,62,43,1021,1019,1017,24,16,0,32,19,45,0.00,6,Snow,291<br />
2001-3-26,-2,-7,-11,-5,-13,-17,93,59,39,1024,1022,1020,24,21,3,32,19,35,0.00,5,Snow,280<br />
2001-3-27,2,-2,-6,-7,-8,-9,86,63,48,1027,1026,1024,24,20,5,23,13,34,0.00,5,Snow,275<br />
2001-3-28,7,1,-4,-4,-6,-7,80,57,39,1026,1023,1020,24,16,11,19,10,,0.00,5,,208<br />
2001-3-29,8,4,1,2,-1,-4,87,73,57,1020,1019,1017,24,15,8,19,8,,0.00,8,Rain,91<br />
2001-3-30,8,4,1,2,0,-2,81,74,62,1017,1014,1013,13,10,5,26,19,35,0.00,6,,40<br />
2001-3-31,6,3,1,2,1,-1,93,83,70,1014,1012,1009,24,8,2,16,8,,0.00,8,Rain,83<br />
2001-4-1,3,1,0,1,0,-2,93,88,81,1014,1009,1005,24,11,3,19,10,,0.00,8,Rain,7<br />
2001-4-2,12,6,1,0,-2,-5,87,59,30,1017,1016,1014,24,24,19,21,11,32,0.00,4,,247<br />
2001-4-3,9,6,2,2,1,-1,93,75,50,1027,1020,1015,24,14,5,34,16,39,0.00,6,Rain,51<br />
2001-4-4,12,6,1,1,-1,-4,93,64,38,1031,1029,1027,24,20,6,19,13,27,0.00,2,,61<br />
2001-4-5,14,7,1,2,-1,-4,93,58,31,1029,1025,1017,24,22,6,19,10,27,0.00,6,Rain,86<br />
2001-4-6,21,13,7,16,10,1,100,82,66,1015,1012,1010,24,8,0,27,11,39,0.00,7,Fog-Rain,201<br />
2001-4-7,18,12,6,16,9,5,100,90,82,1016,1012,1006,19,7,2,29,16,39,0.00,7,Rain-Thunderstorm,104<br />
2001-4-8,26,22,18,17,11,6,88,55,29,1012,1009,1007,24,23,14,42,26,52,0.00,0,,256<br />
2001-4-9,14,10,6,7,4,2,87,78,63,1016,1013,1010,24,21,8,27,19,35,0.00,7,Rain-Thunderstorm,55<br />
2001-4-10,10,8,5,7,4,2,93,85,81,1019,1016,1015,24,14,6,24,14,,0.00,8,Rain,81<br />
2001-4-11,14,10,7,12,8,4,94,88,76,1017,1013,1008,24,12,5,27,14,,0.00,8,Rain,102<br />
2001-4-12,22,17,13,15,9,4,94,64,40,1009,1004,1000,24,20,5,63,27,89,0.00,5,Rain-Thunderstorm,223<br />
