CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2001-1-1,-18,-22,-26,-23,-27,-30,71,65,59,1033,1029,1024,24,19,5,40,24,50,0.00,1,Snow,182<br />
2001-1-2,-11,-16,-19,-13,-21,-24,85,73,66,1024,1022,1021,24,17,1,29,16,,0.00,4,Snow,233<br />
2001-1-3,-5,-9,-12,-7,-9,-14,86,84,79,1021,1017,1012,24,13,3,23,13,,0.00,7,,176<br />
2001-1-4,0,-3,-6,-3,-6,-9,86,80,75,1011,1001,995,24,24,24,45,21,55,0.00,5,,245<br />
2001-1-5,0,-9,-17,-4,-16,-21,80,74,67,1018,1011,996,24,17,0,61,29,71,0.00,6,Snow,141<br />
2001-1-6,-4,-12,-19,-5,-12,-21,93,81,73,1016,1005,993,24,14,0,48,31,58,0.00,7,Snow,327<br />
2001-1-7,-8,-12,-19,-10,-13,-21,100,85,73,1023,1020,1017,24,14,2,26,10,,0.00,8,Snow,293<br />
2001-1-8,-12,-17,-22,-16,-19,-24,92,81,73,1025,1023,1018,24,24,24,34,13,29,0.00,3,,207<br />
2001-1-9,-4,-10,-14,-9,-12,-17,85,77,68,1017,1010,1005,24,24,19,37,31,47,0.00,2,Snow,189<br />
2001-1-10,-5,-10,-15,-9,-12,-17,93,83,74,1017,1011,1005,24,19,0,19,11,,0.00,2,Fog,303<br />
2001-1-11,-11,-14,-18,-12,-16,-20,100,91,78,1020,1019,1017,24,11,0,11,5,,0.00,4,Fog,14<br />
2001-1-12,-9,-12,-14,-10,-13,-16,100,90,85,1022,1020,1018,24,6,0,14,6,,0.00,4,Fog,192<br />
2001-1-13,-7,-11,-15,-8,-11,-16,93,91,86,1025,1024,1022,19,4,0,26,10,,0.00,7,Fog,28<br />
2001-1-14,-7,-11,-15,-8,-11,-17,93,91,85,1024,1023,1023,19,6,2,23,16,,0.00,8,Snow,15<br />
2001-1-15,-12,-16,-19,-15,-17,-21,85,82,78,1028,1025,1023,24,20,5,24,11,,0.00,7,Snow,334<br />
2001-1-16,-14,-17,-20,-17,-20,-23,79,77,72,1031,1029,1025,24,21,10,26,13,,0.00,4,Snow,314<br />
2001-1-17,-2,-9,-16,-5,-11,-19,93,81,72,1024,1012,1007,24,17,2,39,27,52,0.00,7,Snow,249<br />
