LKT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2003-1-1,33,27,21,22,20,14,94,75,31,1013,1011,1009,10,9,4,21,8,,0.00,1,,23<br />
2003-1-2,31,24,19,21,19,18,100,72,46,1014,1012,1009,10,9,9,23,6,,0.00,1,,15<br />
2003-1-3,32,26,20,23,21,18,94,73,43,1014,1012,1009,10,10,9,26,8,,0.00,2,,31<br />
2003-1-4,30,27,23,23,22,22,94,80,66,1013,1011,1009,10,10,9,26,18,,0.00,4,,21<br />
2003-1-5,31,27,23,24,23,21,94,81,62,1013,1011,1009,10,10,9,27,16,,0.00,4,Rain,24<br />
2003-1-6,31,27,24,25,23,22,100,85,58,1014,1012,1010,10,10,9,26,8,,0.00,-996,Rain,40<br />
2003-1-7,29,26,23,24,23,22,94,88,70,1018,1013,1011,10,9,8,26,14,,0.00,5,Rain,26<br />
2003-1-8,31,27,24,25,23,21,100,82,62,1014,1012,1009,10,10,8,21,13,,0.00,3,Rain-Thunderstorm,16<br />
2003-1-9,31,27,24,25,24,23,100,86,66,1015,1012,1010,10,9,4,19,5,,0.00,3,Rain-Thunderstorm,337<br />
2003-1-10,30,27,23,24,24,23,100,86,70,1015,1012,1009,10,10,6,23,5,,0.00,-831,Thunderstorm,14<br />
2003-1-11,32,28,24,24,23,22,94,80,59,1015,1012,1010,10,10,9,27,16,,0.00,4,Rain,23<br />
2003-1-12,32,27,22,21,19,18,88,69,46,1014,1012,1010,10,10,9,37,23,,0.00,1,,26<br />
2003-1-13,32,26,21,22,20,17,94,72,40,1014,1012,1009,10,10,8,29,19,,0.00,1,,16<br />
2003-1-14,32,26,20,21,19,18,100,69,43,1014,1012,1009,10,10,9,34,18,,0.00,1,,30<br />
2003-1-15,31,26,22,22,22,20,94,77,58,1015,1013,1010,10,10,7,32,19,,0.00,5,Rain,29<br />
2003-1-16,29,26,22,22,21,20,100,81,58,1015,1013,1010,10,9,5,37,14,,0.00,7,Rain,37<br />
2003-1-17,31,27,23,23,22,21,89,75,58,1014,1012,1010,10,10,9,34,21,,0.00,5,,29<br />
2003-1-18,32,28,24,23,22,21,94,76,55,1013,1011,1009,10,10,10,40,24,,0.00,3,,27<br />
2003-1-19,31,27,24,24,23,22,100,86,58,1013,1011,1009,10,10,9,23,14,,0.00,3,Thunderstorm,27<br />
2003-1-20,32,27,23,24,23,22,100,81,55,1012,1010,1008,10,10,9,29,11,,0.00,4,,24<br />
2003-1-21,31,27,24,25,23,22,94,79,62,1012,1010,1008,10,10,9,26,14,,0.00,4,,27<br />
2003-1-22,32,28,25,24,23,21,94,74,58,1012,1010,1007,10,10,10,26,16,,0.00,4,,35<br />
2003-1-23,30,27,24,25,23,22,100,82,66,1011,1009,1007,10,10,9,23,11,,0.00,-830,Rain-Thunderstorm,24<br />
2003-1-24,34,28,23,24,21,15,100,75,32,1010,1008,1006,10,10,7,23,5,,0.00,4,,58<br />
2003-1-25,30,27,23,24,22,19,100,79,62,1011,1008,1007,10,9,4,23,8,,0.00,3,,3<br />
2003-1-26,32,27,22,21,19,17,94,68,48,1012,1010,1008,10,10,8,23,13,,0.00,3,,21<br />
