MVT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2001-1-1,30,28,26,24,22,21,79,73,62,1012,1010,1008,10,10,10,13,6,,0.00,2,,337<br />
2001-1-2,31,29,27,24,24,23,84,77,66,1012,1010,1008,10,10,10,16,10,,0.00,3,,10<br />
2001-1-3,30,28,27,25,24,23,84,79,70,1013,1011,1009,10,10,10,16,13,,0.00,2,,58<br />
2001-1-4,30,28,27,25,24,23,89,77,66,1012,1011,1008,10,10,10,24,21,,0.00,1,,84<br />
2001-1-5,31,29,27,25,24,23,89,78,66,1012,1010,1009,10,10,10,35,21,,0.00,1,,95<br />
2001-1-6,30,28,27,25,24,23,84,76,66,1013,1011,1009,10,10,10,34,27,,0.00,3,,78<br />
2001-1-7,31,29,27,25,24,23,84,78,70,1012,1010,1008,10,9,7,34,23,,0.00,3,,75<br />
2001-1-8,31,29,27,25,24,23,84,76,66,1012,1009,1007,10,10,10,24,14,,0.00,1,,36<br />
2001-1-9,30,28,27,24,23,22,84,73,66,1013,1011,1008,10,10,10,24,16,,0.00,3,,59<br />
2001-1-10,30,28,26,25,24,22,89,78,62,1013,1011,1008,10,10,10,24,14,,0.00,5,,46<br />
2001-1-11,31,29,27,25,24,23,84,78,70,1012,1010,1007,10,10,10,29,18,,0.00,2,,57<br />
2001-1-12,30,28,27,25,25,24,89,81,74,1012,1010,1008,10,10,9,32,21,,0.00,2,,75<br />
2001-1-13,31,29,27,26,25,24,94,80,70,1012,1010,1008,10,10,9,29,26,,0.00,2,Rain,90<br />
2001-1-14,30,28,27,25,25,24,89,81,70,1013,1011,1009,10,10,10,34,26,,0.00,2,,87<br />
2001-1-15,30,28,27,25,23,22,84,76,70,1014,1011,1009,10,10,8,29,23,,0.00,3,,72<br />
2001-1-16,30,28,27,24,23,22,79,73,66,1013,1012,1009,10,9,7,39,31,,0.00,3,,73<br />
2001-1-17,31,29,27,24,23,22,84,72,62,1013,1011,1009,10,9,8,35,31,,0.00,2,,74<br />
2001-1-18,30,28,27,25,23,22,84,74,66,1013,1011,1009,10,8,8,35,26,,0.00,4,,67<br />
2001-1-19,30,28,27,25,24,24,84,79,74,1012,1010,1008,8,8,7,42,32,,0.00,4,,54<br />
2001-1-20,29,28,27,25,24,21,89,78,66,1012,1010,1008,9,8,7,47,32,,0.00,7,Rain,66<br />
2001-1-21,30,28,27,25,23,22,84,75,70,1011,1009,1008,8,7,7,29,26,,0.00,6,,51<br />
2001-1-22,30,28,27,24,23,23,79,75,66,1011,1009,1007,9,9,8,14,10,,0.00,5,,47<br />
2001-1-23,30,28,27,25,24,23,84,79,70,1011,1009,1007,9,8,7,14,6,,0.00,6,,351<br />
2001-1-24,30,28,26,26,24,23,89,83,70,1011,1009,1008,8,8,6,16,11,,0.00,5,,39<br />
2001-1-25,28,27,26,26,25,24,100,89,84,1012,1010,1007,10,7,5,16,8,,0.00,6,Rain,312<br />
2001-1-26,29,27,26,25,24,23,89,84,74,1012,1010,1008,10,9,7,16,14,,0.00,6,Rain,4<br />
2001-1-27,28,26,23,25,24,23,100,92,79,1012,1010,1008,10,8,3,19,11,,0.00,8,Rain,359<br />
2001-1-28,30,28,26,25,24,23,94,80,66,1011,1009,1008,10,9,7,21,11,,0.00,7,,45<br />
2001-1-29,28,26,24,24,23,23,94,84,74,1012,1010,1008,9,8,7,35,11,,0.00,6,Rain,39<br />
2001-1-30,30,28,26,25,24,23,94,81,66,1011,1009,1007,9,8,7,24,14,,0.00,6,Rain,42<br />
2001-1-31,31,28,26,25,24,23,89,81,70,1010,1008,1006,9,8,6,23,11,,0.00,5,Rain,14<br />
2001-2-1,29,27,25,25,24,24,94,83,74,1011,1009,1006,10,10,9,24,14,,0.00,5,Rain,112<br />
2001-2-2,30,28,26,24,24,24,89,79,70,1011,1009,1007,10,10,10,14,10,,0.00,6,,106<br />
2001-2-3,30,28,27,25,24,23,89,78,70,1011,1009,1007,10,10,7,14,10,,0.00,5,Rain,128<br />
2001-2-4,30,28,26,25,24,24,89,83,74,1011,1010,1008,10,10,9,10,5,,0.00,3,,-1<br />
2001-2-5,31,29,27,25,24,24,89,78,70,1012,1010,1009,10,10,10,13,8,,0.00,3,,247<br />
2001-2-6,29,28,27,25,25,24,89,82,74,1013,1011,1009,10,10,9,14,10,,0.00,4,,339<br />
2001-2-7,30,28,27,25,24,23,89,79,70,1013,1011,1009,10,10,10,21,11,,0.00,3,,353<br />
2001-2-8,30,28,27,24,23,23,84,76,66,1012,1010,1008,10,10,10,29,11,,0.00,1,,69<br />
2001-2-9,30,28,27,24,23,22,84,76,66,1013,1011,1009,10,10,9,32,23,,0.00,2,,68<br />
2001-2-10,30,28,27,24,22,21,74,71,66,1013,1011,1009,10,9,9,27,23,,0.00,1,,49<br />
2001-2-11,30,28,27,22,21,20,74,67,55,1013,1011,1009,10,10,10,14,13,,0.00,1,,4<br />
2001-2-12,30,28,26,23,22,20,79,69,58,1013,1011,1009,10,10,9,11,8,,0.00,1,,25<br />
2001-2-13,30,28,26,24,22,22,78,72,62,1013,1011,1009,9,9,8,13,8,,0.00,1,,340<br />
2001-2-14,31,29,27,24,23,23,79,74,66,1012,1010,1008,9,8,7,19,13,,0.00,1,,34<br />
2001-2-15,30,28,26,24,23,23,83,74,66,1013,1011,1010,9,8,8,14,10,,0.00,1,,69<br />
2001-2-16,30,28,26,24,23,21,84,74,58,1014,1012,1010,8,8,6,14,6,,0.00,1,,340<br />
2001-2-17,30,28,26,25,24,23,89,79,70,1014,1012,1011,9,9,7,10,6,,0.00,2,,325<br />
2001-2-18,33,30,27,26,25,24,89,82,63,1013,1012,1009,9,9,8,21,10,,0.00,1,,26<br />
2001-2-19,31,29,27,26,25,24,89,81,66,1013,1012,1011,10,9,9,23,13,,0.00,2,,18<br />
2001-2-20,31,29,28,25,25,24,84,77,70,1014,1012,1010,9,9,9,21,16,,0.00,3,,44<br />
2001-2-21,31,29,27,26,24,22,89,78,66,1013,1011,1009,9,9,8,16,8,,0.00,5,,5<br />
2001-2-22,31,29,27,24,23,23,79,71,62,1013,1010,1008,9,9,7,19,13,,0.00,1,,7<br />
2001-2-23,31,29,27,25,23,22,84,71,62,1013,1011,1009,10,9,9,21,14,,0.00,1,,13<br />
2001-2-24,30,28,26,24,23,22,83,72,62,1013,1011,1009,9,9,9,11,6,,0.00,1,,20<br />
2001-2-25,31,28,26,24,22,22,78,70,58,1013,1011,1009,9,9,8,10,3,,0.00,1,,-1<br />
2001-2-26,30,28,27,24,23,22,79,74,66,1012,1010,1008,9,8,8,11,8,,0.00,1,,290<br />
2001-2-27,31,28,26,25,24,24,94,78,66,1013,1011,1010,9,8,7,11,6,,0.00,1,,322<br />
2001-2-28,31,29,27,25,24,24,84,76,66,1014,1012,1010,8,8,7,23,13,,0.00,1,,50<br />
2001-3-1,31,29,28,25,23,22,79,71,66,1014,1012,1010,9,8,8,26,18,,0.00,1,,77<br />
2001-3-2,31,29,27,24,23,22,79,72,62,1014,1012,1010,9,9,8,24,19,,0.00,1,,80<br />
2001-3-3,31,29,27,25,24,23,84,75,66,1014,1012,1010,9,9,9,26,21,,0.00,3,,97<br />
2001-3-4,31,29,27,25,24,23,79,74,62,1014,1012,1011,10,9,9,16,14,,0.00,3,,78<br />
2001-3-5,31,29,27,25,24,23,84,76,66,1014,1012,1010,10,9,9,16,10,,0.00,1,,43<br />
2001-3-6,32,29,27,25,24,23,89,76,66,1014,1012,1010,10,9,8,23,8,,0.00,2,,19<br />
2001-3-7,32,30,28,25,24,24,79,74,62,1014,1011,1009,9,9,8,19,14,,0.00,1,,11<br />
2001-3-8,31,29,28,25,24,23,79,74,70,1012,1011,1008,10,9,9,21,13,,0.00,1,,53<br />
2001-3-9,31,29,27,25,24,23,84,73,66,1013,1011,1009,9,8,7,14,11,,0.00,1,,100<br />
2001-3-10,31,29,28,25,23,23,79,71,62,1013,1011,1010,9,8,8,16,10,,0.00,1,,85<br />
2001-3-11,31,29,28,26,24,24,84,74,66,1014,1012,1010,9,8,8,11,6,,0.00,1,,46<br />
2001-3-12,32,30,28,26,25,24,84,78,70,1013,1011,1010,9,8,8,19,11,,0.00,1,,33<br />
2001-3-13,32,30,28,26,25,24,84,77,66,1012,1010,1007,9,8,8,24,16,,0.00,1,,32<br />
2001-3-14,31,29,28,26,26,25,84,80,74,1012,1011,1009,9,8,7,14,11,,0.00,1,,39<br />
2001-3-15,32,30,28,27,26,25,89,80,70,1014,1012,1010,9,8,6,19,13,,0.00,1,Rain,98<br />
2001-3-16,31,29,28,27,25,22,89,77,66,1013,1011,1009,9,8,8,16,11,,0.00,2,,88<br />
2001-3-17,31,29,27,24,24,23,79,72,62,1013,1010,1008,9,8,8,10,5,,0.00,1,,357<br />
2001-3-18,31,29,28,25,24,24,84,75,70,1012,1010,1008,8,8,8,6,3,,0.00,1,Rain,-1<br />
2001-3-19,31,29,28,25,24,24,84,77,66,1013,1011,1009,9,8,8,16,5,,0.00,1,Rain,27<br />
2001-3-20,31,29,28,25,25,24,84,76,66,1013,1011,1008,9,9,8,11,5,,0.00,1,,337<br />
2001-3-21,32,30,28,25,24,24,84,74,66,1012,1009,1007,9,9,9,11,6,,0.00,1,,331<br />
2001-3-22,31,30,29,25,24,24,79,74,66,1011,1009,1007,9,9,9,16,10,,0.00,1,,318<br />
2001-3-23,32,30,28,26,25,24,79,74,66,1011,1009,1007,9,9,9,21,13,,0.00,1,,305<br />
2001-3-24,32,30,29,26,25,24,79,76,66,1011,1009,1008,9,9,9,24,14,,0.00,2,,305<br />
2001-3-25,32,30,29,26,25,24,84,77,66,1011,1009,1007,9,9,9,23,19,,0.00,4,,294<br />
2001-3-26,32,30,29,25,24,24,79,74,66,1012,1010,1008,9,9,9,19,16,,0.00,4,,293<br />
2001-3-27,31,29,28,27,25,24,84,79,70,1011,1009,1007,9,9,8,21,14,,0.00,3,,295<br />
2001-3-28,32,30,28,26,25,24,84,77,66,1011,1009,1007,9,9,8,19,14,,0.00,1,,316<br />
2001-3-29,31,29,28,25,25,24,84,77,70,1010,1009,1006,9,9,8,11,6,,0.00,2,,275<br />
2001-3-30,32,30,28,25,24,24,84,73,62,1011,1009,1007,10,9,9,145,14,,0.00,1,,283<br />
2001-3-31,32,30,28,26,25,24,84,76,70,1012,1010,1008,10,10,9,14,11,,0.00,1,,294<br />
2001-4-1,32,30,29,26,26,24,84,78,66,1011,1010,1008,10,9,8,21,16,,0.00,3,,337<br />
2001-4-2,32,30,29,26,25,24,79,75,62,1011,1009,1006,9,9,9,19,14,,0.00,4,,353<br />
2001-4-3,32,30,28,25,24,24,79,73,66,1011,1009,1007,10,10,9,23,13,,0.00,2,,40<br />
2001-4-4,32,30,28,26,24,24,79,73,66,1012,1010,1008,10,10,8,19,14,,0.00,2,Rain,83<br />
2001-4-5,32,30,28,26,24,22,84,71,58,1012,1010,1007,10,10,10,16,11,,0.00,2,,94<br />
2001-4-6,32,30,28,26,24,23,84,72,62,1012,1010,1007,10,10,9,14,8,,0.00,1,,123<br />
2001-4-7,32,29,27,26,25,24,94,79,70,1013,1011,1009,10,10,8,19,8,,0.00,3,Rain,245<br />
2001-4-8,32,30,28,26,25,24,89,75,62,1011,1010,1009,10,10,10,13,8,,0.00,3,,253<br />
2001-4-9,32,30,29,26,25,24,84,76,62,1011,1009,1007,10,10,10,21,14,,0.00,5,,275<br />
2001-4-10,32,29,27,27,26,25,89,81,70,1012,1010,1008,10,10,8,21,13,,0.00,5,Rain,280<br />
2001-4-11,31,28,25,26,25,23,100,85,74,1013,1010,1008,10,9,1,24,14,,0.00,6,Rain-Thunderstorm,286<br />
2001-4-12,32,29,27,25,25,24,89,78,66,1011,1009,1008,10,10,10,13,8,,0.00,5,,261<br />
2001-4-13,32,29,26,27,26,25,100,82,66,1012,1010,1008,10,9,4,27,13,,0.00,3,Rain,215<br />
2001-4-14,31,29,27,28,26,25,94,83,75,1014,1012,1010,10,10,9,27,21,,0.00,4,Rain,221<br />
2001-4-15,32,29,27,27,26,25,89,83,75,1014,1012,1010,10,10,8,24,10,,0.00,1,Rain-Thunderstorm,194<br />
2001-4-16,31,28,26,27,26,25,94,86,75,1014,1012,1010,10,10,9,19,10,,0.00,2,Rain,263<br />
2001-4-17,32,30,28,27,26,25,89,81,70,1013,1011,1009,10,10,10,23,13,,0.00,3,Rain,282<br />
2001-4-18,31,29,27,27,26,23,94,84,70,1012,1010,1008,10,10,9,24,16,,0.00,6,Rain,273<br />
2001-4-19,31,28,26,27,26,25,94,86,74,1011,1009,1007,10,9,4,29,16,,0.00,6,Rain-Thunderstorm,274<br />
2001-4-20,29,28,27,26,25,24,89,85,74,1011,1009,1006,10,10,7,27,10,,0.00,6,Rain,260<br />
