ULAT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2002-1-1,-18,-26,-33,-21,-29,-35,91,74,69,1023,1022,1020,6,3,2,11,2,,0.00,0,,0<br />
2002-1-2,-9,-19,-28,-12,-24,-32,85,76,70,1026,1024,1019,10,6,3,6,2,,0.00,2,,-1<br />
2002-1-3,-5,-15,-25,-11,-18,-27,85,78,63,1024,1020,1017,10,7,1,14,3,,0.00,4,,197<br />
2002-1-4,-8,-14,-21,-12,-17,-23,85,80,58,1017,1015,1011,10,7,3,18,6,,0.00,3,,183<br />
2002-1-5,-8,-16,-23,-11,-19,-26,85,77,62,1022,1011,1008,10,6,2,35,5,50,0.00,3,Snow,360<br />
2002-1-6,-15,-22,-30,-20,-26,-34,84,72,61,1029,1027,1023,10,10,10,14,8,,0.00,3,,257<br />
2002-1-7,-14,-22,-30,-23,-28,-34,77,67,47,1026,1025,1024,8,6,4,11,2,,0.00,0,,189<br />
2002-1-8,-9,-17,-25,-15,-22,-29,85,71,57,1025,1018,1016,8,8,7,11,2,,0.00,0,,0<br />
2002-1-9,-11,-18,-24,-15,-21,-27,85,79,73,1016,1013,1007,6,3,1,6,2,,0.00,1,Fog,-1<br />
2002-1-10,-7,-15,-23,-12,-19,-26,85,79,63,1009,1008,1007,7,3,1,6,2,,0.00,1,Fog,-1<br />
2002-1-11,-7,-12,-18,-11,-16,-20,92,82,68,1019,1014,1008,5,3,1,6,2,,0.00,2,Fog,-1<br />
2002-1-12,-3,-11,-19,-6,-11,-21,92,83,80,1019,1015,1011,10,7,1,26,5,,0.00,5,Snow,182<br />
2002-1-13,-5,-10,-15,-6,-11,-18,93,85,63,1010,1002,999,10,6,0,21,6,,0.00,4,Snow,306<br />
2002-1-14,-14,-21,-28,-17,-27,-32,85,77,70,1024,1018,1009,10,7,4,14,6,,0.00,3,Snow,187<br />
2002-1-15,-20,-27,-36,-23,-28,-40,84,76,68,1025,1024,1022,7,5,1,6,3,,0.00,2,Snow,-1<br />
2002-1-16,-23,-29,-35,-27,-34,-40,91,70,62,1021,1020,1019,7,4,1,6,3,,0.00,0,,-1<br />
2002-1-17,-20,-27,-34,-23,-32,-39,78,71,62,1022,1020,1018,6,5,2,6,2,,0.00,0,,-1<br />
2002-1-18,-18,-26,-33,-23,-30,-37,77,72,63,1018,1013,1011,8,6,5,6,3,,0.00,4,,-1<br />
2002-1-19,-12,-18,-23,-16,-21,-26,85,76,67,1021,1015,1011,10,10,10,14,5,,0.00,5,Snow,344<br />
2002-1-20,-18,-24,-32,-21,-27,-35,85,77,63,1024,1023,1022,10,6,0,11,5,,0.00,1,Fog,183<br />
2002-1-21,-21,-28,-36,-24,-33,-41,77,71,62,1028,1025,1023,6,5,2,6,2,,0.00,0,,-1<br />
2002-1-22,-21,-28,-36,-25,-33,-40,76,69,57,1028,1026,1023,6,5,3,6,3,,0.00,0,,-1<br />
2002-1-23,-17,-26,-34,-23,-31,-38,77,69,60,1023,1020,1019,6,6,6,11,3,,0.00,0,,190<br />
2002-1-24,-14,-22,-31,-21,-26,-34,78,71,52,1021,1018,1016,10,9,3,26,5,,0.00,3,,315<br />
2002-1-25,-16,-22,-29,-19,-26,-33,85,76,66,1025,1024,1022,10,10,10,18,8,,0.00,3,,206<br />
2002-1-26,-20,-27,-33,-23,-31,-37,78,72,60,1029,1026,1025,10,6,2,6,3,,0.00,2,,-1<br />
2002-1-27,-22,-28,-35,-26,-33,-39,77,70,63,1030,1029,1028,8,4,2,6,3,,0.00,2,,-1<br />
2002-1-28,-20,-28,-36,-25,-32,-40,83,70,62,1028,1027,1024,8,4,1,6,3,,0.00,1,Fog,-1<br />
2002-1-29,-14,-22,-31,-18,-27,-35,78,74,67,1029,1028,1026,10,8,4,11,3,,0.00,3,,295<br />
2002-1-30,-15,-22,-30,-20,-28,-34,85,74,66,1027,1024,1022,8,3,2,6,3,,0.00,1,,-1<br />
2002-1-31,-16,-23,-31,-21,-29,-35,77,71,61,1026,1025,1025,8,4,1,6,3,,0.00,0,,-1<br />
2002-2-1,-14,-22,-31,-20,-28,-35,84,71,61,1025,1022,1019,7,5,3,6,3,,0.00,0,,-1<br />
2002-2-2,-12,-21,-29,-19,-27,-33,78,71,57,1019,1016,1014,10,9,6,11,3,,0.00,3,,160<br />
2002-2-3,-14,-23,-33,-19,-29,-36,78,71,61,1022,1019,1017,8,5,3,6,3,,0.00,1,,-1<br />
2002-2-4,-6,-18,-31,-14,-24,-34,77,67,50,1023,1018,1010,10,6,2,32,6,,0.00,3,,163<br />
