NPT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2001-1-1,,,,,,,,,,1018,1016,1013,10,6,1,0,0,,0.00,4,Fog,-1<br />
2001-1-2,,,,,,,,,,1017,1016,1014,10,7,1,10,2,,0.00,4,,217<br />
2001-1-3,,,,,,,,,,1019,1016,1013,10,6,1,10,2,,0.00,2,,259<br />
2001-1-4,,,,,,,,,,1018,1016,1014,8,4,0,14,3,,0.00,1,Fog,262<br />
2001-1-5,,,,,,,,,,1017,1015,1014,10,7,1,14,6,,0.00,1,Fog,244<br />
2001-1-6,,,,,,,,,,1021,1020,1018,6,3,1,0,0,,0.00,1,Fog,-1<br />
2001-1-7,,,,,,,,,,1019,1016,1013,8,3,0,10,2,,0.00,0,Fog,256<br />
2001-1-8,,,,,,,,,,1016,1014,1012,10,5,0,13,3,,0.00,1,Fog,253<br />
2001-1-9,,,,,,,,,,1017,1016,1014,10,7,1,11,3,,0.00,1,,255<br />
2001-1-10,,,,,,,,,,1019,1016,1014,10,5,1,14,3,,0.00,1,Fog,239<br />
2001-1-11,,,,,,,,,,1016,1015,1012,8,5,0,10,2,,0.00,0,Fog,270<br />
2001-1-12,,,,,,,,,,1018,1016,1014,10,5,0,11,2,,0.00,1,Fog,245<br />
2001-1-13,,,,,,,,,,1018,1016,1014,10,5,0,14,2,,0.00,1,Fog,270<br />
2001-1-14,,,,,,,,,,1019,1016,1014,7,5,0,10,2,,0.00,1,Fog,247<br />
2001-1-15,,,,,,,,,,1022,1019,1017,7,5,0,10,2,,0.00,1,Fog,250<br />
2001-1-16,,,,,,,,,,1022,1019,1016,7,5,0,13,2,,0.00,1,Fog,257<br />
