HKT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2002-1-1,22,18,14,12,10,8,82,61,41,1022,1020,1019,9,4,1,16,6,,0.00,0,,233<br />
2002-1-2,21,18,16,12,4,-2,68,40,25,1027,1025,1022,10,8,6,32,13,,0.00,0,,49<br />
2002-1-3,19,16,12,7,2,-2,55,40,26,1027,1025,1023,9,8,7,16,10,,0.00,0,,120<br />
2002-1-4,20,16,12,10,6,3,63,51,40,1026,1024,1022,9,8,4,13,10,,0.00,0,,146<br />
2002-1-5,22,17,13,10,5,2,68,46,31,1023,1021,1018,10,6,2,13,6,,0.00,0,,189<br />
2002-1-6,22,18,15,13,11,8,82,62,50,1023,1021,1020,10,8,5,16,8,,0.00,1,,100<br />
2002-1-7,23,18,14,15,11,7,88,64,41,1024,1022,1020,10,6,2,11,6,,0.00,1,,201<br />
2002-1-8,22,19,17,13,8,4,73,51,31,1026,1024,1023,9,8,6,26,16,,0.00,0,,101<br />
2002-1-9,21,18,16,13,11,6,77,65,40,1026,1024,1021,9,8,7,26,19,39,0.00,0,,98<br />
2002-1-10,21,18,15,15,14,12,88,77,64,1023,1020,1018,10,9,6,16,11,,0.00,3,,57<br />
2002-1-11,22,19,16,15,14,13,94,74,60,1019,1017,1015,9,7,6,14,8,,0.00,1,,101<br />
2002-1-12,23,20,17,17,16,14,94,76,61,1019,1017,1015,10,9,4,14,8,,0.00,5,,87<br />
2002-1-13,26,22,19,18,17,16,94,71,54,1018,1016,1015,10,10,6,19,14,,0.00,6,,95<br />
2002-1-14,22,21,20,19,18,16,94,84,69,1016,1014,1012,10,7,2,32,11,,0.00,5,Rain,40<br />
2002-1-15,22,20,19,19,18,17,94,88,83,1015,1013,1011,10,8,4,34,26,,0.00,6,Rain,99<br />
2002-1-16,25,22,20,20,19,17,94,83,61,1015,1013,1012,10,7,2,16,10,,0.00,3,,53<br />
2002-1-17,26,21,17,19,18,17,100,84,61,1014,1012,1010,10,5,0,29,10,,0.00,2,Fog,239<br />
2002-1-18,25,22,18,19,18,16,94,82,65,1015,1012,1011,10,8,4,34,24,,0.00,5,,99<br />
2002-1-19,18,17,15,16,13,11,100,85,72,1019,1017,1015,10,6,2,27,14,,0.00,6,Rain,7<br />
2002-1-20,15,13,12,13,11,7,88,82,72,1023,1020,1018,10,6,4,34,18,,0.00,6,Rain,359<br />
2002-1-21,17,12,8,6,2,0,71,48,32,1025,1022,1019,10,9,8,35,23,,0.00,2,,19<br />
2002-1-22,16,13,11,6,3,0,59,47,36,1025,1022,1020,10,8,7,27,19,,0.00,4,,27<br />
2002-1-23,19,17,14,9,6,2,63,50,42,1025,1022,1021,10,9,8,21,11,,0.00,4,,77<br />
2002-1-24,18,17,16,13,11,9,77,69,59,1021,1019,1017,10,9,7,39,26,,0.00,5,,97<br />
2002-1-25,18,16,13,15,13,12,94,86,77,1017,1015,1013,9,5,2,32,24,,0.00,6,,35<br />
2002-1-26,14,13,12,12,11,9,94,86,82,1020,1017,1016,8,5,4,29,19,,0.00,6,Rain,2<br />
2002-1-27,12,11,10,10,9,8,100,90,77,1022,1020,1019,10,6,2,32,18,32,0.00,6,Rain,33<br />
2002-1-28,12,11,10,9,9,7,94,85,72,1025,1023,1021,10,9,5,24,16,,0.00,6,Rain,16<br />
2002-1-29,16,13,11,10,7,5,77,66,55,1027,1025,1023,10,9,7,26,13,,0.00,6,,12<br />
2002-1-30,18,16,14,10,8,7,72,62,49,1026,1024,1022,10,9,6,19,11,,0.00,3,,35<br />
2002-1-31,20,17,14,12,10,7,82,66,43,1025,1023,1021,8,7,6,26,14,,0.00,2,,98<br />
2002-2-1,17,14,12,12,9,7,82,70,59,1024,1022,1021,8,6,4,34,18,,0.00,6,Rain,25<br />
2002-2-2,15,12,9,9,7,5,94,72,55,1026,1023,1020,10,8,4,19,13,,0.00,5,Rain,34<br />
2002-2-3,17,16,15,10,9,6,72,64,48,1022,1020,1018,10,10,10,35,23,,0.00,6,,93<br />
2002-2-4,19,17,16,13,12,10,82,72,63,1020,1018,1016,10,8,3,45,29,,0.00,6,,76<br />
2002-2-5,17,16,14,13,13,12,94,84,72,1020,1018,1017,10,4,2,24,14,,0.00,6,Rain,350<br />
2002-2-6,18,17,15,14,13,12,88,80,73,1019,1017,1014,10,9,6,27,13,,0.00,6,Rain,83<br />
2002-2-7,20,18,17,16,14,13,88,78,68,1018,1016,1014,10,7,6,35,26,,0.00,6,,93<br />
2002-2-8,22,19,17,15,14,13,83,74,64,1019,1017,1015,10,8,6,32,21,,0.00,6,,70<br />
2002-2-9,23,20,17,16,15,14,94,78,64,1018,1016,1013,10,5,2,26,11,,0.00,4,,37<br />
2002-2-10,19,18,17,16,12,7,88,71,52,1022,1019,1016,10,7,3,29,18,,0.00,6,,34<br />
2002-2-11,19,17,15,11,8,6,68,56,46,1024,1022,1020,10,8,7,26,14,,0.00,5,,54<br />
2002-2-12,21,18,15,12,9,6,77,60,38,1024,1022,1019,10,10,10,23,14,,0.00,1,,85<br />
2002-2-13,23,19,15,15,13,10,78,67,57,1021,1019,1017,10,10,8,24,14,,0.00,2,,82<br />
2002-2-14,25,21,18,15,12,8,83,61,39,1023,1021,1019,10,10,10,29,19,,0.00,1,,101<br />
2002-2-15,21,19,17,16,13,12,83,71,56,1024,1022,1020,10,10,10,35,26,,0.00,2,,96<br />
2002-2-16,22,19,17,14,13,13,82,72,57,1023,1021,1019,10,10,10,32,18,,0.00,3,,70<br />
2002-2-17,24,20,17,16,14,13,82,68,53,1022,1020,1018,10,8,4,13,6,,0.00,1,,223<br />
2002-2-18,24,21,18,16,14,11,83,67,44,1023,1021,1019,10,9,7,45,16,,0.00,1,,117<br />
2002-2-19,23,20,18,14,12,9,73,59,49,1025,1023,1022,10,9,7,39,26,,0.00,3,,109<br />
2002-2-20,21,18,16,14,12,10,77,66,56,1027,1025,1022,10,10,9,42,34,,0.00,3,,108<br />
2002-2-21,24,20,17,15,13,11,77,63,50,1024,1022,1020,10,10,10,26,14,,0.00,2,,83<br />
2002-2-22,25,21,18,17,16,13,88,70,53,1023,1021,1018,10,10,10,19,13,,0.00,1,,92<br />
2002-2-23,24,21,18,17,17,14,88,75,65,1020,1019,1016,10,10,8,14,8,,0.00,4,,74<br />
2002-2-24,23,21,19,18,16,15,88,75,61,1021,1019,1017,10,7,5,26,10,,0.00,4,,94<br />
2002-2-25,23,20,18,16,15,13,83,72,57,1022,1019,1017,10,10,9,32,24,,0.00,2,,95<br />
2002-2-26,25,21,18,17,16,15,83,73,54,1020,1017,1015,10,10,10,19,11,,0.00,2,,82<br />
2002-2-27,26,23,20,18,17,15,88,72,54,1017,1015,1013,10,10,9,19,14,,0.00,4,,112<br />
2002-2-28,25,21,18,18,18,16,88,76,61,1017,1015,1013,10,10,9,16,11,,0.00,3,,75<br />
2002-3-1,27,23,21,19,18,18,88,78,58,1018,1015,1014,10,10,10,24,14,,0.00,4,,91<br />
2002-3-2,25,23,21,18,18,16,83,74,61,1018,1015,1013,10,10,10,21,13,,0.00,3,,80<br />
2002-3-3,24,21,19,18,17,16,88,74,61,1018,1016,1014,10,10,8,29,13,,0.00,4,,106<br />
2002-3-4,24,22,20,18,16,15,83,72,57,1018,1015,1013,10,10,10,26,18,,0.00,4,,101<br />
2002-3-5,26,21,17,18,16,11,83,70,54,1019,1015,1013,10,10,7,39,16,,0.00,5,,336<br />
2002-3-6,20,17,14,12,4,-2,77,44,26,1022,1020,1018,10,10,10,37,29,,0.00,4,,1<br />
2002-3-7,22,18,15,9,3,0,52,38,30,1023,1021,1019,10,10,10,27,16,,0.00,5,,49<br />
2002-3-8,24,20,17,15,9,3,73,49,27,1024,1022,1020,10,10,10,37,18,,0.00,6,,89<br />
2002-3-9,24,22,20,16,13,10,73,60,50,1023,1021,1018,10,10,10,32,24,,0.00,5,,96<br />
2002-3-10,26,22,19,17,16,15,88,71,51,1021,1019,1016,10,10,10,29,19,,0.00,3,,99<br />
2002-3-11,26,23,20,18,17,15,83,69,51,1019,1017,1016,10,10,10,23,14,,0.00,4,,93<br />
2002-3-12,26,23,21,19,18,16,83,73,54,1019,1017,1014,10,10,10,24,16,,0.00,3,,108<br />
2002-3-13,25,23,22,20,19,18,88,77,69,1017,1014,1011,10,10,10,26,16,,0.00,5,Rain,122<br />
2002-3-14,25,23,21,20,19,18,94,78,65,1014,1012,1010,10,9,7,19,13,34,0.00,5,,126<br />
2002-3-15,27,24,23,21,21,20,88,78,65,1012,1010,1008,10,10,10,24,18,,0.00,6,,182<br />
2002-3-16,26,23,21,23,21,19,94,87,78,1015,1012,1010,10,8,2,29,11,,0.00,6,Rain,89<br />
2002-3-17,24,22,20,20,18,15,94,83,68,1021,1016,1014,10,7,1,29,21,,0.00,6,Rain,45<br />
2002-3-18,23,21,19,17,15,10,83,70,44,1023,1021,1019,10,9,6,27,19,,0.00,6,,50<br />
2002-3-19,25,22,20,17,13,10,73,58,41,1022,1019,1017,10,9,6,26,16,,0.00,4,,79<br />
2002-3-20,26,23,20,18,17,16,83,69,57,1018,1015,1012,10,10,8,14,8,,0.00,4,,138<br />
2002-3-21,28,24,20,19,18,16,88,70,51,1014,1011,1008,10,9,7,21,11,,0.00,2,,161<br />
2002-3-22,26,23,22,21,20,18,88,80,69,1011,1009,1007,10,9,4,19,10,,0.00,5,Rain,96<br />
2002-3-23,24,22,20,22,19,17,100,89,83,1013,1010,1008,10,8,4,48,26,,0.00,6,Rain,91<br />
2002-3-24,22,20,19,20,18,18,94,88,83,1011,1010,1008,10,9,6,39,31,,0.00,6,Rain,82<br />
2002-3-25,24,22,20,19,18,18,94,85,69,1014,1012,1010,10,8,3,23,13,,0.00,6,Rain,14<br />
2002-3-26,24,23,22,20,19,18,88,82,73,1012,1011,1009,10,10,10,32,24,,0.00,6,,95<br />
2002-3-27,27,24,22,23,22,21,94,86,74,1013,1010,1009,10,9,4,26,18,,0.00,5,Fog,99<br />
2002-3-28,26,24,23,23,22,22,100,90,78,1013,1011,1009,10,7,4,27,19,,0.00,5,Fog-Rain,110<br />
2002-3-29,28,24,21,23,22,21,100,85,70,1013,1011,1009,10,8,3,26,13,,0.00,5,Rain-Thunderstorm,298<br />
2002-3-30,25,23,21,21,21,20,100,92,78,1014,1012,1011,7,3,2,21,13,,0.00,6,Rain-Thunderstorm,320<br />
2002-3-31,23,22,22,21,19,18,94,85,78,1016,1014,1012,10,8,5,27,14,,0.00,6,Rain,91<br />
2002-4-1,29,26,22,21,19,17,83,72,58,1017,1015,1013,10,10,10,23,16,,0.00,4,,87<br />
2002-4-2,30,27,23,22,21,20,94,76,58,1015,1013,1011,10,9,5,27,11,,0.00,3,,106<br />
2002-4-3,30,28,25,23,22,21,89,75,62,1012,1009,1007,10,10,10,29,13,,0.00,5,,204<br />
2002-4-4,28,26,24,22,22,21,89,76,66,1010,1009,1007,10,10,7,27,13,35,0.00,3,,157<br />
2002-4-5,29,27,25,22,21,20,83,71,58,1011,1009,1008,10,10,10,34,19,37,0.00,4,,173<br />
2002-4-6,29,26,23,23,22,20,83,74,62,1012,1010,1008,10,10,10,26,16,35,0.00,4,Rain,177<br />
2002-4-7,29,27,25,22,21,21,83,71,62,1013,1011,1009,10,10,10,24,13,,0.00,3,,189<br />
2002-4-8,29,27,25,22,22,21,83,72,62,1013,1011,1009,10,10,10,19,11,,0.00,3,,199<br />
2002-4-9,29,27,24,22,22,20,83,75,62,1013,1011,1009,10,10,10,35,11,,0.00,4,Rain,123<br />
2002-4-10,25,22,20,22,21,19,94,86,78,1015,1012,1011,10,6,1,35,29,,0.00,6,Rain,70<br />
2002-4-11,20,18,17,18,14,10,94,80,59,1019,1017,1015,10,8,4,32,23,,0.00,6,Rain,7<br />
2002-4-12,22,19,17,16,12,10,73,62,53,1020,1018,1016,10,9,8,19,13,,0.00,5,,18<br />
2002-4-13,28,23,19,17,12,0,88,56,16,1018,1015,1013,10,10,10,29,14,,0.00,2,,100<br />
2002-4-14,28,24,21,22,19,15,89,70,58,1014,1012,1010,10,10,10,23,11,,0.00,3,,121<br />
2002-4-15,29,27,24,23,22,21,89,78,62,1013,1011,1010,10,9,5,27,19,,0.00,4,,136<br />
2002-4-16,29,27,25,23,22,21,83,75,62,1014,1012,1010,10,10,10,34,14,,0.00,5,,148<br />
2002-4-17,30,27,24,23,22,21,89,72,58,1014,1012,1010,10,10,10,24,10,,0.00,5,,35<br />
2002-4-18,28,26,24,23,21,20,89,78,65,1015,1014,1012,10,10,9,32,26,,0.00,3,,102<br />
2002-4-19,28,26,23,21,20,20,88,77,62,1017,1015,1013,10,10,9,34,24,,0.00,3,Rain,107<br />
2002-4-20,31,27,24,21,20,19,83,68,49,1015,1012,1009,10,10,10,21,16,,0.00,3,,64<br />
2002-4-21,30,27,23,22,21,19,83,73,58,1012,1010,1008,10,10,10,24,10,,0.00,2,,205<br />
2002-4-22,30,27,24,23,22,21,83,72,62,1012,1010,1009,10,10,10,23,10,,0.00,2,,170<br />
2002-4-23,33,30,27,23,23,22,79,70,55,1014,1011,1010,10,10,10,23,13,,0.00,3,,134<br />
2002-4-24,33,29,25,23,22,20,83,69,49,1013,1011,1009,10,10,10,29,13,,0.00,4,,121<br />
