CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2001-1-1,20,16,12,11,10,8,94,69,49,1020,1018,1015,10,10,10,26,8,,0.00,1,,89<br />
2001-1-2,23,17,12,14,12,10,94,77,50,1019,1017,1015,10,9,6,11,5,,0.00,2,,93<br />
2001-1-3,23,18,13,17,15,13,100,84,65,1019,1018,1016,10,7,4,11,3,,0.00,3,Rain,105<br />
2001-1-4,18,17,16,17,16,15,100,94,83,1022,1020,1019,10,8,5,23,13,,0.00,6,Rain,105<br />
2001-1-5,21,19,17,20,18,17,100,99,88,1020,1018,1017,10,6,3,23,13,,0.00,6,Rain,118<br />
2001-1-6,24,21,18,20,18,17,100,89,73,1017,1015,1013,10,8,4,10,5,,0.00,5,,269<br />
2001-1-7,25,21,18,18,17,14,100,82,53,1016,1014,1012,10,7,4,21,6,,0.00,4,Rain,308<br />
2001-1-8,21,19,18,18,16,14,88,78,73,1018,1015,1013,10,10,9,34,24,48,0.00,6,Rain,96<br />
2001-1-9,23,19,15,18,16,12,94,82,73,1019,1015,1013,10,9,6,23,8,45,0.00,6,Rain,90<br />
2001-1-10,17,16,14,15,13,12,94,89,82,1019,1016,1013,10,9,6,16,13,,0.00,6,Rain,110<br />
2001-1-11,17,16,16,16,16,14,100,93,82,1016,1015,1013,10,8,4,13,3,,0.00,6,Rain,114<br />
2001-1-12,22,19,16,17,16,14,94,80,69,1018,1015,1012,10,9,7,27,14,,0.00,5,Rain,106<br />
2001-1-13,19,17,14,17,12,6,100,80,59,1022,1018,1015,10,8,4,16,10,,0.00,6,Rain,14<br />
2001-1-14,17,14,12,9,7,6,77,64,52,1027,1024,1022,10,9,6,23,11,40,0.00,3,,85<br />
2001-1-15,13,12,12,7,6,5,72,65,62,1030,1028,1026,10,10,10,19,14,35,0.00,6,,80<br />
2001-1-16,16,13,12,8,7,5,72,65,52,1030,1028,1026,10,10,10,24,13,,0.00,6,,97<br />
2001-1-17,22,17,13,13,12,8,82,70,56,1026,1024,1021,10,10,10,21,14,,0.00,2,,95<br />
2001-1-18,24,18,13,16,13,11,94,76,47,1022,1021,1019,10,8,5,14,6,,0.00,1,,355<br />
2001-1-19,27,21,15,18,16,13,94,76,51,1022,1020,1016,10,7,5,19,3,,0.00,3,,92<br />
2001-1-20,26,21,17,17,16,14,94,83,54,1020,1018,1015,10,6,3,21,6,,0.00,3,,283<br />
2001-1-21,23,20,18,17,16,14,88,76,65,1019,1016,1014,10,10,8,24,18,,0.00,6,,91<br />
2001-1-22,24,20,16,18,17,14,94,79,61,1016,1014,1011,10,7,5,19,3,,0.00,3,Rain,22<br />
2001-1-23,22,20,18,18,17,15,94,84,73,1019,1016,1015,10,10,7,21,10,,0.00,6,Rain,102<br />
2001-1-24,27,22,18,20,18,17,100,85,65,1015,1013,1010,10,7,4,19,5,37,0.00,5,Rain,285<br />
2001-1-25,22,20,18,21,19,18,100,98,88,1012,1009,1007,10,7,3,13,3,,0.00,6,Rain,169<br />
2001-1-26,18,14,12,18,14,10,100,97,77,1019,1013,1009,10,8,3,14,5,,0.00,6,Rain-Thunderstorm,111<br />
2001-1-27,14,13,12,12,9,7,100,79,67,1022,1020,1018,10,9,5,27,14,47,0.00,6,Rain,93<br />
2001-1-28,13,11,9,13,12,7,100,98,72,1025,1021,1019,10,6,4,23,16,,0.00,7,Rain,104<br />
2001-1-29,15,13,11,13,11,7,94,84,72,1025,1022,1020,10,9,6,23,16,,0.00,6,Rain,105<br />
2001-1-30,19,17,15,17,15,14,100,90,78,1021,1018,1016,10,9,5,16,10,,0.00,6,Rain,138<br />
2001-1-31,23,20,17,18,16,16,100,88,69,1016,1014,1012,10,9,6,16,6,,0.00,5,Rain,70<br />
2001-2-1,17,14,13,16,12,10,94,83,72,1019,1016,1013,10,8,4,21,8,39,0.00,6,Rain,90<br />
2001-2-2,15,13,12,14,13,11,100,97,94,1019,1017,1015,10,8,5,21,14,,0.00,8,Rain,107<br />
2001-2-3,20,18,15,17,16,14,100,94,83,1016,1014,1013,10,7,4,21,10,,0.00,7,Rain,205<br />
2001-2-4,17,16,16,17,16,14,100,94,82,1018,1016,1014,10,7,4,19,6,,0.00,7,,290<br />
2001-2-5,23,20,17,19,17,16,100,88,73,1017,1015,1012,10,9,6,13,8,,0.00,5,,110<br />
2001-2-6,26,21,17,19,17,16,100,86,57,1015,1013,1011,9,5,0,11,3,,0.00,4,Fog,264<br />
2001-2-7,18,17,14,17,15,12,100,88,77,1022,1017,1013,10,6,2,13,5,,0.00,6,,83<br />
2001-2-8,17,14,13,13,12,12,94,88,72,1024,1022,1019,10,9,7,27,18,,0.00,6,Rain,105<br />
2001-2-9,20,17,14,17,15,12,94,88,78,1022,1019,1016,10,9,6,26,21,,0.00,6,Rain,95<br />
