KST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2003-1-1,6,2,-3,-7,-8,-11,64,51,31,1029,1024,1021,,,,23,14,,0.00,,,335<br />
2003-1-2,8,2,-4,-1,-8,-13,65,50,39,1033,1030,1026,10,10,10,14,10,,0.00,4,,333<br />
2003-1-3,8,4,0,1,-2,-7,93,70,52,1025,1019,1014,10,10,8,32,8,,0.00,5,Rain,308<br />
2003-1-4,2,-1,-4,-8,-11,-13,64,49,33,1022,1020,1017,10,10,10,37,19,47,0.00,1,,305<br />
2003-1-5,0,-3,-7,-13,-16,-18,54,44,27,1031,1026,1022,10,10,10,32,19,,0.00,1,,318<br />
2003-1-6,3,-3,-9,-14,-16,-17,62,42,22,1032,1031,1029,,,,19,13,,0.00,,,317<br />
2003-1-7,5,0,-5,-10,-13,-17,59,40,33,1031,1030,1028,,,,23,13,,0.00,,,333<br />
2003-1-8,6,0,-6,-8,-11,-12,74,51,27,1030,1028,1026,,,,14,10,,0.00,,,331<br />
2003-1-9,7,1,-4,-5,-8,-12,64,52,39,1026,1023,1021,,,,24,10,,0.00,,,321<br />
2003-1-10,8,3,-1,-3,-4,-6,75,60,40,1021,1019,1017,8,7,6,16,8,,0.00,3,,328<br />
2003-1-11,10,3,-3,-4,-6,-8,80,55,28,1021,1019,1017,8,7,6,21,11,,0.00,0,,335<br />
2003-1-12,10,5,0,-2,-4,-6,65,55,35,1023,1021,1019,,,,14,8,,0.00,,,324<br />
2003-1-13,13,6,-1,1,-2,-5,75,59,36,1020,1017,1014,9,7,6,26,6,,0.00,0,,252<br />
2003-1-14,10,6,1,-1,-6,-12,75,49,24,1026,1019,1014,9,8,6,21,11,,0.00,0,,320<br />
2003-1-15,6,1,-4,-1,-9,-14,100,49,36,1031,1029,1026,10,10,10,16,10,,0.00,1,,328<br />
2003-1-16,11,3,-3,-3,-6,-8,74,54,32,1029,1026,1023,10,10,10,21,8,,0.00,6,,324<br />
2003-1-17,12,4,-3,5,-3,-8,87,60,43,1026,1024,1020,10,9,4,14,5,,0.00,4,Rain,290<br />
2003-1-18,11,6,2,3,0,-2,81,67,47,1027,1024,1020,10,8,6,16,8,,0.00,2,,322<br />
2003-1-19,10,6,2,-1,-3,-6,81,58,37,1021,1016,1013,9,7,6,19,10,,0.00,7,,338<br />
2003-1-20,8,4,0,-3,-6,-8,70,53,37,1017,1015,1013,10,10,9,19,13,,0.00,2,,327<br />
2003-1-21,7,2,-3,-6,-8,-11,69,50,27,1021,1020,1018,,,,19,10,,0.00,,,316<br />
2003-1-22,4,0,-4,-2,-6,-9,87,64,41,1020,1014,1007,8,2,1,14,8,,0.00,8,Fog-Snow,348<br />
2003-1-23,5,2,0,-2,-3,-6,81,71,56,1015,1009,1005,10,7,1,21,13,,0.00,5,Snow,331<br />
2003-1-24,6,1,-3,-6,-8,-10,69,54,36,1027,1021,1015,,,,19,13,,0.00,,,329<br />
2003-1-25,9,2,-4,-2,-6,-9,69,57,46,1030,1028,1027,10,10,10,14,6,,0.00,6,,7<br />
2003-1-26,6,4,4,2,1,-3,76,71,57,1027,1021,1015,10,8,6,16,8,,0.00,8,Rain,340<br />
2003-1-27,9,4,0,2,-2,-9,76,65,46,1014,1011,1007,10,9,4,35,14,40,0.00,6,Rain-Snow,320<br />
2003-1-28,3,0,-2,-8,-10,-12,55,47,38,1017,1015,1014,10,10,10,37,24,42,0.00,2,,301<br />
2003-1-29,-1,-4,-7,-12,-16,-17,51,41,31,1026,1021,1016,10,10,10,45,24,,0.00,1,,312<br />
2003-1-30,3,-3,-10,-10,-14,-18,57,44,30,1030,1027,1026,,,,23,8,,0.00,,,324<br />
2003-1-31,6,2,-2,-6,-8,-11,56,49,42,1028,1026,1024,9,9,8,16,8,,0.00,,,319<br />
2003-2-1,9,4,-1,-3,-6,-8,65,54,34,1027,1026,1025,10,10,9,16,8,,0.00,3,,30<br />
2003-2-2,9,4,-1,-3,-6,-8,75,56,32,1026,1025,1023,10,10,10,14,6,,0.00,1,,343<br />
2003-2-3,9,3,-2,-7,-8,-11,60,46,24,1026,1024,1023,,,,14,6,,0.00,,,329<br />
2003-2-4,8,4,0,-7,-7,-9,60,46,34,1024,1021,1019,10,10,10,24,8,,0.00,1,,345<br />
2003-2-5,7,2,-2,-6,-8,-10,59,47,36,1027,1023,1022,10,10,10,21,13,,0.00,1,,341<br />
2003-2-6,9,3,-2,-5,-9,-11,60,45,24,1030,1027,1026,,,,21,11,,0.00,,,297<br />
2003-2-7,12,4,-3,-1,-5,-9,65,55,38,1026,1023,1021,10,10,10,19,6,,0.00,4,,315<br />
2003-2-8,9,7,4,9,4,-2,100,90,61,1021,1015,1009,10,6,1,21,8,,0.00,8,Rain,357<br />
2003-2-9,12,7,3,6,4,2,100,91,58,1024,1022,1018,10,6,1,13,5,,0.00,3,,340<br />
2003-2-10,13,8,3,6,4,3,100,81,54,1023,1021,1019,10,8,6,24,10,,0.00,7,,18<br />
2003-2-11,11,7,3,6,3,-6,93,73,49,1021,1019,1017,10,8,6,16,11,,0.00,7,Rain,337<br />
2003-2-12,6,2,-1,-6,-11,-12,55,40,27,1025,1023,1020,,,,21,14,,0.00,,,333<br />
2003-2-13,7,1,-4,-3,-8,-14,70,50,35,1028,1025,1024,10,10,10,14,11,,0.00,1,,320<br />
2003-2-14,10,4,-2,-2,-4,-7,86,60,30,1028,1026,1025,9,9,8,14,5,,0.00,0,,310<br />
2003-2-15,11,6,2,3,0,-3,87,65,40,1025,1021,1016,9,8,8,10,6,,0.00,,,349<br />
2003-2-16,13,9,6,2,-1,-6,76,54,26,1020,1016,1014,9,8,6,16,8,,0.00,0,,338<br />
2003-2-17,13,7,0,4,1,0,100,74,41,1023,1021,1019,9,8,6,21,8,,0.00,0,,40<br />
2003-2-18,13,7,2,4,1,-3,93,66,33,1019,1017,1016,9,8,6,16,6,,0.00,4,,355<br />
2003-2-19,13,7,1,3,1,-1,100,70,38,1017,1015,1012,8,6,6,19,8,,0.00,4,,341<br />
2003-2-20,9,6,2,0,-3,-7,81,58,32,1027,1022,1016,10,9,8,26,14,,0.00,2,,26<br />
2003-2-21,9,4,0,3,0,-3,93,72,50,1028,1024,1019,10,10,10,11,6,,0.00,7,,359<br />
2003-2-22,9,7,6,9,7,2,100,94,66,1018,1012,1010,10,7,2,21,10,,0.00,8,Rain,8<br />
2003-2-23,8,7,6,6,4,3,100,81,71,1017,1015,1014,10,10,8,23,18,,0.00,8,Rain,26<br />
2003-2-24,12,8,5,6,4,1,100,81,51,1021,1016,1014,10,8,6,21,10,,0.00,5,Rain,333<br />
2003-2-25,12,6,1,4,2,0,100,77,50,1025,1022,1021,9,8,6,16,6,,0.00,1,,336<br />
2003-2-26,13,9,5,5,4,3,93,78,54,1022,1020,1018,10,7,4,21,6,,0.00,5,,303<br />
2003-2-27,12,8,4,4,1,-1,93,66,41,1029,1026,1022,10,9,6,29,16,,0.00,1,,46<br />
2003-2-28,12,6,1,4,1,-1,87,64,44,1030,1024,1018,10,10,10,19,11,,0.00,2,,55<br />
2003-3-1,9,7,6,6,6,3,100,88,66,1017,1010,1006,10,8,2,26,11,,0.00,7,Rain,346<br />
2003-3-2,14,8,2,6,2,-3,93,70,31,1016,1013,1009,10,9,8,26,10,,0.00,3,,258<br />
2003-3-3,11,7,2,8,2,-8,93,66,28,1015,1006,1002,10,9,6,24,10,,0.00,5,Rain,338<br />
2003-3-4,7,3,-1,-2,-6,-8,75,56,34,1026,1021,1016,,,,23,16,,0.00,,,328<br />
2003-3-5,9,4,1,0,-2,-4,81,62,46,1029,1026,1025,10,10,10,16,10,,0.00,7,,31<br />
2003-3-6,7,6,5,6,5,0,100,90,61,1025,1018,1010,10,9,6,24,16,,0.00,8,Rain,33<br />
2003-3-7,9,7,5,6,4,2,100,84,62,1017,1012,1010,10,10,8,16,13,,0.00,7,Rain,332<br />
2003-3-8,9,6,3,4,1,-3,93,70,43,1026,1022,1017,10,10,2,19,13,,0.00,6,Rain,353<br />
2003-3-9,10,5,0,0,-2,-4,93,64,37,1031,1029,1026,10,10,10,21,14,,0.00,3,,33<br />
2003-3-10,10,5,0,0,-1,-3,93,65,43,1034,1032,1031,10,10,10,27,13,,0.00,2,,14<br />
2003-3-11,11,6,0,4,-1,-4,93,64,37,1036,1034,1025,10,9,2,24,11,,0.00,4,Rain,36<br />
2003-3-12,12,7,2,2,1,-1,87,66,41,1036,1035,1033,10,10,10,23,10,,0.00,4,,50<br />
2003-3-13,14,7,1,4,1,-3,93,65,31,1034,1031,1029,10,10,10,19,6,,0.00,4,,8<br />
2003-3-14,13,8,4,7,2,-1,93,66,38,1030,1026,1023,10,10,6,14,8,,0.00,6,Rain,106<br />
2003-3-15,10,8,7,8,7,6,100,87,76,1022,1021,1020,6,5,2,11,5,,0.00,8,Rain,341<br />
2003-3-16,10,8,6,8,7,6,100,90,82,1022,1017,1014,10,7,4,21,6,,0.00,7,Rain,21<br />
2003-3-17,12,10,7,8,6,4,100,83,66,1022,1018,1016,10,8,4,27,8,,0.00,7,,15<br />
