ChST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2002-1-1,21,20,20,14,14,14,68,67,64,1019,1018,1017,10,10,10,10,8,,0.00,6,,34<br />
2002-1-2,23,21,19,15,13,12,73,65,60,1015,1014,1012,10,10,10,32,23,48,0.00,5,,272<br />
2002-1-3,19,18,17,12,11,9,68,60,56,1017,1015,1013,10,10,10,37,34,58,0.00,4,,308<br />
2002-1-4,19,19,18,10,9,9,59,56,52,1018,1018,1018,10,10,10,24,23,,0.00,3,,300<br />
2002-1-5,21,19,18,12,9,8,60,54,46,1019,1017,1015,10,10,10,35,21,,0.00,3,,271<br />
2002-1-6,22,20,18,13,12,10,73,59,53,1020,1018,1016,10,10,10,32,26,,0.00,3,,325<br />
2002-1-7,20,19,18,13,11,9,73,62,52,1023,1021,1020,10,10,10,23,18,,0.00,-620,,32<br />
2002-1-8,21,19,17,13,12,9,77,61,46,1021,1019,1018,10,10,10,13,8,,0.00,2,,329<br />
2002-1-9,21,20,17,14,11,7,73,57,49,1020,1019,1017,10,10,10,35,24,50,0.00,4,,315<br />
2002-1-10,19,18,17,10,9,8,59,55,49,1021,1020,1019,10,10,10,19,16,,0.00,5,,25<br />
2002-1-11,20,18,16,12,11,9,68,61,52,1020,1019,1017,10,10,10,16,6,,0.00,5,,265<br />
2002-1-12,22,19,19,15,14,12,73,70,57,1020,1019,1018,10,10,10,23,19,,0.00,5,Rain,347<br />
2002-1-13,21,19,17,12,12,12,72,66,56,1023,1020,1019,10,10,10,14,10,,0.00,3,,27<br />
2002-1-14,21,19,18,13,13,12,68,62,60,1024,1023,1022,10,10,10,23,16,,0.00,4,,40<br />
2002-1-15,22,20,19,14,14,13,73,63,60,1025,1023,1022,10,10,10,29,26,,0.00,4,,74<br />
2002-1-16,23,21,19,18,16,14,83,72,64,1021,1016,1014,10,10,10,23,19,,0.00,3,,171<br />
2002-1-17,24,22,20,20,19,18,88,82,73,1014,1012,1011,10,10,10,35,26,,0.00,3,,253<br />
2002-1-18,23,21,20,20,18,16,94,80,69,1016,1014,1012,10,10,10,26,19,,0.00,4,Rain,296<br />
2002-1-19,20,20,20,19,17,16,94,83,78,1016,1015,1013,10,8,3,8,6,,0.00,3,Rain-Thunderstorm,309<br />
2002-1-20,23,21,20,20,17,16,94,80,73,1015,1014,1013,10,10,6,26,19,,0.00,4,Rain,38<br />
2002-1-21,23,21,20,18,18,17,88,79,69,1015,1014,1013,10,10,10,26,19,,0.00,3,,224<br />
2002-1-22,23,21,19,18,17,16,83,75,73,1017,1016,1014,10,10,10,23,11,,0.00,4,,181<br />
2002-1-23,18,17,17,17,17,16,94,94,94,1019,1017,1016,10,4,2,26,21,,0.00,7,Rain,346<br />
2002-1-24,21,19,18,13,12,10,73,61,53,1022,1020,1019,10,10,10,24,16,,0.00,5,,335<br />
2002-1-25,19,18,18,11,11,10,64,62,59,1023,1022,1021,10,10,10,23,16,,0.00,3,,35<br />
2002-1-26,22,20,18,15,13,10,73,63,56,1022,1020,1018,10,10,10,26,23,,0.00,3,,84<br />
2002-1-27,23,22,22,20,19,19,83,81,78,1015,1013,1012,10,10,10,37,27,55,0.00,6,Rain,206<br />
2002-1-28,21,19,18,14,12,11,73,64,53,1018,1016,1015,10,10,10,24,18,,0.00,5,,333<br />
2002-1-29,20,19,18,13,12,11,73,66,60,1018,1017,1016,10,10,10,27,16,,0.00,4,,292<br />
