MMT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2003-8-4,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2003-8-5,29,27,24,27,24,2,100,90,18,1005,1004,1002,10,9,7,19,10,34,0.00,4,Rain,242<br />
2003-8-6,31,28,25,27,25,25,100,96,74,1006,1004,1002,10,5,1,19,8,27,0.00,8,Rain-Thunderstorm,214<br />
2003-8-7,29,27,25,27,26,25,100,93,84,1007,1006,1003,9,8,6,19,6,,0.00,6,Rain,208<br />
2003-8-8,28,26,24,27,25,24,100,99,94,1008,1006,1005,9,7,7,14,6,34,0.00,6,Rain,231<br />
2003-8-9,31,28,25,27,26,25,100,92,75,1007,1005,1003,8,6,1,19,10,37,0.00,6,Rain-Thunderstorm,241<br />
2003-8-10,32,29,26,28,26,25,100,89,66,1007,1006,1004,10,6,1,13,5,,0.00,6,Fog-Rain-Thunderstorm,247<br />
2003-8-11,31,28,26,27,26,24,100,86,66,1009,1007,1006,9,8,4,14,6,,0.00,5,,265<br />
2003-8-12,31,28,26,27,27,25,100,93,74,1008,1006,1005,9,8,3,19,11,37,0.00,7,Rain,264<br />
2003-8-13,27,26,25,27,26,25,100,99,94,1008,1006,1004,8,7,4,13,8,,0.00,7,Rain,247<br />
2003-8-14,26,24,24,26,25,24,100,100,100,1008,1007,1005,7,5,3,19,8,47,0.00,7,Rain,117<br />
2003-8-15,31,27,24,27,25,23,100,94,70,1008,1007,1005,10,7,5,13,6,,0.00,6,Rain,127<br />
2003-8-16,33,29,26,27,26,25,94,80,66,1007,1005,1003,10,9,4,10,6,,0.00,2,,271<br />
2003-8-17,32,29,26,28,27,25,100,87,70,1007,1005,1003,9,7,5,19,6,37,0.00,6,,245<br />
2003-8-18,29,27,25,27,26,23,100,96,84,1007,1005,1004,9,7,4,19,10,,0.00,6,Rain-Thunderstorm,153<br />
2003-8-19,31,28,25,26,25,24,100,86,66,1005,1003,1001,10,8,5,19,8,37,0.00,5,Rain,152<br />
2003-8-20,29,27,25,26,26,25,100,93,84,1002,1000,998,9,8,5,14,6,34,0.00,6,Rain,243<br />
2003-8-21,27,26,24,26,25,24,100,98,94,1006,1003,1001,8,6,3,19,11,37,0.00,7,Rain,207<br />
2003-8-22,29,27,24,26,25,24,100,94,74,1010,1008,1006,9,6,1,14,10,,0.00,6,Rain,205<br />
2003-8-23,33,29,26,27,26,24,100,82,59,1011,1009,1007,10,8,5,14,6,,0.00,5,,258<br />
2003-8-24,29,27,24,27,26,24,100,97,84,1008,1005,1003,9,7,2,19,8,47,0.00,7,Rain-Thunderstorm,262<br />
2003-8-25,28,27,25,26,25,25,100,99,84,1006,1004,1002,9,7,2,19,10,37,0.00,6,Rain,241<br />
