ICT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2001-1-1,30,26,21,22,19,15,89,69,40,1013,1011,1008,10,8,6,11,6,,0.00,5,,176<br />
2001-1-2,31,26,20,21,18,14,94,64,35,1013,1011,1008,9,8,5,19,10,,0.00,2,,219<br />
2001-1-3,32,26,20,20,17,12,94,62,29,1014,1011,1009,10,6,3,13,6,,0.00,3,,215<br />
2001-1-4,32,26,21,22,19,16,94,66,38,1013,1011,1009,8,6,3,23,8,,0.00,3,,186<br />
2001-1-5,32,27,23,23,21,18,94,70,43,1014,1011,1009,10,6,3,19,8,,0.00,4,,239<br />
2001-1-6,31,27,23,24,22,21,94,79,55,1015,1012,1010,10,9,7,19,10,,0.00,5,,173<br />
2001-1-7,33,28,24,25,23,20,94,75,46,1013,1010,1008,10,8,5,21,11,,0.00,5,,213<br />
2001-1-8,33,28,23,26,24,22,100,89,55,1011,1010,1007,10,9,4,21,13,,0.00,4,Rain,206<br />
2001-1-9,33,28,23,25,24,23,100,85,59,1013,1010,1007,10,9,3,19,11,,0.00,5,,204<br />
2001-1-10,34,29,24,26,24,22,94,80,52,1011,1009,1006,10,7,2,21,13,,0.00,5,,216<br />
2001-1-11,33,28,24,26,24,20,100,83,49,1010,1008,1006,10,7,1,23,10,,0.00,4,,176<br />
2001-1-12,34,29,24,26,24,22,100,80,49,1011,1009,1007,9,7,2,19,10,,0.00,6,,204<br />
2001-1-13,32,28,25,26,25,24,100,82,62,1012,1010,1007,10,8,4,19,10,,0.00,6,,195<br />
2001-1-14,31,27,23,26,24,22,100,91,70,1013,1011,1009,10,6,3,26,8,,0.00,6,Rain-Thunderstorm,199<br />
2001-1-15,31,27,23,25,24,22,100,86,66,1014,1012,1010,10,7,2,16,8,,0.00,6,,200<br />
2001-1-16,30,27,23,24,22,20,94,77,55,1015,1013,1011,10,8,2,19,6,,0.00,5,,208<br />
2001-1-17,30,26,21,22,20,18,89,72,51,1016,1013,1011,10,9,7,19,8,,0.00,4,,307<br />
2001-1-18,31,26,22,23,21,18,89,72,48,1015,1012,1010,10,9,8,26,13,,0.00,5,,279<br />
2001-1-19,31,27,24,24,23,20,94,75,55,1014,1012,1009,10,7,4,16,10,,0.00,6,,272<br />
2001-1-20,33,29,25,25,23,21,89,72,49,1014,1011,1007,10,6,3,23,10,,0.00,5,,193<br />
2001-1-21,32,29,26,25,24,23,94,85,59,1013,1010,1008,9,7,6,23,16,,0.00,6,Rain,218<br />
2001-1-22,33,29,25,25,24,22,94,80,52,1012,1009,1006,10,9,4,24,11,,0.00,6,,214<br />
2001-1-23,35,29,24,26,24,22,100,79,52,1012,1009,1007,10,9,4,14,8,,0.00,4,,173<br />
2001-1-24,34,30,26,26,24,21,94,76,46,1011,1009,1007,10,9,7,14,8,,0.00,3,,195<br />
2001-1-25,34,29,25,25,24,22,94,78,52,1011,1008,1006,10,10,9,19,11,,0.00,3,,181<br />
2001-1-26,35,29,24,26,24,22,100,77,49,1010,1007,1005,10,10,7,14,10,,0.00,3,,179<br />
2001-1-27,35,30,25,26,24,20,100,76,44,1010,1008,1006,10,10,9,16,11,,0.00,2,,173<br />
2001-1-28,36,30,24,26,24,18,94,76,36,1012,1009,1007,10,10,6,19,10,,0.00,3,,170<br />
2001-1-29,30,28,25,25,23,21,94,79,62,1014,1011,1009,10,9,6,19,11,,0.00,4,,105<br />
2001-1-30,31,26,22,22,20,18,88,68,46,1014,1011,1008,10,9,8,14,6,,0.00,4,,86<br />
2001-1-31,33,28,23,25,23,20,100,75,46,1011,1008,1006,9,6,1,16,6,,0.00,5,,172<br />
2001-2-1,34,28,23,25,20,13,100,67,28,1011,1008,1006,10,7,1,14,6,,0.00,4,,183<br />
2001-2-2,35,28,22,25,23,20,100,78,44,1010,1008,1005,10,7,0,14,10,,0.00,4,Fog,160<br />
2001-2-3,35,29,24,26,24,23,100,80,55,1011,1008,1006,10,8,2,19,8,,0.00,4,,162<br />
2001-2-4,34,29,24,27,26,24,100,84,59,1012,1009,1006,10,8,5,14,8,,0.00,5,,158<br />
2001-2-5,34,29,25,27,24,23,94,82,55,1012,1009,1007,10,8,3,14,8,,0.00,4,,171<br />
2001-2-6,35,30,25,26,25,23,94,79,49,1011,1008,1005,10,7,3,16,10,,0.00,4,,180<br />
2001-2-7,34,29,25,26,24,23,94,78,52,1010,1007,1004,9,8,2,14,10,,0.00,5,,167<br />
2001-2-8,32,29,26,27,26,24,94,87,66,1010,1008,1006,10,7,4,13,8,,0.00,6,Rain,184<br />
2001-2-9,33,28,24,26,24,22,100,81,58,1011,1009,1007,10,8,2,16,10,,0.00,6,,148<br />
2001-2-10,29,26,23,25,23,22,94,87,74,1012,1010,1008,10,6,4,19,8,,0.00,6,Rain,61<br />
2001-2-11,32,27,22,22,21,17,94,69,40,1012,1009,1007,7,5,2,13,8,,0.00,5,,73<br />
2001-2-12,34,28,23,23,21,14,94,63,30,1012,1009,1007,8,6,3,11,6,,0.00,4,,92<br />
2001-2-13,36,30,25,24,21,14,94,63,28,1011,1009,1007,9,4,1,11,6,,0.00,4,,92<br />
2001-2-14,31,28,25,25,22,20,100,75,52,1013,1011,1009,10,7,1,27,10,,0.00,6,Fog,135<br />
