MYT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2001-1-6,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2001-1-7,24,,24,24,24,24,100,100,100,1009,1009,1009,10,10,10,0,0,,0.00,6,,-1<br />
2001-1-11,28,26,26,24,23,23,83,81,79,1011,1010,1010,10,10,10,11,11,,0.00,7,Rain,285<br />
2001-2-11,23,23,23,22,22,22,94,94,94,1008,1008,1008,10,10,10,0,0,,0.00,6,,-1<br />
2001-3-5,32,30,30,23,23,22,66,61,55,1011,1010,1009,10,10,10,10,8,,0.00,7,,50<br />
2001-3-7,28,28,28,25,25,25,84,84,84,1009,1009,1009,10,10,10,8,6,,0.00,8,,255<br />
2001-3-8,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2001-3-12,26,,26,24,24,24,89,89,89,1010,1010,1010,10,10,10,0,0,,0.00,6,,-1<br />
2001-3-13,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2001-3-19,30,,30,24,24,24,70,70,70,1010,1010,1010,10,10,10,13,13,,0.00,6,,330<br />
2001-3-20,23,23,23,22,22,22,94,94,94,1008,1007,1007,6,6,6,11,3,,0.00,8,Rain-Thunderstorm,330<br />
2001-3-21,26,,26,24,24,24,89,89,89,1007,1007,1007,10,10,10,10,10,,0.00,6,,320<br />
2001-3-23,30,,30,25,25,25,74,74,74,1005,1005,1005,10,10,10,19,19,,0.00,6,,190<br />
2001-3-24,30,,30,24,24,24,70,70,70,1005,1005,1005,10,10,10,13,13,,0.00,6,,280<br />
2001-3-27,33,,33,24,24,24,59,59,59,1008,1008,1008,10,10,10,10,10,,0.00,6,,340<br />
2001-3-29,26,,26,25,25,25,94,94,94,1008,1008,1008,10,10,10,8,8,,0.00,6,,350<br />
2001-3-30,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2001-3-31,31,31,26,25,24,24,94,77,66,1011,1010,1009,10,9,8,14,8,,0.00,7,Rain-Thunderstorm,310<br />
2001-4-1,29,,29,26,26,26,84,84,84,1008,1008,1008,10,10,10,8,8,,0.00,6,,310<br />
2001-4-2,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2001-4-6,31,27,24,26,24,23,100,84,70,1010,1008,1007,10,10,8,14,6,,0.00,6,Rain-Thunderstorm,195<br />
2001-4-7,26,,26,25,25,25,94,94,94,1009,1009,1009,10,10,10,3,3,,0.00,6,Rain,80<br />
2001-4-8,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2001-4-10,32,32,32,26,26,25,70,67,66,1011,1009,1007,10,10,10,24,21,,0.00,6,,303<br />
2001-4-11,27,,27,23,23,23,79,79,79,1009,1009,1009,10,10,10,11,11,,0.00,8,Rain-Thunderstorm,20<br />
2001-4-12,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2001-4-14,25,,25,24,24,24,94,94,94,1012,1012,1012,10,10,10,2,2,,0.00,6,,180<br />
2001-4-18,27,24,24,25,24,24,100,94,89,1010,1009,1009,10,9,8,3,3,,0.00,6,,50<br />
2001-4-20,31,,31,25,25,25,70,70,70,1004,1004,1004,10,10,10,23,23,,0.00,6,,310<br />
2001-4-22,25,,25,24,24,24,94,94,94,1007,1007,1007,7,7,7,10,10,,0.00,8,Rain-Thunderstorm,30<br />
2001-4-23,26,,26,25,25,25,94,94,94,1009,1009,1009,10,10,10,0,0,,0.00,6,,-1<br />
2001-4-24,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2001-5-10,,,,,,,,,,1010,1010,1010,10,10,10,14,14,,0.00,6,Thunderstorm,350<br />
2001-5-12,30,28,28,26,26,25,89,82,74,1011,1011,1011,10,8,6,2,2,,0.00,6,,120<br />
2001-5-13,32,,32,26,26,26,70,70,70,1006,1006,1006,10,10,10,2,2,,0.00,6,,220<br />
2001-5-16,26,,26,24,24,24,89,89,89,1010,1010,1010,10,10,10,6,6,,0.00,6,,100<br />
2001-5-21,28,,28,26,26,26,89,89,89,1008,1008,1008,10,10,10,0,0,,0.00,6,,-1<br />
2001-5-22,27,,27,26,26,26,94,94,94,1009,1009,1009,10,10,10,0,0,,0.00,6,,-1<br />
2001-5-30,24,,24,23,23,23,94,94,94,1009,1009,1009,10,10,10,2,2,,0.00,8,Rain,100<br />
2001-5-31,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2001-6-2,31,25,25,25,25,25,100,85,70,1010,1009,1009,10,10,10,11,3,,0.00,6,,170<br />
2001-6-12,25,,25,25,25,25,100,100,100,1010,1010,1010,9,9,9,0,0,,0.00,6,,-1<br />
2001-6-18,30,,30,25,25,25,74,74,74,1010,1010,1010,10,10,10,8,8,,0.00,8,,180<br />
2001-6-27,33,,33,23,23,23,55,55,55,1008,1008,1008,10,10,10,13,13,,0.00,6,,100<br />
2001-7-20,24,,24,24,24,24,100,100,100,1009,1009,1009,10,10,10,0,0,,0.00,6,,-1<br />
2001-7-22,32,,32,23,23,23,59,59,59,1005,1005,1005,10,10,10,10,10,,0.00,6,,280<br />
2001-8-22,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2001-8-23,25,,25,24,24,24,94,94,94,1008,1008,1008,10,10,10,2,2,,0.00,6,,40<br />
2001-9-7,,,,,,,,,,,,,,,,,,,0.
