EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2003-1-1,3,-3,-9,1,-7,-15,93,72,54,1023,1019,1010,32,24,16,39,23,53,0.00,7,,330<br />
2003-1-2,-8,-10,-12,-13,-15,-16,73,66,58,1029,1026,1022,32,25,24,39,31,61,0.00,5,,42<br />
2003-1-3,-2,-6,-8,-9,-11,-13,73,66,55,1028,1024,1019,32,25,19,35,26,45,0.00,8,Snow,48<br />
2003-1-4,-4,-4,-5,-6,-7,-10,86,81,64,1017,1015,1013,24,6,1,37,29,48,0.00,8,Snow,39<br />
2003-1-5,-3,-4,-6,-6,-8,-11,86,76,59,1021,1018,1016,32,23,10,11,6,,0.00,7,Snow,22<br />
2003-1-6,-2,-6,-8,-6,-7,-10,93,84,69,1016,1015,1014,24,13,6,11,3,,0.00,7,Snow,291<br />
2003-1-7,-6,-10,-13,-7,-12,-16,93,78,62,1014,1008,993,32,20,3,29,13,40,0.00,5,Snow,234<br />
2003-1-8,-1,-4,-8,-4,-9,-17,100,79,39,991,988,986,32,13,1,35,16,47,0.00,7,Snow,259<br />
2003-1-9,-9,-12,-15,-14,-19,-23,68,59,44,999,994,987,32,26,24,34,19,34,0.00,5,,93<br />
2003-1-10,-10,-13,-17,-15,-18,-21,79,66,52,1003,1001,998,32,16,3,34,14,35,0.00,6,Snow,285<br />
2003-1-11,-11,-14,-17,-17,-21,-23,67,60,48,1011,1007,1002,32,27,19,34,19,47,0.00,5,Snow,263<br />
2003-1-12,-6,-9,-11,-12,-14,-18,73,65,57,1017,1015,1011,32,25,16,42,26,53,0.00,5,,255<br />
2003-1-13,-3,-8,-13,-6,-10,-17,93,77,62,1016,1008,1001,32,13,0,58,21,66,0.00,7,Snow,209<br />
2003-1-14,-13,-16,-21,-17,-23,-27,79,62,47,1020,1018,1013,24,20,6,32,26,47,0.00,3,Snow,258<br />
2003-1-15,-13,-18,-22,-18,-23,-28,72,62,44,1019,1018,1016,32,25,10,13,6,,0.00,6,Snow,252<br />
2003-1-16,-10,-15,-19,-13,-20,-26,85,64,52,1022,1017,1012,32,22,4,24,13,34,0.00,5,Snow,248<br />
2003-1-17,-12,-17,-21,-14,-22,-28,85,61,43,1019,1015,1011,24,14,4,34,16,39,0.00,3,Snow,339<br />
2003-1-18,24,-1,-25,-17,-23,-30,77,61,4,1020,1017,1012,24,22,13,23,11,,0.00,3,Snow,177<br />
2003-1-19,-6,-12,-18,-11,-16,-23,79,71,58,1012,1008,1003,32,20,4,21,10,,0.00,7,Snow,187<br />
2003-1-20,-7,-12,-17,-10,-16,-25,86,66,51,1011,1001,996,32,19,3,47,24,60,0.00,5,Snow,231<br />
2003-1-21,-18,-20,-23,-26,-28,-30,59,52,46,1015,1014,1012,32,25,24,48,31,63,0.00,1,,268<br />
2003-1-22,-20,-22,-25,-27,-29,-32,60,53,45,1015,1013,1011,32,19,3,42,32,55,0.00,6,Snow,268<br />
2003-1-23,-16,-18,-21,-21,-26,-30,66,56,39,1016,1014,1013,32,23,4,26,19,35,0.00,7,Snow,270<br />
2003-1-24,-14,-17,-19,-22,-23,-24,66,57,48,1024,1021,1016,32,26,24,35,16,45,0.00,1,,262<br />
2003-1-25,-5,-11,-17,-8,-14,-23,86,71,56,1023,1018,1015,24,12,1,39,19,52,0.00,7,Snow,221<br />
2003-1-26,-5,-9,-15,-7,-11,-21,86,75,57,1022,1016,1014,32,11,2,24,19,34,0.00,8,Snow,246<br />
2003-1-27,-16,-21,-25,-23,-29,-31,60,52,42,1031,1029,1023,24,24,24,29,14,29,0.00,1,,278<br />
2003-1-28,-13,-20,-25,-19,-26,-32,67,57,46,1031,1025,1019,32,24,16,11,6,,0.00,6,Snow,154<br />
2003-1-29,-7,-12,-16,-11,-15,-19,79,72,63,1028,1020,1017,32,15,2,19,8,,0.00,6,Snow,229<br />
2003-1-30,-6,-13,-20,-13,-18,-24,85,71,58,1032,1030,1028,32,22,13,10,5,,0.00,1,Fog,210<br />
2003-1-31,-3,-10,-16,-9,-14,-19,85,74,63,1030,1026,1021,19,9,3,16,10,,0.00,3,,27<br />
2003-2-1,0,-2,-5,-4,-7,-10,80,72,68,1020,1014,1009,24,16,10,19,16,,0.00,7,Snow,30<br />
2003-2-2,3,0,-2,-3,-5,-6,75,68,60,1009,1007,1004,32,25,13,26,13,,0.00,7,Snow,333<br />
2003-2-3,0,-3,-7,-5,-10,-12,74,62,51,1013,1011,1007,32,26,24,32,19,29,0.00,4,,253<br />
2003-2-4,3,0,-5,1,-5,-12,87,71,47,1007,993,987,32,14,2,61,24,80,0.00,7,Rain-Snow,149<br />
2003-2-5,-6,-10,-13,-12,-19,-23,67,52,41,1022,1009,992,32,23,10,58,47,76,0.00,3,Snow,264<br />
2003-2-6,-6,-11,-16,-9,-16,-24,80,63,44,1026,1023,1020,32,20,2,19,13,27,0.00,6,Snow,207<br />
2003-2-7,-5,-10,-14,-10,-16,-22,86,66,48,1019,1015,1011,32,21,3,26,14,,0.00,5,Snow,344<br />
2003-2-8,-4,-10,-16,-9,-16,-22,74,59,52,1012,1011,1009,32,26,24,55,24,69,0.00,4,Snow,236<br />
2003-2-9,-4,-9,-14,-7,-12,-17,86,70,46,1015,1011,1007,32,13,0,34,26,40,0.00,6,Snow,250<br />
2003-2-10,12,-1,-13,-6,-12,-18,86,67,14,1014,1005,996,32,16,2,42,16,53,0.00,7,Snow,198<br />
2003-2-11,-11,-18,-24,-18,-28,-33,67,49,39,1016,1011,1002,32,22,6,40,19,53,0.00,5,Snow,244<br />
2003-2-12,-11,-16,-20,-18,-23,-30,66,55,39,1011,1004,999,32,18,1,53,19,71,0.00,5,Snow,329<br />
2003-2-13,-20,-22,-25,-30,-32,-33,49,44,38,1018,1015,1012,32,26,24,32,18,40,0.00,2,,289<br />
2003-2-14,-17,-21,-24,-27,-29,-32,54,46,39,1026,1022,1018,32,26,24,29,11,39,0.00,1,,277<br />
2003-2-15,-18,-21,-25,-29,-31,-32,59,45,35,1042,1034,1027,32,25,24,34,11,,0.00,0,,301<br />
2003-2-16,-19,-22,-26,-28,-32,-36,46,42,35,1047,1044,1040,32,25,24,24,11,,0.00,2,,35<br />
2003-2-17,-13,-18,-22,-21,-26,-30,55,48,39,1040,1032,1023,32,23,19,29,18,,0.00,7,,39<br />
2003-2-18,-5,-9,-13,-13,-18,-22,58,50,43,1023,1020,1019,24,20,14,19,11,,0.00,8,,8<br />
2003-2-19,2,-3,-7,-4,-7,-14,80,69,58,1021,1017,1014,24,15,3,42,16,55,0.00,7,Snow,191<br />
2003-2-20,2,-1,-3,-5,-8,-11,69,57,48,1022,1018,1013,32,26,19,40,29,52,0.00,3,,244<br />
2003-2-21,4,1,-3,-4,-6,-9,65,61,56,1015,1014,1013,32,26,19,35,26,52,0.00,6,,270<br />
2003-2-22,-3,-6,-7,-9,-11,-12,80,67,59,1015,1011,1001,32,12,1,53,31,63,0.00,7,Snow,39<br />
2003-2-23,-4,-7,-11,-7,-10,-17,80,74,62,1007,993,985,24,6,1,58,35,66,0.00,8,Rain-Snow,341<br />
2003-2-24,-12,-14,-16,-18,-22,-25,62,51,44,1023,1019,1009,32,22,6,40,24,55,0.00,5,Snow,250<br />
2003-2-25,-13,-16,-19,-19,-24,-28,67,53,36,1033,1028,1020,24,21,6,35,21,50,0.00,2,Snow,271<br />
2003-2-26,-11,-17,-22,-19,-23,-29,66,56,48,1033,1030,1027,32,26,24,14,5,,0.00,1,,163<br />
2003-2-27,-6,-12,-19,-14,-19,-24,72,62,54,1028,1025,1022,24,14,6,14,8,,0.00,1,,21<br />
2003-2-28,-3,-10,-16,-12,-17,-22,72,60,51,1023,1022,1021,19,16,13,16,10,,0.00,2,,7<br />
2003-3-1,2,-7,-14,-7,-11,-18,79,67,48,1024,1021,1015,19,15,5,10,3,,0.00,3,,83<br />
2003-3-2,2,-3,-14,-1,-5,-19,87,77,63,1015,1003,996,24,8,1,45,16,58,0.00,8,Rain-Snow,207<br />
2003-3-3,-18,-22,-27,-26,-31,-35,51,45,42,1023,1018,1005,24,24,24,42,34,55,0.00,1,,267<br />
2003-3-4,-6,-13,-21,-10,-19,-29,80,62,46,1022,1017,1012,32,11,2,21,8,,0.00,7,Snow,161<br />
2003-3-5,-5,-7,-9,-9,-11,-13,80,73,58,1013,1009,1004,19,4,1,39,19,55,0.00,8,Snow,14<br />
2003-3-6,-7,-12,-18,-11,-20,-25,79,54,35,1024,1018,1012,32,24,10,23,11,29,0.00,4,Snow,311<br />
2003-3-7,-5,-13,-21,-13,-20,-27,60,52,39,1027,1022,1015,32,25,24,11,5,,0.00,4,,171<br />
2003-3-8,1,-3,-6,-4,-8,-12,86,68,59,1019,1013,1000,32,15,1,29,11,34,0.00,8,Snow,206<br />
2003-3-9,-2,-9,-15,-5,-16,-24,86,60,37,1013,1007,996,32,16,1,37,23,50,0.00,5,Snow,285<br />
2003-3-10,-12,-13,-15,-20,-22,-24,66,51,37,1017,1014,1011,32,22,6,45,26,58,0.00,3,Snow,245<br />
2003-3-11,-3,-9,-14,-10,-16,-21,63,55,50,1018,1015,1010,32,27,24,45,29,58,0.00,5,,222<br />
2003-3-12,2,-2,-7,-2,-8,-16,81,60,43,1021,1012,1007,32,17,1,42,23,53,0.00,7,Snow,256<br />
2003-3-13,-8,-11,-15,-17,-22,-25,53,44,30,1028,1025,1022,32,25,24,23,14,,0.00,2,,11<br />
2003-3-14,-6,-12,-18,-16,-21,-25,56,43,33,1031,1028,1025,24,24,24,27,10,,0.00,5,,248<br />
2003-3-15,0,-3,-7,-8,-10,-15,80,68,54,1025,1022,1020,32,20,2,14,8,,0.00,6,Snow,138<br />
2003-3-16,6,-1,-8,-4,-8,-12,80,64,46,1019,1014,1009,24,19,13,21,6,,0.00,3,,25<br />
2003-3-17,5,3,1,0,-3,-6,81,68,60,1012,1009,1008,24,11,3,16,10,,0.00,7,,28<br />
2003-3-18,4,0,-3,-4,-9,-16,75,51,28,1026,1018,1013,32,21,6,26,11,39,0.00,1,,29<br />
2003-3-19,0,-3,-7,-13,-16,-18,50,39,34,1033,1029,1026,32,25,24,29,23,40,0.00,0,,53<br />
2003-3-20,2,-3,-7,-1,-8,-15,81,65,50,1025,1021,1012,32,12,2,21,13,,0.00,6,Rain,72<br />
