BST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2001-1-3,8,6,3,6,4,2,100,92,81,982,979,977,10,8,2,66,47,87,0.00,5,Rain,204<br />
2001-1-4,8,7,6,7,6,5,93,88,81,983,982,980,10,10,10,16,11,,0.00,5,,267<br />
2001-1-5,8,7,5,7,6,4,100,93,81,982,982,981,10,10,10,23,13,,0.00,4,Rain,217<br />
2001-1-6,7,6,5,5,4,4,93,88,81,986,984,982,10,10,8,26,18,,0.00,2,Rain,302<br />
2001-1-8,7,6,6,6,5,4,93,89,81,1010,1009,1008,10,9,3,35,29,,0.00,4,Rain,310<br />
2001-1-9,7,4,2,4,2,0,93,84,76,1013,1013,1011,10,10,10,10,3,,0.00,3,,122<br />
2001-1-10,4,2,0,0,-1,-1,93,82,70,1023,1021,1018,10,10,10,24,16,,0.00,1,,67<br />
2001-1-11,4,1,-2,0,-2,-4,93,79,70,1032,1031,1030,10,10,10,16,11,,0.00,1,,67<br />
2001-1-12,6,3,1,2,1,-1,87,74,70,1031,1031,1029,10,10,10,42,26,,0.00,1,,133<br />
2001-1-13,7,6,5,3,2,0,76,73,70,1032,1031,1029,10,10,10,48,43,,0.00,3,,164<br />
2001-1-15,6,6,5,1,-1,-3,76,66,53,1024,1023,1022,10,10,10,40,34,,0.00,4,,166<br />
2001-1-16,5,4,4,1,0,-1,76,73,70,1022,1022,1021,10,9,9,24,21,,0.00,7,,153<br />
2001-1-17,3,2,2,-2,-3,-4,75,68,60,1021,1021,1020,10,10,10,29,24,,0.00,6,,143<br />
2001-1-18,4,3,3,-3,-4,-5,65,59,56,1021,1021,1020,10,10,10,16,13,,0.00,7,,116<br />
2001-1-19,5,3,1,0,-1,-1,87,75,65,1022,1022,1021,10,10,10,24,18,,0.00,4,,140<br />
2001-1-20,5,4,4,2,1,0,87,79,75,1024,1023,1020,10,10,10,40,29,,0.00,5,,149<br />
2001-1-21,5,,5,4,4,4,93,93,93,1004,1004,1004,4,4,4,66,66,,0.00,8,Rain,150<br />
2001-1-22,8,6,5,7,4,2,93,88,81,1001,985,978,10,7,5,80,63,101,0.00,7,Rain,132<br />
2001-1-23,8,7,7,6,5,5,93,83,81,976,973,969,10,9,5,55,45,,0.00,6,Rain,166<br />
2001-1-24,8,7,6,6,3,-1,93,76,53,976,971,959,10,9,5,58,37,74,0.00,5,Rain,266<br />
2001-1-25,6,6,5,3,2,1,87,79,70,980,978,974,10,9,6,60,52,76,0.00,6,Rain,184<br />
2001-1-26,7,6,6,5,4,3,93,87,81,980,979,977,10,9,6,47,39,76,0.00,5,Rain,259<br />
2001-1-27,7,6,5,2,1,0,76,73,66,993,992,990,10,10,10,40,26,,0.00,2,,286<br />
2001-1-29,8,6,3,5,4,2,93,87,76,1017,1016,1015,10,10,10,16,8,,0.00,3,,221<br />
2001-1-30,6,6,6,6,5,5,100,94,93,1013,1012,1010,10,8,3,42,37,63,0.00,7,Rain,151<br />
2001-1-31,6,6,6,5,5,5,93,93,93,1025,1023,1021,10,9,4,34,26,,0.00,8,Rain,147<br />
2001-2-1,8,7,6,8,7,5,100,96,93,1020,1017,1014,10,4,2,55,47,64,0.00,8,Rain,172<br />
2001-2-2,8,7,7,7,6,5,100,91,87,1011,1009,1006,10,9,5,24,14,,0.00,7,Rain,224<br />
2001-2-3,8,7,6,5,4,3,93,83,71,1003,1002,1002,10,9,4,32,24,,0.00,6,Rain,322<br />
2001-2-5,4,3,2,-3,-3,-4,70,65,60,991,990,989,10,10,10,35,31,,0.00,6,Snow,90<br />
2001-2-6,5,3,2,3,2,0,93,89,81,976,974,971,10,9,4,50,43,69,0.00,8,Rain-Snow,90<br />
2001-2-7,5,3,2,0,-2,-3,87,68,61,994,990,986,10,10,10,39,29,,0.00,2,Rain-Snow,6<br />
