GMT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2002-1-1,4,-1,-5,-1,-3,-6,93,85,60,1039,1037,1034,10,7,3,13,3,,0.00,0,,98<br />
2002-1-2,4,0,-4,-1,-3,-4,100,83,61,1034,1030,1027,9,6,5,23,11,,0.00,3,,83<br />
2002-1-3,4,1,-3,-1,-3,-5,93,81,70,1027,1026,1025,,,,23,14,,0.00,,,79<br />
2002-1-4,5,1,-3,4,-2,-7,100,86,74,1030,1027,1026,9,5,2,16,11,32,0.00,6,,97<br />
2002-1-5,9,7,5,8,7,5,100,95,87,1035,1033,1030,5,3,1,13,6,,0.00,8,,167<br />
2002-1-6,8,7,6,8,7,5,100,97,93,1036,1035,1034,7,2,0,6,3,,0.00,8,Fog,237<br />
2002-1-7,6,4,4,5,4,2,100,95,87,1035,1033,1032,10,6,2,11,3,,0.00,8,,241<br />
2002-1-8,5,3,2,3,1,-1,93,82,75,1032,1032,1031,10,7,5,23,8,,0.00,8,Rain,81<br />
2002-1-9,5,3,1,4,2,-1,100,89,81,1034,1032,1031,7,4,2,16,10,,0.00,6,Rain,93<br />
2002-1-10,7,6,4,5,4,3,100,91,81,1031,1028,1026,10,5,3,14,8,,0.00,6,Rain,146<br />
2002-1-11,5,2,0,3,2,0,100,96,87,1031,1029,1026,6,3,0,11,5,,0.00,6,Fog,254<br />
2002-1-12,8,6,3,6,5,3,100,93,81,1031,1028,1024,10,5,0,21,10,,0.00,7,Fog,170<br />
2002-1-13,11,9,8,9,8,6,100,91,82,1024,1023,1022,10,6,4,16,13,,0.00,7,Rain,171<br />
2002-1-14,11,10,9,9,8,7,100,92,76,1023,1021,1017,10,7,2,21,10,,0.00,7,Rain,193<br />
2002-1-15,9,6,1,9,5,0,100,88,71,1019,1016,1013,10,10,6,16,8,,0.00,6,Rain,252<br />
2002-1-16,9,4,0,8,3,-1,93,87,76,1021,1020,1018,10,10,8,14,6,,0.00,6,Rain,202<br />
2002-1-17,10,7,3,8,7,2,100,90,82,1019,1016,1013,10,9,5,24,14,,0.00,6,Rain,213<br />
