WGT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2003-1-2,-4,-6,-7,-7,-8,-9,86,82,74,1003,1001,999,10,10,10,32,26,,0.00,6,,51<br />
2003-1-3,-3,-4,-4,-4,-5,-6,100,90,86,994,992,990,10,10,10,27,23,,0.00,6,,42<br />
2003-1-4,-1,-3,-4,-4,-4,-5,100,89,80,993,991,989,10,10,10,19,13,,0.00,3,,56<br />
2003-1-5,1,-2,-3,-3,-4,-5,93,80,69,984,984,983,10,10,10,21,14,,0.00,6,,54<br />
2003-1-6,-1,-3,-4,-2,-3,-5,100,96,86,994,988,984,10,8,0,23,13,,0.00,5,Fog-Snow,352<br />
2003-1-7,-4,-6,-6,-7,-8,-9,93,78,69,1009,1007,1005,10,9,8,19,8,,0.00,7,Snow,159<br />
2003-1-8,-2,-3,-4,-7,-8,-10,74,68,59,1013,1009,1003,10,10,10,47,27,,0.00,1,Snow,78<br />
2003-1-9,7,3,0,1,-1,-4,81,73,61,990,989,988,10,10,10,34,24,,0.00,5,,96<br />
2003-1-10,6,3,1,0,-1,-3,87,71,57,994,989,984,10,10,10,61,34,80,0.00,5,,114<br />
2003-1-11,10,8,6,0,-2,-5,57,51,46,982,979,976,10,10,10,58,43,52,0.00,6,,98<br />
2003-1-13,1,0,0,-3,-6,-7,80,66,60,986,983,980,10,9,3,34,21,,0.00,6,Snow,122<br />
2003-1-14,-3,-4,-4,-9,-9,-10,69,67,64,988,988,987,10,10,10,24,18,,0.00,2,,86<br />
2003-1-15,-3,-4,-5,-9,-9,-11,74,66,59,990,990,989,10,10,10,32,26,,0.00,3,,82<br />
2003-1-16,-6,-7,-8,-7,-9,-12,93,82,73,993,992,990,10,9,3,8,5,,0.00,3,Snow,110<br />
2003-1-18,1,-1,-2,-7,-8,-9,64,60,55,995,991,988,10,10,9,47,34,,0.00,7,Snow,88<br />
2003-1-19,-3,-4,-5,-4,-5,-6,100,95,93,1019,1017,1016,10,7,4,21,13,,0.00,8,Snow,319<br />
2003-1-20,-3,-4,-6,-7,-8,-8,86,78,74,1021,1020,1018,10,10,10,34,18,,0.00,4,,72<br />
2003-1-21,-2,-4,-8,-10,-11,-13,68,60,47,1009,1004,1001,10,10,10,48,32,,0.00,1,Snow,86<br />
2003-1-22,-4,-6,-7,-9,-12,-13,86,65,54,996,991,987,10,10,10,34,24,,0.00,0,,58<br />
2003-1-23,-2,-3,-5,-7,-8,-10,80,69,55,991,990,989,10,10,10,27,19,,0.00,5,,50<br />
2003-1-24,-4,-6,-6,-9,-10,-11,74,69,64,998,995,993,10,10,10,11,5,,0.00,5,,132<br />
2003-1-25,-4,-6,-7,-9,-10,-11,74,70,68,1000,995,992,10,10,10,35,27,,0.00,1,,70<br />
2003-1-27,-5,-6,-7,-7,-8,-8,93,87,80,1023,1019,1015,10,8,3,24,10,,0.00,6,Snow,62<br />
2003-1-28,-3,-4,-4,-4,-6,-8,100,85,74,1023,1019,1016,10,6,1,40,23,,0.00,7,Snow,91<br />
2003-1-29,13,6,-1,4,1,-1,100,73,54,1014,999,991,10,10,10,76,37,100,0.00,7,Rain,135<br />
2003-1-30,0,-3,-6,-3,-4,-6,100,95,80,997,995,989,10,3,0,100,72,124,0.00,7,Snow,185<br />
2003-1-31,-10,-11,-11,-11,-12,-13,100,91,85,1003,1001,998,10,3,0,48,27,87,0.00,7,Snow,199<br />
2003-2-1,-9,-10,-10,-9,-11,-13,100,88,73,1012,1010,1008,4,2,0,34,23,52,0.00,8,Snow,166<br />
2003-2-2,-8,-8,-8,-12,-12,-12,73,73,73,1014,1014,1014,10,10,10,23,19,,0.00,6,,120<br />
2003-2-3,-8,-9,-10,-11,-13,-14,79,72,68,1014,1010,1004,10,10,10,24,14,,0.00,3,Snow,78<br />
2003-2-4,-9,-10,-10,-12,-13,-15,86,75,67,1001,998,995,10,10,10,24,21,,0.00,6,,25<br />
2003-2-5,-12,-13,-13,-15,-16,-18,79,75,67,1000,999,998,10,10,10,32,24,,0.00,1,Snow,24<br />
2003-2-6,-14,-16,-16,-17,-18,-20,92,82,72,985,979,975,10,10,10,27,24,,0.00,1,,9<br />
2003-2-7,-12,-13,-14,-15,-16,-19,79,75,67,984,980,976,10,10,10,26,19,,0.00,5,,79<br />
2003-2-8,-7,-10,-13,-10,-16,-18,93,65,53,982,979,978,10,9,1,47,31,50,0.00,4,Snow,105<br />
2003-2-9,-11,-12,-12,-12,-13,-14,92,90,85,990,989,987,10,5,1,35,31,,0.00,6,Snow,334<br />
2003-2-10,-8,-9,-10,-10,-13,-14,100,74,63,991,989,988,10,7,0,40,32,61,0.00,6,Snow,142<br />
2003-2-11,-11,-13,-13,-13,-14,-16,92,81,67,994,993,993,10,9,4,27,19,,0.00,6,Snow,2<br />
2003-2-12,-9,-11,-13,-15,-17,-19,73,65,53,995,992,989,10,10,10,39,27,58,0.00,4,Snow,41<br />
2003-2-13,-9,-10,-11,-10,-12,-15,93,84,73,998,993,986,10,8,1,32,21,,0.00,6,Snow,261<br />
2003-2-14,-11,-12,-12,-14,-14,-16,85,77,73,996,994,992,10,10,10,34,23,,0.00,3,Snow,19<br />
2003-2-15,-13,-14,-14,-15,-16,-17,85,81,73,994,992,990,10,10,10,34,29,,0.00,4,,9<br />
2003-2-17,-13,-14,-14,-14,-16,-16,92,85,79,992,989,986,10,6,1,21,13,,0.00,6,Snow,339<br />
2003-2-18,-12,-13,-14,-15,-16,-17,85,80,79,995,993,992,6,5,2,13,8,,0.00,6,Snow,3<br />
2003-2-19,-13,-14,-16,-15,-18,-21,85,74,66,997,996,995,10,10,10,21,16,,0.00,3,,359<br />
2003-2-20,-8,-9,-10,-10,-12,-13,93,78,68,1000,1000,999,10,9,5,16,10,,0.00,7,Snow,84<br />
2003-2-21,-9,-11,-12,-15,-16,-16,79,68,58,994,993,992,10,10,10,11,8,,0.00,1,,95<br />
2003-2-22,-9,-10,-10,-11,-13,-14,93,79,73,999,996,994,10,10,10,26,18,,0.00,0,,28<br />
2003-2-24,-9,-10,-11,-12,-13,-17,85,79,62,998,994,992,10,10,10,19,13,,0.00,1,,52<br />
2003-2-25,-4,-8,-10,-9,-11,-13,86,79,69,993,993,992,10,10,10,26,21,,0.00,4,Snow,46<br />
2003-2-26,-1,-2,-3,-4,-6,-8,86,72,60,995,995,994,10,10,10,24,23,,0.00,5,,42<br />
2003-2-27,6,1,-3,-3,-4,-6,86,68,53,993,992,990,10,10,10,42,23,45,0.00,6,,48<br />
2003-2-28,5,1,-3,-4,-4,-5,93,70,49,991,990,989,10,10,10,27,18,,0.00,2,,42<br />
2003-3-1,-4,-4,-5,-5,-5,-5,100,97,93,991,990,988,10,10,10,21,14,,0.00,8,,335<br />
2003-3-3,-6,-8,-10,-10,-14,-15,74,63,58,1011,1010,1008,10,10,10,23,13,,0.00,2,,129<br />
2003-3-4,8,2,-4,-2,-5,-8,80,55,32,1001,999,998,10,10,10,35,13,63,0.00,8,,134<br />
2003-3-5,5,3,2,-6,-7,-8,56,46,39,998,997,995,10,10,10,32,24,,0.00,0,,84<br />
2003-3-6,4,2,1,-5,-8,-9,60,47,39,995,993,992,10,10,10,55,31,,0.00,3,,93<br />
2003-3-7,2,-1,-3,-3,-6,-8,100,68,48,997,995,991,10,8,0,29,19,,0.00,4,Fog,53<br />
2003-3-8,2,1,0,-4,-5,-6,75,65,56,996,995,994,10,10,10,26,18,,0.00,3,,61<br />
2003-3-10,2,0,-1,-5,-6,-7,75,64,56,1001,993,981,10,10,10,34,21,,0.00,6,,89<br />
2003-3-11,-2,-3,-4,-5,-7,-8,93,82,69,984,982,981,4,1,0,74,53,106,0.00,7,Snow,171<br />
2003-3-12,-7,-8,-8,-8,-9,-11,100,89,74,998,993,987,10,2,0,63,40,87,0.00,6,Snow,156<br />
2003-3-13,-3,-6,-7,-10,-12,-12,80,59,51,1002,1001,1001,10,10,10,32,23,48,0.00,5,Snow,110<br />
2003-3-14,-3,-4,-5,-8,-11,-13,69,60,50,997,993,988,10,10,10,32,26,,0.00,6,,70<br />
2003-3-15,-2,-3,-4,-7,-8,-9,80,71,64,1002,1000,996,10,7,0,72,43,106,0.00,3,Snow,170<br />
2003-3-16,-2,-3,-4,-3,-3,-4,100,95,93,991,990,989,10,10,10,34,16,,0.00,6,,349<br />
