PST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2002-1-1,6,3,2,5,4,2,100,93,87,1017,1011,1006,32,26,16,13,6,,0.00,8,Rain,290<br />
2002-1-2,12,9,6,9,7,5,100,88,76,1013,1008,1005,32,24,6,34,10,40,0.00,7,Fog-Rain,203<br />
2002-1-3,10,7,3,7,6,2,93,83,71,1027,1021,1014,32,27,19,19,13,,0.00,6,Rain,153<br />
2002-1-4,8,6,4,6,4,3,93,90,81,1027,1024,1019,32,23,13,10,5,,0.00,7,,261<br />
2002-1-5,10,8,5,7,5,3,93,86,71,1020,1016,1012,32,30,19,29,10,,0.00,8,Rain,185<br />
2002-1-6,15,10,5,11,8,4,94,88,67,1016,1010,1003,32,21,2,34,16,40,0.00,7,Fog-Rain,136<br />
2002-1-7,15,12,10,11,9,9,94,87,67,1008,1006,1003,32,19,2,29,16,,0.00,8,Rain,153<br />
2002-1-8,13,10,5,8,7,4,93,82,72,1023,1015,1008,32,30,13,21,11,,0.00,6,Rain,198<br />
2002-1-9,8,4,2,5,4,2,100,91,81,1027,1025,1024,32,31,19,10,5,,0.00,5,Fog,262<br />
2002-1-10,8,7,5,7,6,4,100,92,87,1029,1026,1024,32,17,4,11,3,,0.00,7,Fog-Rain,273<br />
2002-1-11,9,7,5,6,5,4,93,91,82,1029,1022,1011,32,26,16,13,6,,0.00,8,Rain,279<br />
2002-1-12,11,8,5,6,3,-1,93,72,57,1029,1018,1008,32,27,19,34,16,42,0.00,6,Rain,258<br />
2002-1-13,6,3,1,3,1,-1,93,85,66,1030,1028,1023,32,31,13,13,6,,0.00,6,Rain,267<br />
2002-1-14,8,4,0,1,-1,-2,93,78,57,1028,1025,1023,32,29,24,14,10,,0.00,4,,284<br />
2002-1-15,7,2,-2,3,0,-3,93,85,70,1030,1029,1027,32,30,19,13,8,,0.00,5,Rain,263<br />
2002-1-16,6,3,2,4,2,0,93,89,81,1030,1026,1022,32,21,4,19,8,,0.00,7,Rain,321<br />
2002-1-17,5,2,-1,3,1,-2,93,90,76,1029,1028,1027,32,24,13,13,6,,0.00,5,,270<br />
2002-1-18,5,4,3,4,3,2,100,91,87,1028,1024,1016,19,9,5,14,3,,0.00,8,Rain,204<br />
2002-1-19,7,3,1,4,2,-1,93,85,70,1018,1016,1010,32,19,5,19,8,,0.00,7,Fog-Rain,248<br />
2002-1-20,8,6,4,3,2,0,93,81,66,1008,1004,1001,32,22,8,34,18,,0.00,6,Rain,206<br />
2002-1-21,6,2,-2,1,-1,-3,93,79,61,1009,1006,1004,32,24,6,19,10,,0.00,5,Rain,239<br />
2002-1-22,7,3,-1,2,0,-3,93,81,57,1019,1012,1009,32,25,24,19,6,,0.00,6,Rain,237<br />
2002-1-23,8,3,-1,5,2,-3,93,87,81,1022,1020,1019,32,23,6,26,10,,0.00,7,Fog-Rain,185<br />
2002-1-24,9,7,4,7,6,3,93,86,81,1019,1012,1007,32,17,6,26,16,29,0.00,8,Rain,194<br />
2002-1-25,6,3,1,3,1,-1,93,82,61,1006,1004,1001,32,19,3,24,8,,0.00,7,Rain-Snow,257<br />
2002-1-26,4,2,0,1,-2,-3,93,77,61,1006,1004,1001,32,17,1,29,14,35,0.00,7,Rain-Snow,189<br />
2002-1-27,2,0,-1,0,-2,-4,93,84,75,1018,1011,1005,32,13,1,24,8,,0.00,7,Fog-Snow,334<br />
2002-1-28,2,0,-2,-3,-4,-5,93,77,65,1023,1022,1018,32,30,24,14,8,,0.00,6,Snow,353<br />
2002-1-29,2,0,-2,0,-2,-3,93,86,75,1024,1023,1023,32,16,1,13,5,,0.00,8,Snow,267<br />
2002-1-30,6,3,1,4,2,-1,93,92,87,1023,1021,1018,19,6,2,21,5,,0.00,8,Rain-Snow,208<br />
2002-1-31,6,3,2,4,2,0,93,89,81,1022,1021,1019,32,26,3,19,6,,0.00,8,Rain,251<br />
2002-2-1,7,4,3,4,3,2,93,85,76,1024,1023,1022,32,23,3,14,6,,0.00,7,Fog-Rain,175<br />
2002-2-2,8,4,2,4,2,1,93,81,66,1023,1020,1015,32,26,19,26,6,34,0.00,7,,249<br />
2002-2-3,9,6,2,5,2,0,87,73,57,1032,1024,1015,32,29,16,29,18,,0.00,6,Rain,235<br />
2002-2-4,8,4,2,3,2,1,93,83,62,1032,1027,1020,32,32,32,13,5,,0.00,6,,279<br />
2002-2-5,10,6,1,6,2,0,100,81,58,1019,1016,1012,32,32,24,26,10,35,0.00,6,Rain,240<br />
2002-2-6,6,6,5,6,4,3,100,93,81,1018,1010,1005,32,20,6,23,6,,0.00,7,Fog-Rain,213<br />
2002-2-7,8,7,5,4,3,1,93,84,66,1011,1008,1004,32,29,19,27,14,45,0.00,7,Rain,132<br />
2002-2-8,10,6,1,4,2,0,100,84,58,1035,1024,1009,32,30,24,21,5,,0.00,5,Rain,249<br />
2002-2-9,8,4,2,4,3,1,100,83,71,1037,1034,1030,32,29,24,19,6,,0.00,7,,72<br />
2002-2-10,8,4,1,5,2,-2,93,84,65,1033,1026,1020,32,28,10,24,10,,0.00,6,Rain,252<br />
2002-2-11,7,3,-1,0,-2,-4,93,73,46,1042,1040,1035,32,32,32,19,13,,0.00,1,,283<br />
2002-2-12,6,2,-2,1,-1,-4,93,81,57,1040,1031,1021,32,32,32,14,8,,0.00,5,,304<br />
2002-2-13,9,3,-2,3,0,-3,93,82,54,1027,1023,1022,32,32,32,10,6,,0.00,6,,267<br />
2002-2-14,8,3,-1,2,1,-2,93,84,66,1031,1029,1027,32,32,32,13,6,,0.00,5,,283<br />
2002-2-15,10,5,0,2,1,-2,93,81,58,1027,1021,1017,32,27,19,11,8,,0.00,2,Fog,295<br />
2002-2-16,7,3,0,5,3,-1,100,91,81,1019,1017,1014,32,16,3,13,5,,0.00,7,Rain,288<br />
2002-2-17,8,6,4,6,5,3,100,91,76,1013,1011,1009,19,7,3,21,6,,0.00,8,Fog-Rain,218<br />
2002-2-18,10,6,2,6,4,1,93,85,71,1011,1008,1000,32,30,19,34,8,45,0.00,7,Rain,132<br />
2002-2-19,10,8,4,6,3,1,93,77,62,1019,1007,999,32,25,10,48,19,63,0.00,5,Fog-Rain,209<br />
2002-2-20,8,4,1,4,2,-1,93,84,66,1027,1024,1019,32,32,32,13,6,,0.00,6,,233<br />
2002-2-21,12,8,4,9,6,3,100,93,82,1023,1016,1014,32,8,3,21,8,,0.00,8,Rain,138<br />
2002-2-22,12,8,5,8,6,4,100,91,77,1015,1014,1010,24,8,3,16,8,,0.00,8,Rain,331<br />
2002-2-23,6,4,3,4,2,-1,93,85,65,1020,1012,1008,32,14,5,19,10,,0.00,7,Rain,18<br />
2002-2-24,5,1,-2,-2,-8,-11,86,50,31,1039,1032,1021,32,28,19,23,10,,0.00,5,Snow,13<br />
2002-2-25,5,1,-3,-3,-6,-9,86,63,36,1042,1040,1036,32,32,32,13,10,,0.00,5,,305<br />
2002-2-26,9,4,-1,-1,-3,-6,93,65,40,1036,1035,1034,32,32,32,13,8,,0.00,3,,292<br />
2002-2-27,8,3,-1,1,-1,-3,93,76,57,1035,1030,1025,32,30,24,27,10,,0.00,4,Rain,268<br />
2002-2-28,9,4,-1,-2,-3,-6,86,57,34,1031,1029,1025,32,30,24,39,24,47,0.00,1,Fog,334<br />
2002-3-1,8,3,-1,0,-2,-3,87,75,53,1032,1030,1029,32,32,32,19,8,,0.00,4,,284<br />
2002-3-2,9,3,-2,3,0,-3,93,81,62,1035,1034,1032,32,29,24,13,8,,0.00,2,,269<br />
2002-3-3,10,4,-1,3,1,-2,93,82,62,1033,1030,1026,32,30,24,11,8,,0.00,3,Fog,267<br />
2002-3-4,9,4,0,6,2,-1,100,82,62,1026,1019,1012,32,25,19,35,10,,0.00,6,Fog,229<br />
2002-3-5,7,3,-1,2,-3,-9,87,63,46,1017,1016,1012,32,32,32,29,11,,0.00,4,,16<br />
2002-3-6,2,0,-2,-9,-11,-12,51,46,41,1016,1012,1008,24,24,24,23,14,,0.00,4,Snow,48<br />
2002-3-7,0,-2,-2,-4,-7,-10,80,67,51,1016,1012,1009,32,18,3,24,16,,0.00,7,Snow,25<br />
2002-3-8,4,0,-4,-1,-3,-6,93,78,61,1022,1020,1016,32,13,1,11,5,,0.00,7,Snow,261<br />
2002-3-9,7,3,1,4,1,-2,93,76,57,1022,1012,1005,32,23,13,40,13,50,0.00,8,Rain-Snow,90<br />
2002-3-10,11,8,5,6,4,3,93,81,62,1011,1009,1006,32,25,13,37,14,48,0.00,7,Rain,144<br />
2002-3-11,12,9,6,9,6,2,94,84,66,1008,1005,1002,32,19,5,42,18,52,0.00,7,Rain,177<br />
2002-3-12,7,6,5,4,3,2,87,85,76,1009,1008,1006,32,23,11,34,16,35,0.00,7,Rain,175<br />
2002-3-13,9,6,2,4,3,0,93,82,66,1021,1014,1010,32,29,24,21,11,,0.00,6,Rain,183<br />
2002-3-14,8,4,2,3,1,-1,93,77,53,1023,1021,1017,32,31,24,11,6,,0.00,7,Rain,241<br />
2002-3-15,7,4,2,3,1,-2,93,79,53,1017,1012,1008,32,20,3,23,8,,0.00,7,Rain-Snow,166<br />
2002-3-16,4,2,1,1,-4,-9,93,65,44,1014,1010,1007,32,15,2,39,21,48,0.00,7,Rain-Snow,55<br />
2002-3-17,4,1,-1,-5,-8,-10,75,52,41,1023,1020,1015,32,32,32,16,13,,0.00,3,,4<br />
2002-3-18,4,1,-2,2,-1,-5,93,90,80,1024,1018,1014,32,13,1,21,8,,0.00,7,Fog-Rain-Snow,223<br />
2002-3-19,7,3,0,3,2,-1,100,88,71,1022,1018,1015,32,19,0,24,6,,0.00,7,Fog-Rain-Snow,26<br />
