CVT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2002-1-1,27,23,20,25,16,14,89,64,45,1017,1014,1011,10,10,10,24,16,,0.00,3,,24<br />
2002-1-2,26,23,22,17,16,14,65,60,54,1018,1017,1015,10,10,10,34,21,,0.00,5,,41<br />
2002-1-3,26,24,23,18,17,16,73,66,61,1018,1016,1014,10,10,10,34,26,,0.00,4,,38<br />
2002-1-4,26,23,22,19,18,18,78,69,61,1018,1016,1014,10,10,10,37,27,,0.00,3,,31<br />
2002-1-5,26,23,22,18,17,16,73,65,57,1016,1015,1014,10,10,10,32,26,,0.00,4,,27<br />
2002-1-6,26,23,22,24,16,13,100,63,47,1015,1013,1011,10,10,10,29,19,,0.00,3,,355<br />
2002-1-7,25,22,20,17,15,14,78,63,50,1012,1010,1008,10,10,10,27,16,,0.00,3,Rain,323<br />
2002-1-8,26,23,21,17,16,14,78,65,47,1011,1010,1008,10,10,10,16,6,,0.00,1,,193<br />
2002-1-9,27,23,19,19,18,16,88,78,58,1012,1011,1009,10,10,8,34,13,,0.00,3,Rain,222<br />
2002-1-10,26,23,22,21,18,16,88,76,61,1015,1012,1011,10,10,3,35,19,,0.00,3,Rain,226<br />
2002-1-11,27,23,21,20,19,18,83,76,58,1017,1015,1014,10,10,1,21,11,,0.00,2,Rain,225<br />
2002-1-12,25,23,21,20,19,10,88,79,46,1017,1016,1015,10,10,5,24,13,,0.00,4,,40<br />
2002-1-13,27,24,22,21,19,18,88,74,61,1017,1016,1015,10,10,10,27,21,,0.00,2,,68<br />
2002-1-14,27,24,22,19,17,15,78,63,48,1017,1015,1014,10,4,1,35,27,,0.00,0,,64<br />
2002-1-15,27,24,22,17,16,15,73,64,48,1016,1014,1012,8,6,4,35,23,,0.00,1,,56<br />
2002-1-16,27,24,22,18,17,14,73,64,47,1015,1014,1013,10,8,6,32,24,,0.00,3,,50<br />
2002-1-17,24,23,22,18,17,16,78,70,65,1017,1015,1014,10,10,8,34,27,,0.00,3,,39<br />
2002-1-18,25,23,21,18,17,15,78,69,54,1018,1016,1015,10,9,8,37,27,,0.00,4,,40<br />
2002-1-19,27,23,21,18,16,14,78,64,54,1018,1016,1015,10,10,8,45,34,,0.00,4,,49<br />
2002-1-20,26,23,22,15,14,12,64,54,47,1020,1018,1016,10,9,7,42,34,,0.00,1,,56<br />
2002-1-21,26,23,21,15,13,10,64,54,47,1020,1018,1014,10,7,5,42,34,,0.00,1,,50<br />
2002-1-22,26,23,21,15,14,13,68,57,47,1020,1018,1015,7,6,3,45,32,,0.00,2,,53<br />
2002-1-23,26,23,21,16,16,14,73,63,47,1019,1017,1016,9,8,6,35,29,,0.00,5,,55<br />
2002-1-24,26,23,21,17,16,14,73,64,47,1019,1017,1016,10,9,8,26,21,,0.00,3,,45<br />
2002-1-25,26,23,20,18,17,14,83,69,47,1018,1017,1015,10,8,6,27,21,,0.00,2,,41<br />
2002-1-26,27,23,21,19,17,16,88,68,51,1018,1016,1014,9,8,5,34,23,,0.00,1,,51<br />
2002-1-27,26,23,22,20,18,16,83,71,57,1018,1016,1013,10,8,5,37,23,,0.00,5,,40<br />
2002-1-28,28,24,20,21,18,0,94,72,16,1015,1014,1012,9,7,5,27,18,,0.00,0,,41<br />
2002-1-29,32,26,20,21,16,-8,94,66,7,1016,1015,1014,10,8,6,229,26,,0.00,1,,50<br />
2002-1-30,28,24,21,20,18,14,88,71,42,1018,1016,1015,8,6,4,32,21,,0.00,0,,41<br />
2002-1-31,27,23,21,19,17,15,83,67,51,1018,1016,1014,9,6,4,35,24,,0.00,0,,44<br />
2002-2-1,27,24,22,18,16,5,73,64,33,1017,1015,1013,9,7,4,34,23,,0.00,2,,45<br />
2002-2-2,26,23,22,19,17,14,83,67,47,1018,1016,1014,10,8,6,35,21,,0.00,6,,34<br />
2002-2-3,25,23,22,19,18,15,83,72,54,1019,1017,1016,9,8,7,32,24,,0.00,7,,38<br />
2002-2-4,26,24,23,26,18,14,100,68,47,1019,1017,1016,10,8,7,37,24,,0.00,8,,31<br />
2002-2-5,28,26,23,18,17,16,73,65,51,1019,1017,1015,8,5,3,45,31,,0.00,5,,57<br />
2002-2-6,28,26,23,18,16,15,69,60,48,1017,1016,1014,9,7,6,34,24,,0.00,2,,51<br />
2002-2-7,27,24,22,18,16,13,69,62,42,1017,1015,1013,10,8,5,40,31,,0.00,1,,55<br />
2002-2-8,26,23,21,18,17,15,78,69,61,1017,1015,1014,10,9,8,35,24,,0.00,2,,44<br />
2002-2-9,26,23,21,19,17,15,83,71,51,1015,1014,1012,10,9,8,34,21,,0.00,2,,37<br />
2002-2-10,27,23,20,19,18,17,88,76,54,1015,1014,1012,9,5,1,26,18,,0.00,1,,51<br />
2002-2-11,26,23,20,18,16,14,83,67,47,1016,1014,1012,6,4,2,24,14,,0.00,0,,64<br />
2002-2-12,27,23,19,18,16,13,88,67,42,1016,1015,1014,4,2,1,23,14,,0.00,0,,34<br />
2002-2-13,26,23,20,18,17,16,88,72,54,1018,1016,1015,3,2,1,37,21,,0.00,0,,24<br />
2002-2-14,27,24,22,17,17,16,73,68,54,1019,1017,1016,10,8,1,39,32,,0.00,4,,40<br />
2002-2-15,25,23,21,17,17,16,78,70,61,1019,1017,1016,10,9,8,37,31,,0.00,3,,34<br />
2002-2-16,21,21,21,16,16,16,73,73,73,1017,1017,1016,10,10,10,27,24,,0.00,4,,30<br />
2002-2-17,23,22,22,16,15,15,69,64,61,1018,1017,1016,10,10,10,32,27,,0.00,5,,50<br />
2002-2-18,24,22,21,15,13,12,68,58,47,1018,1017,1016,10,10,10,35,27,,0.00,5,,45<br />
2002-2-19,25,22,20,16,13,5,68,58,33,1018,1016,1015,10,10,10,32,23,,0.00,4,,43<br />
2002-2-20,25,22,20,15,13,12,64,58,47,1018,1016,1015,10,10,10,29,26,,0.00,2,,36<br />
2002-2-21,25,22,20,15,14,14,73,63,54,1016,1015,1012,10,10,10,37,26,,0.00,3,,28<br />
2002-2-22,25,22,20,16,14,13,73,61,47,1014,1013,1011,10,10,10,29,21,,0.00,4,,23<br />
2002-2-23,25,22,19,16,15,14,78,69,57,1015,1013,1012,10,9,7,23,10,,0.00,5,,15<br />
2002-2-24,26,22,19,19,16,-17,83,71,5,1017,1014,1013,9,7,6,23,8,,0.00,6,,22<br />
2002-2-25,35,28,21,19,18,0,88,75,11,1018,1015,1014,10,7,4,45,19,,0.00,7,Rain,8<br />
2002-2-26,25,23,22,20,19,16,83,77,65,1018,1016,1014,10,10,10,45,35,,0.00,7,Rain,41<br />
2002-2-27,27,23,21,19,17,14,83,66,45,1016,1015,1013,10,10,10,27,23,,0.00,3,,50<br />
2002-2-28,27,23,21,20,17,11,88,71,37,1016,1014,1012,10,10,10,27,16,,0.00,2,,40<br />
2002-3-1,27,23,19,19,17,15,94,74,51,1014,1014,1013,10,10,10,34,19,,0.00,5,,37<br />
2002-3-2,24,22,21,19,17,17,88,75,65,1015,1014,1012,10,10,10,35,23,,0.00,6,,37<br />
2002-3-3,25,23,21,17,17,16,78,71,61,1016,1015,1013,10,10,10,35,21,,0.00,6,,48<br />
2002-3-4,25,23,21,16,16,15,73,66,54,1017,1016,1015,10,10,10,34,24,,0.00,5,,39<br />
2002-3-5,25,22,20,16,15,14,73,65,54,1017,1015,1014,10,10,10,32,27,,0.00,4,,41<br />
2002-3-6,25,22,20,17,16,5,78,67,35,1017,1015,1013,10,10,10,34,26,,0.00,5,,47<br />
2002-3-7,25,23,21,18,17,15,83,70,57,1017,1015,1013,10,10,8,29,21,,0.00,6,,45<br />
2002-3-8,25,22,20,18,17,15,88,72,57,1017,1016,1014,10,10,10,34,21,,0.00,5,,28<br />
2002-3-9,24,22,21,16,15,15,73,66,57,1017,1015,1014,10,10,10,29,26,,0.00,5,,45<br />
2002-3-10,25,22,20,16,15,14,73,65,54,1017,1015,1014,10,10,10,29,16,,0.00,4,,30<br />
2002-3-11,25,22,20,17,16,15,78,65,57,1018,1016,1015,10,10,10,32,23,48,0.00,4,,24<br />
2002-3-12,25,23,21,17,16,15,73,66,54,1019,1017,1016,10,10,10,34,24,,0.00,5,,30<br />
2002-3-13,24,22,21,16,14,13,73,64,50,1019,1017,1016,10,10,10,42,29,,0.00,4,,38<br />
2002-3-14,24,22,21,15,14,13,68,60,50,1019,1017,1015,10,10,10,35,31,,0.00,5,,39<br />
2002-3-15,24,22,20,16,15,13,78,66,53,1019,1017,1016,10,10,10,42,31,,0.00,6,,35<br />
2002-3-16,24,22,21,15,14,14,68,63,53,1019,1017,1012,10,10,10,48,37,61,0.00,5,,43<br />
2002-3-17,24,22,20,16,15,14,73,66,57,1019,1017,1015,10,10,9,42,35,,0.00,3,,42<br />
2002-3-18,25,22,19,17,16,14,78,70,57,1017,1015,1013,10,10,9,37,31,,0.00,1,,40<br />
2002-3-19,25,22,19,18,17,14,83,73,57,1016,1013,1012,10,9,9,32,24,,0.00,1,,36<br />
2002-3-20,29,24,20,19,16,10,94,65,30,1015,1013,1012,10,8,5,37,18,,0.00,2,,42<br />
2002-3-21,30,26,21,19,14,-2,83,55,15,1015,1014,1012,6,4,3,34,18,,0.00,0,,28<br />
2002-3-22,32,27,22,19,13,6,83,50,21,1015,1013,1012,7,6,4,39,29,,0.00,,,13<br />
2002-3-23,29,26,22,20,19,17,88,73,51,1015,1013,1012,8,6,5,35,26,,0.00,0,,10<br />
2002-3-24,27,23,21,19,18,18,88,75,58,1015,1014,1012,10,8,6,39,31,,0.00,1,,11<br />
2002-3-25,25,22,20,18,16,15,83,71,57,1016,1014,1012,10,9,7,35,29,,0.00,5,,28<br />
2002-3-26,25,23,21,15,14,13,68,60,50,1016,1015,1014,10,10,10,37,26,,0.00,4,,15<br />
2002-3-27,22,21,21,15,14,14,68,64,60,1016,1015,1014,10,10,10,24,19,,0.00,4,,11<br />
2002-3-28,25,23,21,15,14,13,68,58,50,1016,1014,1012,10,10,10,26,19,,0.00,3,,35<br />
