AZOT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2003-1-1,17,16,14,17,13,10,100,83,63,1013,1010,1008,10,8,3,47,39,,0.00,5,Rain,231<br />
2003-1-2,16,14,13,11,9,7,88,70,55,1016,1014,1011,10,10,10,50,37,58,0.00,3,,251<br />
2003-1-3,16,14,13,13,12,11,94,85,72,1020,1015,1010,10,10,4,39,23,,0.00,4,Rain,278<br />
2003-1-4,17,14,13,16,14,11,100,92,82,1021,1019,1018,10,9,0,29,19,,0.00,4,Fog,260<br />
2003-1-5,17,14,13,11,9,9,82,74,59,1023,1021,1020,10,10,10,27,23,,0.00,4,,310<br />
2003-1-6,17,16,14,16,13,9,100,85,72,1022,1020,1018,10,9,0,34,26,,0.00,6,Fog,252<br />
2003-1-7,17,16,14,16,13,10,100,87,72,1026,1023,1020,10,9,6,26,23,,0.00,5,,300<br />
2003-1-8,17,16,14,12,11,8,88,76,59,1030,1028,1026,10,10,10,21,13,,0.00,5,,284<br />
2003-1-9,17,16,14,16,15,13,100,94,88,1030,1029,1028,10,10,10,13,8,,0.00,5,,229<br />
2003-1-10,17,16,16,16,16,15,100,97,94,1028,1024,1022,10,7,0,29,14,,0.00,6,Fog-Rain,249<br />
2003-1-11,16,14,14,15,14,12,100,93,88,1027,1024,1022,10,10,10,37,24,,0.00,5,,3<br />
2003-1-12,17,14,12,12,9,6,88,74,52,1032,1029,1027,10,10,10,26,14,,0.00,3,,101<br />
2003-1-13,16,13,12,10,8,6,77,67,55,1033,1031,1030,10,10,10,23,16,,0.00,5,,123<br />
2003-1-14,17,16,14,13,11,9,82,74,67,1030,1028,1027,10,10,10,24,19,,0.00,6,,177<br />
2003-1-15,16,14,14,15,14,13,100,95,88,1028,1027,1025,10,8,2,21,13,,0.00,6,Rain,172<br />
2003-1-16,17,16,14,17,16,14,100,100,94,1026,1023,1021,10,1,0,26,19,,0.00,5,Fog-Rain,244<br />
2003-1-17,17,16,14,17,16,14,100,100,100,1025,1024,1023,10,2,0,24,11,,0.00,6,Fog-Rain,206<br />
2003-1-18,17,16,14,16,12,8,100,80,59,1031,1027,1022,10,9,1,34,23,,0.00,3,,296<br />
2003-1-19,17,14,13,16,13,9,94,86,72,1030,1025,1020,10,8,0,42,26,,0.00,4,Fog-Rain,231<br />
