WET,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2001-1-1,16,13,12,15,12,9,100,89,72,1005,1002,1000,10,8,3,53,35,74,0.00,3,Rain-Thunderstorm,219<br />
2001-1-2,13,11,10,11,9,7,100,84,72,1017,1012,1005,10,9,3,23,14,34,0.00,4,Rain,258<br />
2001-1-3,15,13,11,15,13,11,100,100,94,1016,1013,1009,10,5,1,45,24,66,0.00,6,Rain,200<br />
2001-1-4,15,14,13,15,12,10,100,88,77,1019,1016,1010,10,9,4,45,21,64,0.00,5,Rain,219<br />
2001-1-5,16,13,10,16,14,10,100,98,88,1009,1006,1003,10,4,1,50,34,74,0.00,6,Rain,231<br />
2001-1-6,11,9,7,9,8,7,100,97,82,1019,1013,1008,10,10,4,11,3,32,0.00,3,Rain,1<br />
2001-1-7,12,8,5,8,7,5,100,94,76,1025,1023,1019,10,8,3,13,5,26,0.00,2,Rain,141<br />
2001-1-8,11,8,5,7,6,4,100,85,66,1025,1019,1009,10,8,6,39,13,63,0.00,5,Rain,136<br />
2001-1-9,14,11,9,13,11,0,100,93,47,1010,1006,1001,10,7,1,50,31,74,0.00,6,Rain,207<br />
2001-1-10,15,13,11,15,13,11,100,99,94,1010,1007,1005,10,8,3,37,26,55,0.00,5,Rain-Thunderstorm,186<br />
2001-1-11,13,11,10,12,11,7,100,93,76,1006,1003,1001,10,9,4,32,19,50,0.00,3,Rain-Thunderstorm,160<br />
2001-1-12,14,10,7,10,8,7,100,86,67,1017,1010,1003,10,9,5,14,6,,0.00,2,Rain,22<br />
2001-1-13,15,9,4,11,8,4,100,94,72,1022,1021,1017,10,5,2,13,3,,0.00,2,,19<br />
2001-1-14,13,8,4,10,7,4,100,95,77,1022,1020,1019,10,5,2,11,2,,0.00,1,,195<br />
2001-1-15,13,11,9,12,10,9,100,97,82,1020,1018,1007,10,5,2,11,6,,0.00,5,Rain,147<br />
2001-1-16,13,10,8,12,10,8,100,98,88,1021,1017,1015,10,8,3,21,8,,0.00,4,Rain,150<br />
2001-1-17,11,7,4,11,8,4,100,97,82,1022,1019,1015,10,5,2,35,10,53,0.00,5,Rain,163<br />
2001-1-18,13,9,5,11,9,5,100,93,82,1020,1014,1011,10,9,5,35,10,55,0.00,4,Rain,274<br />
2001-1-19,14,10,6,11,9,6,100,94,72,1030,1026,1021,10,7,2,16,5,,0.00,4,Rain,305<br />
2001-1-20,12,9,7,9,8,7,100,93,82,1030,1029,1020,10,6,3,13,8,,0.00,5,,133<br />
2001-1-21,12,11,10,9,8,7,87,82,72,1027,1023,1017,10,10,10,27,11,,0.00,5,,150<br />
2001-1-22,15,13,11,14,12,7,100,91,72,1018,1014,1011,10,6,1,52,32,74,0.00,6,Rain,207<br />
2001-1-23,15,14,12,15,14,12,100,99,82,1015,1013,1009,6,3,1,45,29,63,0.00,6,Rain,208<br />
2001-1-24,15,12,10,12,10,6,100,89,71,1021,1011,1010,10,8,3,32,19,61,0.00,5,Rain,243<br />
2001-1-25,12,10,8,8,7,6,100,80,71,1019,1016,1012,10,9,3,24,14,48,0.00,2,Rain-Thunderstorm,273<br />
2001-1-26,14,12,10,14,12,8,100,97,82,1019,1013,1009,10,5,2,39,21,58,0.00,6,Rain,254<br />
2001-1-27,14,12,10,14,12,7,100,98,72,1016,1014,1011,10,6,1,34,6,58,0.00,5,Rain,253<br />
2001-1-28,12,10,8,10,8,5,94,83,67,1022,1014,1011,10,8,3,52,34,84,0.00,2,Rain,334<br />
2001-1-29,13,8,3,8,6,3,100,85,67,1028,1026,1022,10,10,10,23,11,,0.00,2,,359<br />
2001-1-30,13,10,8,12,9,7,100,93,82,1030,1028,1019,10,6,1,10,2,,0.00,5,,313<br />
2001-1-31,15,13,11,14,12,11,100,99,82,1029,1029,1028,10,6,0,21,5,,0.00,5,Fog,345<br />
2001-2-1,17,13,8,14,11,8,100,97,82,1029,1028,1026,7,3,0,13,5,,0.00,4,Fog,325<br />
2001-2-2,14,9,5,12,9,5,100,97,77,1026,1025,1024,8,3,0,13,2,,0.00,2,Fog,311<br />
2001-2-3,14,9,5,12,9,5,100,98,77,1025,1023,1020,8,5,0,19,5,,0.00,3,Fog,169<br />
2001-2-4,14,12,11,13,11,10,100,93,82,1020,1018,1017,10,8,3,35,16,,0.00,5,Rain,207<br />
2001-2-5,15,13,12,15,13,11,100,97,88,1018,1014,1008,10,7,2,55,27,76,0.00,6,Rain,192<br />
2001-2-6,15,13,11,15,13,10,100,100,94,1008,1006,1003,10,5,2,55,31,90,0.00,6,Rain,200<br />
2001-2-7,13,11,10,12,11,9,100,92,77,1006,1000,996,10,8,3,35,23,47,0.00,5,Rain-Thunderstorm,218<br />
2001-2-8,14,11,8,10,8,7,94,83,72,1023,1014,1006,10,10,4,26,18,47,0.00,2,Rain-Thunderstorm,304<br />
2001-2-9,14,11,8,14,11,8,100,100,93,1028,1025,1023,10,5,1,34,13,45,0.00,5,Rain,176<br />
2001-2-10,18,14,11,15,14,11,100,96,82,1034,1032,1029,10,7,4,19,11,,0.00,5,Fog,186<br />
2001-2-11,21,16,10,14,12,10,100,85,56,1034,1032,1032,9,7,6,21,11,,0.00,0,,130<br />
2001-2-12,22,16,9,14,12,9,100,82,53,1033,1032,1030,8,8,8,16,8,,0.00,1,,99<br />
2001-2-13,20,16,11,13,12,10,100,83,52,1030,1026,1023,10,7,3,16,11,,0.00,3,,141<br />
2001-2-14,15,11,8,13,11,8,100,96,77,1022,1021,1020,10,4,0,16,3,,0.00,4,Fog,343<br />
2001-2-15,17,11,6,10,7,5,100,79,48,1029,1026,1022,10,6,3,19,8,,0.00,1,,92<br />
2001-2-16,18,12,6,10,7,5,100,80,45,1031,1029,1028,10,10,8,16,5,,0.00,1,,38<br />
2001-2-17,19,12,6,10,7,3,100,78,35,1032,1031,1030,8,7,5,16,5,,0.00,0,,52<br />
2001-2-18,16,9,2,10,6,2,100,82,52,1030,1028,1025,10,5,3,19,3,,0.00,0,,42<br />
2001-2-19,18,11,4,5,2,0,81,57,32,1031,1030,1028,,,,21,10,,0.00,,,58<br />
2001-2-20,18,11,5,9,4,2,100,67,37,1030,1028,1026,,,,14,8,,0.00,,,80<br />
2001-2-21,21,13,5,7,1,-2,87,49,23,1027,1026,1024,,,,23,8,,0.00,,,108<br />
2001-2-22,19,13,7,10,4,-1,100,61,40,1024,1021,1018,8,7,5,23,11,,0.00,4,,119<br />
2001-2-23,15,10,5,11,8,5,100,93,77,1018,1013,1008,8,5,2,14,3,,0.00,3,,335<br />
2001-2-24,16,10,5,10,7,4,100,76,51,1012,1009,1007,10,6,1,19,6,,0.00,2,,19<br />
2001-2-25,16,9,3,7,4,2,100,73,42,1016,1014,1012,10,10,10,23,8,,0.00,1,,20<br />
2001-2-26,13,9,6,8,4,0,100,69,44,1016,1014,1009,10,10,4,26,13,53,0.00,3,Rain,152<br />
2001-2-27,10,8,6,7,6,4,100,87,71,1011,1009,1007,10,9,3,45,14,66,0.00,3,Rain,349<br />
2001-2-28,11,7,4,7,6,4,100,87,67,1011,1010,1008,10,10,6,24,6,34,0.00,4,Rain,267<br />
2001-3-1,15,11,8,15,10,7,100,99,87,1008,1000,991,10,6,2,42,14,64,0.00,6,Rain,159<br />
2001-3-2,15,14,13,15,14,13,100,100,100,992,987,983,8,5,2,40,31,64,0.00,6,Rain,217<br />
