MST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2002-1-1,-5,-9,-12,-7,-9,-19,100,87,56,1032,1026,1020,16,8,3,23,11,,0.00,7,Snow,58<br />
2002-1-2,2,-8,-17,-11,-16,-19,100,58,23,1032,1026,1016,16,15,10,29,13,,0.00,1,,197<br />
2002-1-3,11,4,-3,-6,-12,-18,52,35,24,1018,1014,1011,16,16,16,29,23,,0.00,1,,198<br />
2002-1-4,2,-1,-4,-1,-5,-10,96,74,58,1024,1017,1012,16,13,4,37,18,42,0.00,7,Snow,27<br />
2002-1-5,4,-2,-7,-8,-12,-13,82,50,28,1026,1023,1019,16,16,16,23,14,,0.00,4,,193<br />
2002-1-6,6,-1,-8,-7,-9,-13,82,57,37,1027,1025,1022,16,16,16,21,16,,0.00,4,,161<br />
2002-1-7,16,8,0,-2,-5,-8,64,44,27,1023,1020,1016,16,16,16,29,16,,0.00,3,,255<br />
2002-1-8,12,8,4,-5,-7,-8,47,32,23,1019,1015,1012,16,16,16,29,21,,0.00,5,,226<br />
2002-1-9,15,8,-1,-1,-3,-6,96,56,34,1022,1014,1009,16,15,2,45,18,58,0.00,6,Snow,336<br />
2002-1-10,2,-1,-5,-1,-4,-12,100,87,51,1028,1025,1021,16,7,0,32,11,,7.37,5,Fog-Snow,242<br />
2002-1-11,9,4,-1,-6,-8,-11,66,47,26,1030,1026,1023,16,16,16,32,21,,0.00,3,,211<br />
2002-1-12,9,1,-6,-2,-6,-9,85,57,30,1029,1017,1002,16,16,16,37,14,,0.00,3,,203<br />
2002-1-13,7,2,-4,-7,-10,-13,71,43,29,1018,1010,1003,16,16,16,60,32,72,0.00,3,,326<br />
2002-1-14,3,-3,-9,-8,-11,-13,84,65,36,1020,1017,1014,16,16,16,24,14,,0.00,2,,171<br />
2002-1-15,-2,-7,-11,-8,-10,-13,96,78,56,1019,1016,1011,16,16,13,23,13,,0.00,5,Snow,102<br />
2002-1-16,-3,-6,-9,-9,-11,-13,95,74,56,1024,1020,1016,16,15,11,26,14,,0.00,6,Snow,128<br />
2002-1-17,-2,-7,-11,-11,-14,-18,92,64,37,1024,1021,1016,16,16,11,21,13,,0.00,3,,154<br />
2002-1-18,-2,-7,-14,-13,-15,-18,77,60,38,1020,1016,1011,16,16,16,29,18,,0.00,3,,259<br />
2002-1-19,5,-3,-11,-12,-18,-22,58,34,13,1017,1011,1004,16,16,16,29,18,,0.00,1,,250<br />
2002-1-20,2,-4,-9,-14,-17,-21,62,34,17,1009,1007,1004,16,16,16,48,21,60,0.00,3,,266<br />
2002-1-21,10,1,-7,-10,-13,-16,60,36,19,1013,1009,1004,16,16,16,23,13,,0.00,2,,186<br />
2002-1-22,12,3,-6,-6,-10,-14,93,49,18,1009,1003,997,16,14,2,35,23,52,0.00,4,Snow,81<br />
2002-1-23,-6,-9,-12,-7,-9,-17,100,89,61,1023,1015,1009,16,7,1,32,14,,2.29,7,Snow,88<br />
2002-1-24,1,-6,-13,-5,-13,-21,69,53,47,1028,1025,1021,16,16,16,29,23,,0.00,1,,199<br />
2002-1-25,12,5,-2,-3,-7,-10,56,41,26,1020,1016,1013,16,16,16,37,24,,0.00,5,,207<br />
2002-1-26,17,10,2,-6,-9,-13,45,31,15,1012,1009,1005,16,16,16,32,26,,0.00,6,,202<br />
2002-1-27,17,8,-6,-7,-12,-17,82,29,10,1007,1005,1002,16,16,16,29,21,,0.00,6,,175<br />
2002-1-28,4,-3,-12,-3,-9,-13,100,85,57,1012,1007,1005,16,9,0,26,10,,0.00,6,Fog-Snow,69<br />
2002-1-29,-1,-7,-12,-9,-11,-14,95,72,45,1017,1014,1010,16,12,5,24,13,,0.00,7,Snow,128<br />
2002-1-30,-4,-7,-9,-9,-12,-14,96,67,48,1020,1017,1014,16,15,10,19,10,,0.00,7,Snow,87<br />
2002-1-31,-2,-7,-12,-13,-17,-19,74,50,29,1027,1022,1017,16,16,16,37,16,52,0.00,2,,346<br />
2002-2-1,5,-3,-12,-11,-14,-17,67,44,21,1029,1025,1021,16,16,16,27,16,,0.00,1,,201<br />
2002-2-2,4,-2,-8,-9,-12,-14,78,53,26,1025,1022,1019,16,16,16,23,14,,0.00,4,,174<br />
2002-2-3,8,0,-7,-9,-12,-14,71,51,20,1030,1026,1023,16,16,16,26,19,,0.00,0,,183<br />
2002-2-4,8,0,-7,-9,-13,-16,71,41,17,1028,1023,1018,16,16,16,50,23,61,0.00,2,,15<br />
2002-2-5,2,-3,-8,-12,-14,-17,74,47,25,1030,1026,1020,16,16,16,26,13,,0.00,1,,315<br />
2002-2-6,10,1,-9,-13,-16,-18,54,29,14,1023,1020,1018,16,16,16,40,23,58,0.00,0,,212<br />
2002-2-7,13,4,-4,-12,-17,-22,45,23,8,1021,1018,1014,16,16,16,34,19,,0.00,3,,198<br />
2002-2-8,13,6,-2,-10,-14,-20,38,24,14,1013,1007,1002,16,12,2,64,29,89,0.00,5,,278<br />
2002-2-9,0,-3,-6,-10,-13,-16,53,44,33,1040,1025,1009,16,9,2,66,39,80,0.00,6,,338<br />
2002-2-10,8,-1,-10,-16,-19,-24,54,28,9,1041,1036,1026,16,16,16,29,18,,0.00,1,,195<br />
2002-2-11,17,7,-4,-11,-16,-20,60,21,7,1025,1018,1013,16,16,10,52,29,60,0.00,4,,264<br />
2002-2-12,1,-3,-8,-10,-12,-13,74,59,40,1030,1027,1025,16,16,16,16,8,,0.00,4,,73<br />
2002-2-13,12,1,-11,-11,-17,-24,84,38,8,1031,1021,1008,16,16,16,32,18,,0.00,2,,187<br />
2002-2-14,8,0,-7,-3,-10,-22,100,56,12,1026,1014,1004,16,12,1,45,26,69,1.02,6,Snow,322<br />
2002-2-15,11,2,-7,-6,-12,-20,85,49,10,1028,1026,1022,16,16,16,32,18,,0.00,0,,202<br />
2002-2-16,16,7,-3,-11,-14,-19,43,29,8,1027,1021,1015,16,16,16,35,18,,0.00,2,,211<br />
2002-2-17,17,8,-1,-11,-13,-15,43,25,11,1014,1008,1001,16,16,16,32,18,58,0.00,5,,204<br />
2002-2-18,12,6,1,1,-6,-11,100,51,24,1008,1003,999,16,16,11,35,14,48,1.52,7,Rain-Snow,117<br />
2002-2-19,9,3,-2,-1,-7,-12,89,55,29,1014,1010,1006,16,16,16,21,11,32,0.00,4,,292<br />
2002-2-20,10,4,-1,-2,-8,-13,96,46,20,1024,1014,1009,16,15,3,40,21,48,0.00,5,Snow,317<br />
2002-2-21,7,1,-5,-2,-11,-17,93,49,17,1034,1030,1024,16,15,4,37,23,48,0.00,3,Snow,339<br />
2002-2-22,18,9,0,-10,-12,-14,38,22,13,1025,1018,1012,16,16,16,48,26,55,0.00,6,,257<br />
2002-2-23,22,13,6,-6,-11,-15,37,20,8,1011,1004,999,16,16,16,35,23,45,0.00,6,,241<br />
2002-2-24,9,1,-6,-4,-6,-8,93,72,32,1015,1010,999,16,14,2,35,16,27,0.00,5,Thunderstorm,65<br />
2002-2-25,-8,-12,-17,-9,-16,-19,96,81,62,1039,1028,1015,16,6,1,45,24,58,3.30,7,Snow,37<br />
