CEST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2002-1-1,3,-3,-8,2,-2,-9,100,93,87,1027,1023,1012,10,7,1,32,14,50,0.00,7,Rain-Snow,255<br />
2002-1-2,3,-1,-6,2,-4,-7,93,80,65,1037,1026,1012,10,9,5,35,26,58,0.00,5,Rain-Snow,341<br />
2002-1-3,-5,-11,-16,-7,-11,-18,100,90,68,1043,1042,1037,10,10,10,6,3,,0.00,1,Fog,36<br />
2002-1-4,-6,-12,-18,-11,-14,-20,100,85,68,1041,1038,1036,8,6,5,6,5,,0.00,1,,208<br />
2002-1-5,-1,-6,-11,-9,-12,-13,86,71,44,1035,1034,1032,10,10,10,11,6,,0.00,3,,249<br />
2002-1-6,2,-3,-7,2,0,-9,100,95,86,1032,1027,1024,10,4,1,18,10,,0.00,7,Fog-Rain,262<br />
2002-1-7,2,1,0,2,1,0,100,99,93,1033,1031,1025,10,4,0,11,5,,0.00,7,Fog,310<br />
2002-1-8,1,0,-1,1,0,-1,100,98,93,1036,1034,1032,7,3,0,11,6,,0.00,7,Fog,250<br />
2002-1-9,1,0,-1,0,-1,-2,100,94,93,1038,1037,1035,8,5,1,11,8,,0.00,7,,232<br />
2002-1-10,-1,-1,-1,-1,-2,-2,100,96,93,1037,1036,1034,10,6,3,11,8,,0.00,6,,221<br />
2002-1-11,-1,-2,-3,-2,-3,-4,100,94,93,1034,1031,1029,10,6,1,18,11,,0.00,6,,186<br />
2002-1-12,1,-1,-3,0,-1,-4,100,98,93,1032,1030,1028,3,1,0,11,6,,0.00,7,Fog,205<br />
2002-1-13,1,-1,-3,0,-1,-4,100,95,81,1034,1033,1032,10,5,0,14,6,,0.00,6,Fog,174<br />
2002-1-14,-1,-3,-5,-2,-4,-5,100,94,86,1032,1030,1027,10,5,1,18,14,,0.00,5,,170<br />
2002-1-15,-2,-3,-5,-4,-5,-6,100,92,80,1027,1023,1020,8,5,2,26,18,,0.00,2,,162<br />
2002-1-16,-3,-6,-7,-3,-6,-8,100,92,80,1022,1021,1019,6,4,0,14,11,,0.00,2,Fog,176<br />
2002-1-17,1,-1,-2,0,-1,-3,100,96,87,1023,1022,1021,8,4,1,18,11,,0.00,6,Fog,194<br />
2002-1-18,1,-1,-3,1,-2,-4,100,94,86,1021,1018,1017,10,4,1,18,13,,0.00,6,Fog-Rain-Snow,185<br />
2002-1-19,3,1,0,2,1,0,100,96,87,1017,1012,1009,10,4,1,18,13,,0.00,7,Fog-Rain,204<br />
2002-1-20,5,4,3,4,2,2,93,93,87,1012,1009,1000,10,9,6,35,16,,0.00,6,Rain,224<br />
2002-1-21,9,7,5,9,5,4,100,91,76,1005,1003,998,10,7,1,32,23,47,0.00,7,Rain,255<br />
2002-1-22,9,8,6,9,6,4,100,88,76,1006,1003,1001,10,7,2,29,16,47,0.00,7,,221<br />
2002-1-23,8,7,5,5,3,2,93,84,76,1004,1002,998,10,10,10,29,21,43,0.00,5,,214<br />
2002-1-24,11,8,5,6,5,2,93,80,71,998,994,991,10,10,10,35,18,,0.00,6,Rain,194<br />
2002-1-25,9,4,1,6,-1,-3,93,80,61,1014,1007,991,10,10,1,35,29,55,0.00,5,Rain-Snow,265<br />
2002-1-26,10,5,0,7,4,-2,100,85,66,1013,1003,996,10,9,2,32,21,55,0.00,6,Rain-Snow,212<br />
2002-1-27,9,7,4,8,6,3,100,91,81,1009,996,990,10,10,6,32,24,50,0.00,6,Rain,262<br />
2002-1-28,12,7,3,10,6,2,100,89,76,1010,1005,1001,10,9,5,35,19,55,0.00,6,Rain,224<br />
2002-1-29,10,8,7,7,6,4,100,86,66,1016,1011,1004,10,8,3,43,29,64,0.00,6,Rain,261<br />
2002-1-30,10,8,6,7,4,3,93,79,66,1019,1016,1012,10,10,6,40,19,58,0.00,5,Rain,233<br />
2002-1-31,11,8,6,7,6,4,93,84,76,1015,1008,1004,10,10,10,32,21,50,0.00,6,Rain,246<br />
2002-2-1,9,7,4,6,4,1,87,80,76,1020,1016,1014,10,10,10,29,16,,0.00,6,,217<br />
2002-2-2,15,11,8,7,6,4,87,72,51,1024,1023,1020,10,10,10,26,14,,0.00,6,,199<br />
2002-2-3,12,7,3,6,4,2,93,77,62,1024,1019,1014,,,,18,13,,0.00,,,160<br />
2002-2-4,11,7,4,4,2,1,87,69,50,1018,1015,1011,10,10,10,35,18,55,0.00,5,,204<br />
2002-2-5,10,8,6,8,4,1,93,76,62,1011,1005,1001,10,10,5,21,18,,0.00,6,Rain,186<br />
