CET,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2001-1-1,11,7,3,0,-1,-2,70,59,47,1016,1015,1014,,,,8,5,,0.00,,,350<br />
2001-1-2,14,7,0,7,3,-1,93,74,48,1018,1016,1015,10,9,8,19,6,35,0.00,2,,177<br />
2001-1-3,16,12,8,13,11,7,94,87,82,1015,1014,1014,10,9,6,10,2,,0.00,4,Rain,170<br />
2001-1-4,12,7,3,10,7,2,94,92,87,1018,1015,1012,8,3,0,10,2,,0.00,6,Fog-Rain,160<br />
2001-1-5,15,10,6,9,7,5,93,77,63,1017,1016,1016,,,,8,2,,0.00,,,180<br />
2001-1-6,17,14,13,13,12,9,88,78,72,1016,1015,1014,10,10,10,26,8,40,0.00,5,,168<br />
2001-1-7,19,12,6,12,9,5,93,76,52,1015,1013,1011,10,9,1,13,3,,0.00,5,,177<br />
2001-1-8,12,11,11,11,10,9,94,90,88,1010,1009,1007,10,9,4,10,5,,0.00,7,Rain-Thunderstorm,100<br />
2001-1-9,13,8,4,7,5,2,93,74,58,1018,1016,1013,10,8,0,8,2,,0.00,2,Fog,260<br />
2001-1-10,14,8,3,7,6,2,93,71,59,1023,1023,1022,10,8,1,21,6,,0.00,3,Fog,153<br />
2001-1-11,16,12,9,11,9,7,94,75,55,1022,1022,1021,10,9,4,14,5,,0.00,5,,172<br />
2001-1-12,16,11,7,11,9,6,93,79,68,1019,1017,1015,10,7,0,8,2,,0.00,4,Fog,30<br />
2001-1-13,14,10,6,11,7,4,93,77,55,1013,1012,1011,10,5,0,21,5,,0.00,6,Fog,12<br />
2001-1-14,11,9,8,-2,-2,-4,50,43,38,1012,1012,1011,10,10,10,32,27,53,0.00,1,,15<br />
2001-1-15,10,8,7,1,1,0,61,56,54,1019,1018,1018,10,10,10,11,8,,0.00,6,,23<br />
2001-1-16,8,6,4,4,3,3,93,80,71,1023,1022,1022,10,9,5,8,5,,0.00,6,,2<br />
2001-1-17,11,8,6,8,6,4,93,85,66,1022,1021,1020,8,4,1,6,3,,0.00,8,Rain,-1<br />
2001-1-18,13,10,8,9,7,6,94,81,67,1021,1020,1020,10,9,4,8,5,,0.00,5,Rain,320<br />
2001-1-19,10,8,5,8,6,3,93,90,87,1021,1020,1019,6,3,3,8,3,,0.00,7,Rain,180<br />
2001-1-20,13,8,4,8,6,2,93,78,63,1019,1018,1017,10,7,1,10,3,,0.00,5,,5<br />
