EET,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2001-1-1,19,16,13,15,13,12,94,83,72,1020,1016,1010,10,10,10,39,19,45,0.00,5,,33<br />
2001-1-2,17,14,12,13,11,10,94,82,72,1014,1011,1009,10,9,2,42,19,,0.00,5,Rain-Thunderstorm,346<br />
2001-1-3,19,14,10,13,9,8,94,77,52,1018,1016,1014,10,10,10,23,13,,0.00,1,,309<br />
2001-1-4,18,14,10,12,10,6,88,78,64,1019,1017,1011,10,10,10,19,11,,0.00,4,,251<br />
2001-1-5,18,14,10,14,11,7,94,84,68,1018,1017,1016,10,10,10,23,5,,0.00,5,Rain,255<br />
2001-1-6,15,13,12,13,12,10,100,88,72,1021,1017,1015,10,9,4,37,11,,0.00,7,Rain-Thunderstorm,36<br />
2001-1-7,19,16,12,12,11,9,94,79,56,1023,1022,1021,10,10,10,23,14,,0.00,2,,342<br />
2001-1-8,19,14,11,13,11,7,88,77,64,1024,1023,1023,10,10,10,21,11,,0.00,2,,277<br />
2001-1-9,19,14,11,12,10,8,88,76,52,1025,1024,1024,10,10,10,21,11,,0.00,3,,299<br />
2001-1-10,19,14,10,14,12,8,94,85,68,1024,1023,1022,10,10,10,26,8,,0.00,5,,253<br />
2001-1-11,18,14,11,13,11,9,88,77,56,1022,1020,1019,10,10,10,26,10,,0.00,3,,286<br />
2001-1-12,18,14,10,11,9,7,94,78,52,1021,1020,1019,10,10,8,14,10,,0.00,1,,279<br />
2001-1-13,18,13,9,12,9,7,94,78,59,1022,1021,1020,10,10,10,39,10,,0.00,4,,320<br />
2001-1-14,19,14,10,13,10,9,94,77,59,1021,1020,1018,10,10,10,26,14,,0.00,3,,1<br />
2001-1-15,18,14,12,13,11,9,88,76,59,1018,1016,1015,10,10,7,29,19,,0.00,3,,23<br />
2001-1-16,18,14,12,12,10,9,88,75,56,1020,1019,1018,10,10,7,24,16,,0.00,4,,359<br />
2001-1-17,18,14,11,12,10,8,94,77,56,1019,1018,1017,10,10,10,19,10,,0.00,4,,284<br />
2001-1-18,17,13,9,12,10,8,94,84,68,1018,1015,1013,10,10,8,26,10,,0.00,5,Rain-Thunderstorm,333<br />
2001-1-19,17,13,10,10,8,6,94,76,48,1019,1016,1013,10,10,10,26,14,,0.00,3,Rain,317<br />
2001-1-20,17,13,9,10,7,4,88,71,45,1022,1020,1019,10,10,10,14,10,,0.00,3,Rain,295<br />
2001-1-21,17,13,9,11,8,7,94,79,55,1022,1020,1019,10,10,10,19,11,,0.00,4,Rain,315<br />
2001-1-22,16,12,8,10,8,6,93,79,63,1019,1019,1017,10,10,7,23,11,,0.00,2,Rain,331<br />
2001-1-23,16,12,8,8,6,1,87,70,36,1021,1020,1018,10,10,10,21,11,,0.00,4,Rain,306<br />
2001-1-24,17,12,8,12,8,5,88,78,55,1021,1019,1018,10,9,6,23,10,,0.00,5,Rain,311<br />
2001-1-25,14,11,8,9,4,-3,94,63,35,1022,1020,1018,10,10,10,40,16,,0.00,4,,335<br />
2001-1-26,15,10,5,5,2,-1,87,62,36,1024,1023,1021,10,10,10,26,13,,0.00,1,,311<br />
2001-1-27,16,10,4,6,4,1,87,70,45,1026,1024,1024,10,10,10,14,11,,0.00,2,,292<br />
2001-1-28,16,10,5,8,6,3,87,73,48,1024,1023,1022,10,10,10,16,8,,0.00,1,,338<br />
2001-1-29,18,12,7,9,7,5,87,74,55,1023,1023,1022,10,10,10,23,14,,0.00,1,,350<br />
2001-1-30,19,14,9,10,8,6,88,72,43,1023,1022,1019,10,10,10,21,13,,0.00,1,,350<br />
2001-1-31,20,14,9,14,11,8,94,83,64,1019,1015,1013,10,10,10,26,13,,0.00,2,,333<br />
2001-2-1,19,14,10,18,11,7,100,79,46,1013,1012,1011,10,9,6,37,11,,0.00,2,,242<br />
2001-2-2,19,14,10,12,9,6,94,72,49,1013,1012,1010,10,10,7,34,11,52,0.00,3,Rain,226<br />
2001-2-3,17,13,10,11,8,7,88,72,55,1011,1009,1008,10,10,3,50,23,69,0.00,3,Rain-Thunderstorm,215<br />
2001-2-4,18,13,9,12,8,5,88,75,52,1018,1015,1011,10,10,8,23,11,,0.00,2,Rain,290<br />
2001-2-5,17,12,8,14,6,3,88,68,39,1023,1021,1018,10,10,10,19,10,,0.00,1,,326<br />
2001-2-6,17,12,8,12,8,5,88,73,52,1024,1022,1021,10,10,10,19,13,,0.00,3,Rain,270<br />
2001-2-7,19,16,12,17,8,2,94,68,32,1020,1019,1017,10,10,10,26,13,,0.00,3,Rain,348<br />
2001-2-8,19,14,11,9,7,5,77,61,43,1022,1020,1018,10,10,10,35,19,50,0.00,1,,351<br />
2001-2-9,21,16,10,12,6,1,77,58,28,1023,1022,1021,10,10,10,187,16,,0.00,1,,309<br />
2001-2-10,19,14,9,10,6,-1,88,61,41,1025,1023,1022,10,10,10,16,11,,0.00,1,,274<br />
2001-2-11,19,14,9,13,10,7,94,81,68,1024,1023,1021,10,10,10,14,10,,0.00,1,,333<br />
2001-2-12,20,14,9,13,10,7,94,78,46,1021,1019,1017,10,10,10,19,10,,0.00,1,,315<br />
2001-2-13,20,15,10,15,11,7,94,79,63,1018,1014,1011,10,9,5,19,11,,0.00,2,,306<br />
2001-2-14,17,13,10,11,7,2,77,64,45,1012,1009,1007,10,10,10,37,19,40,0.00,3,Rain,256<br />
2001-2-15,19,14,9,10,7,4,82,68,49,1019,1015,1012,10,10,10,47,10,,0.00,3,,243<br />
2001-2-16,18,12,7,9,7,4,94,73,45,1019,1018,1017,10,9,6,32,10,,0.00,4,Rain,255<br />
2001-2-17,16,12,9,9,7,4,100,74,45,1019,1016,1015,10,9,6,24,13,,0.00,5,Rain,323<br />
2001-2-18,19,14,9,11,7,5,82,66,48,1020,1019,1017,10,10,10,29,14,,0.00,2,,270<br />
2001-2-19,18,13,9,11,8,5,87,68,49,1017,1013,1009,10,10,8,40,14,,0.00,4,Rain-Thunderstorm,228<br />
2001-2-20,14,10,6,10,4,-4,88,69,43,1010,1004,1000,10,9,5,55,21,77,0.00,4,Rain-Thunderstorm,261<br />
2001-2-21,13,8,3,3,-1,-5,76,55,31,1016,1014,1011,10,10,10,34,13,,0.00,2,,317<br />
2001-2-22,14,9,4,9,5,0,88,74,58,1014,1011,1007,10,9,6,37,11,58,0.00,4,Rain-Thunderstorm,263<br />
2001-2-23,17,12,8,9,7,5,94,68,45,1015,1010,1006,10,10,9,48,18,,0.00,3,Rain,238<br />
2001-2-24,19,14,11,13,11,8,88,77,60,1018,1016,1015,10,10,10,40,18,,0.00,4,Rain,217<br />
2001-2-25,19,14,10,13,11,9,94,78,52,1019,1018,1017,10,10,9,34,10,,0.00,2,,210<br />
2001-2-26,19,14,10,15,12,8,94,83,64,1019,1017,1015,10,9,7,24,8,,0.00,6,,180<br />
2001-2-27,20,17,13,15,13,11,94,81,60,1015,1013,1012,9,7,5,23,13,,0.00,4,,12<br />
2001-2-28,21,17,14,15,13,12,94,77,60,1016,1015,1013,9,7,5,27,11,,0.00,5,,17<br />
2001-3-1,21,18,15,16,14,11,88,76,64,1013,1011,1009,9,8,7,34,23,40,0.00,3,,24<br />
2001-3-2,20,16,11,12,9,5,94,67,46,1020,1017,1013,10,9,6,27,13,,0.00,2,,264<br />
2001-3-3,19,14,9,12,9,6,82,70,49,1024,1022,1020,10,10,10,23,8,,0.00,4,,274<br />
2001-3-4,20,16,12,14,12,8,94,79,64,1025,1023,1022,10,10,10,21,13,,0.00,3,,15<br />
2001-3-5,22,17,12,13,11,9,88,73,46,1021,1019,1018,10,10,10,16,11,,0.00,3,,310<br />
2001-3-6,19,14,10,15,12,8,94,82,68,1018,1017,1015,10,10,8,19,8,,0.00,3,,242<br />
2001-3-7,19,16,13,15,13,11,94,84,73,1015,1013,1010,10,8,3,14,6,,0.00,4,,287<br />
2001-3-8,19,16,12,14,12,11,94,83,64,1010,1009,1008,10,8,4,14,6,,0.00,5,,172<br />
2001-3-9,22,17,13,15,12,9,94,75,50,1015,1012,1010,10,10,10,29,13,,0.00,2,,290<br />
2001-3-10,21,16,12,15,13,8,94,80,60,1019,1017,1015,10,9,7,16,6,,0.00,4,,312<br />
2001-3-11,21,17,13,16,13,10,100,78,64,1018,1016,1014,10,7,2,19,10,,0.00,6,,8<br />
2001-3-12,23,18,13,15,11,8,83,65,46,1014,1012,1010,10,10,10,23,13,,0.00,6,,325<br />
2001-3-13,20,17,14,15,13,12,94,80,68,1012,1011,1010,10,9,6,21,6,,0.00,5,Rain,214<br />
2001-3-14,25,19,13,15,13,11,94,78,47,1013,1012,1011,10,10,8,29,13,,0.00,2,Rain,242<br />
2001-3-15,21,17,13,14,12,10,88,78,56,1015,1013,1012,10,10,6,47,18,64,0.00,3,Rain,228<br />
2001-3-16,21,16,11,14,11,5,88,76,56,1019,1017,1015,10,10,10,26,6,,0.00,1,,239<br />
2001-3-17,20,16,11,13,9,3,88,67,42,1021,1018,1008,10,10,10,24,8,,0.00,2,,6<br />
2001-3-18,23,17,12,15,11,8,88,70,50,1019,1017,1016,10,10,10,23,13,,0.00,4,,354<br />
2001-3-19,25,19,13,14,9,2,82,57,25,1019,1018,1017,10,10,10,23,13,37,0.00,1,,352<br />
2001-3-20,24,18,12,14,8,1,77,56,22,1018,1016,1014,10,10,10,13,5,,0.00,1,,168<br />
2001-3-21,25,18,10,14,10,5,87,58,29,1014,1012,1010,10,10,10,29,6,,0.00,1,,218<br />
2001-3-22,21,16,11,14,12,9,94,76,60,1010,1009,1007,10,10,9,40,13,,0.00,3,,245<br />
2001-3-23,21,17,13,15,13,7,88,76,55,1007,1002,997,10,9,5,53,19,76,0.00,3,Rain,225<br />
2001-3-24,24,19,14,11,6,1,59,46,25,1009,1005,1000,10,10,10,40,26,60,0.00,2,,314<br />
2001-3-25,26,20,14,16,9,0,94,56,24,1013,1010,1008,,,,29,18,,0.00,,,219<br />
2001-3-26,24,18,13,17,14,10,94,74,41,1016,1014,1012,10,10,10,29,10,,0.00,2,,325<br />
2001-3-27,21,17,13,17,13,10,94,77,68,1017,1016,1015,10,9,7,148,10,,0.00,1,,348<br />
2001-3-28,18,16,13,15,12,11,94,86,72,1016,1014,1014,10,9,7,11,8,,0.00,1,,328<br />
2001-3-29,23,17,12,15,14,10,100,78,44,1013,1011,1009,10,7,0,37,11,,0.00,3,Fog,189<br />
2001-3-30,21,17,13,16,14,11,94,79,64,1012,1011,1009,10,9,4,14,6,,0.00,5,,60<br />
2001-3-31,25,20,16,16,14,8,94,67,34,1010,1008,1007,10,8,6,26,13,,0.00,5,,16<br />
2001-4-1,27,22,18,17,13,5,83,57,32,1015,1011,1007,,,,23,13,,0.00,,,311<br />
2001-4-2,25,21,17,16,10,6,73,53,29,1014,1012,1003,10,10,10,34,19,,0.00,6,Rain,325<br />
