IST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2003-1-1,20,16,11,13,12,10,100,81,56,1022,1020,1018,10,10,10,16,6,,0.00,4,,141<br />
2003-1-2,19,14,11,11,9,8,88,75,49,1018,1016,1015,10,10,9,27,13,,0.00,2,Rain-Thunderstorm,175<br />
2003-1-3,14,13,12,14,11,8,100,88,67,1019,1016,1014,10,9,1,27,14,,0.00,6,Rain-Thunderstorm,145<br />
2003-1-4,19,16,13,14,13,10,94,84,72,1019,1018,1016,10,10,10,42,19,,0.00,4,,182<br />
2003-1-5,21,17,13,14,10,8,94,66,49,1019,1018,1016,10,10,10,24,16,,0.00,1,,176<br />
2003-1-6,23,17,12,9,7,6,77,54,35,1022,1021,1019,,,,19,8,,0.00,,,161<br />
2003-1-7,24,17,10,14,9,5,77,65,36,1021,1019,1018,,,,13,5,,0.00,,,100<br />
2003-1-8,22,16,9,16,12,6,100,80,43,1020,1018,1017,10,8,3,16,5,,0.00,2,,177<br />
2003-1-9,20,16,11,15,12,10,100,88,68,1022,1020,1019,9,6,3,14,6,,0.00,1,,138<br />
2003-1-10,22,16,9,14,9,6,94,77,35,1023,1021,1019,9,7,4,13,5,,0.00,0,,83<br />
2003-1-11,27,18,10,8,4,2,82,40,21,1019,1017,1016,,,,34,13,,0.00,,,102<br />
2003-1-12,29,22,16,10,5,1,59,35,19,1017,1016,1015,,,,19,14,,0.00,,,152<br />
2003-1-13,20,17,13,15,12,7,88,74,55,1020,1019,1017,10,8,7,14,6,,0.00,4,,180<br />
2003-1-14,19,17,15,15,13,10,94,81,63,1021,1019,1019,10,8,5,35,14,,0.00,5,Rain,232<br />
2003-1-15,16,13,11,13,11,7,94,82,59,1020,1019,1018,10,10,5,32,16,40,0.00,5,Rain,284<br />
2003-1-16,17,13,9,11,9,7,100,79,55,1023,1021,1020,10,10,10,23,10,,0.00,4,,134<br />
