AST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2003-1-1,16,9,2,6,3,1,100,74,45,1025,1022,1019,10,6,0,19,6,,0.00,1,Fog,102<br />
2003-1-2,16,9,2,3,1,-3,81,62,39,1019,1017,1015,10,10,10,13,6,,0.00,1,,52<br />
2003-1-3,16,9,3,7,3,1,87,66,39,1019,1017,1016,10,10,10,34,8,,0.00,5,,230<br />
2003-1-4,17,11,5,8,6,3,93,71,45,1020,1019,1016,10,10,10,34,11,,0.00,4,,240<br />
2003-1-5,20,11,3,5,3,1,87,63,33,1020,1018,1017,,,,24,10,,0.00,,,199<br />
2003-1-6,21,12,3,2,0,-9,87,53,13,1026,1022,1020,,,,11,6,,0.00,,,69<br />
2003-1-7,22,12,3,2,-1,-7,76,46,14,1024,1022,1021,,,,10,5,,0.00,,,238<br />
2003-1-8,22,12,2,2,-2,-5,65,44,21,1021,1019,1017,,,,14,6,,0.00,,,275<br />
2003-1-9,19,11,3,5,1,-4,81,53,32,1022,1020,1019,,,,14,6,,0.00,,,276<br />
2003-1-10,20,11,3,0,-3,-7,70,43,16,1024,1022,1021,,,,11,8,,0.00,,,275<br />
2003-1-11,22,12,3,1,-2,-4,66,43,19,1027,1023,1020,,,,23,8,,0.00,,,93<br />
2003-1-12,24,14,4,-1,-3,-7,61,37,15,1023,1020,1017,,,,23,8,,0.00,,,89<br />
2003-1-13,23,13,3,6,-2,-6,71,42,20,1020,1018,1016,,,,32,8,,0.00,,,266<br />
2003-1-14,19,13,7,11,7,5,87,73,55,1021,1019,1017,10,10,9,29,16,,0.00,5,,264<br />
2003-1-15,14,10,6,9,7,4,100,82,55,1028,1018,1016,10,10,8,127,21,,0.00,5,Rain,239<br />
2003-1-16,14,9,4,5,3,0,100,70,38,1023,1019,1018,10,10,10,37,16,,0.00,4,,284<br />
2003-1-17,15,7,-1,2,-3,-6,75,52,23,1025,1023,1021,10,10,10,13,6,,0.00,4,,283<br />
2003-1-18,15,10,6,9,5,1,94,76,55,1022,1020,1018,10,10,9,34,10,,0.00,6,Rain,236<br />
2003-1-19,10,6,1,5,1,-2,93,68,43,1022,1020,1018,10,10,9,14,6,,0.00,5,,65<br />
2003-1-20,10,8,6,10,5,0,100,82,57,1016,1013,1010,10,9,8,26,11,,0.00,7,Rain,73<br />
2003-1-21,16,10,4,10,7,0,100,87,34,1016,1013,1012,10,8,0,19,6,,0.00,5,Fog-Rain,126<br />
2003-1-22,15,8,2,9,5,2,100,83,55,1019,1017,1016,10,6,0,14,5,,0.00,4,Fog,37<br />
2003-1-23,12,7,2,6,4,-3,100,84,46,1022,1020,1014,10,5,0,13,8,,0.00,1,Fog,252<br />
2003-1-24,16,9,2,5,3,1,100,80,45,1020,1019,1017,9,3,0,11,3,,0.00,2,Fog,9<br />
2003-1-25,18,11,4,4,2,-4,93,63,24,1019,1017,1016,10,10,10,19,5,,0.00,1,,81<br />
2003-1-26,17,10,3,4,2,1,87,63,34,1017,1014,1012,,,,32,10,,0.00,,,86<br />
2003-1-27,16,11,6,8,2,-4,66,60,42,1011,1009,1006,10,10,8,26,14,,0.00,6,Rain,112<br />
2003-1-28,15,8,2,0,-2,-3,75,52,29,1011,1008,1007,10,9,9,37,14,,0.00,2,,221<br />
2003-1-29,16,10,5,3,-1,-3,70,50,29,1019,1014,1012,10,10,10,21,10,,0.00,6,,174<br />
2003-1-30,17,10,4,4,3,1,93,62,37,1025,1023,1020,10,10,10,16,8,,0.00,1,,173<br />
2003-1-31,19,11,3,2,-2,-8,87,51,23,1025,1021,1018,,,,29,11,,0.00,,,90<br />
2003-2-1,19,11,4,2,-3,-7,81,41,21,1019,1017,1015,,,,13,6,,0.00,,,284<br />
2003-2-2,20,11,2,2,-2,-5,70,44,21,1015,1012,1010,,,,10,5,,0.00,,,71<br />
2003-2-3,15,10,6,4,-3,-13,66,43,14,1015,1013,1011,9,6,3,35,14,,0.00,0,,257<br />
2003-2-4,15,8,1,4,-2,-5,81,53,31,1019,1015,1013,9,9,7,39,14,,0.00,2,,197<br />
2003-2-5,18,11,4,5,2,-1,87,62,34,1024,1021,1019,10,10,10,14,6,,0.00,4,,113<br />
2003-2-6,19,10,1,-1,-3,-7,75,46,21,1023,1020,1017,,,,29,16,,0.00,,,94<br />
2003-2-7,19,11,4,-4,-7,-9,45,31,16,1017,1014,1011,10,10,10,14,6,,0.00,5,,68<br />
2003-2-8,15,9,4,4,-2,-10,76,47,31,1016,1013,1011,9,5,2,37,18,,0.00,0,,237<br />
2003-2-9,14,10,6,5,2,1,87,61,41,1017,1016,1014,10,10,10,29,16,,0.00,6,Rain,248<br />
2003-2-10,16,8,1,5,3,-1,93,70,36,1017,1016,1013,10,10,9,32,5,,0.00,3,,39<br />
2003-2-11,18,10,3,4,1,-1,87,59,30,1020,1018,1017,,,,16,6,,0.00,,,277<br />
2003-2-12,18,11,4,4,0,-1,70,49,30,1018,1013,1007,9,5,0,34,16,,0.00,5,,87<br />
2003-2-13,18,12,7,7,2,-1,82,54,30,1013,1010,1007,10,9,6,37,18,,0.00,2,,242<br />
2003-2-14,15,10,6,6,4,0,81,63,36,1014,1013,1011,10,10,10,35,19,,0.00,5,,230<br />
2003-2-15,14,9,5,5,3,2,81,63,44,1016,1015,1014,10,10,10,35,18,,0.00,5,,245<br />
2003-2-16,16,12,8,5,3,-1,81,60,34,1020,1018,1016,10,10,10,34,18,,0.00,5,,263<br />
2003-2-17,17,9,1,4,0,-3,87,57,30,1022,1019,1016,8,8,8,19,10,,0.00,0,,98<br />
2003-2-18,28,17,7,3,1,-4,66,42,15,1016,1008,1002,10,6,1,63,24,,0.00,3,,160<br />
2003-2-19,17,13,9,6,2,-1,76,53,30,1007,1006,1004,10,9,8,42,21,,0.00,2,,233<br />
2003-2-20,15,11,6,3,-1,-6,76,48,31,1013,1008,1005,9,6,4,45,23,,0.00,3,,227<br />
2003-2-21,17,10,3,5,0,-4,87,54,25,1015,1013,1012,10,10,9,37,13,,0.00,3,,186<br />
2003-2-22,15,11,7,6,4,0,87,67,36,1020,1018,1015,10,10,8,34,16,,0.00,6,Rain,259<br />
2003-2-23,17,10,3,4,2,-1,93,60,32,1020,1016,1011,9,9,9,19,11,,0.00,,,94<br />
2003-2-24,15,10,5,5,-1,-4,62,48,31,1014,1010,1008,10,9,8,45,19,,0.00,4,,230<br />
2003-2-25,13,8,3,0,-4,-7,61,47,28,1017,1015,1014,10,9,9,48,27,,0.00,4,,220<br />
2003-2-26,9,6,2,2,0,-2,81,61,50,1020,1017,1015,10,10,7,50,21,,0.00,5,,224<br />
2003-2-27,14,10,6,3,1,-2,81,60,36,1022,1020,1018,10,10,10,26,8,,0.00,6,,247<br />
2003-2-28,14,7,0,3,-1,-5,93,59,31,1025,1024,1022,10,10,10,24,6,,0.00,4,,297<br />
2003-3-1,16,8,1,1,-3,-6,65,45,25,1027,1025,1023,,,,23,11,,0.00,,,83<br />
2003-3-2,18,10,2,-2,-6,-30,60,35,4,1026,1019,1012,7,5,2,52,23,,0.00,1,,98<br />
2003-3-3,22,16,9,6,-1,-6,71,36,21,1016,1011,1009,9,6,3,37,23,,0.00,0,,231<br />
2003-3-4,20,13,7,7,4,1,87,60,30,1019,1016,1015,10,10,9,23,13,,0.00,3,,266<br />
2003-3-5,24,14,6,6,3,-1,87,51,21,1017,1013,1009,5,5,5,27,10,,0.00,,,297<br />
2003-3-6,22,16,9,6,4,1,76,53,25,1014,1011,1009,10,10,8,40,14,,0.00,3,,249<br />
2003-3-7,16,11,6,6,3,1,87,60,36,1021,1018,1014,10,10,10,29,11,,0.00,4,,281<br />
2003-3-8,20,12,4,6,2,-4,93,57,23,1022,1019,1014,9,9,8,26,11,,0.00,0,,117<br />
2003-3-9,19,13,7,9,2,-5,76,51,30,1016,1014,1013,10,9,9,39,16,,0.00,1,,275<br />
2003-3-10,18,11,4,6,4,3,93,65,37,1019,1016,1014,10,10,10,23,11,,0.00,4,,307<br />
2003-3-11,20,13,6,7,4,1,93,61,30,1016,1014,1011,10,10,9,37,11,,0.00,2,,310<br />
2003-3-12,14,11,7,9,6,3,94,74,48,1012,1010,1008,10,9,7,52,24,,0.00,6,Rain,271<br />
2003-3-13,15,10,6,6,4,1,93,67,41,1019,1015,1012,10,10,10,50,27,,0.00,6,,286<br />
2003-3-14,20,12,5,6,2,-4,93,57,23,1022,1020,1019,9,9,9,14,10,,0.00,3,,138<br />
2003-3-15,24,14,5,2,-1,-5,70,38,14,1019,1016,1011,10,10,10,26,10,,0.00,3,,81<br />
2003-3-16,21,16,10,9,0,-4,77,36,20,1013,1008,1006,10,8,4,48,21,,0.00,2,,312<br />
2003-3-17,22,16,9,9,6,0,94,59,25,1022,1013,1009,9,7,6,26,18,,0.00,0,,239<br />
2003-3-18,21,13,6,3,-1,-4,66,39,26,1010,1007,1004,9,4,1,52,19,,0.00,0,,244<br />
2003-3-19,16,13,11,4,2,-2,62,47,36,1012,1009,1007,10,5,3,55,40,,0.00,3,,271<br />
2003-3-20,15,11,7,5,2,-2,76,57,36,1015,1013,1012,10,9,7,48,27,,0.00,5,,244<br />
2003-3-21,16,9,3,4,1,-3,87,60,27,1015,1013,1011,10,10,10,37,14,,0.00,4,,251<br />
2003-3-22,17,10,3,4,1,-1,93,57,31,1017,1015,1014,10,10,10,26,10,,0.00,3,,268<br />
2003-3-23,19,11,4,4,1,-3,87,53,23,1018,1016,1013,10,10,10,21,6,,0.00,4,,278<br />
2003-3-24,19,13,8,3,-1,-6,66,43,18,1014,1008,1002,10,10,10,26,11,,0.00,6,,183<br />
2003-3-25,12,8,5,8,2,-4,87,64,40,1012,1001,998,10,9,3,55,26,,0.00,6,Rain,249<br />
2003-3-26,13,8,4,5,3,0,81,69,51,1015,1008,1003,10,6,0,55,29,,0.00,4,,219<br />
2003-3-27,18,12,6,6,4,1,93,62,32,1018,1016,1015,10,10,8,23,13,,0.00,2,,262<br />
2003-3-28,20,12,4,6,2,-3,87,54,28,1017,1015,1013,9,9,9,19,11,,0.00,0,,301<br />
2003-3-29,21,13,6,0,-4,-8,46,32,14,1015,1013,1011,,,,27,16,,0.00,,,299<br />
