IRST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2002-1-1,15,9,3,3,1,-3,75,58,29,1025,1023,1021,8,7,6,11,3,,0.00,3,,97<br />
2002-1-2,11,8,4,6,4,2,93,76,58,1023,1022,1021,10,6,3,18,3,,0.00,6,Rain,292<br />
2002-1-3,10,7,4,7,5,3,100,90,76,1025,1023,1022,4,3,1,0,0,,0.00,6,Fog,-1<br />
2002-1-4,13,7,1,7,4,0,100,86,66,1024,1022,1021,8,3,0,21,2,,0.00,2,Fog,316<br />
2002-1-5,13,7,2,4,2,-2,93,69,44,1025,1023,1021,8,7,5,11,2,,0.00,4,,95<br />
2002-1-6,14,7,1,3,0,-3,81,60,36,1026,1023,1021,10,8,4,14,3,,0.00,2,Rain,128<br />
2002-1-7,15,11,7,8,4,0,87,69,51,1026,1023,1021,10,8,6,18,2,,0.00,6,Rain,133<br />
2002-1-8,11,9,7,8,7,2,100,83,67,1021,1019,1015,8,5,2,32,14,,0.00,6,Rain-Thunderstorm,129<br />
2002-1-9,14,8,2,1,-4,-14,87,49,13,1022,1020,1019,10,9,6,21,5,,0.00,1,,290<br />
2002-1-10,8,6,3,7,2,-4,100,82,60,1024,1021,1019,10,5,1,6,0,,0.00,6,Rain,120<br />
2002-1-11,12,9,7,10,8,7,100,90,82,1019,1016,1013,4,3,1,32,6,,0.00,7,Rain-Thunderstorm,133<br />
2002-1-12,14,9,3,9,-6,-19,100,42,10,1018,1016,1014,10,8,3,40,16,,0.00,4,Rain,276<br />
2002-1-13,10,5,0,-3,-5,-13,75,52,19,1021,1019,1018,,,,14,5,,0.00,,,284<br />
2002-1-14,9,4,0,-3,-4,-8,75,57,32,1023,1020,1018,10,10,10,18,2,,0.00,2,,90<br />
2002-1-15,8,3,-2,-2,-4,-8,93,62,34,1025,1022,1020,,,,18,3,,0.00,,,245<br />
2002-1-16,10,4,-2,0,-2,-5,86,63,40,1021,1019,1017,8,6,5,21,3,,0.00,0,,145<br />
2002-1-17,11,6,0,-2,-4,-7,80,53,28,1023,1020,1019,,,,14,2,,0.00,,,337<br />
2002-1-18,11,6,0,-2,-4,-7,80,57,28,1022,1020,1019,,,,14,2,,0.00,,,300<br />
2002-1-19,11,6,1,-1,-3,-5,75,55,33,1023,1021,1015,8,6,5,14,5,,0.00,0,,289<br />
2002-1-20,12,6,-1,-1,-3,-7,80,55,26,1021,1019,1017,7,7,6,11,2,,0.00,0,,124<br />
2002-1-21,8,4,0,2,-1,-4,87,67,57,1018,1016,1014,10,7,4,26,5,,0.00,6,Rain,211<br />
2002-1-22,10,5,0,-1,-4,-16,93,52,15,1016,1015,1013,10,10,8,26,11,,0.00,3,,275<br />
2002-1-23,11,4,-2,-2,-8,-21,80,45,10,1020,1017,1014,8,8,7,26,8,,0.00,0,,287<br />
2002-1-24,10,6,2,-2,-9,-22,65,38,10,1024,1021,1020,10,10,10,18,11,,0.00,1,,297<br />
2002-1-25,10,4,-2,-5,-8,-12,69,43,27,1027,1025,1024,,,,18,2,,0.00,,,198<br />
2002-1-26,12,4,-3,-6,-8,-12,69,42,19,1028,1026,1025,,,,18,6,,0.00,,,300<br />
2002-1-27,14,7,-1,-3,-6,-8,60,44,23,1026,1025,1023,8,7,6,14,5,,0.00,0,,241<br />
2002-1-28,14,7,1,-3,-6,-11,65,44,17,1025,1023,1020,7,7,7,11,3,,0.00,0,,287<br />
2002-1-29,14,9,5,-2,-4,-8,57,40,23,1022,1020,1018,10,10,10,26,10,,0.00,4,,259<br />
2002-1-30,12,6,1,0,-4,-8,81,48,24,1021,1019,1018,10,10,10,32,11,,0.00,2,,258<br />
2002-1-31,12,7,2,-2,-8,-21,70,41,9,1022,1020,1018,10,10,10,29,10,,0.00,1,,289<br />
2002-2-1,13,6,-2,-4,-8,-12,55,37,17,1027,1024,1022,,,,14,6,,0.00,,,51<br />
2002-2-2,20,9,-1,3,-6,-10,60,40,18,1028,1025,1017,7,7,7,14,5,,0.00,0,,298<br />
2002-2-3,16,7,-1,-5,-8,-12,64,37,16,1024,1022,1018,,,,29,8,,0.00,,,256<br />
2002-2-4,14,7,-1,-3,-8,-19,69,39,9,1022,1018,1015,10,10,10,43,6,,0.00,1,,276<br />
2002-2-5,11,4,-2,-8,-11,-15,51,35,16,1027,1025,1022,,,,14,3,,0.00,,,164<br />
2002-2-6,14,6,-2,-1,-9,-14,81,38,14,1030,1027,1026,,,,18,5,,0.00,,,238<br />
2002-2-7,17,9,1,-4,-8,-12,65,32,14,1028,1025,1023,,,,14,6,,0.00,,,295<br />
2002-2-8,18,10,2,-3,-9,-17,48,28,9,1022,1019,1016,10,10,10,26,6,,0.00,3,,200<br />
2002-2-9,17,10,4,-3,-7,-11,49,31,17,1021,1019,1017,10,10,10,21,6,,0.00,2,,307<br />
2002-2-10,17,10,4,-3,-5,-7,49,36,20,1024,1021,1019,,,,18,5,,0.00,,,295<br />
2002-2-11,16,10,4,-1,-4,-7,61,41,20,1022,1020,1018,10,9,8,21,5,,0.00,5,,81<br />
2002-2-12,18,9,1,2,-3,-7,75,45,18,1022,1020,1019,10,10,10,32,6,,0.00,4,,318<br />
2002-2-13,16,12,8,7,3,0,87,59,38,1023,1020,1017,10,8,4,26,10,,0.00,6,Rain,147<br />
2002-2-14,12,10,7,9,7,3,100,83,58,1021,1020,1018,8,5,3,26,10,,0.00,7,Rain,140<br />
2002-2-15,14,10,6,6,3,-5,100,70,27,1022,1020,1018,10,7,3,26,5,,0.00,4,Rain,274<br />
2002-2-16,17,9,2,2,-1,-8,81,53,19,1022,1020,1018,8,8,8,26,6,,0.00,0,,305<br />
2002-2-17,18,10,2,1,-3,-7,70,44,19,1021,1019,1018,,,,18,3,,0.00,,,87<br />
2002-2-18,17,9,2,2,-3,-9,65,43,16,1022,1020,1018,10,10,10,26,5,,0.00,8,,156<br />
2002-2-19,9,8,7,5,3,1,81,74,58,1024,1021,1020,10,7,4,26,3,,0.00,7,Rain,128<br />
2002-2-20,11,6,1,4,-1,-6,93,63,32,1022,1018,1015,10,8,4,40,14,,0.00,4,Rain,247<br />
2002-2-21,13,6,-1,-3,-6,-12,80,48,17,1020,1018,1016,6,6,6,29,6,,0.00,0,,285<br />
2002-2-22,15,8,0,-1,-4,-8,75,46,24,1024,1022,1020,,,,14,8,,0.00,,,271<br />
2002-2-23,18,10,2,-2,-4,-10,70,39,20,1025,1023,1021,10,10,10,40,8,,0.00,4,,290<br />
