AFT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2002-3-25,8,,8,-4,-4,-4,43,43,43,1016,1016,1016,10,10,10,0,0,,0.00,0,,-1<br />
2002-3-26,20,11,3,1,-4,-7,70,39,18,1019,1018,1016,10,9,5,19,6,,0.00,0,,12<br />
2002-3-27,20,12,5,0,-4,-11,65,35,12,1021,1019,1017,10,9,5,13,6,,0.00,1,,346<br />
2002-3-28,22,13,5,0,-3,-9,70,34,14,1020,1018,1015,10,10,7,14,8,,0.00,1,,313<br />
2002-3-29,20,13,7,1,-1,-3,66,38,21,1021,1019,1017,10,10,8,27,6,,0.00,5,,321<br />
2002-3-30,13,11,8,7,5,2,87,68,47,1021,1019,1017,10,10,8,23,11,,0.00,6,Rain,300<br />
2002-3-31,16,10,4,7,6,3,93,74,51,1019,1017,1013,10,8,4,19,6,,0.00,5,Rain-Thunderstorm,99<br />
2002-4-1,16,11,6,6,-4,-14,87,41,16,1023,1019,1016,10,10,7,47,14,72,0.00,3,,7<br />
2002-4-2,19,11,4,4,-7,-12,58,29,12,1023,1020,1017,10,9,6,16,10,,0.00,1,,332<br />
2002-4-3,20,13,6,1,-3,-7,66,35,16,1018,1016,1014,10,9,5,21,8,,0.00,6,,329<br />
2002-4-4,18,14,10,7,2,-2,82,50,32,1018,1016,1012,10,10,8,26,10,35,0.00,7,Rain,348<br />
2002-4-5,16,11,7,7,4,-2,87,61,31,1020,1016,1012,10,8,3,34,13,61,0.00,6,Rain,116<br />
2002-4-6,17,12,7,7,5,0,93,70,32,1020,1019,1016,10,9,6,23,6,58,0.00,6,Rain-Thunderstorm,278<br />
2002-4-7,16,10,4,6,5,4,100,74,45,1022,1020,1018,10,9,5,14,5,,0.00,2,Fog-Rain-Thunderstorm,11<br />
2002-4-8,19,12,6,6,3,-3,87,55,23,1023,1020,1012,10,9,5,13,5,,0.00,1,,357<br />
2002-4-9,22,14,8,5,1,-4,81,44,20,1020,1019,1016,10,9,5,32,8,72,0.00,2,,329<br />
2002-4-10,23,16,8,5,-3,-11,81,32,12,1018,1016,1014,10,10,6,24,8,40,0.00,1,,321<br />
2002-4-11,25,16,7,8,-3,-10,57,28,9,1019,1017,1015,10,9,4,10,6,,0.00,4,,165<br />
2002-4-12,25,17,9,2,-1,-4,62,31,14,1022,1020,1017,10,8,4,14,6,,0.00,4,,358<br />
2002-4-13,22,18,14,6,2,-2,48,35,26,1022,1020,1019,10,9,4,14,6,,0.00,6,,11<br />
2002-4-14,18,13,9,11,7,3,94,63,37,1020,1018,1015,10,9,4,19,10,,0.00,7,Rain-Thunderstorm,330<br />
2002-4-15,17,12,8,9,7,6,93,75,48,1021,1019,1017,10,9,2,14,6,,0.00,4,Fog-Rain,3<br />
2002-4-16,20,15,10,9,7,5,87,69,40,1021,1019,1015,10,9,6,27,6,,0.00,4,Rain-Thunderstorm,9<br />
2002-4-17,20,13,7,8,5,1,93,59,28,1020,1019,1018,10,9,5,14,8,,0.00,1,,8<br />
2002-4-18,23,16,9,10,5,1,82,50,25,1021,1019,1017,10,9,5,13,5,,0.00,1,,342<br />
2002-4-19,26,18,10,8,3,-1,87,40,18,1021,1018,1016,10,9,5,42,8,,0.00,3,,97<br />
2002-4-20,25,18,12,9,4,0,67,40,21,1022,1020,1018,10,10,8,35,10,60,0.00,3,Rain,359<br />
2002-4-21,24,17,10,10,7,5,87,57,29,1021,1018,1015,10,9,4,34,8,82,0.00,4,Rain-Hail-Thunderstorm,31<br />
2002-4-22,19,14,11,18,9,6,94,73,43,1017,1014,1011,10,9,4,27,6,,0.00,5,Rain-Thunderstorm,342<br />
2002-4-23,20,15,10,10,7,3,94,63,33,1016,1014,1012,10,10,8,24,10,,0.00,5,Rain,354<br />
2002-4-24,19,14,10,6,3,-2,76,48,30,1015,1013,1011,10,10,10,23,11,,0.00,5,,337<br />
2002-4-25,19,14,9,6,-2,-8,62,36,18,1016,1014,1012,10,10,10,21,10,,0.00,2,,335<br />
2002-4-26,20,13,7,5,1,-1,71,42,26,1017,1015,1012,10,10,8,34,10,34,0.00,5,,350<br />
2002-4-27,19,14,10,7,-3,-11,62,34,13,1017,1015,1013,10,10,10,34,16,48,0.00,4,,330<br />
2002-4-28,18,13,8,10,-6,-12,72,31,13,1018,1016,1015,10,10,10,32,16,34,0.00,2,,358<br />
2002-4-29,21,13,5,7,-1,-5,72,42,21,1018,1015,1013,10,9,5,29,6,60,0.00,3,,359<br />
2002-4-30,21,14,9,7,2,-4,82,44,20,1016,1014,1013,10,10,10,23,10,,0.00,5,Rain,330<br />
2002-5-1,23,16,8,6,2,-1,71,41,20,1015,1014,1012,10,10,7,27,6,,0.00,4,Rain-Thunderstorm,42<br />
2002-5-2,21,16,11,5,3,-1,67,46,26,1019,1017,1015,10,10,9,19,11,,0.00,5,Rain,299<br />
2002-5-3,23,16,9,7,4,2,71,47,27,1021,1019,1015,10,9,5,40,10,60,0.00,4,Rain,305<br />
2002-5-4,25,18,10,7,4,1,76,43,22,1019,1017,1015,10,10,6,40,8,,0.00,4,Rain,336<br />
2002-5-5,24,18,12,6,3,0,63,38,23,1018,1015,1011,10,9,5,37,8,53,0.00,5,,10<br />
2002-5-6,27,19,11,8,4,-1,72,42,18,1016,1014,1012,10,9,7,32,8,63,0.00,4,Rain-Thunderstorm,338<br />
2002-5-7,24,17,10,8,5,3,82,46,25,1018,1016,1014,10,9,4,26,10,,0.00,2,,330<br />
2002-5-8,28,20,12,7,3,-2,67,37,14,1018,1016,1014,10,9,5,34,10,42,0.00,3,,61<br />
2002-5-9,28,20,12,5,2,-1,62,31,15,1020,1018,1015,10,10,8,35,10,55,0.00,2,,359<br />
2002-5-10,27,21,15,7,-2,-8,45,23,10,1021,1020,1018,10,10,7,35,16,69,0.00,0,,350<br />
2002-5-11,30,21,12,-2,-6,-10,38,18,9,1020,1015,1012,10,10,8,34,8,72,0.00,1,,347<br />
2002-5-12,31,22,14,2,-3,-5,30,18,9,1012,1011,1008,10,9,4,16,8,,0.00,3,,346<br />
2002-5-13,31,23,16,7,1,-2,48,22,12,1013,1012,1010,10,9,6,32,14,39,0.00,4,,84<br />
2002-5-14,25,19,14,13,8,0,94,57,19,1019,1016,1012,10,9,6,42,14,,0.00,6,Rain,148<br />
2002-5-15,27,19,12,13,10,3,100,60,21,1019,1017,1015,10,9,6,21,6,,0.00,2,Rain,64<br />
2002-5-16,28,21,14,11,-1,-8,77,31,9,1019,1017,1015,10,9,5,32,10,60,0.00,1,,338<br />
2002-5-17,28,20,13,1,-3,-6,41,21,12,1018,1016,1013,10,10,10,32,11,53,0.00,1,,345<br />
2002-5-18,24,19,15,-1,-4,-7,31,21,13,1013,1011,1009,10,9,6,61,21,97,0.00,1,,354<br />
2002-5-19,24,17,11,-5,-9,-12,33,17,8,1011,1008,1006,10,10,10,48,24,77,0.00,0,,345<br />
2002-5-20,25,13,2,-4,-9,-12,38,18,8,1012,1009,1008,10,10,6,35,11,64,0.00,0,,325<br />
2002-5-21,27,18,10,-1,-4,-8,47,22,10,1015,1013,1012,10,10,8,21,10,,0.00,2,,320<br />
2002-5-22,27,20,13,5,2,-1,41,31,17,1018,1015,1014,10,10,7,40,10,64,0.00,4,Rain-Thunderstorm,252<br />
2002-5-23,27,20,13,5,1,-3,58,31,15,1019,1017,1016,10,10,8,24,11,,0.00,1,,325<br />
2002-5-24,31,22,13,2,-1,-4,47,24,13,1020,1018,1017,10,10,7,37,10,72,0.00,0,,356<br />
2002-5-25,32,22,13,1,-6,-12,41,17,6,1019,1016,1013,10,10,7,27,10,,0.00,0,,322<br />
2002-5-26,33,23,14,-1,-5,-9,29,15,6,1015,1012,1009,10,10,8,35,10,55,0.00,3,,332<br />
2002-5-27,30,24,19,3,1,-1,35,23,13,1012,1010,1006,10,10,10,29,13,45,0.00,2,,339<br />
2002-5-28,27,20,14,9,4,-1,67,40,19,1016,1012,1008,10,9,1,42,11,100,0.00,3,Rain-Thunderstorm,27<br />
2002-5-29,28,19,11,8,3,-3,77,41,15,1015,1013,1011,10,10,7,23,6,60,0.00,2,Rain,33<br />
2002-5-30,29,22,15,10,2,-5,59,32,11,1016,1015,1013,10,10,7,27,8,60,0.00,1,,330<br />
2002-5-31,29,19,9,2,-1,-5,58,25,11,1018,1016,1014,10,9,6,21,8,,0.00,2,,286<br />
2002-6-1,31,22,14,2,-2,-5,44,20,9,1016,1014,1010,10,10,9,29,11,48,0.00,1,,346<br />
2002-6-2,32,23,16,4,-1,-5,42,20,11,1016,1014,1011,10,10,7,34,8,55,0.00,1,,353<br />
2002-6-3,32,24,17,4,-4,-7,35,16,8,1015,1014,1011,10,10,6,40,16,74,0.00,0,,345<br />
2002-6-4,32,24,17,0,-2,-4,26,18,10,1015,1013,1011,10,10,7,40,11,71,0.00,2,,325<br />
2002-6-5,30,23,16,4,-1,-4,36,20,11,1014,1013,1011,10,9,6,37,11,76,0.00,1,,350<br />
2002-6-6,29,23,17,6,-3,-8,34,19,9,1016,1014,1013,10,10,9,32,16,60,0.00,1,,341<br />
2002-6-7,32,23,15,1,-3,-7,36,18,8,1016,1014,1011,10,10,10,19,8,37,0.00,0,,318<br />
2002-6-8,35,25,15,3,-2,-6,35,18,7,1012,1010,1007,10,8,4,32,6,,0.00,1,,296<br />
2002-6-9,35,26,16,5,0,-11,45,21,5,1013,1010,1006,10,7,4,34,8,53,0.00,1,,86<br />
2002-6-10,32,23,16,7,2,-4,48,25,10,1015,1013,1010,10,9,6,27,8,,0.00,2,Rain-Thunderstorm,79<br />
2002-6-11,30,22,15,8,1,-6,59,24,12,1015,1014,1012,10,10,8,35,11,58,0.00,2,,355<br />
2002-6-12,33,24,17,5,-3,-7,34,17,8,1014,1012,1009,10,10,6,39,10,71,0.00,1,,334<br />
2002-6-13,32,24,17,2,-4,-7,28,15,8,1012,1010,1006,10,10,7,37,13,61,0.00,1,,343<br />
2002-6-14,33,24,17,0,-5,-8,27,13,7,1011,1009,1006,10,10,8,26,6,,0.00,1,,343<br />
2002-6-15,33,24,17,1,-4,-7,30,15,8,1011,1009,1006,10,9,4,37,11,61,0.00,1,,1<br />
2002-6-16,31,24,18,6,1,-2,33,21,12,1011,1009,1006,10,6,4,29,13,52,0.00,2,,15<br />
2002-6-17,30,24,19,10,-2,-10,49,21,7,1012,1011,1009,10,10,7,32,14,69,0.00,1,,28<br />
2002-6-18,28,23,19,13,8,4,60,42,23,1012,1010,1007,10,9,6,37,11,58,0.00,3,,40<br />
2002-6-19,31,23,16,10,8,4,63,41,18,1010,1008,1006,10,10,10,27,8,,0.00,1,,46<br />
2002-6-20,31,24,19,11,3,-5,56,28,11,1010,1009,1006,10,9,5,23,8,,0.00,1,,35<br />
2002-6-21,34,24,14,2,-3,-6,38,16,8,1010,1008,1006,10,10,9,24,8,47,0.00,1,,359<br />
2002-6-22,37,27,17,4,-1,-6,30,15,8,1009,1007,1004,10,10,7,24,8,,0.00,3,,2<br />
2002-6-23,34,28,22,15,7,3,64,28,17,1011,1009,1006,9,6,2,35,16,53,0.00,3,Rain,18<br />
2002-6-24,30,25,20,15,7,2,73,35,18,1014,1012,1010,10,10,8,23,10,39,0.00,4,,6<br />
2002-6-25,30,24,19,7,1,-6,46,21,12,1015,1013,1011,10,10,9,34,11,55,0.00,3,,340<br />
2002-6-26,32,23,16,3,-1,-3,34,18,10,1016,1014,1011,10,10,8,23,10,45,0.00,1,,350<br />
2002-6-27,32,24,17,10,6,3,42,30,18,1016,1014,1012,10,10,6,47,8,69,0.00,1,Rain,11<br />
2002-6-28,31,23,17,7,5,2,49,29,16,1015,1014,1012,10,10,5,32,6,55,0.00,3,,338<br />
2002-6-29,32,24,18,6,1,-4,42,21,13,1015,1013,1011,10,9,6,32,10,80,0.00,3,,355<br />
2002-6-30,31,23,17,-2,-4,-5,27,17,10,1014,1013,1010,10,9,8,37,18,58,0.00,0,,337<br />
2002-7-1,34,29,25,-1,-2,-3,18,13,10,1013,1011,1009,10,10,10,34,13,63,0.00,0,,310<br />
2002-7-2,31,26,20,2,-1,-3,30,18,12,1015,1013,1011,10,7,3,40,19,85,0.00,0,,341<br />
2002-7-3,31,26,21,0,-1,-1,25,18,14,1013,1011,1009,10,8,5,42,34,74,0.00,0,,354<br />
2002-7-4,31,23,15,1,-2,-4,39,19,12,1012,1010,1007,10,10,7,45,21,84,0.00,0,,342<br />
2002-7-5,32,23,16,0,-3,-6,31,17,9,1019,1011,1008,10,10,6,29,8,45,0.00,0,,333<br />
2002-7-6,32,23,16,-1,-2,-3,29,18,10,1012,1009,1006,10,10,7,34,10,52,0.00,0,,36<br />
2002-7-7,31,24,18,2,-2,-5,30,18,10,1011,1009,1006,10,10,10,34,13,55,0.00,1,,355<br />
2002-7-8,32,26,19,4,-2,-5,26,16,11,1010,1009,1005,10,10,10,27,11,,0.00,1,,356<br />
2002-7-9,31,24,19,5,3,0,33,24,19,1010,1008,1007,10,9,6,37,11,64,0.00,2,,327<br />
2002-7-10,29,26,23,1,-2,-4,19,16,13,1011,1010,1009,10,10,10,34,23,55,0.00,1,,356<br />
2002-7-11,31,24,18,2,-2,-5,32,17,12,1011,1009,1007,10,10,7,37,18,63,0.00,0,,333<br />
2002-7-12,31,24,18,3,-1,-2,30,18,13,1012,1010,1007,10,10,8,27,16,47,0.00,3,,341<br />
