GST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2003-1-1,25,19,14,10,6,3,59,42,26,1018,1016,1014,10,9,8,19,6,,0.00,2,,212<br />
2003-1-2,24,20,17,15,13,9,83,65,44,1021,1019,1017,10,9,8,24,10,,0.00,4,Rain,261<br />
2003-1-3,23,19,15,14,12,11,82,63,50,1023,1021,1019,10,10,10,16,8,,0.00,2,,111<br />
2003-1-4,24,19,15,14,12,10,77,60,41,1021,1019,1018,10,10,8,21,6,,0.00,3,,73<br />
2003-1-5,26,21,16,14,12,9,72,56,34,1021,1019,1017,10,10,10,21,5,,0.00,2,,64<br />
2003-1-6,25,21,18,15,13,12,73,62,47,1023,1022,1020,10,10,10,16,8,,0.00,2,,267<br />
2003-1-7,25,20,15,16,14,11,78,67,54,1024,1022,1020,10,10,8,14,5,,0.00,1,,260<br />
2003-1-8,25,19,14,17,14,9,82,69,50,1022,1020,1017,10,10,10,14,6,,0.00,1,,246<br />
2003-1-9,24,20,16,17,14,8,88,68,41,1020,1018,1016,10,9,7,19,5,,0.00,2,,65<br />
2003-1-10,25,20,15,18,15,12,82,71,61,1022,1019,1017,10,10,10,14,3,,0.00,2,,337<br />
2003-1-11,24,20,16,17,14,12,88,70,50,1023,1021,1019,10,10,8,16,5,,0.00,2,,27<br />
2003-1-12,24,19,14,16,12,9,73,62,44,1024,1022,1020,,,,13,5,,0.00,,,279<br />
2003-1-13,25,19,13,16,12,7,77,63,39,1023,1021,1020,10,10,10,11,6,,0.00,1,,264<br />
2003-1-14,24,20,16,18,15,12,83,72,57,1022,1020,1019,10,10,10,13,6,,0.00,3,,200<br />
2003-1-15,25,19,13,15,12,9,88,58,36,1021,1019,1016,10,10,10,23,8,,0.00,2,,75<br />
2003-1-16,25,20,16,15,11,8,68,55,36,1018,1016,1014,10,10,10,27,11,,0.00,5,,92<br />
2003-1-17,28,24,19,15,12,7,64,50,26,1017,1015,1013,10,9,2,23,13,,0.00,2,,136<br />
2003-1-18,23,21,19,17,13,9,78,61,46,1019,1016,1013,10,9,8,21,10,,0.00,6,,293<br />
2003-1-19,23,20,18,13,11,9,68,56,47,1020,1018,1016,10,10,10,14,8,,0.00,3,,327<br />
2003-1-20,23,20,17,14,13,12,77,64,50,1020,1018,1016,10,10,10,14,5,,0.00,4,,53<br />
2003-1-21,24,20,17,16,14,13,83,69,57,1020,1018,1016,10,10,10,24,8,,0.00,4,,61<br />
2003-1-22,24,21,18,18,17,15,88,78,65,1020,1018,1016,10,10,9,14,6,,0.00,2,,328<br />
2003-1-23,25,20,16,21,17,12,94,78,44,1017,1015,1012,10,8,7,21,5,,0.00,0,,50<br />
2003-1-24,26,22,18,20,18,16,94,81,65,1014,1012,1010,10,9,7,16,5,,0.00,4,,34<br />
2003-1-25,24,22,20,20,17,15,94,76,65,1014,1012,1011,10,9,7,16,10,,0.00,5,,290<br />
2003-1-26,23,20,17,18,16,14,88,73,61,1016,1014,1012,10,9,6,11,5,,0.00,4,Rain,319<br />
2003-1-27,24,21,18,18,17,16,94,81,65,1018,1016,1014,10,7,3,14,5,,0.00,4,Rain,328<br />
2003-1-28,27,21,15,19,16,10,88,70,36,1017,1014,1011,9,8,5,29,8,,0.00,0,Fog,111<br />
2003-1-29,29,24,20,22,18,12,94,70,39,1015,1013,1011,9,7,5,24,13,,0.00,0,,184<br />
2003-1-30,26,22,19,22,19,18,100,83,65,1019,1015,1012,10,8,5,19,6,,0.00,2,Rain,313<br />
2003-1-31,25,22,19,18,16,11,83,68,50,1020,1018,1016,10,9,7,16,10,,0.00,4,,310<br />
2003-2-1,25,21,17,14,11,7,73,53,38,1019,1017,1016,10,10,10,19,6,,0.00,1,,48<br />
2003-2-2,25,20,16,17,11,5,78,53,32,1019,1017,1015,10,10,10,26,8,,0.00,2,,54<br />
2003-2-3,26,22,19,19,16,14,78,68,47,1021,1019,1017,10,10,10,32,10,,0.00,2,,77<br />
2003-2-4,26,22,18,18,15,12,77,64,42,1021,1018,1016,10,10,10,26,5,,0.00,1,,51<br />
2003-2-5,26,21,16,18,16,12,83,68,50,1019,1017,1016,10,10,10,23,5,,0.00,1,,57<br />
2003-2-6,27,22,18,16,14,12,78,59,42,1019,1017,1015,10,10,10,10,5,,0.00,1,,305<br />
2003-2-7,26,22,19,19,16,11,83,67,44,1018,1016,1015,10,10,10,16,10,,0.00,2,,281<br />
2003-2-8,25,21,18,18,12,2,78,58,22,1016,1013,1011,10,10,10,13,5,,0.00,1,,342<br />
2003-2-9,28,22,16,17,14,9,78,65,39,1014,1012,1010,,,,23,5,,0.00,,,77<br />
2003-2-10,28,21,15,19,11,5,78,50,23,1014,1012,1010,10,10,10,21,5,,0.00,5,,87<br />
2003-2-11,26,21,17,21,17,10,94,72,47,1015,1013,1012,,,,19,6,,0.00,,,39<br />
2003-2-12,27,23,19,22,21,18,100,87,58,1017,1015,1014,10,7,0,13,8,,0.00,2,Fog,307<br />
2003-2-13,28,23,18,21,19,13,94,79,39,1017,1014,1013,9,6,3,14,8,,0.00,1,,360<br />
