PKT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2001-7-17,27,27,27,21,21,21,70,70,70,,,,,,,,,,0.00,-9999,,-1<br />
2001-7-18,28,26,26,22,21,21,74,74,70,,,,,,,,,,0.00,-9999,,-1<br />
2001-7-19,33,,33,23,23,23,55,55,55,,,,,,,,,,0.00,,,-1<br />
2001-7-20,35,31,31,27,23,21,63,58,55,,,,,,,,,,0.00,-9999,,-1<br />
2001-7-21,35,34,33,27,27,26,67,66,63,,,,,,,,,,0.00,-9999,,-1<br />
2001-7-23,26,26,25,25,24,24,94,93,89,,,,,,,,,,0.00,-9999,Rain,-1<br />
2001-7-24,27,26,25,25,24,23,94,90,79,,,,,,,,,,0.00,-9999,Rain,-1<br />
2001-7-25,33,28,24,27,24,23,94,80,63,,,,,,,,,,0.00,-9999,,-1<br />
2001-7-26,31,29,29,26,26,25,79,77,75,,,,,,,,,,0.00,-9999,,-1<br />
2001-7-27,30,29,28,26,26,25,84,81,79,,,,,,,,,,0.00,-9999,,-1<br />
2001-7-28,31,31,31,24,23,23,66,64,62,,,,,,,,,,0.00,,,-1<br />
2001-7-29,28,,28,24,24,24,79,79,79,,,,,,,,,,0.00,-9999,,-1<br />
2001-7-30,28,23,22,22,20,19,88,78,69,,,,,,,,,,0.00,-9999,,-1<br />
2001-7-31,31,28,25,23,22,20,83,72,58,,,,,,,,,,0.00,0,,-1<br />
2001-8-1,29,27,26,23,22,21,79,71,62,,,,,,,,,,0.00,0,,-1<br />
2001-8-2,33,,33,25,25,25,63,63,63,,,,,,,,,,0.00,0,,-1<br />
2001-8-3,33,31,29,25,25,24,79,70,63,,,,,,,,,,0.00,0,,-1<br />
