BDT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2003-1-11,16,16,15,13,12,12,88,82,77,1018,1016,1013,2,2,2,11,10,,0.00,3,,355<br />
2003-1-12,20,17,14,16,14,12,94,84,73,1019,1017,1016,4,3,1,11,8,,0.00,4,,339<br />
2003-1-13,21,17,14,16,14,12,94,84,68,1018,1016,1014,4,2,0,16,6,,0.00,3,Fog,353<br />
2003-1-14,19,16,13,16,14,12,94,86,78,1019,1017,1015,2,1,1,13,8,,0.00,5,Fog,346<br />
2003-1-15,20,17,13,16,14,12,94,85,73,1020,1017,1016,4,2,1,14,8,,0.00,3,Fog,350<br />
2003-1-16,21,17,14,16,14,12,94,83,68,1020,1017,1015,4,2,0,13,6,,0.00,3,Fog,338<br />
2003-1-17,24,19,15,15,14,11,94,75,44,1019,1017,1016,5,3,0,13,8,,0.00,2,Fog,348<br />
2003-1-18,28,22,16,16,15,13,88,67,39,1020,1018,1016,5,4,2,14,5,,0.00,1,,10<br />
2003-1-19,26,20,15,16,14,11,88,67,39,1018,1016,1013,5,4,2,13,5,,0.00,0,,305<br />
2003-1-20,25,20,15,16,14,11,88,70,50,1017,1015,1012,4,4,1,16,6,,0.00,0,,343<br />
2003-1-21,24,20,17,16,14,11,88,70,50,1015,1014,1013,4,2,1,14,10,,0.00,3,,22<br />
2003-1-22,25,21,18,16,14,13,77,63,50,1013,1012,1011,4,4,1,16,11,,0.00,2,,294<br />
2003-1-23,24,20,16,14,12,7,82,64,34,1014,1011,1009,4,2,1,14,6,,0.00,0,,331<br />
2003-1-24,24,18,13,14,11,7,88,63,34,1012,1010,1009,5,3,1,11,6,,0.00,4,,85<br />
2003-1-25,25,19,14,18,13,8,88,69,34,1015,1012,1010,5,3,2,13,6,,0.00,0,,36<br />
2003-1-26,25,19,14,17,13,10,94,66,39,1016,1014,1012,4,2,0,10,6,,0.00,2,Fog,350<br />
2003-1-27,26,21,16,16,12,8,88,60,34,1016,1014,1012,4,3,1,14,6,,0.00,0,,356<br />
2003-1-28,28,21,14,15,12,8,88,61,28,1017,1015,1013,3,1,1,11,5,,0.00,2,,17<br />
2003-1-29,26,20,14,16,13,10,88,65,36,1016,1014,1012,3,2,1,13,8,,0.00,4,,360<br />
2003-1-30,25,20,15,21,16,13,94,73,54,1016,1014,1011,3,2,0,8,5,,0.00,2,Fog,15<br />
2003-1-31,25,20,16,21,17,14,94,75,57,1017,1015,1013,3,2,0,13,6,,0.00,4,Fog,351<br />
2003-2-1,26,22,19,18,15,11,88,67,41,1018,1016,1015,4,3,0,14,6,,0.00,1,,356<br />
2003-2-2,28,22,17,17,15,13,88,66,42,1018,1016,1013,4,4,2,32,11,,0.00,1,,343<br />
2003-2-3,28,22,16,17,15,14,88,64,45,1018,1015,1013,5,4,4,16,10,,0.00,2,,332<br />
2003-2-4,26,22,18,17,16,15,83,67,54,1016,1014,1013,4,4,4,14,10,,0.00,5,,355<br />
2003-2-5,25,23,22,19,16,13,73,63,50,1016,1015,1013,5,4,4,19,11,,0.00,6,,309<br />
2003-2-6,26,23,20,19,17,13,88,65,44,1016,1014,1011,4,4,1,34,14,,0.00,0,,329<br />
2003-2-7,26,23,20,19,17,12,88,62,42,1015,1012,1010,4,3,1,16,10,,0.00,1,,316<br />
2003-2-8,27,23,21,19,18,17,83,65,57,1014,1011,1009,5,4,1,16,8,,0.00,3,,307<br />
2003-2-9,27,24,23,20,19,17,78,67,57,1015,1012,1009,5,4,4,16,10,,0.00,1,,295<br />
2003-2-10,29,24,20,19,17,16,83,62,51,1015,1013,1010,5,4,2,14,8,,0.00,1,,308<br />
2003-2-11,30,25,20,24,19,17,89,68,48,1015,1012,1011,5,3,2,13,8,,0.00,0,,339<br />
2003-2-12,29,26,23,19,17,16,69,59,51,1014,1012,1010,5,5,4,21,13,,0.00,1,,3<br />
2003-2-13,28,24,20,20,18,17,83,67,58,1014,1011,1010,5,4,1,13,8,,0.00,5,Rain,267<br />
2003-2-14,26,24,24,18,18,17,69,64,61,1015,1013,1011,6,5,2,11,5,,0.00,4,,207<br />
2003-2-17,27,24,23,18,16,13,73,57,44,1015,1013,1012,4,4,4,14,10,,0.00,2,,318<br />
2003-2-18,27,23,21,20,17,15,83,62,48,1016,1013,1012,5,4,1,16,10,,0.00,3,,323<br />
2003-2-19,29,27,24,17,16,14,61,52,45,1014,1012,1011,5,4,2,13,10,,0.00,2,,315<br />
2003-2-20,29,26,22,20,17,16,69,56,45,1014,1012,1010,5,5,3,16,11,,0.00,0,,316<br />
2003-2-21,28,27,25,18,16,14,61,53,42,1015,1014,1012,5,4,2,26,13,,0.00,1,,335<br />
2003-2-22,28,26,23,18,15,12,65,52,37,1017,1014,1004,5,4,4,19,14,,0.00,0,,310<br />
2003-2-23,27,26,24,19,16,12,73,55,42,1016,1013,1010,5,5,4,19,10,,0.00,0,,301<br />
2003-2-24,27,23,20,19,17,16,88,64,51,1015,1012,1010,5,4,1,19,10,,0.00,5,Fog,300<br />
2003-2-25,29,24,21,19,17,16,78,61,45,1014,1011,1009,5,4,1,16,6,,0.00,,Fog,290<br />
2003-2-26,28,24,22,21,18,14,83,63,42,1014,1012,1010,5,3,1,13,6,,0.00,3,Fog,263<br />
2003-2-27,29,27,24,20,18,16,74,61,48,1014,1013,1011,5,4,3,21,8,,0.00,0,,267<br />
2003-2-28,30,24,19,19,18,16,88,62,43,1015,1012,1010,5,4,0,16,8,,0.00,2,Fog,286<br />
2003-3-1,29,24,21,20,18,17,83,62,48,1013,1011,1008,5,4,1,19,10,,0.00,3,,293<br />
2003-3-2,30,27,24,20,18,15,78,57,40,1012,1010,1009,5,4,2,13,8,,0.00,,,181<br />
2003-3-3,30,27,23,20,18,15,83,58,40,1011,1009,1008,6,5,4,14,10,,0.00,0,,171<br />
2003-3-4,30,28,25,27,21,19,94,66,55,1009,1007,1005,5,4,4,19,14,,0.00,2,,171<br />
2003-3-5,29,27,24,19,17,13,69,56,47,1011,1009,1007,4,4,4,23,16,,0.00,3,,336<br />
2003-3-6,27,24,22,18,16,12,73,55,42,1014,1012,1010,5,5,4,24,16,,0.00,1,,349<br />
2003-3-7,27,22,17,19,16,12,72,59,48,1013,1011,1010,5,4,4,21,14,,0.00,0,,321<br />
2003-3-8,29,26,22,20,18,15,83,60,45,1013,1011,1010,5,4,2,16,11,,0.00,0,,308<br />
2003-3-9,29,23,18,25,17,14,100,64,40,1015,1013,1011,5,4,1,16,10,,0.00,1,,290<br />
2003-3-10,30,27,23,20,17,15,74,57,40,1015,1012,1010,5,4,1,14,10,,0.00,2,,287<br />
2003-3-11,27,24,22,21,19,17,83,69,54,1014,1012,1010,4,3,1,19,8,,0.00,4,,272<br />
2003-3-12,28,26,24,20,19,18,78,64,54,1015,1014,1012,5,4,2,16,11,,0.00,5,,236<br />
2003-3-13,26,24,23,18,17,16,73,64,57,1016,1014,1013,5,4,4,11,8,,0.00,4,,261<br />
2003-3-14,29,24,21,19,18,17,78,65,51,1016,1014,1011,5,4,2,14,10,,0.00,3,Rain-Thunderstorm,15<br />
2003-3-15,28,24,21,21,19,17,83,72,54,1014,1011,1009,6,5,3,14,8,,0.00,5,,113<br />
2003-3-16,28,24,22,23,20,18,83,71,58,1014,1012,1009,6,5,4,16,11,,0.00,5,,178<br />
2003-3-17,25,22,19,21,20,18,94,81,69,1016,1014,1011,5,4,4,26,13,,0.00,6,Rain-Thunderstorm,48<br />
2003-3-18,26,23,22,21,19,18,88,75,61,1016,1014,1012,4,3,1,11,6,,0.00,6,Rain,27<br />
2003-3-19,29,24,19,21,19,16,83,67,55,1015,1012,1009,5,4,0,16,8,,0.00,1,Fog,296<br />
2003-3-20,30,27,23,21,18,17,78,61,45,1014,1010,1008,8,6,4,19,10,,0.00,0,,264<br />
2003-3-21,29,26,22,23,20,18,83,68,58,1013,1011,1009,6,5,3,21,10,,0.00,2,,278<br />
2003-3-22,28,26,23,21,19,10,78,66,39,1014,1012,1010,6,5,4,19,11,,0.00,1,,289<br />
2003-3-23,28,27,25,21,21,20,74,70,65,1013,1012,1009,5,4,3,14,10,,0.00,1,,259<br />
2003-3-24,31,27,24,24,21,18,83,68,49,1013,1010,1008,5,4,0,16,10,,0.00,1,Fog,259<br />
2003-3-25,31,26,21,24,22,19,94,74,49,1013,1011,1008,5,4,0,16,8,,0.00,2,Fog,226<br />
2003-3-26,29,27,25,24,22,20,89,76,62,1015,1012,1010,6,5,2,21,11,,0.00,1,,210<br />
2003-3-27,31,28,26,22,21,20,78,65,55,1015,1011,1008,6,5,2,26,13,,0.00,2,,309<br />
2003-3-28,30,28,25,24,22,21,84,72,58,1012,1010,1008,6,5,4,21,13,,0.00,4,,295<br />
2003-3-29,31,28,25,23,21,20,78,66,58,1010,1008,1005,5,4,3,19,10,,0.00,1,,235<br />
2003-3-30,31,27,23,23,21,18,83,68,58,1011,1009,1007,8,5,4,16,10,,0.00,2,,164<br />
2003-3-31,29,27,24,24,22,18,84,76,66,1009,1008,1006,6,5,4,24,16,,0.00,4,Rain-Thunderstorm,161<br />
2003-4-1,30,28,26,23,22,21,78,72,62,1010,1007,1005,5,5,4,26,16,,0.00,4,,177<br />
2003-4-2,30,28,27,22,21,19,74,63,51,1009,1007,1005,6,5,4,21,18,,0.00,2,,186<br />
2003-4-3,30,28,25,24,23,21,83,71,62,1009,1008,1006,5,5,4,23,14,,0.00,2,,180<br />
2003-4-4,31,28,25,22,21,18,78,63,52,1011,1009,1007,6,5,4,26,13,,0.00,3,,200<br />
2003-4-5,31,29,27,23,22,20,79,65,55,1010,1008,1006,6,5,2,23,13,,0.00,2,,339<br />
2003-4-6,32,29,27,25,23,21,89,66,55,1011,1009,1008,5,5,1,16,10,,0.00,1,,310<br />
2003-4-7,31,29,27,23,22,20,79,65,52,1013,1011,1009,5,4,1,19,6,,0.00,0,,270<br />
2003-4-8,33,30,27,27,24,23,79,71,62,1012,1009,1007,4,3,2,16,8,,0.00,2,,252<br />
2003-4-9,33,30,28,25,23,22,79,66,55,1011,1009,1006,5,4,3,13,6,,0.00,1,,244<br />
2003-4-10,32,29,26,26,23,22,84,69,59,1011,1010,1008,5,4,1,14,8,,0.00,5,,218<br />
2003-4-11,32,30,28,26,24,23,84,71,66,1012,1010,1008,8,6,3,19,13,,0.00,4,,204<br />
2003-4-12,30,28,27,23,23,22,79,68,62,1011,1009,1007,6,5,4,27,19,,0.00,6,,173<br />
2003-4-13,31,28,26,24,23,22,79,69,62,1010,1008,1006,8,6,4,26,21,,0.00,5,,182<br />
2003-4-14,31,28,25,24,23,22,83,68,62,1012,1010,1007,8,5,4,23,13,,0.00,5,,183<br />
2003-4-15,30,29,28,24,22,22,79,68,62,1011,1009,1007,6,5,4,21,13,,0.00,4,,193<br />
2003-4-16,33,30,28,25,24,23,84,69,59,1013,1012,1010,6,5,2,19,13,,0.00,3,,182<br />
2003-4-17,32,29,27,24,23,22,84,70,55,1010,1008,1006,7,5,5,29,23,,0.00,5,,185<br />
2003-4-18,31,28,25,26,24,21,89,72,62,1010,1008,1005,8,6,3,29,19,,0.00,3,Rain-Thunderstorm,181<br />
2003-4-19,32,29,27,25,23,22,79,67,58,1007,1006,1004,8,7,5,23,16,,0.00,2,,196<br />
2003-4-20,31,28,26,24,22,20,84,66,55,1008,1007,1004,7,6,5,37,21,,0.00,4,Thunderstorm,186<br />
2003-4-21,30,29,28,24,23,21,74,69,66,1010,1009,1008,6,5,5,19,13,,0.00,5,,146<br />
2003-5-1,31,29,28,22,22,21,70,63,55,1008,1007,1006,6,5,4,21,13,,0.00,4,,106<br />
2003-5-2,31,28,26,25,23,21,89,75,55,1008,1006,1003,7,5,3,26,16,,0.00,6,Rain-Thunderstorm,158<br />
