CET,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2001-1-1,7,3,1,6,2,-2,100,92,75,1004,995,993,10,9,5,45,32,,0.00,7,Rain-Snow,164<br />
2001-1-2,10,8,6,7,6,5,93,86,76,993,990,988,10,10,9,39,26,60,0.00,5,Rain,176<br />
2001-1-3,9,7,5,7,5,3,93,87,76,1004,999,990,10,10,6,40,29,,0.00,5,Rain,216<br />
2001-1-4,9,7,6,8,6,5,100,91,87,999,993,990,10,9,5,39,32,,0.00,7,Rain,177<br />
2001-1-5,10,8,6,9,7,5,100,92,87,995,986,979,10,9,5,50,31,60,0.00,6,Rain,191<br />
2001-1-6,8,7,5,6,5,4,100,90,81,1003,996,986,10,9,7,32,18,,0.00,4,Rain,235<br />
2001-1-7,7,6,4,5,4,3,93,90,87,1010,1006,1004,10,10,9,29,23,,0.00,5,,206<br />
2001-1-8,7,4,2,5,3,1,100,94,87,1012,1010,1009,10,9,6,24,19,,0.00,5,Rain,224<br />
2001-1-9,6,3,2,5,3,2,100,94,87,1014,1013,1012,10,7,2,19,11,,0.00,4,,214<br />
2001-1-10,4,3,3,3,2,2,100,93,87,1016,1013,1012,6,4,2,34,16,48,0.00,6,,64<br />
2001-1-11,3,1,0,2,-1,-4,93,80,65,1027,1023,1016,10,7,6,35,27,50,0.00,5,,60<br />
2001-1-12,5,1,-2,3,0,-3,100,89,75,1031,1029,1027,10,10,7,16,8,,0.00,5,,58<br />
2001-1-13,2,0,-1,-1,-2,-3,93,87,75,1038,1035,1032,8,6,3,23,14,,0.00,1,,61<br />
2001-1-14,2,-1,-3,2,-2,-4,100,92,87,1038,1035,1032,10,8,1,29,16,47,0.00,5,Fog,56<br />
2001-1-15,1,-1,-3,-2,-3,-5,93,85,75,1031,1028,1026,9,7,6,27,21,,0.00,2,,85<br />
2001-1-16,1,-2,-4,-3,-4,-6,93,85,65,1026,1024,1023,9,7,5,13,11,,0.00,0,,87<br />
2001-1-17,0,-3,-6,-3,-5,-7,100,88,75,1023,1020,1019,7,5,3,11,6,,0.00,2,Fog,87<br />
2001-1-18,-1,-3,-6,-1,-4,-7,100,93,86,1020,1019,1018,4,2,1,10,5,,0.00,6,Fog-Snow,78<br />
2001-1-19,0,-1,-1,0,-1,-2,100,97,93,1022,1021,1020,3,1,0,14,5,,0.00,7,Fog-Snow,150<br />
2001-1-20,2,0,-1,1,0,-1,100,97,93,1024,1023,1022,2,2,1,16,10,,0.00,7,Fog-Snow,152<br />
2001-1-21,1,0,-1,0,-1,-3,100,94,80,1024,1020,1012,5,3,1,32,14,,0.00,6,Snow,134<br />
2001-1-22,6,3,1,6,2,0,100,99,93,1011,1005,998,10,3,0,26,18,,0.00,8,Fog-Rain,120<br />
2001-1-23,10,7,4,9,6,4,100,95,87,1000,995,988,10,8,3,40,24,58,0.00,6,Rain,169<br />
2001-1-24,11,7,4,9,6,3,94,86,76,1001,992,984,10,9,5,48,34,66,0.00,5,Rain,212<br />
2001-1-25,8,6,4,6,4,3,100,91,87,1001,1000,999,10,10,10,27,21,,0.00,6,Rain,179<br />
2001-1-26,6,4,3,4,3,3,100,91,87,1001,998,994,10,10,7,34,21,,0.00,5,Rain,181<br />
2001-1-27,6,4,3,4,3,2,100,92,81,997,993,990,10,9,6,39,21,58,0.00,6,Rain,248<br />
2001-1-28,7,6,4,5,4,2,93,90,81,1009,1002,997,10,10,9,24,18,,0.00,5,Rain,293<br />
2001-1-29,6,3,0,3,2,0,100,91,66,1021,1015,1009,10,9,6,10,5,,0.00,5,Fog,21<br />
2001-1-30,6,3,0,3,2,-1,100,93,81,1023,1022,1021,10,7,3,14,6,,0.00,4,Fog,189<br />
2001-1-31,4,2,0,3,1,0,100,98,93,1029,1024,1022,3,2,0,13,8,,0.00,6,Fog,77<br />
2001-2-1,5,2,-1,5,1,-2,100,96,81,1029,1028,1025,10,5,0,14,6,,0.00,5,Fog-Rain-Snow,265<br />
2001-2-2,2,1,0,1,0,0,100,98,93,1025,1017,1011,3,2,0,23,11,,0.00,7,Fog-Rain-Snow,146<br />
2001-2-3,1,0,-1,1,0,-1,100,100,100,1011,1004,1000,3,2,1,24,14,,0.00,7,Rain-Snow,104<br />
2001-2-4,8,3,-1,8,1,-1,100,100,93,1003,999,992,10,3,2,26,14,,0.00,7,Fog-Rain,86<br />
2001-2-5,10,8,7,9,7,6,100,92,82,996,991,986,10,8,2,52,32,64,0.00,6,Rain,226<br />
2001-2-6,12,10,8,10,8,4,100,86,62,999,996,994,10,9,3,47,31,55,0.00,6,Rain,207<br />
2001-2-7,11,10,9,9,8,7,100,87,76,1002,1000,996,10,9,5,39,29,,0.00,6,Rain,190<br />
2001-2-8,11,7,3,9,7,2,100,90,71,1003,994,990,10,9,4,48,24,69,0.00,6,Rain,192<br />
2001-2-9,7,3,1,2,1,-1,93,81,57,1026,1015,1004,10,10,10,23,13,,0.00,6,,13<br />
2001-2-10,7,3,-1,4,1,-1,100,85,66,1031,1029,1027,10,9,7,32,13,,0.00,8,Rain,149<br />
2001-2-11,13,9,5,10,8,4,94,89,77,1028,1027,1026,10,9,5,47,34,64,0.00,7,Rain,212<br />
2001-2-12,12,9,6,10,8,5,94,90,82,1027,1022,1019,10,8,3,34,27,42,0.00,7,Rain,258<br />
2001-2-13,9,6,2,5,4,2,100,89,71,1036,1034,1028,10,9,1,27,18,47,0.00,3,Fog,13<br />
2001-2-14,7,3,1,6,3,1,100,96,76,1036,1035,1034,10,3,0,10,6,,0.00,4,Fog,76<br />
2001-2-15,12,6,0,5,2,0,100,92,58,1033,1032,1029,9,3,0,10,5,,0.00,1,Fog,71<br />
2001-2-16,5,2,0,5,2,0,100,97,87,1034,1029,1028,10,3,0,19,10,,0.00,4,Fog-Rain,359<br />
2001-2-17,5,4,4,3,2,2,93,87,81,1042,1039,1034,10,10,10,24,19,,0.00,7,,27<br />
2001-2-18,9,4,1,5,3,0,100,90,76,1041,1040,1039,10,10,6,19,10,,0.00,5,Fog,323<br />
2001-2-19,7,6,4,6,4,1,100,91,76,1040,1036,1033,10,9,3,35,18,,0.00,7,Rain,276<br />
2001-2-20,8,7,5,5,4,3,93,87,76,1034,1032,1028,10,10,8,27,18,,0.00,6,,287<br />
2001-2-21,9,7,5,7,6,3,100,92,76,1028,1024,1022,10,7,3,27,19,,0.00,7,Rain,292<br />
2001-2-22,7,4,2,5,4,1,100,88,81,1021,1014,1006,10,10,2,39,21,76,0.00,4,Rain,292<br />
2001-2-23,5,3,1,4,1,-2,100,86,65,1006,1005,1004,10,9,1,27,14,48,0.00,4,Rain-Snow-Thunderstorm,322<br />
2001-2-24,3,0,-2,1,-2,-5,100,85,60,1013,1010,1005,10,7,1,35,14,52,0.00,4,Rain-Snow,17<br />
2001-2-25,5,2,0,1,0,-2,100,86,65,1011,1009,1008,10,9,5,32,16,,0.00,4,Rain-Snow,258<br />
2001-2-26,6,3,1,2,0,-1,100,86,70,1008,1005,999,10,9,3,27,16,,0.00,4,Snow,235<br />
2001-2-27,5,3,1,0,-2,-3,81,75,61,999,995,994,10,10,5,32,24,,0.00,6,Rain-Snow,129<br />
2001-2-28,6,3,1,3,1,0,100,86,76,994,994,993,10,9,6,14,10,,0.00,6,Rain-Snow,98<br />
2001-3-1,3,1,0,2,1,0,100,95,87,998,994,993,8,3,1,16,11,,0.00,7,Rain-Snow,27<br />
2001-3-2,4,1,-1,1,-1,-4,100,89,75,1000,999,998,10,8,3,35,14,,0.00,4,Fog-Snow,43<br />
2001-3-3,1,-1,-2,-3,-6,-7,86,71,56,999,998,997,10,10,7,32,23,,0.00,4,,64<br />
2001-3-4,3,1,-1,0,-1,-3,93,88,81,1005,999,995,7,5,4,24,18,,0.00,7,,63<br />
2001-3-5,4,2,0,0,-2,-3,93,75,65,1024,1017,1006,10,9,6,19,10,,0.00,5,,109<br />
2001-3-6,9,4,-1,1,-1,-3,93,74,57,1023,1019,1012,9,6,6,27,18,,0.00,0,,121<br />
2001-3-7,13,8,4,10,5,0,100,86,75,1012,1008,1007,10,7,3,29,23,,0.00,6,Rain,162<br />
2001-3-8,11,8,6,10,8,6,100,97,93,1007,1000,995,10,5,2,39,16,,0.00,6,Fog-Rain,136<br />
2001-3-9,10,8,7,9,8,6,100,93,87,1001,999,998,10,9,3,32,24,,0.00,6,Rain,212<br />
2001-3-10,11,10,9,10,9,8,100,95,93,1002,1000,999,10,6,2,32,21,,0.00,7,Rain,213<br />
2001-3-11,13,11,9,12,10,8,100,94,87,1005,1002,996,10,8,4,45,23,63,0.00,6,Rain,203<br />
2001-3-12,12,8,5,10,5,2,100,83,62,1003,1001,996,10,9,3,50,32,58,0.00,4,Rain,235<br />
2001-3-13,8,6,4,6,4,2,93,87,76,1000,996,994,10,9,7,37,27,55,0.00,6,Rain,236<br />
2001-3-14,8,6,3,4,3,3,100,83,71,1007,1005,1000,10,10,9,35,27,,0.00,4,Fog-Rain,264<br />
2001-3-15,10,6,2,7,4,2,100,92,71,1010,1008,1006,10,7,4,14,8,,0.00,5,Rain,224<br />
2001-3-16,8,7,5,6,4,2,100,86,71,1012,1010,1008,10,7,2,37,13,47,0.00,7,Rain,47<br />
2001-3-17,5,4,3,3,2,0,100,90,81,1007,1002,1001,10,8,3,40,32,55,0.00,7,Rain,62<br />
2001-3-18,3,2,2,3,2,1,100,96,87,1001,999,997,10,8,5,26,18,,0.00,7,Rain-Snow,38<br />
2001-3-19,4,2,-1,2,0,-3,100,86,61,1019,1010,997,10,8,3,47,24,53,0.00,5,Rain-Snow,338<br />
2001-3-20,6,2,-1,0,-1,-2,93,75,61,1019,1015,1011,10,10,10,24,11,,0.00,6,,144<br />
2001-3-21,2,1,0,1,-1,-4,100,90,70,1010,1001,997,10,3,1,32,24,45,0.00,6,Fog-Snow,79<br />
2001-3-22,5,3,1,3,2,1,100,94,81,1007,999,994,10,5,0,19,10,,0.00,7,Fog,16<br />
2001-3-23,8,6,4,7,6,3,100,97,87,1007,1000,994,8,3,2,29,18,42,0.00,8,Rain,89<br />
2001-3-24,10,7,3,8,6,3,100,96,82,1003,1001,999,10,5,1,29,11,,0.00,6,Fog-Rain,68<br />
2001-3-25,4,3,2,2,1,0,93,86,81,1007,1001,998,10,8,5,37,29,50,0.00,8,,47<br />
2001-3-26,5,3,2,1,0,-1,87,80,70,1014,1011,1006,10,10,10,23,18,,0.00,7,,68<br />
2001-3-27,6,3,1,1,0,-1,87,78,61,1014,1012,1008,10,9,8,29,21,,0.00,7,,113<br />
2001-3-28,11,7,3,7,4,0,93,82,62,1007,999,995,10,9,4,42,29,63,0.00,6,Rain-Thunderstorm,157<br />
2001-3-29,10,8,4,7,6,4,100,90,76,1002,994,991,10,8,2,27,16,,0.00,6,Rain,222<br />
2001-3-30,10,6,2,7,5,2,100,91,76,1018,1009,1002,10,8,2,27,11,,0.00,4,Fog,231<br />
2001-3-31,12,8,4,9,6,3,100,85,67,1019,1018,1018,10,10,8,39,21,53,0.00,6,Rain,195<br />
2001-4-1,13,11,9,11,10,9,100,92,82,1023,1022,1019,10,9,4,29,19,,0.00,6,Fog-Rain,223<br />
2001-4-2,21,14,8,11,9,7,100,73,40,1021,1014,1007,9,5,4,27,14,,0.00,4,Fog,143<br />
2001-4-3,15,12,9,10,7,4,94,75,54,1015,1012,1006,10,10,10,45,27,64,0.00,5,Rain,241<br />
2001-4-4,11,8,6,9,6,4,94,82,71,1011,1002,998,10,9,5,55,29,74,0.00,6,Rain,209<br />
2001-4-5,11,8,6,7,5,4,100,81,62,1013,1008,1000,10,9,5,39,32,60,0.00,5,Rain,223<br />
2001-4-6,13,10,8,10,9,7,100,88,77,1004,1001,997,10,9,4,47,35,69,0.00,6,Rain,229<br />
2001-4-7,11,9,7,10,6,4,94,82,66,1005,1000,996,10,10,6,35,26,50,0.00,4,Rain,233<br />
2001-4-8,9,7,5,7,4,2,100,84,62,1020,1014,1005,10,10,5,27,14,,0.00,5,Rain,284<br />
2001-4-9,10,8,6,9,6,3,100,89,81,1019,1014,1010,10,8,3,23,16,,0.00,7,,167<br />
2001-4-10,11,9,7,9,7,7,100,91,76,1013,1008,1006,10,8,2,29,19,,0.00,6,Rain,285<br />
2001-4-11,11,9,6,8,6,3,100,82,62,1028,1021,1013,10,8,2,34,21,53,0.00,5,Rain,1<br />
2001-4-12,8,4,2,3,1,-2,93,77,53,1029,1028,1028,10,10,10,35,16,48,0.00,3,Rain,328<br />
2001-4-13,7,3,1,0,-2,-6,87,65,39,1031,1029,1029,10,10,10,32,14,,0.00,4,Rain,1<br />
2001-4-14,8,3,-2,8,-1,-5,100,83,52,1031,1024,1011,10,6,2,34,14,,0.00,6,Rain-Snow,239<br />
2001-4-15,9,7,5,8,6,3,100,90,81,1011,1007,1005,10,9,5,39,31,53,0.00,6,Rain,306<br />
2001-4-16,9,7,5,7,5,4,93,87,76,1019,1012,1008,10,10,6,34,23,35,0.00,6,Rain,333<br />
2001-4-17,8,6,4,4,2,1,93,78,62,1020,1016,1007,10,10,7,29,18,,0.00,6,Rain,291<br />
2001-4-18,8,6,3,5,3,0,93,83,62,1007,1004,999,10,9,5,45,27,71,0.00,5,Rain,305<br />
2001-4-19,7,4,2,4,2,0,93,83,70,1007,1005,1005,10,9,4,40,19,52,0.00,4,Rain-Snow-Thunderstorm,297<br />
2001-4-20,7,3,1,4,2,1,100,90,66,1011,1008,1006,10,9,5,27,8,,0.00,4,Fog-Rain,354<br />
2001-4-21,11,6,2,5,3,0,100,81,50,1013,1012,1011,10,8,3,23,14,40,0.00,2,,25<br />
2001-4-22,12,6,0,5,1,-1,100,77,41,1012,1008,1004,10,5,0,16,6,,0.00,1,Fog,68<br />
2001-4-23,12,8,4,4,2,-1,87,65,41,1007,1004,1002,10,10,10,14,10,,0.00,4,,95<br />
2001-4-24,15,10,6,9,6,3,94,72,45,1008,1005,1003,10,9,7,42,16,,0.00,6,Rain,160<br />
2001-4-25,14,10,7,10,8,6,100,87,63,1008,1006,1005,10,7,3,35,16,53,0.00,5,Rain-Thunderstorm,198<br />
2001-4-26,12,10,9,8,8,7,93,85,72,1014,1011,1008,10,10,7,39,26,58,0.00,5,Rain,235<br />
2001-4-27,13,11,9,9,8,7,93,84,67,1014,1013,1011,10,9,4,26,19,,0.00,6,Rain,244<br />
2001-4-28,13,11,9,9,8,5,100,83,62,1010,1006,1003,10,8,4,48,19,69,0.00,5,Rain,214<br />
2001-4-29,16,11,6,8,7,5,93,75,48,1006,1006,1005,10,10,10,27,18,,0.00,3,,190<br />
2001-4-30,16,12,9,10,9,8,94,82,63,1015,1011,1006,10,10,7,24,13,,0.00,5,Rain,350<br />
2001-5-1,12,10,9,9,7,5,93,81,62,1023,1018,1014,10,9,6,45,26,63,0.00,5,Rain,34<br />
