VET,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2001-1-1,33,27,21,21,20,18,88,64,41,1014,1012,1010,10,10,10,19,10,,0.00,2,,18<br />
2001-1-2,32,26,21,20,18,18,88,63,43,1015,1012,1010,10,10,10,19,6,,0.00,2,,84<br />
2001-1-3,31,24,19,22,19,9,94,68,30,1016,1011,1009,10,10,10,13,6,,0.00,2,,337<br />
2001-1-4,31,26,20,21,19,18,94,66,49,1013,1011,1009,10,10,10,19,10,,0.00,2,,340<br />
2001-1-5,32,26,20,23,21,19,94,65,46,1013,1010,1008,10,10,10,14,6,,0.00,3,,13<br />
2001-1-6,32,27,23,22,22,21,88,70,55,1012,1009,1008,10,10,10,23,8,,0.00,5,,37<br />
2001-1-7,38,30,22,21,21,19,88,63,37,1011,1010,1008,10,10,10,14,10,,0.00,3,,8<br />
2001-1-8,31,26,21,21,20,19,88,67,51,1012,1010,1008,10,10,10,14,8,,0.00,3,,316<br />
2001-1-9,32,26,21,19,18,18,83,58,43,1012,1010,1008,10,10,10,11,10,,0.00,4,,35<br />
2001-1-10,31,24,18,20,19,17,94,64,49,1014,1011,1009,10,10,10,16,8,,0.00,4,,26<br />
2001-1-11,32,26,20,21,18,13,88,63,43,1013,1011,1009,10,10,10,23,10,,0.00,5,,23<br />
2001-1-12,31,24,19,22,19,17,94,66,43,1014,1010,1008,10,10,10,24,10,,0.00,4,,9<br />
2001-1-13,30,26,21,21,21,19,88,67,55,1012,1010,1008,10,10,10,16,10,,0.00,7,,4<br />
2001-1-14,31,26,20,23,21,18,94,72,48,1012,1010,1009,10,10,10,23,8,,0.00,5,,353<br />
2001-1-15,31,26,21,22,21,19,94,70,51,1012,1010,1008,10,10,10,21,10,,0.00,4,,33<br />
2001-1-16,31,26,22,21,21,20,88,70,55,1012,1010,1008,10,10,10,19,8,,0.00,5,,25<br />
2001-1-17,32,26,21,21,21,20,94,63,49,1012,1010,1008,10,10,10,21,10,,0.00,3,,45<br />
2001-1-18,39,30,22,21,21,20,88,63,33,1013,1010,1009,10,10,10,13,10,,0.00,2,,19<br />
2001-1-19,32,27,22,22,21,19,88,67,49,1015,1012,1010,10,10,10,16,10,,0.00,4,,25<br />
2001-1-20,31,26,22,21,21,20,88,66,52,1016,1013,1011,10,10,10,19,8,,0.00,3,,24<br />
2001-1-21,31,26,21,20,19,19,88,63,49,1015,1012,1010,10,10,10,26,10,,0.00,4,,15<br />
2001-1-22,31,28,25,21,18,17,74,56,43,1015,1012,1009,10,10,10,23,10,,0.00,4,,9<br />
2001-1-23,30,26,21,22,21,19,89,74,58,1015,1012,1010,10,10,10,21,8,,0.00,3,,304<br />
2001-1-24,32,30,28,22,21,20,70,56,49,1014,1012,1009,10,10,10,19,11,,0.00,2,,356<br />
2001-1-25,33,27,21,21,20,19,88,59,46,1014,1012,1009,10,10,10,16,10,,0.00,1,,13<br />
2001-1-26,31,26,20,21,19,18,94,69,46,1012,1010,1009,10,9,2,21,11,,0.00,4,,26<br />
2001-1-27,32,26,20,20,19,18,94,63,49,1012,1010,1009,10,10,10,19,8,,0.00,3,,20<br />
2001-1-28,32,28,24,22,20,19,83,60,46,1013,1011,1009,10,10,10,23,11,,0.00,3,,22<br />
2001-1-29,31,26,20,21,19,18,88,60,48,1013,1010,1009,10,10,10,19,8,,0.00,2,,26<br />
2001-1-30,32,28,25,20,18,16,69,56,38,1023,1011,1008,10,10,10,24,11,,0.00,2,,18<br />
