EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2002-1-1,1,-2,-4,-10,-12,-16,62,47,35,1018,1015,1013,16,16,16,35,23,48,0.00,0,,277<br />
2002-1-2,3,-1,-5,-7,-11,-14,64,51,38,1020,1018,1016,16,16,16,32,24,40,0.00,0,,270<br />
2002-1-3,4,1,-2,-8,-8,-10,66,54,38,1017,1013,1010,16,16,16,26,21,39,0.00,1,,285<br />
2002-1-4,1,-2,-4,-8,-13,-19,63,43,22,1016,1013,1009,16,16,16,26,19,,0.00,3,,288<br />
2002-1-5,4,1,-1,-6,-7,-8,61,52,45,1016,1015,1013,16,16,16,24,19,34,0.00,6,,250<br />
2002-1-6,8,4,0,4,-3,-8,89,64,36,1016,1009,993,16,14,4,39,16,52,8.64,8,Rain,189<br />
2002-1-7,5,1,-2,4,0,-4,100,90,81,1003,998,991,16,9,1,35,23,50,8.13,8,Rain-Snow,353<br />
2002-1-8,1,-2,-6,-4,-7,-11,93,72,50,1012,1008,1003,16,11,2,26,21,37,0.00,5,Snow,288<br />
2002-1-9,4,1,-2,0,-3,-7,86,70,57,1009,1004,1000,16,16,14,32,23,40,0.00,6,Rain,229<br />
2002-1-10,10,7,4,1,0,-2,76,63,52,1008,1004,999,16,16,16,34,24,40,0.00,6,,251<br />
2002-1-11,7,4,3,2,1,-2,93,76,58,1008,1004,1000,16,14,6,27,14,42,3.56,6,Rain,255<br />
2002-1-12,5,3,1,-1,-2,-3,89,69,57,1011,1009,1005,16,16,14,26,19,,0.00,5,,229<br />
2002-1-13,4,2,1,3,-1,-8,100,83,50,1006,995,985,16,9,1,53,21,72,20.32,7,Rain-Snow,296<br />
2002-1-14,3,1,0,-3,-8,-9,67,52,41,1020,1016,1005,16,16,16,34,26,60,0.00,4,,255<br />
2002-1-15,4,2,0,3,0,-1,100,92,79,1017,1011,1007,16,7,2,23,16,,6.35,8,Rain-Snow,353<br />
2002-1-16,4,3,1,0,-6,-8,82,57,46,1021,1016,1007,16,16,16,27,21,39,0.00,6,,286<br />
2002-1-17,6,2,-1,1,-3,-7,96,75,52,1020,1014,1009,16,11,1,24,16,45,1.02,6,Fog-Snow,220<br />
2002-1-18,1,0,-2,-7,-8,-12,61,53,38,1021,1015,1013,16,16,14,29,21,40,0.00,2,Snow,270<br />
2002-1-19,-1,-2,-4,-3,-7,-12,100,74,45,1025,1019,1012,16,9,1,27,14,34,3.05,7,Snow,268<br />
2002-1-20,2,-2,-6,-4,-6,-7,100,77,52,1021,1015,1010,16,12,1,19,14,,1.02,5,Fog-Snow,296<br />
2002-1-21,3,0,-3,2,-2,-7,100,85,67,1021,1011,1004,16,11,2,34,11,42,4.83,7,Rain-Snow,215<br />
2002-1-22,7,4,0,-3,-4,-6,73,58,40,1027,1019,1007,16,16,16,34,23,42,0.00,1,,266<br />
2002-1-23,11,6,0,6,1,-5,87,71,46,1026,1017,1011,16,16,16,53,24,69,0.00,4,,222<br />
2002-1-24,9,7,5,8,6,2,100,89,81,1011,1004,999,16,11,3,32,16,37,1.52,7,Rain,241<br />
2002-1-25,6,4,2,2,-3,-7,87,62,40,1018,1011,1005,16,16,16,37,19,50,0.00,3,,298<br />
2002-1-26,10,6,2,-4,-6,-7,57,44,33,1021,1017,1015,16,16,16,35,26,45,0.00,5,,239<br />
2002-1-27,12,7,1,3,-1,-6,100,68,30,1022,1020,1017,16,13,0,13,6,,0.00,4,Fog,99<br />
2002-1-28,11,6,2,3,2,0,100,82,52,1019,1016,1013,16,8,1,19,5,,0.00,8,,186<br />
2002-1-29,18,11,5,2,0,-1,79,49,28,1015,1013,1010,16,16,14,27,11,37,0.00,7,,222<br />
2002-1-30,7,4,2,5,1,-4,100,86,60,1028,1020,1014,16,10,3,23,14,,3.56,8,Rain,13<br />
2002-1-31,1,0,-1,0,-2,-6,100,86,60,1033,1029,1025,16,6,0,32,21,29,6.60,8,Fog-Rain-Snow,70<br />
2002-2-1,4,1,-1,3,-1,-4,100,87,57,1025,1013,1001,16,7,1,37,19,55,8.38,7,Rain-Snow,92<br />
2002-2-2,2,-1,-4,-7,-12,-15,59,49,38,1027,1021,1008,16,16,16,42,27,55,0.00,1,,292<br />
2002-2-3,3,-2,-6,-3,-8,-14,82,61,46,1027,1021,1011,16,16,16,34,13,39,0.00,3,,199<br />
2002-2-4,3,0,-3,-3,-5,-10,82,65,52,1011,1007,1004,16,16,16,32,11,,0.00,4,,345<br />
2002-2-5,-2,-4,-7,-11,-14,-17,57,45,30,1018,1015,1012,16,16,16,37,27,50,0.00,3,,292<br />
2002-2-6,3,-1,-5,-6,-10,-13,69,52,35,1021,1020,1017,16,16,16,27,14,32,0.00,3,,277<br />
2002-2-7,6,2,-2,-1,-3,-7,89,72,51,1019,1012,1006,16,15,10,19,10,,0.00,4,,210<br />
2002-2-8,8,4,1,-3,-5,-8,70,51,34,1020,1012,1006,16,16,16,29,19,37,0.00,3,,285<br />
2002-2-9,3,0,-2,-6,-12,-18,64,42,27,1038,1032,1021,16,16,14,26,14,,0.00,1,,348<br />
2002-2-10,12,4,-4,11,-1,-9,100,77,54,1037,1026,1004,16,15,10,45,13,60,2.29,6,Rain,179<br />
2002-2-11,12,1,-9,11,-1,-19,100,79,45,1022,1005,998,16,11,0,47,29,58,11.68,6,Fog-Rain-Snow,308<br />
2002-2-12,5,-2,-10,-3,-10,-21,63,52,41,1022,1013,1007,16,16,16,42,19,55,0.00,5,,223<br />
2002-2-13,3,-2,-6,-5,-13,-21,61,41,22,1026,1016,1007,16,16,14,42,24,55,0.00,1,Snow,281<br />
2002-2-14,2,-3,-8,-8,-13,-17,57,45,34,1030,1027,1025,16,16,16,29,19,42,0.00,1,,246<br />
2002-2-15,8,3,-1,3,-4,-8,82,58,37,1025,1020,1014,16,16,16,40,26,55,0.00,6,,219<br />
2002-2-16,12,8,3,4,1,-4,97,66,38,1014,1009,1005,16,16,14,21,13,,0.00,5,,234<br />
2002-2-17,5,3,1,3,1,-3,93,85,62,1010,1006,1004,16,11,6,35,11,52,1.52,8,Rain-Snow,355<br />
2002-2-18,4,1,-1,-2,-9,-13,76,48,31,1024,1020,1011,16,16,14,42,31,52,0.00,2,Snow,4<br />
2002-2-19,11,4,-2,-5,-12,-14,54,34,18,1025,1023,1021,16,16,16,16,11,,0.00,2,,284<br />
2002-2-20,9,6,2,5,-1,-8,80,64,40,1023,1020,1013,16,16,16,21,8,,0.00,7,,154<br />
2002-2-21,12,9,6,11,9,6,100,96,83,1012,1007,1005,16,6,0,24,14,29,8.13,8,Fog-Rain,169<br />
2002-2-22,9,6,3,4,0,-4,76,63,52,1014,1010,1007,16,16,16,35,23,42,0.25,4,,264<br />
2002-2-23,6,3,1,-2,-4,-9,76,61,40,1021,1017,1014,16,16,16,26,16,27,0.00,3,,303<br />
2002-2-24,3,0,-2,-3,-4,-9,82,67,52,1027,1025,1022,16,16,16,21,14,,0.00,2,,78<br />
