CET,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2002-1-1,0,-2,-4,-1,-2,-4,100,96,86,1040,1038,1031,5,3,1,16,13,,0.00,6,Fog,227<br />
2002-1-2,2,-3,-7,-4,-6,-8,100,85,60,1038,1035,1031,9,5,1,13,5,,0.00,2,Fog,131<br />
2002-1-3,1,-2,-4,-2,-5,-9,100,79,60,1033,1031,1030,9,8,6,21,11,,0.00,1,,90<br />
2002-1-4,2,-3,-7,-4,-8,-11,80,68,52,1035,1032,1030,,,,13,8,,0.00,,,112<br />
2002-1-5,6,1,-4,1,-3,-7,93,80,60,1038,1036,1034,10,8,6,16,6,,0.00,3,,178<br />
2002-1-6,2,0,-1,2,1,-3,100,94,81,1037,1036,1035,7,3,0,16,8,,0.00,6,Fog,235<br />
2002-1-7,3,2,1,3,2,1,100,99,93,1035,1034,1033,4,1,0,11,3,,0.00,6,Fog,71<br />
2002-1-8,4,1,-1,2,0,-2,100,87,70,1035,1033,1032,10,8,5,16,8,,0.00,6,,103<br />
2002-1-9,6,2,-2,1,-1,-3,93,84,70,1037,1036,1034,9,8,6,14,6,,0.00,0,Fog,152<br />
2002-1-10,5,2,0,1,-1,-2,93,84,75,1036,1033,1023,10,8,7,16,11,,0.00,6,,169<br />
2002-1-11,5,3,2,3,2,0,100,90,81,1033,1030,1028,10,6,3,24,14,,0.00,6,Rain,208<br />
2002-1-12,5,3,2,3,2,-1,93,87,76,1034,1032,1030,10,6,5,24,14,,0.00,6,Rain,199<br />
2002-1-13,6,3,0,2,1,-2,93,84,76,1031,1028,1026,10,9,9,21,10,,0.00,6,,171<br />
2002-1-14,5,4,3,5,3,1,100,94,81,1027,1026,1023,10,5,1,21,10,,0.00,6,Rain,191<br />
2002-1-15,5,4,3,5,3,1,100,94,87,1023,1017,1014,10,6,3,24,16,,0.00,6,Rain,194<br />
2002-1-16,6,4,3,5,3,2,100,92,81,1024,1022,1017,10,5,0,16,11,,0.00,4,Fog,247<br />
2002-1-17,6,4,3,4,3,2,93,90,87,1024,1021,1019,10,10,7,27,19,,0.00,6,Rain,193<br />
2002-1-18,7,6,4,5,4,2,100,92,81,1022,1020,1016,10,8,4,26,19,,0.00,6,Rain,209<br />
2002-1-19,10,8,6,7,6,4,93,85,71,1019,1015,1012,10,9,5,32,27,50,0.00,4,Rain-Thunderstorm,229<br />
2002-1-20,10,8,6,9,7,4,94,88,76,1019,1016,1011,10,9,5,48,31,80,0.00,5,Rain,225<br />
