MST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2001-1-1,6,2,-2,-4,-6,-11,80,57,34,1027,1022,1018,32,25,24,34,16,47,0.00,2,,290<br />
2001-1-2,8,3,-2,-3,-7,-12,60,51,41,1027,1023,1018,24,24,24,42,19,55,0.00,5,,243<br />
2001-1-3,11,7,3,-3,-6,-8,56,38,28,1023,1016,1010,24,24,24,39,21,52,0.00,6,,240<br />
2001-1-4,6,2,-1,-6,-9,-12,69,43,29,1019,1016,1011,24,24,24,39,18,52,0.00,5,,269<br />
2001-1-5,10,3,-3,-2,-7,-8,75,51,30,1012,1005,1002,32,27,24,58,19,76,0.00,5,,255<br />
2001-1-6,6,1,-5,-7,-10,-12,63,43,29,1025,1017,1008,24,24,24,37,18,48,0.00,4,,279<br />
2001-1-7,8,0,-8,-9,-12,-13,74,54,23,1025,1021,1014,24,24,24,13,6,,0.00,1,,218<br />
2001-1-8,8,1,-5,-6,-10,-13,59,44,27,1013,1007,1003,24,24,24,24,8,,0.00,6,,214<br />
2001-1-9,8,2,-3,-6,-8,-10,64,44,29,1007,1006,1003,24,24,24,37,18,48,0.00,3,,246<br />
2001-1-10,7,-1,-9,-8,-11,-13,79,50,31,1012,1007,1004,24,24,24,29,11,35,0.00,3,,300<br />
2001-1-11,2,-3,-8,-8,-11,-12,74,62,38,1017,1015,1012,24,24,24,13,8,,0.00,4,,253<br />
2001-1-12,-4,-7,-8,-8,-9,-12,93,76,54,1024,1021,1016,32,15,2,35,16,45,0.00,8,Snow,349<br />
2001-1-13,-8,-10,-12,-9,-11,-13,100,93,92,1024,1022,1021,16,3,1,16,8,,0.00,7,Snow,171<br />
2001-1-14,-3,-10,-16,-6,-12,-17,93,81,64,1030,1025,1021,32,14,0,37,10,,0.00,4,Fog-Snow,332<br />
2001-1-15,-2,-7,-12,-10,-11,-14,85,69,51,1032,1030,1027,24,24,24,21,13,,0.00,5,,314<br />
2001-1-16,7,0,-7,-8,-10,-13,80,52,31,1027,1023,1019,32,25,24,13,6,,0.00,5,,226<br />
2001-1-17,3,-2,-7,0,-3,-9,100,81,52,1026,1024,1019,32,23,11,23,13,29,0.00,6,Rain-Snow,329<br />
2001-1-18,0,-4,-9,-3,-7,-11,93,84,69,1026,1024,1021,32,26,24,14,6,,0.00,6,,190<br />
2001-1-19,7,0,-6,-4,-7,-10,93,57,37,1020,1016,1014,32,25,24,35,13,52,0.00,7,,285<br />
2001-1-20,6,0,-5,-2,-7,-13,93,63,26,1022,1021,1019,24,14,0,24,13,,0.00,4,Fog,212<br />
2001-1-21,7,1,-5,-6,-8,-11,69,51,33,1025,1019,1016,24,24,24,27,10,,0.00,6,,302<br />
2001-1-22,5,-1,-7,-8,-11,-14,80,59,24,1029,1028,1025,24,24,24,14,8,,0.00,2,,236<br />
2001-1-23,4,-3,-9,-8,-12,-14,79,60,28,1030,1027,1026,32,25,24,16,8,,0.00,0,,211<br />
2001-1-24,6,-3,-11,-9,-12,-15,86,57,29,1026,1018,1013,32,25,24,21,11,,0.00,2,,218<br />
2001-1-25,0,-3,-7,-6,-8,-11,86,69,48,1024,1020,1013,32,26,24,29,18,40,0.00,4,,357<br />
2001-1-26,6,-3,-11,-5,-9,-13,93,68,34,1024,1022,1019,24,24,24,13,8,,0.00,0,,213<br />
2001-1-27,4,-3,-10,-8,-11,-13,79,60,33,1024,1019,1012,24,24,24,16,5,,0.00,4,,213<br />
2001-1-28,9,4,-2,-9,-13,-17,55,29,17,1011,1006,1003,24,24,24,47,21,61,0.00,6,,265<br />
2001-1-29,7,3,-3,-6,-9,-13,69,42,29,1010,1001,997,32,25,24,45,18,55,0.00,5,,266<br />
2001-1-30,4,-2,-7,-5,-12,-16,93,51,28,1019,1014,1011,32,20,3,45,19,60,0.00,5,Snow,306<br />
2001-1-31,-1,-7,-13,-8,-12,-15,100,68,47,1026,1024,1020,24,24,24,21,8,,0.00,5,,242<br />
2001-2-1,10,2,-5,-6,-8,-10,69,50,32,1023,1016,1012,32,25,24,39,18,52,0.00,5,,230<br />
2001-2-2,9,4,-1,-6,-9,-12,64,41,25,1013,1009,1007,32,27,24,40,18,55,0.00,3,,253<br />
2001-2-3,6,3,1,-12,-13,-14,38,32,24,1022,1017,1011,24,24,24,45,29,53,0.00,4,,273<br />
