IST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2003-1-1,29,24,21,21,20,19,88,76,62,1013,1012,1010,8,6,4,11,3,,0.00,1,,137<br />
2003-1-2,28,26,24,21,21,20,83,72,62,1016,1014,1013,10,7,6,19,10,,0.00,4,,65<br />
2003-1-3,30,28,26,21,21,20,69,66,58,1017,1016,1015,10,6,4,23,18,,0.00,3,,73<br />
2003-1-4,26,23,22,22,21,20,88,80,69,1017,1016,1015,6,4,2,13,8,,0.00,2,,31<br />
2003-1-5,30,28,26,21,20,19,65,61,58,1016,1015,1014,8,7,6,19,14,,0.00,3,,35<br />
2003-1-6,30,26,22,21,21,19,94,73,55,1018,1016,1014,10,6,2,23,6,,0.00,2,,35<br />
2003-1-7,31,27,24,20,19,18,69,63,52,1017,1016,1014,10,7,6,21,14,,0.00,2,,40<br />
2003-1-8,26,23,21,20,18,16,88,71,54,1017,1015,1014,6,5,2,14,5,,0.00,1,,45<br />
2003-1-9,28,24,22,19,18,18,83,66,54,1017,1015,1014,7,6,6,21,8,,0.00,3,,53<br />
2003-1-10,29,27,24,20,19,19,78,64,55,1019,1016,1015,8,6,4,19,14,,0.00,2,,51<br />
2003-1-11,30,26,22,21,20,19,83,69,55,1017,1016,1015,8,6,4,16,6,,0.00,2,,40<br />
2003-1-12,29,26,23,22,21,18,73,66,62,1019,1017,1015,10,7,6,23,18,,0.00,2,,44<br />
2003-1-13,23,23,23,19,18,18,78,76,73,1016,1016,1016,4,4,4,0,0,,0.00,1,,-1<br />
2003-1-14,29,26,23,22,21,19,89,74,55,1018,1017,1016,7,6,4,24,10,,0.00,3,,33<br />
2003-1-15,29,24,21,21,20,19,94,78,55,1016,1015,1014,6,5,3,23,5,,0.00,2,,45<br />
2003-1-16,27,26,24,21,21,20,78,75,70,1017,1016,1015,6,6,6,11,6,,0.00,2,,37<br />
2003-1-17,29,24,20,23,19,14,89,71,50,1018,1016,1015,10,6,3,29,8,,0.00,3,,40<br />
2003-1-18,28,28,28,19,19,19,58,58,58,1015,1015,1015,,,,,,,0.00,3,,-1<br />
2003-1-19,26,24,24,21,21,20,83,76,69,1017,1015,1014,6,6,4,11,3,,0.00,3,,35<br />
2003-1-20,28,26,24,22,22,21,83,77,70,1016,1016,1016,6,4,2,11,3,,0.00,3,,20<br />
2003-1-21,30,26,22,22,20,18,94,75,58,1016,1014,1012,8,6,1,19,5,,0.00,2,Fog,39<br />
2003-1-22,26,23,20,21,19,18,88,82,61,1016,1014,1013,6,4,1,0,0,,0.00,2,Fog,-1<br />
2003-1-23,30,27,23,23,22,20,88,77,66,1012,1011,1010,8,6,4,11,3,,0.00,4,,123<br />
2003-1-24,31,28,25,22,19,10,83,59,34,1013,1010,1008,10,9,6,14,10,,0.00,1,,147<br />
2003-1-25,30,28,25,20,19,18,69,60,48,1013,1012,1010,8,6,6,14,11,,0.00,2,,138<br />
2003-1-26,30,27,23,23,23,21,88,76,66,1016,1014,1013,8,6,6,14,5,,0.00,3,,62<br />
2003-1-27,29,26,22,21,21,20,94,77,62,1017,1015,1012,8,5,2,16,3,,0.00,3,Fog,48<br />
2003-1-28,29,26,22,22,21,18,94,78,61,1016,1015,1013,8,4,1,21,3,,0.00,2,Fog,73<br />
2003-1-29,29,26,23,20,19,17,83,67,54,1015,1014,1012,8,6,3,14,6,,0.00,2,,79<br />
2003-1-30,25,22,20,20,19,18,94,85,74,1016,1015,1013,6,4,1,0,0,,0.00,1,Fog,-1<br />
2003-1-31,29,24,20,20,19,19,94,71,58,1013,1013,1012,8,6,2,19,8,,0.00,3,,86<br />
2003-2-1,30,28,25,24,22,20,89,71,55,1017,1015,1013,8,6,2,24,10,,0.00,2,,100<br />
2003-2-2,29,26,23,23,22,22,94,80,66,1017,1015,1013,8,5,1,23,8,,0.00,6,Fog,72<br />
2003-2-3,30,28,25,23,22,21,78,74,66,1016,1015,1015,8,7,6,11,11,,0.00,4,,50<br />
2003-2-4,31,28,26,24,23,22,89,73,58,1013,1012,1012,8,7,6,23,19,,0.00,1,,60<br />
2003-2-5,30,27,24,23,23,22,94,81,62,1015,1014,1013,8,6,2,19,8,,0.00,1,,50<br />
2003-2-6,30,28,26,23,22,22,83,74,62,1014,1012,1011,8,6,6,23,13,40,0.00,2,,42<br />
