MST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2003-1-1,6,1,-3,-1,-3,-8,96,75,47,1024,1014,1005,16,11,1,47,26,63,0.76,6,Snow,343<br />
2003-1-2,12,4,-4,-7,-11,-14,72,39,18,1022,1021,1019,16,16,16,24,19,,0.00,2,,245<br />
2003-1-3,16,9,2,-3,-5,-7,59,41,27,1020,1017,1014,16,16,16,47,23,60,0.00,4,,251<br />
2003-1-4,12,6,-1,-2,-4,-7,78,57,33,1021,1019,1014,16,16,16,23,16,,0.00,5,,147<br />
2003-1-5,10,6,2,0,-3,-6,89,59,37,1030,1022,1013,16,16,16,27,16,39,0.00,7,,21<br />
2003-1-6,8,2,-3,1,-2,-6,100,80,46,1034,1031,1029,16,14,5,19,10,,0.00,3,,219<br />
2003-1-7,17,8,-1,-4,-11,-18,75,33,8,1031,1026,1019,16,16,11,29,19,,0.00,1,,214<br />
2003-1-8,19,9,-3,-8,-10,-13,49,30,13,1019,1014,1009,16,16,16,24,18,,0.00,0,,210<br />
2003-1-9,1,-4,-10,-12,-14,-17,65,47,35,1026,1022,1013,16,16,16,19,13,,0.00,1,,353<br />
2003-1-10,-3,-8,-12,-13,-14,-17,84,65,47,1026,1024,1022,16,16,16,16,11,,0.00,5,,221<br />
2003-1-11,3,-3,-10,-6,-11,-14,71,60,46,1026,1023,1021,16,16,16,23,11,,0.00,6,,182<br />
2003-1-12,11,2,-7,-8,-11,-13,82,47,19,1024,1022,1020,16,16,16,24,10,,0.00,2,,208<br />
2003-1-13,16,7,-2,-7,-8,-13,67,37,21,1026,1021,1018,16,16,16,39,18,,0.00,5,,240<br />
2003-1-14,13,4,-3,-3,-6,-8,81,58,29,1027,1022,1016,16,16,16,21,11,,0.00,5,,204<br />
2003-1-15,11,2,-7,-3,-8,-12,82,62,29,1029,1018,1011,16,16,13,52,19,63,0.00,5,,340<br />
2003-1-16,3,-3,-9,-12,-13,-16,77,50,25,1034,1032,1030,16,16,16,23,10,,0.00,4,,112<br />
2003-1-17,5,-1,-7,-8,-11,-16,82,52,28,1030,1027,1024,16,16,16,23,13,,0.00,4,,147<br />
2003-1-18,8,-2,-12,-11,-13,-16,81,45,24,1026,1022,1017,16,16,16,29,18,,0.00,4,,167<br />
