AST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2002-1-1,-7,-11,-15,-12,-16,-18,92,69,49,1010,1008,1006,24,24,24,21,11,37,0.00,2,Snow,253<br />
2002-1-2,-2,-7,-11,-12,-13,-17,73,62,47,1010,1008,1007,24,24,24,23,11,45,0.00,1,,265<br />
2002-1-3,0,-6,-12,-7,-11,-15,86,68,51,1010,1007,1004,24,24,19,26,13,40,0.00,4,Snow,237<br />
2002-1-4,-6,-11,-16,-14,-21,-25,63,50,34,1013,1009,1005,24,24,24,32,18,47,0.00,1,,289<br />
2002-1-5,-3,-10,-17,-9,-15,-21,93,70,52,1015,1013,1010,24,24,24,11,6,,0.00,2,,242<br />
2002-1-6,1,-6,-11,0,-7,-12,100,86,74,1015,1013,1008,24,17,5,8,2,,0.00,7,Rain-Snow,207<br />
2002-1-7,0,-3,-7,0,-3,-10,100,89,74,1008,1001,998,24,11,1,26,10,27,0.00,8,Snow,21<br />
2002-1-8,-6,-8,-9,-10,-12,-14,86,75,63,1007,1005,1003,24,22,10,24,18,32,0.00,5,Snow,308<br />
2002-1-9,-1,-6,-10,-4,-7,-12,86,81,75,1007,1003,998,24,24,13,13,6,,0.00,7,,208<br />
2002-1-10,1,-1,-3,-1,-2,-4,100,89,81,1003,997,994,24,11,2,11,3,,0.00,8,Snow,264<br />
2002-1-11,0,-2,-5,-1,-3,-6,93,91,86,1005,1002,996,24,19,5,11,6,,0.00,7,Snow,284<br />
2002-1-12,0,-6,-12,-1,-7,-14,93,79,64,1011,1004,995,24,17,0,23,10,45,0.00,5,Fog-Snow,285<br />
2002-1-13,0,-7,-13,-1,-6,-15,100,90,85,1011,996,972,24,10,0,52,16,69,0.00,7,Snow,56<br />
2002-1-14,-2,-6,-11,-2,-7,-18,100,77,45,1021,1004,977,24,20,1,52,31,69,0.00,5,Snow,291<br />
2002-1-15,-6,-10,-14,-8,-12,-15,92,83,73,1022,1017,1009,24,16,3,19,8,,0.00,7,Snow,49<br />
2002-1-16,-3,-6,-8,-6,-8,-11,93,82,68,1017,1011,1006,24,15,2,23,14,,0.00,7,Snow,334<br />
2002-1-17,-7,-12,-16,-8,-12,-18,93,86,73,1019,1014,1008,24,16,1,14,6,,0.00,6,Snow,36<br />
2002-1-18,-4,-8,-12,-8,-10,-13,93,85,69,1013,1011,1008,24,20,5,13,6,,0.00,7,Snow,267<br />
2002-1-19,-7,-12,-16,-10,-14,-17,93,81,63,1023,1020,1014,24,24,24,16,5,,0.00,4,Snow,227<br />
2002-1-20,-4,-8,-12,-8,-11,-14,93,86,74,1017,1013,1011,24,14,2,16,6,,0.00,6,Snow,2<br />
2002-1-21,0,-7,-14,0,-8,-16,100,89,79,1020,1014,999,24,14,2,13,6,,0.00,7,Snow,102<br />
2002-1-22,0,-6,-14,-1,-7,-17,93,76,50,1024,1008,995,24,17,1,26,11,47,0.00,4,Snow,303<br />
2002-1-23,4,-7,-17,1,-9,-19,93,83,74,1025,1016,1006,24,23,16,19,5,,0.00,6,Rain,200<br />
2002-1-24,3,0,-4,1,-1,-5,93,90,81,1008,1006,1004,19,12,1,32,8,,0.00,8,Rain-Snow,64<br />
2002-1-25,-4,-6,-6,-5,-7,-8,93,87,80,1010,1007,1003,24,11,2,24,13,35,0.00,7,Snow,300<br />
2002-1-26,-2,-7,-11,-6,-11,-15,93,77,64,1022,1014,1010,24,18,2,29,10,35,0.00,5,Snow,304<br />
2002-1-27,-9,-10,-11,-11,-13,-15,86,80,73,1029,1025,1022,24,10,2,14,10,,0.00,7,Snow,57<br />
2002-1-28,-3,-7,-10,-4,-8,-12,100,90,79,1024,1017,1013,24,7,0,11,5,,0.00,8,Fog-Snow,23<br />
2002-1-29,-2,-3,-5,-3,-5,-7,100,88,80,1019,1014,1012,19,11,1,16,6,,0.00,8,Fog-Snow,24<br />
2002-1-30,-5,-9,-13,-7,-12,-18,93,80,67,1026,1021,1018,24,16,3,19,10,,0.00,8,Snow,7<br />
2002-1-31,-11,-14,-18,-17,-19,-21,78,64,52,1035,1032,1027,24,24,24,13,6,,0.00,8,,279<br />
2002-2-1,-10,-12,-13,-13,-16,-20,85,73,57,1032,1018,999,24,11,1,27,10,39,0.00,8,Rain-Snow,62<br />
2002-2-2,-8,-10,-12,-12,-16,-19,86,67,53,1021,1008,996,24,19,2,40,18,60,0.00,3,Snow,293<br />
2002-2-3,-9,-14,-20,-18,-21,-25,71,55,41,1025,1022,1018,24,23,13,16,10,,0.00,5,Snow,263<br />
2002-2-4,-4,-8,-12,-8,-11,-16,86,80,73,1017,1011,1007,24,14,3,26,13,,0.00,8,Snow,38<br />
2002-2-5,-8,-12,-15,-11,-16,-20,85,68,53,1010,1008,1006,24,24,24,34,18,35,0.00,4,Snow,312<br />
2002-2-6,-11,-14,-18,-16,-21,-24,73,57,38,1020,1013,1007,24,24,24,34,14,47,0.00,1,Snow,281<br />
