AST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2002-1-1,-5,-8,-10,-6,-9,-13,93,84,68,1009,1007,1004,32,24,3,27,14,35,0.00,3,Snow,271<br />
2002-1-2,-3,-7,-10,-8,-9,-13,93,78,64,1009,1006,1003,32,20,4,32,21,45,0.00,4,Snow,285<br />
2002-1-3,0,-3,-7,-4,-8,-10,86,71,51,1010,1007,1002,32,27,24,29,18,39,0.00,3,Snow,254<br />
2002-1-4,-4,-9,-13,-5,-16,-20,93,66,48,1009,1006,1002,24,24,16,37,21,52,0.00,1,Snow,315<br />
2002-1-5,-2,-8,-14,-4,-11,-17,86,74,67,1015,1012,1009,32,28,24,23,11,34,0.00,3,Snow,264<br />
2002-1-6,3,-1,-4,1,-2,-5,100,91,81,1016,1015,1011,32,18,2,16,5,,0.00,8,Snow,172<br />
2002-1-7,8,3,-1,8,2,-1,100,100,100,1010,998,991,10,2,0,34,18,45,0.00,8,Fog-Rain-Snow,49<br />
2002-1-8,-2,-6,-9,-2,-6,-10,100,95,86,1007,999,994,24,7,0,35,26,48,0.00,7,Snow,349<br />
2002-1-9,2,-3,-7,2,-3,-9,100,94,86,1008,1005,1000,24,12,2,24,14,29,0.00,6,Rain-Snow,207<br />
2002-1-10,3,1,0,3,1,-1,100,95,87,1001,995,993,24,9,2,26,16,35,0.00,8,Rain-Snow,265<br />
2002-1-11,4,1,-2,0,-2,-4,100,84,56,1006,1002,994,24,17,2,14,8,,0.00,7,Snow,239<br />
2002-1-12,0,-2,-3,0,-3,-6,100,93,74,1011,1002,992,24,12,0,27,11,27,0.00,8,Snow,314<br />
2002-1-13,6,0,-5,6,-2,-6,100,91,86,1012,997,959,24,13,2,58,23,74,0.00,7,Rain-Snow,152<br />
2002-1-14,2,-1,-4,1,-3,-7,100,86,74,1019,998,958,32,12,0,53,39,74,0.00,8,Rain-Snow,294<br />
2002-1-15,-1,-4,-7,-2,-6,-9,100,87,74,1022,1016,1005,24,15,1,29,11,35,0.00,8,Rain-Snow,79<br />
2002-1-16,-2,-4,-7,-3,-4,-8,100,94,86,1015,1006,1000,32,9,1,37,21,48,0.00,8,Snow,346<br />
2002-1-17,0,-4,-7,-1,-6,-9,100,89,74,1018,1014,1006,24,14,0,19,8,,0.00,7,Fog-Snow,177<br />
2002-1-18,0,-3,-7,0,-4,-8,100,91,80,1012,1009,1005,32,16,0,23,10,,0.00,7,Fog-Snow,284<br />
2002-1-19,-4,-8,-11,-9,-11,-12,93,80,63,1022,1019,1012,32,32,24,16,8,,0.00,3,,337<br />
2002-1-20,-3,-6,-8,-5,-6,-9,100,91,80,1019,1012,1008,24,14,1,21,13,29,0.00,6,Snow,48<br />
2002-1-21,1,-4,-9,0,-4,-10,100,90,80,1021,1016,1001,32,21,0,26,10,,0.00,6,Snow,176<br />
2002-1-22,1,-2,-6,1,-2,-10,100,91,74,1019,1001,986,32,11,0,39,26,58,0.00,7,Fog-Rain-Snow,314<br />
2002-1-23,4,-4,-11,3,-7,-14,93,79,63,1025,1019,1009,32,28,13,34,19,50,0.00,4,Rain,240<br />
2002-1-24,5,2,0,4,2,0,100,95,81,1008,1005,1002,24,16,1,19,11,,0.00,8,Rain-Snow,226<br />
2002-1-25,0,-4,-8,-1,-5,-9,100,93,86,1010,1004,999,24,11,1,26,16,37,0.00,7,Snow,31<br />
2002-1-26,1,-4,-8,0,-7,-11,93,86,68,1019,1013,1009,24,22,3,34,14,45,0.00,5,Snow,266<br />
2002-1-27,-8,-10,-12,-9,-13,-15,93,81,73,1028,1025,1020,24,22,3,19,11,,0.00,6,Snow,36<br />
2002-1-28,2,-3,-8,2,-2,-9,100,97,93,1025,1019,1013,24,5,0,32,14,37,0.00,8,Fog-Snow,152<br />
2002-1-29,2,1,0,1,1,0,100,98,93,1014,1013,1011,4,2,0,19,3,29,0.00,8,Fog,263<br />
2002-1-30,-1,-4,-7,-1,-5,-8,100,94,93,1021,1016,1014,24,7,0,19,14,27,0.00,8,Fog-Snow,15<br />
2002-1-31,-8,-11,-14,-10,-16,-17,86,73,62,1032,1029,1022,24,24,19,24,18,35,0.00,7,Snow,334<br />
2002-2-1,-1,-7,-12,-1,-12,-18,100,82,62,1030,1019,997,24,9,1,39,10,53,0.00,8,Rain-Snow,102<br />
2002-2-2,1,-6,-11,0,-9,-15,100,82,73,1016,1003,993,24,11,1,37,18,52,0.00,6,Fog-Rain-Snow,300<br />
2002-2-3,-6,-11,-16,-13,-16,-19,85,68,49,1023,1021,1017,24,24,24,24,13,,0.00,2,,310<br />
2002-2-4,-3,-7,-10,-5,-8,-13,93,86,73,1019,1009,996,24,12,0,40,14,52,0.00,7,Snow,69<br />
