CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2002-1-1,7,6,4,0,-2,-6,76,60,43,1027,1025,1023,16,16,13,32,21,,0.51,8,Rain,28<br />
2002-1-2,8,4,1,-1,-6,-11,85,53,26,1031,1029,1027,16,16,16,35,19,40,0.00,3,,343<br />
2002-1-3,7,2,-2,-4,-8,-11,75,53,29,1034,1031,1030,16,16,16,23,13,32,0.00,0,,341<br />
2002-1-4,12,4,-3,10,3,-6,100,79,61,1030,1026,1021,16,16,13,26,10,35,0.00,6,,95<br />
2002-1-5,15,12,8,15,11,5,100,94,80,1020,1016,1012,16,11,2,47,21,80,32.00,7,Rain,345<br />
2002-1-6,16,10,4,6,3,-1,97,63,38,1027,1023,1020,16,16,16,24,14,34,0.00,0,,288<br />
2002-1-7,14,9,3,0,-3,-7,79,46,24,1030,1028,1027,16,16,16,32,13,39,0.00,2,,323<br />
2002-1-8,18,9,0,8,3,-1,92,69,35,1028,1025,1022,16,16,16,21,6,,0.00,2,,185<br />
2002-1-9,23,17,11,17,14,9,100,85,55,1022,1020,1017,16,16,16,32,16,39,0.25,2,,189<br />
2002-1-10,24,18,13,17,16,13,100,84,66,1018,1016,1014,16,16,16,24,13,37,0.00,6,,182<br />
2002-1-11,17,15,13,17,12,8,100,82,72,1023,1021,1018,16,16,16,26,16,,0.00,8,Rain,10<br />
2002-1-12,20,15,8,8,3,-1,77,51,28,1023,1021,1018,16,16,16,27,14,35,0.00,3,,340<br />
2002-1-13,18,10,3,11,6,2,93,71,41,1020,1016,1013,16,16,16,19,5,,0.00,3,,173<br />
2002-1-14,21,16,10,11,4,0,97,57,25,1023,1018,1013,16,16,16,26,11,35,0.00,2,,360<br />
2002-1-15,16,10,4,8,3,0,96,65,42,1027,1025,1023,16,16,16,26,10,37,0.00,0,,107<br />
2002-1-16,22,14,8,16,13,7,100,86,63,1023,1021,1019,16,16,16,24,11,34,0.25,5,,133<br />
2002-1-17,24,19,14,18,17,14,100,92,71,1021,1018,1016,16,8,0,16,8,,0.00,7,Fog,170<br />
2002-1-18,18,16,13,17,14,11,100,94,86,1021,1017,1013,10,4,0,21,14,,0.51,8,Fog-Rain,68<br />
2002-1-19,21,14,7,20,13,1,100,82,47,1022,1015,1011,16,11,0,39,16,48,0.25,6,Fog-Rain,269<br />
2002-1-20,14,9,5,10,7,2,96,82,67,1022,1017,1013,16,12,2,19,11,,0.00,6,,88<br />
2002-1-21,20,16,11,11,9,4,100,76,37,1022,1019,1017,16,9,0,16,6,,0.00,6,Fog,53<br />
2002-1-22,25,19,14,21,17,9,96,88,67,1020,1016,1013,16,11,3,26,13,35,0.00,7,,144<br />
2002-1-23,24,22,21,21,20,19,96,88,76,1016,1013,1011,16,13,3,24,18,35,1.02,8,Rain,177<br />
2002-1-24,23,17,11,22,14,8,97,89,80,1022,1014,1010,16,12,6,35,21,48,1.02,8,Rain,3<br />
2002-1-25,16,11,7,7,-1,-7,80,49,21,1028,1025,1023,16,16,16,32,23,40,0.00,4,,12<br />
2002-1-26,16,11,5,5,1,-4,74,53,25,1028,1025,1023,16,16,16,16,5,,0.00,5,,72<br />
2002-1-27,22,14,7,13,8,5,93,71,42,1023,1021,1019,16,16,10,16,3,,0.00,1,,147<br />
2002-1-28,26,19,13,21,18,12,100,94,64,1020,1018,1016,16,6,0,24,6,,0.25,7,Fog,170<br />
2002-1-29,26,22,19,21,19,18,100,87,62,1017,1015,1014,16,13,6,32,14,40,0.00,7,,163<br />
2002-1-30,26,23,20,21,20,19,96,87,71,1015,1013,1011,16,14,1,34,19,50,0.00,7,Fog,158<br />
2002-1-31,26,18,10,21,15,2,94,81,59,1026,1016,1011,16,14,2,37,23,48,16.26,7,Rain,226<br />
2002-2-1,9,8,6,2,-2,-3,62,54,46,1033,1030,1026,16,16,16,39,26,48,0.00,7,Rain,356<br />
2002-2-2,12,8,4,3,0,-2,76,55,38,1032,1029,1027,16,16,16,24,13,37,0.00,6,,75<br />
2002-2-3,17,13,11,7,4,2,59,55,44,1027,1026,1024,16,16,16,11,6,,0.00,8,,351<br />
2002-2-4,14,12,11,5,3,2,68,56,45,1030,1028,1026,16,16,16,26,18,,0.00,8,Rain,53<br />
2002-2-5,11,8,5,6,5,3,96,86,63,1026,1022,1020,16,13,3,29,23,40,3.56,8,Rain,53<br />
2002-2-6,7,6,3,4,3,1,93,83,70,1025,1022,1019,16,16,16,24,19,,2.29,7,Rain,337<br />
2002-2-7,14,7,1,4,2,-1,92,69,45,1028,1026,1024,16,16,16,23,10,29,0.00,0,Fog,350<br />
2002-2-8,16,9,3,7,4,2,93,74,47,1028,1025,1021,16,16,16,19,6,,0.00,0,,124<br />
2002-2-9,23,15,7,14,9,0,100,69,32,1023,1019,1016,16,16,16,27,13,,0.25,2,Fog,184<br />
2002-2-10,16,11,6,-1,-1,-2,62,48,32,1034,1029,1023,16,16,16,34,26,47,0.00,5,,340<br />
2002-2-11,12,9,5,3,1,-2,82,60,43,1034,1031,1027,16,16,16,24,14,,0.00,5,,333<br />
2002-2-12,17,10,3,8,3,-1,93,69,30,1027,1024,1022,16,16,16,14,3,,0.00,6,,178<br />
2002-2-13,20,14,8,9,6,-1,93,64,30,1027,1025,1023,16,14,5,19,5,,0.00,3,,46<br />
2002-2-14,17,12,7,10,6,2,96,71,43,1028,1025,1022,16,16,16,19,8,,0.00,2,,108<br />
2002-2-15,23,17,10,16,11,6,100,78,49,1025,1021,1019,16,13,3,29,10,40,0.00,5,Fog,10<br />
2002-2-16,19,13,7,6,1,-3,76,51,23,1028,1026,1024,16,16,16,27,18,,0.00,3,,348<br />
2002-2-17,20,12,4,9,2,-2,89,54,23,1026,1023,1021,16,16,16,14,5,,0.00,4,,112<br />
2002-2-18,23,17,11,17,15,9,97,85,68,1020,1017,1014,16,16,13,27,13,34,0.00,6,,121<br />
2002-2-19,23,21,19,21,19,17,100,91,81,1014,1011,1008,16,12,1,27,21,37,11.43,7,Rain,196<br />
2002-2-20,23,18,13,17,7,3,100,57,29,1020,1016,1014,16,16,16,19,11,,0.00,1,Fog,265<br />
2002-2-21,26,18,9,14,11,8,100,77,38,1023,1017,1014,16,13,0,53,11,74,13.97,3,Fog-Rain-Thunderstorm,218<br />
2002-2-22,18,14,10,10,2,-2,86,48,26,1026,1024,1022,16,16,16,29,18,37,0.00,2,,345<br />
2002-2-23,20,12,4,7,4,1,93,61,30,1024,1022,1019,16,16,16,19,3,,0.00,1,,151<br />
2002-2-24,23,16,9,15,12,8,100,78,53,1020,1018,1016,16,16,16,27,14,39,0.00,3,,162<br />
2002-2-25,25,20,13,17,14,5,100,74,52,1022,1017,1015,16,16,16,34,11,40,0.00,6,,226<br />
2002-2-26,12,7,2,3,-8,-16,63,41,23,1034,1029,1023,16,16,16,47,34,58,0.00,5,,348<br />
2002-2-27,10,3,-3,-5,-11,-15,66,37,19,1034,1029,1025,16,16,16,24,11,34,0.00,2,,3<br />
2002-2-28,12,7,3,9,1,-6,83,62,50,1027,1023,1017,16,16,13,24,11,32,0.00,6,Rain,87<br />
2002-3-1,16,13,12,15,13,10,100,94,83,1017,1011,1008,16,8,1,39,19,58,55.12,8,Rain-Thunderstorm,86<br />
2002-3-2,16,8,0,16,7,-7,100,83,58,1023,1012,1005,16,11,1,40,19,52,0.25,7,,7<br />
2002-3-3,8,3,-1,-7,-12,-14,59,37,20,1036,1030,1024,16,16,16,40,29,52,0.00,3,,343<br />
2002-3-4,13,5,-3,-1,-8,-13,69,45,16,1037,1035,1032,16,16,16,14,5,,0.00,1,,195<br />
2002-3-5,16,8,0,10,2,-2,86,63,36,1033,1030,1026,16,16,16,21,6,32,0.00,4,,135<br />
2002-3-6,23,18,12,16,13,10,97,79,52,1025,1022,1020,16,15,10,27,14,39,0.00,5,Rain,147<br />
2002-3-7,25,19,14,17,16,14,100,84,55,1021,1019,1017,16,14,3,24,11,32,0.00,6,,125<br />
2002-3-8,24,21,18,20,19,17,100,88,74,1016,1015,1012,16,12,4,37,16,52,0.00,8,Rain,147<br />
2002-3-9,21,17,12,20,8,-8,100,61,20,1034,1025,1016,16,13,2,40,18,55,0.00,5,Rain,332<br />
2002-3-10,17,12,7,7,-2,-7,77,44,23,1035,1032,1026,16,16,16,35,23,47,2.03,5,Rain,50<br />
2002-3-11,22,17,12,20,14,7,96,85,72,1025,1017,1012,16,16,14,27,11,34,1.02,7,Rain,153<br />
2002-3-12,23,18,14,18,10,6,93,63,34,1017,1014,1011,16,16,13,29,21,34,0.00,2,,322<br />
2002-3-13,23,16,9,16,12,8,100,80,53,1016,1014,1011,16,15,11,23,10,29,0.00,2,Fog,137<br />
2002-3-14,25,21,16,21,19,16,100,89,71,1011,1009,1007,16,13,10,34,14,42,0.25,7,,163<br />
2002-3-15,26,23,21,22,21,21,100,89,74,1013,1010,1007,16,13,6,23,16,,0.00,8,Rain,170<br />
2002-3-16,24,20,17,22,19,14,100,90,77,1015,1013,1011,16,8,3,24,13,,0.00,8,,53<br />
2002-3-17,28,24,22,23,22,21,100,90,67,1015,1014,1012,16,12,4,26,14,34,0.25,8,Rain,165<br />
2002-3-18,27,23,21,22,21,20,100,89,67,1016,1014,1012,16,13,8,32,16,40,0.00,7,Rain,156<br />
2002-3-19,26,23,21,22,21,21,100,88,76,1013,1011,1008,16,14,8,35,18,42,0.00,7,,152<br />
2002-3-20,22,18,15,21,17,12,100,88,73,1022,1015,1010,16,14,5,35,14,47,2.79,8,Rain,309<br />
2002-3-21,23,18,13,12,9,6,84,61,37,1029,1025,1022,16,16,16,29,21,37,0.00,3,,4<br />
2002-3-22,17,12,7,8,4,1,86,61,45,1033,1030,1027,16,16,16,27,21,39,0.00,3,,355<br />
2002-3-23,21,14,8,14,11,7,100,81,57,1026,1022,1017,16,15,13,26,8,29,0.00,3,,132<br />
2002-3-24,24,19,14,18,17,14,100,84,66,1016,1013,1010,16,16,14,34,14,45,0.00,5,,160<br />
2002-3-25,23,17,10,22,19,9,100,96,87,1019,1012,1009,16,11,2,34,13,45,7.87,8,Rain,148<br />
2002-3-26,21,14,8,9,7,4,100,70,36,1024,1022,1018,16,16,13,29,24,37,0.25,3,Rain,4<br />
2002-3-27,20,14,8,12,7,6,93,66,42,1025,1021,1018,16,16,14,23,13,,0.00,3,,89<br />
2002-3-28,26,19,12,21,17,11,94,86,69,1018,1015,1012,16,14,5,24,10,29,0.00,6,,154<br />
2002-3-29,27,24,21,21,21,20,97,85,67,1013,1012,1009,16,14,11,27,18,42,0.00,8,,185<br />
2002-3-30,30,24,19,21,19,16,96,82,46,1012,1008,1005,16,14,2,32,18,58,19.30,7,Rain-Thunderstorm,172<br />
2002-3-31,23,20,16,20,16,13,96,80,57,1018,1012,1007,16,14,8,27,14,35,0.00,6,,319<br />
2002-4-1,23,18,13,16,14,12,98,81,57,1019,1015,1013,16,15,10,19,10,,0.00,4,,98<br />
2002-4-2,26,21,16,19,18,15,100,83,60,1014,1012,1010,16,10,0,19,6,,0.00,6,Fog,144<br />
2002-4-3,22,19,14,18,13,7,96,69,55,1024,1020,1015,16,15,11,32,16,37,0.00,6,,1<br />
2002-4-4,20,16,12,9,6,3,65,55,48,1027,1025,1024,16,16,16,24,19,,0.00,6,,48<br />
2002-4-5,21,17,14,13,7,3,87,56,39,1028,1026,1023,16,16,16,21,13,,0.00,4,,86<br />
2002-4-6,21,17,14,15,11,6,87,66,49,1024,1021,1017,16,16,16,34,16,45,0.00,7,,103<br />
2002-4-7,23,20,18,21,18,16,94,84,73,1016,1011,1006,16,14,10,35,19,50,0.25,7,Rain,139<br />
2002-4-8,23,19,16,21,17,16,100,94,73,1014,1010,1008,16,9,0,39,16,63,136.14,7,Fog-Rain-Thunderstorm,90<br />
2002-4-9,26,21,18,19,18,17,100,86,60,1024,1019,1014,16,9,0,23,11,,0.00,7,Fog-Rain,24<br />
2002-4-10,26,22,18,19,18,17,97,83,60,1025,1023,1021,16,14,8,14,10,,0.00,6,,91<br />
2002-4-11,26,22,18,19,18,18,100,84,64,1021,1019,1016,16,16,11,16,5,,0.00,5,,138<br />
2002-4-12,27,22,18,19,18,16,100,86,52,1020,1017,1016,16,10,0,14,5,,0.00,4,Fog,121<br />
2002-4-13,27,22,17,21,19,17,100,90,64,1019,1017,1015,16,12,1,14,5,,0.00,4,Fog,135<br />
2002-4-14,28,23,19,22,21,19,100,93,65,1017,1015,1013,16,14,6,23,8,,0.00,6,,187<br />
2002-4-15,27,23,19,23,21,19,100,93,66,1016,1014,1013,16,14,10,24,10,35,0.00,6,,157<br />
2002-4-16,27,24,23,25,23,21,100,89,74,1018,1016,1014,16,16,13,27,18,39,0.00,7,,162<br />
2002-4-17,28,26,23,23,22,20,96,82,63,1021,1019,1017,16,16,14,24,14,35,0.00,6,,152<br />
2002-4-18,29,24,21,22,21,19,100,85,60,1020,1019,1017,16,16,11,23,13,32,0.00,5,,154<br />
2002-4-19,29,24,21,22,21,19,100,85,60,1019,1017,1016,16,15,10,21,11,32,0.00,6,,159<br />
2002-4-20,28,24,22,22,21,20,100,83,65,1017,1015,1013,16,16,13,24,13,34,0.00,6,,153<br />
2002-4-21,30,26,23,22,21,21,94,81,61,1016,1014,1012,16,16,14,24,14,34,0.00,6,,178<br />
2002-4-22,31,26,21,22,21,19,100,83,53,1019,1017,1015,16,14,11,19,5,,0.00,6,Fog,168<br />
2002-4-23,29,24,21,21,20,19,96,79,56,1018,1017,1016,16,16,16,23,10,27,0.00,6,,152<br />
2002-4-24,31,26,21,22,21,19,97,80,55,1018,1016,1014,16,16,11,26,11,29,0.00,5,,179<br />
