EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2003-1-1,-25,-27,-29,-30,-31,-34,70,65,58,1020,1018,1017,32,15,4,48,21,48,0.00,5,Snow,321<br />
2003-1-2,-27,-29,-32,-31,-35,-37,70,65,63,1021,1019,1017,16,4,1,58,43,55,0.00,2,Snow,327<br />
2003-1-3,-29,-30,-32,-34,-36,-37,69,62,57,1020,1019,1017,32,19,3,50,37,53,0.00,0,Snow,323<br />
2003-1-4,-18,-24,-30,-23,-30,-35,71,62,53,1017,1015,1011,24,24,24,29,14,,0.00,4,,333<br />
2003-1-5,-15,-18,-24,-18,-22,-28,85,71,61,1010,1008,1006,24,13,2,48,11,58,0.00,7,Snow,333<br />
2003-1-6,-25,-28,-31,-29,-33,-36,70,64,58,1006,1004,1003,24,12,2,47,34,52,0.00,4,Snow,327<br />
2003-1-7,-11,-22,-33,-14,-27,-38,92,69,57,1004,999,992,32,14,1,40,6,53,0.00,5,Snow,176<br />
2003-1-8,-2,-8,-14,-6,-10,-15,93,83,64,1001,997,992,32,12,1,34,8,45,0.00,7,Snow,117<br />
2003-1-9,-2,-3,-5,-7,-8,-10,80,70,64,1000,991,984,24,8,1,98,52,114,0.00,4,Snow,57<br />
2003-1-10,-2,-3,-5,-8,-9,-11,74,66,59,991,988,986,32,18,3,95,50,113,0.00,7,Snow,64<br />
2003-1-11,-3,-6,-8,-8,-9,-11,86,71,59,993,991,987,32,15,2,47,24,55,0.00,7,Snow,11<br />
2003-1-12,-10,-13,-17,-11,-17,-19,93,84,78,987,986,984,32,17,2,53,40,63,0.00,6,Snow,321<br />
2003-1-13,-14,-17,-19,-16,-19,-23,85,78,66,992,990,987,32,17,2,40,23,50,0.00,8,Snow,326<br />
2003-1-14,-18,-20,-22,-23,-24,-26,77,70,65,994,993,992,32,10,3,42,35,52,0.00,8,Snow,322<br />
2003-1-15,-18,-19,-20,-23,-24,-25,71,69,65,996,995,994,32,23,10,29,21,40,0.00,7,Snow,317<br />
2003-1-16,-20,-20,-21,-25,-26,-27,71,66,60,997,995,992,32,13,3,26,14,32,0.00,7,Snow,257<br />
2003-1-17,-21,-23,-27,-26,-28,-31,71,66,60,995,993,992,32,17,5,14,11,,0.00,3,Snow,126<br />
2003-1-18,-22,-24,-28,-27,-29,-34,71,67,58,995,993,991,24,16,5,26,13,27,0.00,4,Snow,103<br />
2003-1-19,-24,-27,-30,-30,-32,-34,70,60,48,1017,1007,994,24,21,6,27,11,37,0.00,1,Snow,135<br />
2003-1-20,-18,-22,-26,-22,-28,-31,72,69,59,1022,1020,1017,32,19,5,10,5,,0.00,5,Snow,319<br />
2003-1-21,-9,-13,-17,-14,-17,-21,73,66,57,1022,1021,1019,32,26,24,39,18,45,0.00,5,Snow,18<br />
2003-1-22,-17,-21,-26,-21,-28,-31,92,69,59,1019,1013,1006,32,9,0,72,42,84,0.00,0,Snow,325<br />
2003-1-23,-26,-27,-29,-31,-33,-35,64,62,58,1009,1007,1005,32,20,5,47,32,61,0.00,1,Snow,318<br />
2003-1-24,-23,-27,-30,-28,-33,-36,70,63,57,1014,1012,1009,32,24,5,39,29,,0.00,2,Snow,320<br />
2003-1-25,-27,-29,-31,-33,-34,-36,63,60,57,1014,1013,1012,32,26,24,45,37,55,0.00,1,Snow,323<br />
2003-1-26,-28,-29,-31,-33,-34,-37,63,60,53,1018,1015,1013,32,25,24,47,32,58,0.00,2,Snow,329<br />
2003-1-27,-26,-28,-31,-31,-33,-37,76,65,57,1025,1022,1018,32,22,10,8,2,,0.00,4,Snow,333<br />
2003-1-28,-26,-28,-30,-30,-32,-34,76,68,58,1026,1025,1022,32,25,10,10,3,,0.00,3,Snow,331<br />
2003-1-29,-2,-16,-29,-4,-14,-34,93,76,62,1021,987,963,24,9,0,45,19,60,0.00,6,Snow,41<br />
2003-1-30,-6,-15,-24,-7,-21,-29,93,79,64,995,982,963,8,3,1,52,26,71,0.00,7,Snow,174<br />
2003-1-31,-21,-22,-24,-25,-28,-29,71,67,59,1005,1001,996,32,10,2,34,24,45,0.00,7,Snow,138<br />
2003-2-1,-19,-20,-21,-23,-24,-25,78,72,66,1012,1009,1005,24,7,2,32,14,,0.00,8,Snow,141<br />
2003-2-2,-21,-26,-30,-24,-28,-34,77,71,63,1020,1016,1012,24,16,5,13,5,,0.00,5,Snow,77<br />
2003-2-3,-29,-31,-34,-33,-36,-38,83,69,62,1021,1019,1017,32,25,24,11,5,,0.00,1,,345<br />
2003-2-4,-30,-32,-34,-34,-37,-38,75,67,57,1017,1016,1016,32,24,10,23,6,,0.00,1,,312<br />
2003-2-5,-30,-32,-34,-35,-37,-38,69,65,62,1016,1012,1007,24,15,2,50,27,53,0.00,1,Snow,324<br />
2003-2-6,-19,-26,-32,-25,-33,-37,70,66,60,1007,995,982,32,15,3,40,24,50,0.00,3,Snow,313<br />
2003-2-7,-19,-23,-27,-24,-30,-32,71,60,53,981,979,978,32,26,16,32,16,45,0.00,3,Snow,152<br />
2003-2-8,-24,-28,-33,-29,-35,-40,64,56,48,987,982,978,32,19,2,23,11,,0.00,5,Snow,159<br />
2003-2-9,-30,-32,-35,-35,-37,-41,69,65,56,995,992,987,32,21,2,8,2,,0.00,5,,158<br />
2003-2-10,-31,-33,-36,-37,-39,-41,75,61,51,997,996,996,32,25,16,8,3,,0.00,2,,172<br />
2003-2-11,-34,-37,-39,-36,-41,-45,83,65,45,999,998,996,24,23,16,6,2,,0.00,1,,357<br />
2003-2-12,-32,-36,-39,-37,-40,-44,75,67,56,1004,1002,999,24,24,16,6,0,,0.00,2,,346<br />
2003-2-13,-31,-33,-37,-36,-39,-41,83,67,56,1009,1006,1003,32,24,8,19,3,,0.00,2,,346<br />
2003-2-14,-33,-34,-36,-38,-39,-40,68,64,62,1016,1013,1009,32,25,10,34,24,,0.00,0,Snow,317<br />
2003-2-15,-30,-32,-35,-36,-38,-41,69,63,56,1021,1019,1016,32,16,1,37,27,47,0.00,3,Snow,314<br />
2003-2-16,-30,-33,-36,-36,-38,-41,69,64,57,1020,1016,1010,32,17,6,19,11,,0.00,3,,338<br />
2003-2-17,-31,-33,-37,-34,-38,-41,76,65,62,1015,1013,1010,32,15,3,26,13,,0.00,3,Snow,334<br />
2003-2-18,-32,-36,-39,-37,-41,-43,74,64,57,1021,1017,1014,32,27,24,21,16,,0.00,1,,321<br />
2003-2-19,-33,-34,-37,-38,-39,-41,75,65,62,1023,1019,1012,32,25,24,29,18,,0.00,1,Snow,322<br />
2003-2-20,-28,-31,-35,-32,-36,-41,70,64,56,1011,1007,1004,32,25,16,10,5,,0.00,4,,342<br />
2003-2-21,-27,-29,-32,-31,-34,-37,76,65,53,1013,1007,1004,32,24,16,16,3,,0.00,1,,333<br />
2003-2-22,-28,-30,-32,-33,-35,-37,69,64,57,1023,1018,1013,24,22,13,40,26,48,0.00,1,Snow,330<br />
2003-2-23,-26,-28,-31,-32,-35,-37,69,61,57,1024,1023,1018,24,23,16,48,35,40,0.00,1,Snow,330<br />
2003-2-24,-27,-29,-32,-33,-35,-37,69,61,57,1017,1012,1010,24,24,24,42,37,,0.00,1,Snow,322<br />
2003-2-25,-23,-27,-31,-29,-32,-36,70,61,57,1012,1010,1010,32,25,16,48,35,52,0.00,4,Snow,330<br />
2003-2-26,-25,-28,-31,-31,-33,-36,70,61,58,1015,1013,1011,24,21,16,50,34,53,0.00,4,Snow,327<br />
2003-2-27,-26,-28,-31,-31,-34,-35,69,64,58,1019,1017,1015,32,25,24,39,24,40,0.00,1,Snow,324<br />
2003-2-28,-28,-29,-31,-33,-35,-36,69,64,58,1017,1015,1010,32,24,11,39,31,45,0.00,3,Snow,323<br />
2003-3-1,-27,-30,-33,-33,-36,-38,69,65,58,1010,1008,1006,32,21,10,48,29,50,0.00,1,Snow,326<br />
2003-3-2,-29,-31,-33,-34,-37,-38,69,63,57,1008,1006,1003,32,24,16,21,10,,0.00,1,,312<br />
2003-3-3,-29,-32,-35,-33,-37,-38,75,65,52,1005,1002,1000,24,21,10,35,10,,0.00,1,Snow,326<br />
2003-3-4,-28,-30,-32,-33,-36,-37,69,65,63,999,997,996,16,3,1,58,45,60,0.00,5,Snow,322<br />
2003-3-5,-23,-26,-28,-27,-29,-33,77,71,63,1004,1001,999,24,2,0,58,42,66,0.00,7,Snow,322<br />
2003-3-6,-16,-19,-23,-19,-22,-26,85,78,71,1001,998,995,32,6,0,72,55,82,0.00,7,Snow,327<br />
2003-3-7,-13,-16,-18,-17,-19,-21,92,79,72,1006,1002,998,32,23,5,24,13,,0.00,7,Snow,318<br />
2003-3-8,-14,-16,-16,-16,-18,-20,85,79,72,1006,1002,999,24,8,1,45,34,48,0.00,8,Snow,328<br />
2003-3-9,-14,-16,-17,-17,-19,-20,85,80,72,1004,998,994,24,10,2,37,18,39,0.00,7,Snow,91<br />
2003-3-10,-8,-13,-19,-12,-19,-23,86,79,71,1004,993,975,24,9,0,61,29,69,0.00,7,Snow,321<br />
2003-3-11,-6,-11,-16,-11,-14,-19,92,72,58,974,969,966,32,22,6,42,26,64,0.00,7,Snow,32<br />
2003-3-12,-15,-17,-18,-18,-20,-22,85,75,66,995,984,975,24,11,5,45,18,55,0.00,6,Snow,117<br />
2003-3-13,-19,-22,-25,-22,-26,-29,78,68,59,1006,1001,996,32,22,6,11,5,,0.00,4,Snow,17<br />
2003-3-14,-19,-22,-25,-23,-26,-29,78,72,64,1009,1008,1006,32,12,2,53,23,60,0.00,6,Snow,330<br />
2003-3-15,-22,-23,-26,-26,-28,-31,77,70,64,1016,1013,1009,32,19,3,48,35,50,0.00,4,Snow,314<br />
2003-3-16,-22,-24,-29,-27,-30,-33,76,68,64,1015,1014,1014,32,24,5,37,27,40,0.00,2,Fog-Snow,326<br />
2003-3-17,-23,-27,-30,-27,-31,-35,71,67,63,1023,1019,1014,32,25,8,47,27,55,0.00,1,Snow,332<br />
2003-3-18,-24,-27,-30,-28,-31,-35,77,68,63,1026,1024,1020,32,18,2,48,34,52,0.00,1,Snow,319<br />
2003-3-19,-19,-24,-30,-21,-27,-35,85,72,63,1020,1013,1006,32,14,3,23,14,,0.00,7,Snow,302<br />
2003-3-20,-18,-21,-25,-21,-25,-29,85,74,64,1009,1006,1004,32,15,2,47,16,52,0.00,4,Snow,312<br />
2003-3-21,-18,-21,-25,-23,-25,-28,77,72,65,1007,1005,1004,32,21,8,26,13,,0.00,4,,324<br />
2003-3-22,-21,-23,-27,-26,-28,-31,77,69,64,1008,1006,1004,32,23,8,32,19,,0.00,3,Snow,322<br />
2003-3-23,-23,-26,-30,-28,-31,-33,76,68,63,1014,1011,1008,32,26,24,34,19,,0.00,1,,323<br />
2003-3-24,-23,-27,-31,-28,-32,-36,76,67,63,1014,1014,1013,32,25,24,21,10,,0.00,1,,312<br />
2003-3-25,-24,-28,-33,-29,-33,-36,76,67,63,1013,1010,1007,32,25,24,29,10,,0.00,0,Snow,318<br />
