EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2002-1-1,-3,-7,-10,-7,-9,-11,93,80,59,1028,1023,1019,24,18,8,21,13,,0.00,4,Snow,269<br />
2002-1-2,-3,-7,-9,-7,-9,-10,93,77,64,1029,1027,1023,24,22,16,16,8,,0.00,5,Snow,260<br />
2002-1-3,-3,-6,-8,-6,-8,-10,93,81,74,1022,1020,1018,24,22,13,19,13,,0.00,6,Snow,263<br />
2002-1-4,-1,-4,-8,-7,-8,-10,86,72,55,1020,1017,1014,24,23,16,32,18,50,0.00,6,Snow,234<br />
2002-1-5,1,-1,-2,-2,-6,-7,93,71,64,1015,1014,1012,24,18,2,27,21,32,0.00,7,Snow,224<br />
2002-1-6,1,0,-1,0,-1,-2,100,94,87,1013,1008,1005,16,4,2,26,11,29,0.00,8,Snow,297<br />
2002-1-7,0,-5,-10,-2,-9,-12,93,79,68,1015,1012,1007,24,23,16,32,21,37,0.00,4,Snow,333<br />
2002-1-8,0,-3,-7,-5,-8,-10,86,75,69,1015,1010,1005,24,22,16,35,23,50,0.00,7,,222<br />
2002-1-9,5,2,-1,1,-1,-5,93,81,75,1005,1001,998,24,17,6,34,24,50,0.00,6,Rain,227<br />
2002-1-10,5,3,1,1,1,0,93,84,70,1010,1008,1003,24,22,16,19,13,,0.00,5,,253<br />
2002-1-11,3,1,0,0,-2,-3,93,81,70,1013,1011,1008,24,18,2,24,14,47,0.00,7,Rain-Snow,271<br />
2002-1-12,3,0,-2,1,-2,-4,100,87,75,1013,1005,998,24,11,3,35,19,55,0.00,6,Rain-Snow,217<br />
2002-1-13,0,-2,-4,-2,-5,-6,93,77,64,1014,1006,998,24,22,10,32,19,48,0.00,6,Snow,275<br />
2002-1-14,2,-2,-5,1,-3,-6,100,87,74,1015,1010,1005,24,14,2,34,14,39,0.00,7,Rain-Snow,105<br />
2002-1-15,3,0,-2,2,-1,-7,100,91,69,1020,1011,1005,24,4,1,35,21,40,0.00,8,Fog-Rain-Snow,258<br />
2002-1-16,0,-2,-4,-1,-4,-7,100,81,69,1024,1020,1012,24,13,1,24,14,37,0.00,8,Snow,218<br />
2002-1-17,1,-2,-5,0,-4,-9,100,86,74,1018,1014,1007,24,14,1,37,23,50,0.00,7,Snow,259<br />
2002-1-18,-5,-9,-14,-8,-11,-15,92,76,58,1024,1020,1016,24,15,1,34,19,48,0.00,5,Snow,262<br />
2002-1-19,-4,-10,-15,-10,-14,-20,92,73,45,1023,1017,1012,24,23,16,16,3,,0.00,5,,163<br />
2002-1-20,0,-3,-7,-4,-7,-11,86,79,68,1016,1015,1012,24,17,11,26,19,35,0.00,5,,226<br />
2002-1-21,1,-1,-2,-2,-3,-6,93,82,64,1015,1008,1004,19,9,1,37,16,52,0.00,8,Snow,220<br />
2002-1-22,5,-1,-5,-1,-4,-7,93,74,61,1023,1020,1016,24,19,3,27,18,40,0.00,2,,206<br />
2002-1-23,6,4,3,6,2,-3,100,85,57,1015,1011,1010,24,8,0,37,16,50,0.00,7,Fog,213<br />
2002-1-24,5,1,-3,5,-1,-7,100,88,69,1014,1010,1007,24,10,0,32,13,47,0.00,8,Fog-Rain-Snow,332<br />
2002-1-25,4,0,-3,-3,-4,-7,86,70,56,1017,1016,1014,24,24,16,40,21,55,0.00,4,,238<br />
2002-1-26,7,4,2,0,-3,-4,70,65,53,1019,1017,1016,24,24,24,37,26,50,0.00,3,,220<br />
2002-1-27,9,4,1,1,-2,-4,75,63,53,1018,1016,1014,24,24,24,26,16,35,0.00,4,,208<br />
2002-1-28,10,6,1,2,-1,-2,93,69,54,1016,1013,1011,24,21,16,19,13,,0.00,7,,208<br />
2002-1-29,5,3,0,1,0,-1,93,83,70,1016,1014,1010,16,11,4,14,6,,0.00,8,Rain,41<br />
2002-1-30,0,-1,-2,-1,-3,-6,93,85,74,1028,1022,1015,24,13,2,19,8,,0.00,8,Rain,10<br />
2002-1-31,-1,-3,-4,-3,-4,-7,100,89,69,1028,1020,1014,24,6,1,47,26,63,0.00,8,Rain-Snow,78<br />
2002-2-1,12,3,-5,8,-3,-8,100,86,65,1026,1011,1000,24,7,0,55,27,77,0.00,8,Fog-Rain-Snow,257<br />
2002-2-2,-2,-4,-7,-6,-8,-12,93,73,47,1029,1028,1024,24,20,5,21,13,,0.00,5,Snow,250<br />
2002-2-3,1,-1,-2,-4,-5,-7,80,73,69,1023,1015,1011,24,20,8,29,21,45,0.00,6,Snow,235<br />
2002-2-4,-1,-6,-11,-3,-11,-15,93,78,62,1029,1018,1008,24,12,1,40,19,55,0.00,6,Snow,308<br />
2002-2-5,-2,-7,-11,-8,-11,-15,86,69,55,1029,1025,1021,24,22,5,34,18,52,0.00,6,Snow,263<br />
2002-2-6,-1,-3,-5,-4,-7,-9,86,76,64,1024,1021,1016,24,13,8,21,13,,0.00,6,,236<br />
2002-2-7,2,-1,-3,-2,-4,-7,93,74,60,1016,1013,1010,24,16,4,26,16,35,0.00,3,,251<br />
2002-2-8,3,-1,-4,-1,-3,-5,100,85,70,1024,1017,1015,10,5,1,27,11,34,0.00,4,Fog,249<br />
2002-2-9,3,-2,-6,-2,-3,-7,100,85,70,1029,1027,1023,16,6,0,27,11,32,0.00,4,Fog,95<br />
2002-2-10,7,1,-4,5,0,-9,93,82,65,1022,1015,1009,24,15,3,39,18,53,0.00,8,Rain-Snow,197<br />
2002-2-11,-2,-8,-12,-6,-12,-16,74,70,58,1026,1021,1013,24,24,24,35,24,52,0.00,3,,313<br />
2002-2-12,3,0,-4,-2,-4,-7,93,70,56,1014,1007,1003,24,19,1,37,29,58,0.00,7,Snow,253<br />
2002-2-13,-4,-7,-10,-8,-11,-14,86,70,54,1027,1024,1016,24,16,2,27,16,45,0.00,5,Snow,277<br />
2002-2-14,3,-1,-5,-5,-7,-11,74,62,52,1025,1023,1019,24,24,24,35,21,47,0.00,2,,215<br />
2002-2-15,6,3,1,0,-3,-7,87,65,52,1019,1011,1007,24,21,5,40,23,52,0.00,7,Rain-Snow,225<br />
2002-2-16,2,0,-1,0,-1,-7,100,90,60,1010,1007,1003,24,6,1,29,16,47,0.00,7,Rain-Snow,253<br />
2002-2-17,-2,-6,-9,-4,-9,-13,86,71,59,1027,1018,1009,24,22,2,27,18,39,0.00,2,Snow,324<br />
2002-2-18,-1,-7,-13,-5,-9,-15,92,79,64,1029,1027,1024,24,24,24,23,8,32,0.00,2,,155<br />
2002-2-19,5,0,-5,1,-3,-7,93,74,53,1023,1020,1015,24,22,10,23,10,,0.00,7,Rain,145<br />
2002-2-20,7,4,3,6,4,1,100,91,76,1014,1005,999,19,10,3,29,16,37,0.00,7,Rain,172<br />
2002-2-21,6,2,-1,3,1,-2,93,90,81,1012,1006,1001,24,9,2,34,23,40,0.00,8,Rain-Snow,246<br />
2002-2-22,-1,-3,-6,-2,-6,-9,93,80,69,1022,1018,1012,24,19,2,24,18,29,0.00,7,Snow,326<br />
2002-2-23,1,-4,-8,-5,-8,-10,93,76,52,1024,1022,1022,24,24,24,16,5,,0.00,2,,172<br />
2002-2-24,7,2,-2,0,-3,-5,86,68,49,1022,1020,1017,24,24,16,27,14,,0.00,5,,177<br />
2002-2-25,13,8,3,4,-1,-4,87,59,44,1016,1012,1009,24,22,8,35,16,52,0.00,5,,210<br />
2002-2-26,3,0,-3,2,-1,-6,100,90,80,1009,1003,999,24,7,1,34,13,40,0.00,8,Fog-Rain-Snow,300<br />
2002-2-27,-4,-6,-7,-7,-8,-11,93,81,63,1013,1006,1003,24,8,1,34,23,52,0.00,7,Snow,275<br />
2002-2-28,-3,-7,-9,-9,-10,-12,86,70,59,1019,1017,1013,24,23,11,35,21,48,0.00,5,Snow,243<br />
2002-3-1,-1,-3,-5,-6,-7,-9,80,70,60,1032,1026,1019,24,21,10,27,21,34,0.00,6,Snow,272<br />
2002-3-2,8,2,-4,4,-3,-8,93,71,32,1030,1019,1002,24,17,2,37,23,40,0.00,7,Rain-Snow,124<br />
2002-3-3,6,-1,-8,6,-3,-11,100,84,64,1014,1004,997,24,10,2,52,27,60,0.00,7,Rain-Snow,250<br />
2002-3-4,-8,-10,-12,-11,-14,-17,86,72,53,1023,1019,1013,24,18,2,29,19,45,0.00,4,Snow,263<br />
2002-3-5,-3,-8,-12,-4,-11,-18,93,71,57,1023,1023,1022,24,17,1,27,14,40,0.00,5,Snow,237<br />
2002-3-6,3,0,-3,0,-3,-4,93,88,81,1023,1020,1019,13,5,2,14,5,,0.00,7,Snow,71<br />
2002-3-7,0,-2,-3,-3,-4,-5,93,83,75,1028,1026,1023,24,13,2,23,11,,0.00,8,Rain-Snow,54<br />
2002-3-8,14,7,-1,6,2,-3,93,74,55,1027,1022,1018,24,14,2,29,18,48,0.00,7,Rain,146<br />
2002-3-9,16,6,-3,11,3,-7,94,66,54,1020,1011,999,24,16,1,85,31,113,0.00,8,Rain-Snow,190<br />
2002-3-10,-3,-6,-8,-6,-11,-14,93,69,58,1029,1020,1012,24,10,2,50,42,76,0.00,6,Snow,269<br />
2002-3-11,1,-4,-8,-6,-9,-12,74,66,55,1030,1026,1019,24,23,8,27,18,34,0.00,6,Snow,212<br />
2002-3-12,8,4,0,1,-3,-7,87,65,52,1020,1019,1017,24,22,16,19,11,,0.00,3,,221<br />
2002-3-13,12,6,0,6,2,-2,87,78,62,1016,1011,1008,16,13,8,27,11,37,0.00,5,,173<br />
2002-3-14,9,4,0,2,-2,-3,87,67,50,1020,1016,1010,24,23,11,39,18,53,0.00,7,,62<br />
2002-3-15,16,9,1,10,3,-3,82,75,59,1015,1009,1007,24,22,5,35,23,37,0.00,7,Rain,191<br />
2002-3-16,4,-1,-5,-3,-6,-10,86,68,52,1031,1024,1015,24,24,24,29,21,34,0.00,3,,359<br />
2002-3-17,2,-1,-4,-1,-6,-9,87,67,52,1031,1026,1019,24,20,10,40,23,58,0.00,7,Rain,88<br />
2002-3-18,3,2,1,2,-1,-3,100,87,75,1028,1021,1016,24,12,1,29,16,40,0.00,8,Fog,285<br />
2002-3-19,6,3,0,-1,-3,-4,87,72,57,1029,1026,1021,24,24,24,26,13,29,0.00,8,,91<br />
2002-3-20,5,3,1,3,0,-3,100,87,75,1020,1016,1013,24,12,3,24,16,34,0.00,8,Rain,14<br />
2002-3-21,2,-4,-9,0,-6,-14,93,82,54,1022,1017,1010,24,8,0,45,19,61,0.00,6,Snow,272<br />
2002-3-22,-6,-8,-10,-8,-12,-15,86,75,62,1022,1020,1017,24,9,0,37,26,47,0.00,5,Snow,268<br />
