EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2002-1-1,24,20,16,17,16,14,96,79,53,1020,1017,1015,16,15,8,19,13,,0.00,6,,15<br />
2002-1-2,24,21,18,21,19,16,97,86,73,1017,1015,1011,16,15,3,29,13,37,4.83,7,Rain-Thunderstorm,122<br />
2002-1-3,21,16,10,19,14,6,94,83,63,1022,1017,1013,16,16,16,26,14,42,0.00,6,Rain,304<br />
2002-1-4,12,9,6,5,1,-3,76,57,35,1028,1026,1023,16,16,16,24,18,37,0.00,1,,340<br />
2002-1-5,21,14,8,15,10,3,89,70,51,1026,1023,1019,16,16,16,23,11,,0.00,5,,67<br />
2002-1-6,26,22,18,19,17,15,97,79,60,1018,1016,1014,16,15,2,32,16,45,0.51,5,Rain,215<br />
2002-1-7,21,17,11,17,12,6,93,72,49,1023,1018,1015,16,15,11,26,13,37,0.00,4,,296<br />
2002-1-8,16,11,7,6,1,-4,71,54,26,1026,1024,1022,16,16,16,23,13,32,0.00,1,,337<br />
2002-1-9,18,12,7,6,4,1,80,57,43,1026,1025,1024,16,16,16,19,10,,0.00,1,,335<br />
2002-1-10,23,17,11,15,9,1,96,63,47,1025,1023,1021,16,16,16,16,8,,0.00,2,,30<br />
2002-1-11,24,18,13,17,14,12,97,73,46,1022,1021,1019,16,16,16,14,5,,0.00,3,,59<br />
2002-1-12,24,19,15,16,16,14,100,79,59,1021,1018,1015,16,16,11,16,5,,0.00,5,,168<br />
2002-1-13,24,21,18,20,18,15,97,83,66,1019,1017,1015,16,16,16,14,8,,0.00,6,,191<br />
2002-1-14,26,23,20,22,20,19,97,83,65,1020,1017,1016,16,16,11,26,13,35,0.00,5,,146<br />
2002-1-15,27,23,19,22,20,17,100,86,60,1021,1019,1016,16,14,6,16,11,,0.00,6,,265<br />
2002-1-16,26,21,17,21,19,16,97,84,71,1023,1021,1020,16,16,16,23,11,,0.00,5,,62<br />
2002-1-17,27,23,21,21,21,19,93,83,66,1022,1020,1019,16,16,14,16,11,,0.00,2,,110<br />
2002-1-18,27,23,20,22,21,20,100,91,65,1023,1021,1019,16,13,2,11,3,,0.00,4,,344<br />
2002-1-19,27,23,19,22,20,19,97,83,62,1020,1018,1016,16,16,11,23,8,35,0.00,3,,147<br />
2002-1-20,28,24,20,22,21,20,100,90,62,1021,1019,1017,16,15,11,19,6,,0.25,3,,119<br />
2002-1-21,28,24,22,23,22,21,100,88,69,1023,1021,1019,16,16,11,21,10,35,0.00,2,,153<br />
2002-1-22,28,24,21,22,21,19,100,88,65,1025,1023,1022,16,14,3,24,6,,0.00,3,,73<br />
2002-1-23,27,24,23,21,20,19,87,77,65,1025,1023,1022,16,16,16,27,21,39,0.00,3,,115<br />
2002-1-24,27,24,21,20,19,18,90,75,60,1022,1020,1018,16,16,16,29,19,39,0.00,2,,137<br />
2002-1-25,28,24,21,22,20,17,97,80,52,1021,1019,1017,16,16,16,21,8,,0.00,2,,195<br />
2002-1-26,28,23,19,22,19,17,97,81,54,1023,1021,1019,16,16,16,16,5,,0.00,1,,127<br />
2002-1-27,28,24,20,22,21,19,100,84,62,1023,1022,1020,16,16,16,21,8,,0.00,3,,101<br />
2002-1-28,27,24,21,21,20,19,97,81,62,1023,1021,1020,16,16,16,19,8,,0.00,2,,114<br />
2002-1-29,28,24,20,21,21,19,96,81,62,1022,1021,1020,16,16,16,23,11,,0.00,3,,100<br />
2002-1-30,28,26,23,22,21,20,90,78,62,1023,1021,1020,16,16,16,27,19,,0.00,3,,105<br />
2002-1-31,27,25,23,21,19,19,87,75,64,1023,1022,1020,16,16,16,29,21,32,0.25,3,Rain,102<br />
2002-2-1,26,24,22,22,21,20,100,88,76,1023,1021,1020,16,16,10,19,8,,7.37,5,Rain-Thunderstorm,98<br />
2002-2-2,27,24,21,22,21,21,100,86,69,1022,1021,1019,16,16,16,16,3,,0.00,4,,103<br />
2002-2-3,28,24,21,22,21,20,100,85,63,1022,1020,1019,16,14,5,11,5,,0.00,4,,338<br />
2002-2-4,26,21,16,18,13,9,90,63,46,1022,1020,1018,16,16,16,21,11,27,0.00,1,,324<br />
2002-2-5,23,18,13,15,11,4,70,61,49,1024,1023,1022,16,16,16,26,18,34,0.00,4,,44<br />
2002-2-6,24,21,19,18,16,14,78,69,57,1023,1021,1020,16,16,16,26,19,34,0.00,4,,124<br />
2002-2-7,28,24,20,21,20,18,94,79,60,1019,1017,1015,16,16,11,26,18,35,0.00,4,,206<br />
2002-2-8,23,19,16,18,15,11,94,75,61,1022,1020,1018,16,16,16,23,14,,0.00,6,,20<br />
2002-2-9,25,23,21,22,21,17,100,90,76,1022,1021,1020,16,14,3,21,11,,18.80,8,Rain,105<br />
2002-2-10,26,24,21,23,22,21,100,88,76,1022,1021,1019,16,15,11,26,11,34,0.51,7,Rain,141<br />
2002-2-11,25,21,17,21,17,14,100,80,62,1022,1021,1019,16,16,13,21,13,26,0.00,7,,353<br />
2002-2-12,26,22,18,21,19,17,97,82,66,1021,1020,1018,16,16,16,14,6,,0.00,5,,67<br />
